city_id,city,Berlin,Hamburg,Munich,Cologne,Frankfurt,am main
1902,Osnabruck,419.446,231.788,642.281,200.952,332.195,332.195
1464,Kleve,609.099,396.06,702.418,129.262,318.294,318.294
881,Chemnitz,263.591,491.606,386.248,503.515,398.662,398.662
907,Darmstadt,572.084,519.218,400.891,199.538,33.33,33.33
1293,Heilbronn,593.158,616.342,289.951,314.717,151.93,151.93
1920,Paderborn,427.654,286.953,552.069,182.85,271.802,271.802
1642,Magdeburg,156.405,280.856,521.907,434.792,428.818,428.818
828,Braunschweig,235.251,199.763,603.981,353.699,340.268,340.268
802,Bonn,600.158,459.457,559.692,28.802,175.568,175.568
912,Deggendorf,571.158,777.646,145.077,574.192,391.991,391.991
1188,Gottingen,335.523,265.644,516.401,292.274,236.133,236.133
1566,Lemgo,371.155,230.454,586.575,213.352,306.308,306.308
2067,Rosenheim,653.714,860.201,66.539,643.688,461.488,461.488
1254,Halle,169.753,364.911,438.986,455.01,383.241,383.241
1076,Freiburg,804.96,756.006,423.399,432.796,270.118,270.118
2211,Siegen,580.968,440.267,515.654,92.136,136.101,136.101
963,Duisburg,546.288,375.36,628.738,67.159,244.614,244.614
1043,Esslingen am Neckar,643.943,666.903,224.494,378.512,215.726,215.726
1111,Furtwangen im Schwarzwald,763.845,765.634,356.135,442.424,279.745,279.745
2528,Wismar,248.454,127.34,793.234,550.356,615.87,615.87
1428,Karlsruhe,672.989,624.036,297.019,300.826,138.147,138.147
2563,Wurzburg,482.446,508.602,276.933,301.225,119.025,119.025
1847,Nurtingen,668.185,691.145,207.254,390.206,227.527,227.527
2551,Worms,610.476,557.61,385.339,219.222,71.721,71.721
1444,Kempten im Allgau,694.05,768.296,128.327,537.962,383.606,383.606
832,Bremen,394.024,125.965,767.374,314.994,446.237,446.237
2029,Reutlingen,674.561,697.521,218.779,396.582,233.903,233.903
2560,Wuppertal,526.816,386.115,615.757,54.178,231.633,231.633
2107,Sankt Augustin,594.974,454.273,546.072,33.274,161.948,161.948
2009,Regensburg,498.042,704.53,124.265,506.21,324.01,324.01
1200,Greifswald,233.211,264.443,841.984,687.459,752.973,752.973
891,Cottbus,132.537,415.408,558.585,668.318,563.743,563.743
773,Bielefeld,388.813,248.112,599.019,193.319,318.752,318.752
761,Bernburg,174.932,320.366,475.877,474.302,390.772,390.772
1654,Marburg,468.152,398.272,475.639,187.995,96.086,96.086
1494,Krefeld,574.325,403.398,633.959,60.803,249.835,249.835
1287,Heide,392.661,105.639,895.488,518.403,601.779,601.779
1071,Frankfurt am Main,545.438,492.572,392.308,190.409,0,0
1266,Hannover,286.08,151.547,659.43,291.51,354.473,354.473
2072,Rostock,233.658,182.583,778.438,605.598,671.112,671.112
1042,Essen,530.991,372.514,632.468,70.889,248.344,248.344
1031,Erlangen,442.584,589.883,189.443,394.788,212.588,212.588
1748,Munster,474.59,282.708,668.618,149.226,280.469,280.469
1104,Fulda,457.656,404.79,377.39,266.748,104.439,104.439
541,Aachen,638.428,497.727,646.145,75.436,262.021,262.021
1430,Kassel,379.935,310.056,478.183,246.05,197.916,197.916
1926,Passau,618.186,824.673,192.457,621.22,439.019,439.019
974,Eberswalde,62.453,321.285,671.225,639.892,633.918,633.918
1404,Jena,258.748,465.235,371.249,408.988,304.135,304.135
1027,Erfurt,288.182,392.126,396.106,366.989,262.136,262.136
796,Bochum,516.708,351.276,618.127,83.451,238.574,238.574
1390,Ilmenau,334.521,437.868,358.16,380.814,275.961,275.961
1713,Mittweida,244.858,467.365,407.678,517.689,412.836,412.836
542,Aalen,557.463,631.709,193.476,429.219,247.018,247.018
1449,Kiel,355.385,96.837,886.686,509.601,592.977,592.977
960,Dresden,193.371,476.242,460.323,570.334,465.481,465.481
1879,Oestrich-Winkel,590.462,537.597,443.681,195.59,59.299,59.299
1941,Pforzheim,659.245,645.672,266.926,322.462,159.784,159.784
604,Augsburg,568.132,744.926,79.872,522.301,360.236,360.236
739,Bayreuth,355.137,561.624,232.986,453.268,271.067,271.067
882,Clausthal-Zellerfeld,290.274,252.544,558.836,345.501,289.36,289.36
955,Dortmund,492.094,351.393,603.934,93.452,224.381,224.381
584,Ansbach,485.469,585.01,208.188,382.52,200.32,200.32
1483,Konstanz,800.13,823.09,228.777,522.151,359.472,359.472
1564,Leipzig,189.498,395.669,430.011,497.605,396.615,396.615
1619,Lubeck,282.972,67.595,827.752,490.61,556.124,556.124
885,Coburg,377.905,512.462,277.047,408.428,226.227,226.227
966,Dusseldorf,564.23,401.151,615.252,44.386,231.128,231.128
1167,Giessen,493.382,440.516,450.872,158.374,71.319,71.319
2584,Zittau,298.082,580.953,517.777,687.978,583.125,583.125
1816,Neu-Ulm,617.39,691.635,152.046,452.954,290.276,290.276
1635,Luneburg,286.78,57.983,710.987,411.06,476.574,476.574
1059,Flensburg,435.675,160.289,950.138,573.052,656.428,656.428
1096,Friedrichshafen,741.987,816.233,201.805,550.29,387.611,387.611
2096,Saarbrucken,723.469,670.603,440.915,258.807,185.068,185.068
1259,Hamburg,289.331,0,791.52,432.297,497.811,497.811
1416,Kaiserslautern,656.237,603.371,420.337,239.491,117.836,117.836
2460,Weimar,283.688,396.714,396.189,381.601,276.748,276.748
771,Biberach an der Riss,660.209,734.455,151.722,495.02,332.341,332.341
2361,Ulm,620.36,694.606,154.76,450.422,287.743,287.743
2350,Tubingen,678.815,701.775,254.997,400.836,238.157,238.157
1651,Mannheim,622.983,570.117,357.817,247.014,84.228,84.228
1887,Oldenburg,435.088,166.729,759.697,301.766,433.008,433.008
2276,Stralsund,267.649,274.065,857.208,697.08,762.594,762.594
2373,Vallendar,597.753,516.201,504.144,96.123,120.02,120.02
1353,Hof,311.676,518.163,284.39,492.991,310.79,310.79
889,Cologne,573.009,432.308,573.025,0,188.901,188.901
2530,Witten,506.799,366.098,607.699,82.579,228.146,228.146
8319,Potsdam,35.08,283.302,564.115,552.27,530.719,530.719
759,Berlin,0,289.019,584.499,572.654,551.103,551.103
648,Bad Honnef,607.206,466.505,534.632,45.506,150.508,150.508
1647,Mainz,574.453,521.587,430.702,179.581,43.695,43.695
1744,Munich,584.796,791.284,0,574.771,392.57,392.57
1525,Landshut,554.948,761.435,72.646,558.604,376.403,376.403
2344,Trier,719.172,616.199,534.268,187.374,197.818,197.818
2284,Stuttgart,631.808,654.768,232.449,368.396,205.717,205.717
1289,Heidelberg,627.428,574.562,342.579,251.352,88.674,88.674
