college_id,Financial Times,CUWR,QS World,US NEWS Global,THE,International Business
1585,0,0,0,0,0,0
1841,0,82,51,94,84,26
2226,0,1069,701,1131,601,176
1727,0,1615,0,0,0,0
921,0,16,21,17,9,16
2850,0,0,0,0,0,0
1178,0,73,169,130,126,96
2839,0,0,0,0,0,0
2846,0,0,0,0,0,0
1450,0,0,0,0,0,0
1008,0,105,320,127,51,45
1287,0,17,29,24,23,13
2853,93,0,0,0,0,0
886,0,0,0,0,0,0
920,0,0,0,0,0,0
1205,0,270,499,277,251,401
1580,0,26,65,41,15,47
1882,0,308,411,297,251,176
2187,0,55,109,114,94,0
1695,0,50,258,113,0,0
906,0,173,541,231,201,251
1090,0,1,3,1,4,5
1977,0,526,801,614,401,601
883,0,0,0,0,0,0
1619,0,0,0,0,0,0
1020,0,319,362,177,201,126
1699,0,10,17,11,10,8
1078,0,290,346,277,301,301
2815,0,0,0,0,0,0
902,0,0,0,0,0,0
904,0,0,0,0,0,0
1019,0,91,110,57,90,34
2071,0,0,0,0,0,0
1771,0,1607,0,0,0,0
2149,0,1429,0,1329,601,0
1184,0,207,483,374,201,401
937,87,201,501,310,126,201
1167,0,124,162,142,401,176
1921,0,1078,0,679,601,501
2817,0,0,0,0,0,0
2086,0,272,501,332,301,401
1238,0,711,0,658,0,0
1464,0,1707,0,1494,0,0
1747,0,0,0,0,0,0
1552,0,51,121,70,43,42
2074,0,3,2,3,3,1
928,0,566,0,471,601,301
982,0,12,30,4,5,9
1805,0,468,701,461,301,251
1917,0,242,449,158,301,501
1777,0,161,211,238,101,101
1388,0,0,0,0,0,0
1129,0,9,9,15,11,6
1068,0,0,0,0,0,0
1067,0,0,0,0,0,0
949,0,545,801,668,501,401
2000,0,1212,0,0,601,601
2110,0,183,220,146,66,49
2834,0,0,0,0,0,0
942,0,74,80,66,101,92
1262,0,150,157,100,67,50
2103,0,274,456,195,151,301
1359,0,1196,0,1003,0,0
1749,0,303,541,336,301,401
2170,0,978,651,699,301,401
1109,0,0,0,0,0,0
1085,0,0,0,0,0,0
1306,0,855,0,722,301,0
1590,0,0,0,0,0,0
1339,0,85,162,107,126,84
1051,0,0,0,0,0,0
1857,0,861,0,949,401,501
1483,0,743,801,683,501,601
1904,0,0,0,0,0,0
2127,0,89,273,97,96,101
998,0,0,0,0,0,0
2159,0,186,446,244,501,0
1060,0,1140,0,1083,0,0
2081,0,491,751,478,501,401
1177,0,76,152,60,58,79
1813,0,11,4,7,7,0
1875,0,60,60,101,64,0
2225,0,1110,581,0,126,0
943,0,121,158,71,126,176
1513,0,633,801,726,0,0
1621,0,466,751,419,401,401
2205,89,557,651,564,301,401
1638,0,565,0,505,401,501
1357,0,475,0,529,401,0
1312,0,252,0,280,301,401
1130,0,548,426,736,301,0
2096,0,23,72,0,31,38
1592,0,437,701,414,501,501
970,0,293,701,425,401,401
1903,73,392,531,269,251,176
1631,0,785,0,1140,601,501
1714,0,197,341,261,0,0
1711,0,6,19,6,17,18
1293,0,452,801,453,176,301
1452,0,13,18,22,20,23
1978,0,1889,801,0,0,0
1516,0,848,0,750,601,0
2162,68,302,353,258,101,101
1235,0,781,0,703,0,0
1391,0,36,203,226,101,48
2163,0,214,230,322,77,151
944,0,511,751,483,251,151
1259,0,20,42,23,17,10
895,0,300,601,256,251,601
2139,0,54,101,75,44,60
2141,0,22,82,60,47,92
1976,0,34,54,21,38,27
1889,0,190,295,226,301,251
1873,0,7,12,11,7,0
1669,0,503,0,616,0,0
1521,0,180,383,284,401,501
973,0,0,0,0,0,0
1987,0,1120,0,1089,0,0
1115,0,789,0,792,0,0
2005,0,1156,0,0,0,0
993,0,479,551,850,501,301
1419,0,1112,701,1271,501,401
1081,0,446,601,499,0,0
1118,0,64,217,109,126,75
1223,0,1130,0,1304,0,0
2066,0,46,105,33,89,88
1966,0,109,333,142,251,201
2129,0,1466,751,0,401,0
2219,0,222,380,419,401,301
1905,0,247,651,402,0,0
1449,0,80,210,78,101,201
1687,0,52,187,72,126,251
1544,0,605,801,706,0,0
1440,0,1144,0,892,601,0
1842,0,72,156,43,176,251
1656,0,721,0,607,501,0
1491,0,249,432,217,301,251
1823,0,352,701,312,176,151
1021,0,0,0,0,0,0
1429,0,250,701,399,401,501
1183,0,327,571,325,301,251
1470,0,680,0,660,0,0
1674,0,741,0,850,501,0
1810,0,443,801,355,0,0
1286,0,345,601,232,201,301
1765,0,385,651,414,0,0
1089,0,0,0,0,0,0
967,0,692,701,693,401,0
1241,0,776,651,787,301,301
1448,0,143,420,160,301,251
1240,0,422,398,363,251,501
1639,0,441,0,572,0,0
2008,0,246,416,81,151,0
1986,0,37,0,15,0,0
1530,0,296,601,358,301,301
1703,0,425,414,440,401,401
1292,0,679,0,736,251,0
1858,0,257,0,148,251,0
1215,0,299,701,507,0,0
2092,0,1257,0,0,0,0
1320,0,1420,0,1262,0,0
2186,0,0,0,0,0,0
1187,0,58,108,45,46,56
956,0,0,0,0,0,0
958,0,15,25,10,32,69
1546,0,1363,0,1421,601,601
1168,0,1505,0,1344,0,0
2222,0,0,0,0,0,0
959,0,279,0,271,0,0
1518,0,811,0,814,501,251
1551,0,18,36,13,12,19
3583,0,0,0,840,0,0
1096,0,837,0,971,501,0
1468,0,1354,0,1232,601,601
1943,0,423,0,706,0,0
1822,0,8,16,14,13,11
1999,0,1182,0,925,0,0
1444,0,0,0,0,0,0
1572,0,1121,0,1101,0,0
1378,0,834,0,1101,601,601
1048,0,1205,0,1333,501,601
887,0,874,0,877,0,0
1371,0,1035,0,1038,501,501
1337,0,1279,0,868,0,0
1969,0,653,0,504,501,601
1794,0,982,0,908,601,0
1421,0,486,333,378,151,301
1302,0,542,0,774,301,401
1222,0,56,112,66,151,45
1047,0,1922,0,0,0,0
1006,0,273,326,247,301,201
1425,0,896,601,756,0,0
1443,0,387,751,465,0,0
1151,0,230,601,202,251,401
1612,0,954,0,525,801,0
2157,0,489,801,365,601,401
1043,0,69,230,59,126,201
1001,0,630,801,877,301,501
2105,0,291,581,312,251,201
1763,0,1419,0,1396,0,0
2154,0,1004,0,1070,0,0
1127,0,640,801,817,0,0
1166,0,553,801,679,301,401
1485,0,800,0,787,501,501
1651,0,748,0,746,601,0
907,0,156,270,142,151,101
2003,0,97,152,56,79,0
1108,0,40,95,36,24,73
1131,0,210,256,212,151,201
1015,0,1050,0,1056,501,501
2124,0,530,470,577,501,401
1428,0,139,89,128,151,126
2091,0,471,601,370,95,201
1611,0,122,260,182,301,0
1300,0,917,0,1101,0,0
1880,0,574,0,748,0,0
