,id,college_id,custom_name,application_end_date,course_id,deadline,
0,212519,3608,Applications are received and evaluated on a rolling basis until 30th of June 2021.,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""Applications are received and evaluated on a rolling basis until 30th of June 2021.""}]",#N/A
1,203495,2705,2 Intakes January and August,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""2 Intakes January and August""}]",#N/A
2,144136,724,Admission are accepted throughout the year.,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""Admission are accepted throughout the year.""}]",144136
3,144119,724,Admission are accepted throughout the year.,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""Admission are accepted throughout the year.""}]",#N/A
4,183015,1400,Admission are accepted throughout the year.,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""Admission are accepted throughout the year.""}]",#N/A
5,205452,694,Admission are taken throughout the year.,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""Admission are taken throughout the year.""}]",205452
6,210400,196,Admission in the Graduate Certificate inConstruction Management is currently not available.,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""Admission in the Graduate Certificate inConstruction Management is currently not available.""}]",#N/A
7,94435,1152,Admission is rolling; allowing students to begin their MBA studies many times throughout the academic year. While there is no formal application deadline; the following dates are recommended to ensure timely processing of the application materials and course registration.,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""Admission is rolling; allowing students to begin their MBA studies many times throughout the academic year. While there is no formal application deadline; the following dates are recommended to ensure timely processing of the application materials and course registration.""}]",94435
8,180115,196,Admission to the Strategic Relationship Marketing program is currently closed for both Fall and Winter sessions.,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""Admission to the Strategic Relationship Marketing program is currently closed for both Fall and Winter sessions.""}]",#N/A
9,171986,872,Admission to this programme are accepted on a rolling basis applicationwill close once the programme is full.,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""Admission to this programme are accepted on a rolling basis applicationwill close once the programme is full.""}]",171986
10,171988,872,Admission to this programme are accepted on a rolling basis applicationwill close once the programme is full.,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""Admission to this programme are accepted on a rolling basis applicationwill close once the programme is full.""}]",171988
11,38248,1554,Admissions are accepted throughout the year.,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""Admissions are accepted throughout the year.""}]",#N/A
12,191675,1228,Admissions are accepted Throughout the Year.,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""Admissions are accepted Throughout the Year.""}]",#N/A
13,212942,1610,Admissions are accepted throughout the year.,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""Admissions are accepted throughout the year.""}]",#N/A
14,205506,694,Admissions are taken throughout the year,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""Admissions are taken throughout the year""}]",205506
15,205771,694,Admissions are taken throughout the year.,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""Admissions are taken throughout the year.""}]",205771
16,58265,1842,Admissions are taken throughout the year.,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""Admissions are taken throughout the year.""}]",#N/A
17,64566,1842,Admissions are taken throughout the year.,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""Admissions are taken throughout the year.""}]",#N/A
18,205696,694,Admissions are taken throughout the year.,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""Admissions are taken throughout the year.""}]",205696
19,205624,694,Admissions are taken throughout the year.,-,,"[{""application_end_date"": ""-"", ""custom_name"": ""Admissions are taken throughout the year.""}]",205624
