id,Keyword,Tag,Search Volume,Category,Exam Tag,new_tag
1,Delhi University Admission,DU_Colleges,6600,Admission,,part_1
2,Delhi University Courses,DU_Colleges,4400,Course,,part_1
3,Delhi University Fees,DU_Colleges,2900,Fees,,part_1
4,Delhi University Hostel,DU_Colleges,1000,Hostel,,part_1
5,Delhi University Placement,DU_Colleges,390,Placement,,part_1
6,Delhi University Cut Off,DU_Colleges,5400,Cut_Off,,part_1
7,sol du Admission,DU_Colleges,4400,Admission,,part_1
8,sol du Courses,DU_Colleges,260,Course,,part_1
9,miranda house Courses,DU_Colleges,480,Course,,part_1
10,miranda house Fees,DU_Colleges,390,Fees,,part_1
11,miranda house Hostel,DU_Colleges,720,Hostel,,part_1
12,miranda house Cut Off,DU_Colleges,1300,Cut_Off,,part_1
13,srcc Admission,DU_Colleges,170,Admission,,part_1
14,srcc Courses,DU_Colleges,590,Course,,part_1
15,srcc Fees,DU_Colleges,480,Fees,,part_1
16,srcc Hostel,DU_Colleges,210,Hostel,,part_1
17,srcc Placement,DU_Colleges,880,Placement,,part_1
18,srcc Cut Off,DU_Colleges,2900,Cut_Off,,part_1
19,jmc Admission,DU_Colleges,170,Admission,,part_1
20,jmc Cut Off,DU_Colleges,210,Cut_Off,,part_1
21,Delhi University Scholarship,DU_Colleges,260,Scholarship,,part_1
22,sol du Fees,DU_Colleges,170,Fees,,part_1
23,miranda house Placement,DU_Colleges,260,Placement,,part_1
24,jmc Courses,DU_Colleges,170,Course,,part_1
25,svc Fees,DU_Colleges,210,Fees,,part_1
26,keshav mahavidyalaya Placement,DU_Colleges,170,Placement,,part_1
27,keshav mahavidyalaya Cut Off,DU_Colleges,110,Cut_Off,,part_1
28,lsr Courses,DU_Colleges,210,Course,,part_1
29,lsr Fees,DU_Colleges,170,Fees,,part_1
30,lsr Hostel,DU_Colleges,260,Hostel,,part_1
31,lsr Placement,DU_Colleges,170,Placement,,part_1
32,lsr Cut Off,DU_Colleges,590,Cut_Off,,part_1
33,dipsar Admission,DU_Colleges,480,Admission,,part_1
34,maulana azad institute of dental sciences Cut Off,DU_Colleges,140,Cut_Off,,part_1
35,FMS Admission,DU_Colleges,480,Admission,,part_1
36,FMS Courses,DU_Colleges,320,Course,,part_1
37,FMS Fees,DU_Colleges,1000,Fees,,part_1
38,FMS Hostel,DU_Colleges,110,Hostel,,part_1
39,FMS Placement,DU_Colleges,1300,Placement,,part_1
40,FMS Scholarship,DU_Colleges,260,Scholarship,,part_1
41,FMS Cut Off,DU_Colleges,1300,Cut_Off,,part_1
42,NEET,Exams,823000,Overview,NEET,Exams
43,NEET APPLICATION FORM,Exams,14800,Application,NEET,Exams
44,NEET REGISTRATION,Exams,12100,Application,NEET,Exams
45,NEET ELIGIBILITY,Exams,6600,Eligibility,NEET,Exams
46,NEET RESERVATION,Exams,1000,General,NEET,Exams
47,NEET EXAM DATES,Exams,27100,Exam_Dates,NEET,Exams
48,NEET ADMIT CARD,Exams,49500,Admit_Card,NEET,Exams
