,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,phd biomedical engineering,3,https://collegedunia.com/courses/phd-biomedical-engineering,,,7,https://engineering.careers360.com/colleges/list-of-phd-in-biomedical-engineering-colleges-in-india,,,,,,,,,,,,,,,,,3079,Courses,210,Course,,Courses
1,mba,3,https://collegedunia.com/courses/master-of-business-administration-mba,9,https://www.shiksha.com/mba-masters-of-business-administration-chp,77,https://www.careers360.com/courses/mba-master-of-business-administration,,,,,,,,,,,,,,,,,3080,Courses,135000,Course,,Courses
2,master of science,16,https://collegedunia.com/courses/master-of-science-ms,6,https://www.shiksha.com/m-sc-master-of-science-chp,9,https://www.careers360.com/courses/msc-master-of-science,84,https://www.collegedekho.com/courses/master-of-science-msc/,,,,,,,,,,,,,,,3081,Courses,8100,Course,,Courses
3,d el ed,4,https://collegedunia.com/courses/diploma-in-elementary-education-deled,35,https://www.shiksha.com/d-el-ed-diploma-in-elementary-education-chp,6,https://www.careers360.com/courses/deled-diploma-in-elementary-education,,,,,28,https://admission.aglasem.com/d-el-ed/,,,,,,,,,,,3083,Courses,74000,Course,,Courses
4,bba,2,https://collegedunia.com/courses/bachelor-of-business-administration-bba,3,https://www.shiksha.com/bba-bachelor-of-business-administration-chp,4,https://www.careers360.com/courses/bba-bachelor-of-business-administration,,,,,,,,,,,,,,,,,3084,Courses,90500,Course,,Courses
5,B Pharmacy,2,https://collegedunia.com/courses/bachelor-of-pharmacy-bpharma,13,https://www.shiksha.com/bachelor-of-pharmacy-b-pharma-chp,15,https://pharmacy.careers360.com/colleges/list-of-bpharma-colleges-in-uttar-pradesh,1,https://www.collegedekho.com/courses/b-pharma/,,,,,,,,,,,16,https://leverageedu.com/blog/b-pharmacy-subjects/,,,3085,Courses,110000,Course,,Courses
6,bsc nursing,1,"https://collegedunia.com/courses/bachelor-of-science-bsc-nursing#:~:text=BSc%20in%20Nursing%20is%20a,detailed%20nursing%20to%20medical%20aspirants.&text=Bsc%20Nursing%20is%20provided%20through%20the%20MNS%20Nursing%20exam%20to,from%20INR%202.5%20%2D%208%20LPA.",8,https://www.shiksha.com/nursing/articles/bsc-nursing-admission-2021-in-india-dates-eligibility-entrance-exams-admission-process-blogId-55849,6,https://www.careers360.com/courses/b-sc-nursing,2,https://www.collegedekho.com/courses/bsc-nursing/,,,,,,,,,,,,,,,3086,Courses,90500,Course,,Courses
7,mbbs,4,https://collegedunia.com/courses/bachelor-of-medicine-bachelor-of-surgery-mbbs,14,https://www.shiksha.com/mbbs-chp,1,https://www.careers360.com/courses/mbbs-bachelor-of-medicine-bachelor-of-surgery,6,https://www.collegedekho.com/courses/mbbs/,,,,,,,,,,,13,https://leverageedu.com/blog/mbbs/,,,3087,Courses,90500,Course,,Courses
8,bsc nursing post basic,1,https://collegedunia.com/courses/post-basic-bachelor-of-science-pbbsc-nursing,4,https://www.shiksha.com/b-sc-nursing-post-basic-chp,23,https://www.careers360.com/colleges/st-stephens-college-of-nursing-delhi/post-basic-bsc-nursing-course,2,https://www.collegedekho.com/courses/post-basic-bsc-nursing/,,,79,https://admission.aglasem.com/tamilnadu-post-basic-bsc-nursing/,,,,,,,,,,,3088,Courses,2900,Course,,Courses
9,cfa,8,https://collegedunia.com/courses/cfa-chartered-financial-analyst,23,https://www.shiksha.com/banking-finance-insurance/cfa-exam,61,https://finance.careers360.com/articles/cfa-level-1,57,https://www.collegedekho.com/careers/chartered-financial-analyst-cfa,,,,,90,https://byjus.com/full-form/cfa-full-form/,,,,,27,https://leverageedu.com/blog/cfa-course/,,,3089,Courses,90500,Course,,Courses
10,bsc,3,https://collegedunia.com/courses/bachelor-of-science-bsc,1,https://www.shiksha.com/b-sc-chp,4,https://www.careers360.com/courses/b-sc-bachelor-of-science,51,https://www.collegedekho.com/articles/top-bsc-courses-to-choose-after-class-12-scope-and-salary/,,,,,,,,,,,7,https://leverageedu.com/blog/bsc-subjects/,,,3090,Courses,74000,Course,,Courses
11,phd,48,https://collegedunia.com/courses/phd,30,https://www.shiksha.com/ph-d-chp,,,,,,,,,,,,,,,,,,,3091,Courses,60500,Course,,Courses
12,bca,1,https://collegedunia.com/courses/bachelor-of-computer-applications-bca,2,https://www.shiksha.com/bca-bachelor-of-computer-applications-chp,3,https://www.careers360.com/courses/bca-bachelor-of-computer-applications,4,https://www.collegedekho.com/courses/bca/,,,,,,,,,,,8,https://leverageedu.com/blog/bca-course-subjects/,,,3092,Courses,90500,Course,,Courses
13,ma tamil,1,https://collegedunia.com/courses/master-of-arts-ma-tamil,23,https://www.shiksha.com/humanities-social-sciences/colleges/m-a-colleges-tamil-nadu,16,https://www.careers360.com/colleges/rajeswari-vedachalam-government-arts-college-chengalpattu/ma-tamil-course,13,https://www.collegedekho.com/ma-tamil-colleges-in-tamil-nadu/,,,,,,,,,,,9,https://leverageedu.com/blog/ma-tamil/,,,3093,Courses,40500,Course,,Courses
14,ma tamil,1,https://collegedunia.com/courses/master-of-arts-ma-tamil,23,https://www.shiksha.com/humanities-social-sciences/colleges/m-a-colleges-tamil-nadu,16,https://www.careers360.com/colleges/rajeswari-vedachalam-government-arts-college-chengalpattu/ma-tamil-course,14,https://www.collegedekho.com/ma-tamil-colleges-in-tamil-nadu/,,,,,,,,,,,9,https://leverageedu.com/blog/ma-tamil/,,,3093,Courses,40500,Course,,Courses
15,ma tamil,1,https://collegedunia.com/courses/master-of-arts-ma-tamil,23,https://www.shiksha.com/humanities-social-sciences/colleges/m-a-colleges-tamil-nadu,16,https://www.careers360.com/colleges/rajeswari-vedachalam-government-arts-college-chengalpattu/ma-tamil-course,15,https://www.collegedekho.com/ma-tamil-colleges-in-chennai/,,,,,,,,,,,9,https://leverageedu.com/blog/ma-tamil/,,,3093,Courses,40500,Course,,Courses
16,ma tamil,1,https://collegedunia.com/courses/master-of-arts-ma-tamil,23,https://www.shiksha.com/humanities-social-sciences/colleges/m-a-colleges-tamil-nadu,17,https://www.careers360.com/colleges/rajeswari-vedachalam-government-arts-college-chengalpattu/ma-tamil-course,13,https://www.collegedekho.com/ma-tamil-colleges-in-tamil-nadu/,,,,,,,,,,,9,https://leverageedu.com/blog/ma-tamil/,,,3093,Courses,40500,Course,,Courses
17,ma tamil,1,https://collegedunia.com/courses/master-of-arts-ma-tamil,23,https://www.shiksha.com/humanities-social-sciences/colleges/m-a-colleges-tamil-nadu,17,https://www.careers360.com/colleges/rajeswari-vedachalam-government-arts-college-chengalpattu/ma-tamil-course,14,https://www.collegedekho.com/ma-tamil-colleges-in-tamil-nadu/,,,,,,,,,,,9,https://leverageedu.com/blog/ma-tamil/,,,3093,Courses,40500,Course,,Courses
18,ma tamil,1,https://collegedunia.com/courses/master-of-arts-ma-tamil,23,https://www.shiksha.com/humanities-social-sciences/colleges/m-a-colleges-tamil-nadu,17,https://www.careers360.com/colleges/rajeswari-vedachalam-government-arts-college-chengalpattu/ma-tamil-course,15,https://www.collegedekho.com/ma-tamil-colleges-in-chennai/,,,,,,,,,,,9,https://leverageedu.com/blog/ma-tamil/,,,3093,Courses,40500,Course,,Courses
19,ma tamil,1,https://collegedunia.com/courses/master-of-arts-ma-tamil,23,https://www.shiksha.com/humanities-social-sciences/colleges/m-a-colleges-tamil-nadu,18,https://www.careers360.com/colleges/psg-college-of-arts-and-science-coimbatore/ma-tamil-course,13,https://www.collegedekho.com/ma-tamil-colleges-in-tamil-nadu/,,,,,,,,,,,9,https://leverageedu.com/blog/ma-tamil/,,,3093,Courses,40500,Course,,Courses
20,ma tamil,1,https://collegedunia.com/courses/master-of-arts-ma-tamil,23,https://www.shiksha.com/humanities-social-sciences/colleges/m-a-colleges-tamil-nadu,18,https://www.careers360.com/colleges/psg-college-of-arts-and-science-coimbatore/ma-tamil-course,14,https://www.collegedekho.com/ma-tamil-colleges-in-tamil-nadu/,,,,,,,,,,,9,https://leverageedu.com/blog/ma-tamil/,,,3093,Courses,40500,Course,,Courses
21,ma tamil,1,https://collegedunia.com/courses/master-of-arts-ma-tamil,23,https://www.shiksha.com/humanities-social-sciences/colleges/m-a-colleges-tamil-nadu,18,https://www.careers360.com/colleges/psg-college-of-arts-and-science-coimbatore/ma-tamil-course,15,https://www.collegedekho.com/ma-tamil-colleges-in-chennai/,,,,,,,,,,,9,https://leverageedu.com/blog/ma-tamil/,,,3093,Courses,40500,Course,,Courses
22,d pharmacy,2,https://collegedunia.com/courses/diploma-in-pharmacy-dpharma,72,https://www.shiksha.com/pharm-d-doctor-of-pharmacy-chp,20,https://pharmacy.careers360.com/articles/d-pharm-or-b-pharma-which-better,5,https://www.collegedekho.com/courses/diploma-in-pharmacy-dpharma/,,,,,,,,,,,,,,,3094,Courses,74000,Course,,Courses
23,llb,3,https://collegedunia.com/courses/bachelor-of-laws-llb,6,https://www.shiksha.com/ll-b-chp,1,"https://www.careers360.com/courses/llb-bachelor-of-legislative-law#:~:text=LLB%2C%20also%20known%20as%20Bachelor,procedures%20followed%20in%20the%20profession.",32,https://www.collegedekho.com/articles/3-year-llb-or-5-year-llb-integrated-which-is-a-better-course/,,,,,,,,,,,,,,,3095,Courses,49500,Course,,Courses
24,llb,3,https://collegedunia.com/courses/bachelor-of-laws-llb,6,https://www.shiksha.com/ll-b-chp,2,"https://www.careers360.com/courses/llb-bachelor-of-legislative-law#:~:text=LLB%2C%20also%20known%20as%20Bachelor,procedures%20followed%20in%20the%20profession.",32,https://www.collegedekho.com/articles/3-year-llb-or-5-year-llb-integrated-which-is-a-better-course/,,,,,,,,,,,,,,,3095,Courses,49500,Course,,Courses
25,BAMS,2,https://collegedunia.com/courses/bachelor-of-ayurvedic-medicine-and-surgery-bams,1,https://www.shiksha.com/b-a-m-s-bachelor-of-ayurvedic-medicine-and-surgery-chp,3,https://www.careers360.com/courses/bams-bachelor-of-ayurvedic-medicine-and-surgery,11,https://www.collegedekho.com/courses/bachelor-of-ayurveda-medical-and-surgery-bams/,,,,,,,,,27,https://www.embibe.com/exams/bams-courses/,,,,,3096,Courses,40500,Course,,Courses
26,BAMS,2,https://collegedunia.com/courses/bachelor-of-ayurvedic-medicine-and-surgery-bams,1,https://www.shiksha.com/b-a-m-s-bachelor-of-ayurvedic-medicine-and-surgery-chp,4,https://www.careers360.com/courses/bams-bachelor-of-ayurvedic-medicine-and-surgery,11,https://www.collegedekho.com/courses/bachelor-of-ayurveda-medical-and-surgery-bams/,,,,,,,,,27,https://www.embibe.com/exams/bams-courses/,,,,,3096,Courses,40500,Course,,Courses
27,BAMS,2,https://collegedunia.com/courses/bachelor-of-ayurvedic-medicine-and-surgery-bams,72,https://www.universityshiksha.com/bams.php,3,https://www.careers360.com/courses/bams-bachelor-of-ayurvedic-medicine-and-surgery,11,https://www.collegedekho.com/courses/bachelor-of-ayurveda-medical-and-surgery-bams/,,,,,,,,,27,https://www.embibe.com/exams/bams-courses/,,,,,3096,Courses,40500,Course,,Courses
28,BAMS,2,https://collegedunia.com/courses/bachelor-of-ayurvedic-medicine-and-surgery-bams,72,https://www.universityshiksha.com/bams.php,4,https://www.careers360.com/courses/bams-bachelor-of-ayurvedic-medicine-and-surgery,11,https://www.collegedekho.com/courses/bachelor-of-ayurveda-medical-and-surgery-bams/,,,,,,,,,27,https://www.embibe.com/exams/bams-courses/,,,,,3096,Courses,40500,Course,,Courses
29,bba course,1,"https://collegedunia.com/courses/bachelor-of-business-administration-bba#:~:text=BBA%20Course%20is%20a%20three,Finance%2C%20Marketing%20and%20HR%20Management.",2,https://www.shiksha.com/bba-bachelor-of-business-administration-chp,7,https://www.careers360.com/courses/bba-bachelor-of-business-administration,16,https://www.collegedekho.com/courses/bachelor-of-business-administration-bba/,,,,,,,,,,,34,https://leverageedu.com/blog/bba-subjects/,,,3097,Courses,49500,Course,,Courses
30,acca,21,https://collegedunia.com/courses/association-of-chartered-certified-accountants-acca,,,,,90,https://www.collegedekho.com/courses/association-of-chartered-certified-accountants/,,,,,,,,,,,,,,,3098,Courses,60500,Course,,Courses
31,b com,3,https://collegedunia.com/courses/bachelor-of-commerce-bcom,2,https://www.shiksha.com/b-com-chp,1,https://www.careers360.com/courses/b-com-bachelor-of-commerce,6,https://www.collegedekho.com/courses/bcom/,,,,,96,https://byjus.com/full-form/b-com-full-form/,,,,,20,https://leverageedu.com/blog/b-com-subjects/,,,3099,Courses,33100,Course,,Courses
32,bsc agriculture,1,"https://collegedunia.com/courses/bachelor-of-science-bsc-agriculture#:~:text=BSc%20Agriculture%20is%20a%204,Science%2C%20Plant%20Pathology%2C%20etc.",2,https://www.shiksha.com/science/b-sc-agriculture-chp,5,https://www.careers360.com/courses/bsc-in-agriculture,3,https://www.collegedekho.com/courses/bsc-agriculture/,,,,,,,,,,,49,https://leverageedu.com/blog/jobs-after-bsc-agriculture/,,,3100,Courses,40500,Course,,Courses
