,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,KUK Result,11,https://collegedunia.com/news/c-25530-kurukshetra-university-result,,,74,https://www.shiksha.com/university/kuk-kurukshetra-university/kuk-entrance-exam-results,,,,,,,33,https://institutes.aglasem.com/kuk-result/,,,16,https://www.fresherslive.com/education/kuk-result-100546,23,https://www.embibe.com/exams/kuk-result/,,,,,4232,Result,246000,Result,,part2
1,MDU Result,16,https://collegedunia.com/news/c-25535-mdu-result,,,,,,,,,,,10,https://institutes.aglasem.com/mdu-result/,,,17,https://www.fresherslive.com/education/md-university-result-100518,6,https://www.embibe.com/exams/mdu-result/,,,,,4233,Result,450000,Result,,part2
2,RTMNU Result,5,https://collegedunia.com/news/c-25721-rtmnu-results,,,29,https://www.shiksha.com/articles/rtmnu-result-2021-declared-check-nagpur-university-results-online-at-rtmnuresults-org-blogId-63049,,,,,,,7,https://institutes.aglasem.com/rtmnu-result/,,,9,https://www.fresherslive.com/education/rtmnu-result-100620,4,https://www.embibe.com/exams/rtmnu-result/,,,,,4234,Result,246000,Result,,part2
3,DU Results,27,https://collegedunia.com/news/c-25473-delhi-university-du-results,,,10,https://www.shiksha.com/articles/du-results-2020-released-semester-exam-schedule-revaluation-retotaling-mark-scheme-blogId-34715,9,https://university.careers360.com/articles/du-pg-result,,,,,30,https://institutes.aglasem.com/du-result/,,,44,https://www.fresherslive.com/education/du-result-101139,37,https://www.embibe.com/exams/delhi-university-result/,,,,,4235,Result,90500,Result,,part2
4,RCUB Results,61,https://collegedunia.com/news/c-25623-rcub-result,,,,,,,,,,,36,https://institutes.aglasem.com/rcub-results/,,,7,https://www.fresherslive.com/education/rcub-result-103573,77,https://www.embibe.com/exams/rcub-results/,,,,,4236,Result,18100,Result,,part2
5,SPPU Result,16,https://collegedunia.com/news/c-25732-pune-university-result,,,72,https://www.shiksha.com/articles/sppu-result-2021-pune-university-releases-ug-pg-results-know-where-how-to-check-blogId-59729,18,https://university.careers360.com/articles/pune-university-result,,,,,17,https://institutes.aglasem.com/pune-university-result/,,,25,https://www.fresherslive.com/education/pune-university-result-100537,29,https://www.embibe.com/exams/pune-university-result/,,,,,4237,Result,135000,Result,,part2
6,RDVV Results,23,https://collegedunia.com/news/c-25683-rdvv-entrance-exams-result,,,,,,,,,,,7,https://institutes.aglasem.com/rdvv-result/,,,10,https://www.fresherslive.com/education/rdvv-result-100686,56,https://www.embibe.com/exams/rdvv-result/,,,,,4238,Result,74000,Result,,part2
7,KUD Results,9,https://collegedunia.com/news/c-25610-kud-result,,,,,,,,,,,32,https://institutes.aglasem.com/kud-result/,,,8,https://www.fresherslive.com/education/kud-result-103245,19,https://www.embibe.com/exams/kud-result/,,,,,4240,Result,33100,Result,,part2
8,anna university result,7,https://collegedunia.com/news/c-25863-anna-university-results,,,46,https://www.shiksha.com/articles/anna-university-result-2020-for-final-year-re-exam-released-know-where-and-how-to-check-blogId-51663,18,https://news.careers360.com/anna-university-result-2021-declared-at-annauniv-edu-websites-to-check,,,,,3,https://institutes.aglasem.com/anna-university-result/,,,4,https://www.fresherslive.com/education/anna-university-result-102300,,,,,,,4241,Result,74000,Result,,part2
9,puchd result,7,https://collegedunia.com/news/c-25423-panjab-university-result,,,39,https://www.shiksha.com/law/articles/pu-llb-result-2021-announced-results-puchd-ac-in-blogId-67579,42,https://university.careers360.com/articles/panjab-university-result,,,,,8,https://institutes.aglasem.com/puchd-result/,,,20,https://www.fresherslive.com/education/panjab-university-result-102264,27,https://www.embibe.com/exams/panjab-university-result/,,,,,4242,Result,60500,Result,,part2
10,Gujarat University Result,14,https://collegedunia.com/news/c-25491-gujarat-university-result---exam-time-table-hall-ticket,,,58,https://www.shiksha.com/articles/gujarat-university-results-2019-blogId-21311,39,https://university.careers360.com/articles/gujarat-university-result,,,,,8,https://institutes.aglasem.com/gujarat-university-result/,,,11,https://www.fresherslive.com/education/gujarat-university-result-100848,55,https://www.embibe.com/exams/hngu-result/,,,,,4243,Result,74000,Result,,part2
11,gitam result,7,https://collegedunia.com/news/c-25354-gitam-university-result,,,14,https://www.shiksha.com/b-tech/gitam-gat-exam-results,13,https://engineering.careers360.com/articles/gitam-gat-result,28,https://www.collegedekho.com/colleges/connect-gitam-unversity-gitam-school-of-technology,,,8,https://institutes.aglasem.com/gitam-results/,,,9,https://www.fresherslive.com/education/gitam-results-102016,33,https://www.embibe.com/exams/gitam-result/,,,,,4244,Result,33100,Result,,part2
12,gitam result,7,https://collegedunia.com/news/c-25354-gitam-university-result,,,14,https://www.shiksha.com/b-tech/gitam-gat-exam-results,13,https://engineering.careers360.com/articles/gitam-gat-result,28,https://www.collegedekho.com/colleges/connect-gitam-unversity-gitam-school-of-technology,,,8,https://institutes.aglasem.com/gitam-results/,,,10,https://www.fresherslive.com/education/gitam-results-102016,33,https://www.embibe.com/exams/gitam-result/,,,,,4244,Result,33100,Result,,part2
13,gitam result,7,https://collegedunia.com/news/c-25354-gitam-university-result,,,14,https://www.shiksha.com/b-tech/gitam-gat-exam-results,13,https://engineering.careers360.com/articles/gitam-gat-result,28,https://www.collegedekho.com/colleges/connect-gitam-unversity-gitam-school-of-technology,,,8,https://institutes.aglasem.com/gitam-results/,,,11,https://www.fresherslive.com/education/gitam-gat-result-107853,33,https://www.embibe.com/exams/gitam-result/,,,,,4244,Result,33100,Result,,part2
14,Tumkur University Result,10,https://collegedunia.com/news/c-25627-tumkur-university-result,,,45,https://www.shiksha.com/articles/tumkur-university-ems-result-2021-released-know-where-and-how-to-check-blogId-68999,,,,,,,34,https://institutes.aglasem.com/tumkur-university-result/,,,3,https://www.fresherslive.com/education/tumkur-university-result-102008,6,https://www.embibe.com/exams/tumkur-university-result/,,,,,4245,Result,33100,Result,,part2
15,VSKUB Result,25,https://collegedunia.com/news/c-25632-vskub-result,,,,,,,,,,,56,https://institutes.aglasem.com/vskub-exam-time-table/,,,14,https://www.fresherslive.com/education/vskub-results-102798,11,https://www.embibe.com/exams/vskub-result/,,,,,4246,Result,40500,Result,,part2
