Keyword,Rank,Website,Date,URL,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
simc pune,1,TOP SITE,30-10-2021,https://www.simc.edu/,10643,College,1900,,,College-LS
simc pune,4,shiksha.com,30-10-2021,https://www.shiksha.com/college/symbiosis-institute-of-media-and-communication-symbiosis-international-pune-lavale-village-37023,10643,College,1900,,,College-LS
simc pune,5,shiksha.com,30-10-2021,https://www.shiksha.com/college/symbiosis-institute-of-media-and-communication-symbiosis-international-pune-lavale-village-37023,10643,College,1900,,,College-LS
simc pune,6,shiksha.com,30-10-2021,https://www.shiksha.com/college/symbiosis-institute-of-media-and-communication-symbiosis-international-pune-lavale-village-37023/courses,10643,College,1900,,,College-LS
simc pune,7,collegedunia.com,30-10-2021,https://collegedunia.com/college/7502-symbiosis-institute-of-media-and-communication-simc-pune,10643,College,1900,,,College-LS
simc pune,15,collegedekho.com,30-10-2021,https://www.collegedekho.com/colleges/simc,10643,College,1900,,,College-LS
simc pune,20,careers360.com,30-10-2021,https://www.careers360.com/colleges/symbiosis-institute-of-media-and-communication-pune/admission,10643,College,1900,,,College-LS
simc pune,28,aglasem.com,30-10-2021,https://admission.aglasem.com/simc-pune/,10643,College,1900,,,College-LS
Anand Institute of Higher Technology,1,TOP SITE,30-10-2021,https://www.aiht.ac.in/,10644,College,1900,,,College-LS
Anand Institute of Higher Technology,5,shiksha.com,30-10-2021,https://www.shiksha.com/college/anand-institute-of-higher-technology-old-mahabalipuram-road-chennai-38141,10644,College,1900,,,College-LS
Anand Institute of Higher Technology,6,collegedunia.com,30-10-2021,https://collegedunia.com/college/12815-anand-institute-of-higher-technology-aiht-chennai/courses-fees,10644,College,1900,,,College-LS
Anand Institute of Higher Technology,9,careers360.com,30-10-2021,https://www.careers360.com/colleges/anand-institute-of-higher-technology-chennai,10644,College,1900,,,College-LS
Anand Institute of Higher Technology,16,collegedekho.com,30-10-2021,https://www.collegedekho.com/colleges/anand-institute-of-higher-technology,10644,College,1900,,,College-LS
Anand Institute of Higher Technology,30,aglasem.com,30-10-2021,https://colleges.aglasem.com/anand-institute-of-higher-technology-aiht-chennai/home,10644,College,1900,,,College-LS
Rani Lakshmi Bai Central Agricultural University,1,TOP SITE,30-10-2021,https://www.rlbcau.ac.in/,10645,College,1900,,,College-LS
Rani Lakshmi Bai Central Agricultural University,4,collegedunia.com,30-10-2021,https://collegedunia.com/university/59025-rani-lakshmi-bai-central-agricultural-university-jhansi,10645,College,1900,,,College-LS
Rani Lakshmi Bai Central Agricultural University,5,collegedunia.com,30-10-2021,https://collegedunia.com/university/59025-rani-lakshmi-bai-central-agricultural-university-jhansi,10645,College,1900,,,College-LS
Rani Lakshmi Bai Central Agricultural University,6,collegedunia.com,30-10-2021,https://collegedunia.com/university/59025-rani-lakshmi-bai-central-agricultural-university-jhansi/courses-fees,10645,College,1900,,,College-LS
Rani Lakshmi Bai Central Agricultural University,17,careers360.com,30-10-2021,https://www.careers360.com/university/rani-lakshmi-bai-central-agricultural-university-jhansi,10645,College,1900,,,College-LS
Rani Lakshmi Bai Central Agricultural University,20,collegedekho.com,30-10-2021,https://www.collegedekho.com/colleges/rani-lakshmi-bai-central-agricultural-university,10645,College,1900,,,College-LS
Rani Lakshmi Bai Central Agricultural University,23,shiksha.com,30-10-2021,https://www.shiksha.com/university/rani-lakshmi-bai-central-agricultural-university-jhansi-65141/infrastructure,10645,College,1900,,,College-LS
Rani Lakshmi Bai Central Agricultural University,54,aglasem.com,30-10-2021,https://colleges.aglasem.com/rani-lakshmi-bai-central-agricultural-university-jhansi/admission-process,10645,College,1900,,,College-LS
iior,1,TOP SITE,30-10-2021,https://icar-iior.org.in/popup,10646,College,1900,,,College-LS
iior,17,collegedunia.com,30-10-2021,https://collegedunia.com/college/6612-indian-institute-of-oilseeds-research-hyderabad,10646,College,1900,,,College-LS
iior,67,fresherslive.com,30-10-2021,https://www.fresherslive.com/iior-indian-institute-of-oilseeds-research-recruitment,10646,College,1900,,,College-LS
mangalore university distance education,1,TOP SITE,30-10-2021,https://mangaloreuniversity.ac.in/distance-education-1,10647,College,1900,,,College-LS
mangalore university distance education,5,collegedunia.com,30-10-2021,https://collegedunia.com/college/57800-mangalore-university-center-for-distance-education-mangalore/admission,10647,College,1900,,,College-LS
mangalore university distance education,18,careers360.com,30-10-2021,https://www.careers360.com/colleges/center-for-distance-education-mangalore-university-mangalore/ma-hindi-course,10647,College,1900,,,College-LS
mangalore university distance education,25,shiksha.com,30-10-2021,https://www.shiksha.com/university/mangalore-university-1230,10647,College,1900,,,College-LS
mangalore university distance education,32,aglasem.com,30-10-2021,https://admission.aglasem.com/mangalore-university-distance-education/,10647,College,1900,,,College-LS
mangalore university distance education,73,fresherslive.com,30-10-2021,https://www.fresherslive.com/education/mangalore-university-time-table-102784,10647,College,1900,,,College-LS
