,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,spa bhopal,4,https://collegedunia.com/college/5673-school-of-planning-and-architecture-spa-bhopal,,,3,https://www.shiksha.com/college/spa-bhopal-school-of-planning-and-architecture-39575,7,https://www.careers360.com/university/school-of-planning-and-architecture-bhopal,17,https://www.collegedekho.com/colleges/spa-bhopal,32,https://jeemains.in/spa-bhopal/,34,https://admission.aglasem.com/spa-bhopal/,,,,,,,,,,,9819,College,9900,,,College-MS
1,igidr,9,https://collegedunia.com/university/25704-indira-gandhi-institute-of-development-research-igidr-mumbai,,,17,https://www.shiksha.com/college/indira-gandhi-institute-of-development-research-igidr-goregaon-east-mumbai-21852/reviews,19,https://www.careers360.com/university/indira-gandhi-institute-of-development-research-mumbai,16,https://www.collegedekho.com/colleges/igidr,,,23,https://admission.aglasem.com/igidr-admission/,,,45,https://www.fresherslive.com/education/igidr-admission-110730,,,,,,,9820,College,9900,,,College-MS
2,DIAS,60,https://collegedunia.com/college/17489-delhi-institute-of-advanced-studies-dias-new-delhi/reviews,,,73,https://www.shiksha.com/college/delhi-institute-of-advanced-studies-rohini-48191/admission,,,53,https://www.collegedekho.com/colleges/dias,,,,,,,,,,,,,,,9821,College,9900,,,College-MS
3,punjab agricultural university,3,https://collegedunia.com/university/25788-punjab-agricultural-university-pau-ludhiana,,,12,https://www.shiksha.com/university/pau-punjab-agricultural-university-ludhiana-986,15,https://www.careers360.com/university/punjab-agricultural-university-ludhiana,34,https://www.collegedekho.com/colleges/punjab-agriculture-university,,,33,https://admission.aglasem.com/punjab-agricultural-university-result/,,,,,,,86,https://leverageedu.com/blog/medical-courses-without-neet/,,,9822,College,9900,,,College-MS
4,punjab agricultural university,4,https://collegedunia.com/university/25788-punjab-agricultural-university-pau-ludhiana,,,12,https://www.shiksha.com/university/pau-punjab-agricultural-university-ludhiana-986,15,https://www.careers360.com/university/punjab-agricultural-university-ludhiana,34,https://www.collegedekho.com/colleges/punjab-agriculture-university,,,33,https://admission.aglasem.com/punjab-agricultural-university-result/,,,,,,,86,https://leverageedu.com/blog/medical-courses-without-neet/,,,9822,College,9900,,,College-MS
5,punjab agricultural university,5,https://collegedunia.com/university/25788-punjab-agricultural-university-pau-ludhiana/admission,,,12,https://www.shiksha.com/university/pau-punjab-agricultural-university-ludhiana-986,15,https://www.careers360.com/university/punjab-agricultural-university-ludhiana,34,https://www.collegedekho.com/colleges/punjab-agriculture-university,,,33,https://admission.aglasem.com/punjab-agricultural-university-result/,,,,,,,86,https://leverageedu.com/blog/medical-courses-without-neet/,,,9822,College,9900,,,College-MS
6,iiswbm,6,https://collegedunia.com/college/17894-indian-institute-of-social-welfare-and-business-management-iiswbm-kolkata,,,5,https://www.shiksha.com/college/iiswbm-indian-institute-of-social-welfare-and-business-management-college-square-kolkata-166,9,https://www.careers360.com/colleges/indian-institute-of-social-welfare-and-business-management-kolkata/courses,24,https://www.collegedekho.com/colleges/indian-institute-of-social-welfare-and-business-management,,,22,https://admission.aglasem.com/iiswbm-kolkata-mba-admission/,,,47,https://www.fresherslive.com/education/iiswbm-result-110437,,,,,,,9823,College,9900,,,College-MS
7,igu meerpur,8,https://collegedunia.com/university/59073-indira-gandhi-university-igu-rewari/courses-fees,,,,,12,https://www.careers360.com/university/indira-gandhi-university-meerpur/courses,58,https://www.collegedekho.com/articles/indira-gandhi-university-bed-admission/,,,38,https://admission.aglasem.com/igu-meerpur/,,,36,https://www.fresherslive.com/education/igu-date-sheet-103344,15,https://www.embibe.com/exams/igu-result/,,,,,9824,College,9900,,,College-MS
8,ibs mumbai,6,https://collegedunia.com/college/17833-icfai-business-school-ibs-mumbai,,,4,https://www.shiksha.com/college/icfai-business-school-ibs-mumbai-powai-26449,10,https://www.careers360.com/colleges/ibs-business-school-mumbai,15,https://www.collegedekho.com/colleges/icfai-business-school-mumbai,,,,,,,,,,,,,,,9825,College,9900,,,College-MS
9,ibs mumbai,6,https://collegedunia.com/college/17833-icfai-business-school-ibs-mumbai,,,5,https://www.shiksha.com/college/icfai-business-school-ibs-mumbai-powai-26449,10,https://www.careers360.com/colleges/ibs-business-school-mumbai,15,https://www.collegedekho.com/colleges/icfai-business-school-mumbai,,,,,,,,,,,,,,,9825,College,9900,,,College-MS
10,ibs mumbai,7,https://collegedunia.com/college/17833-icfai-business-school-ibs-mumbai,,,4,https://www.shiksha.com/college/icfai-business-school-ibs-mumbai-powai-26449,10,https://www.careers360.com/colleges/ibs-business-school-mumbai,15,https://www.collegedekho.com/colleges/icfai-business-school-mumbai,,,,,,,,,,,,,,,9825,College,9900,,,College-MS
11,ibs mumbai,7,https://collegedunia.com/college/17833-icfai-business-school-ibs-mumbai,,,5,https://www.shiksha.com/college/icfai-business-school-ibs-mumbai-powai-26449,10,https://www.careers360.com/colleges/ibs-business-school-mumbai,15,https://www.collegedekho.com/colleges/icfai-business-school-mumbai,,,,,,,,,,,,,,,9825,College,9900,,,College-MS
12,ibs mumbai,8,https://collegedunia.com/college/17833-icfai-business-school-ibs-mumbai/courses-fees,,,4,https://www.shiksha.com/college/icfai-business-school-ibs-mumbai-powai-26449,10,https://www.careers360.com/colleges/ibs-business-school-mumbai,15,https://www.collegedekho.com/colleges/icfai-business-school-mumbai,,,,,,,,,,,,,,,9825,College,9900,,,College-MS
13,ibs mumbai,8,https://collegedunia.com/college/17833-icfai-business-school-ibs-mumbai/courses-fees,,,5,https://www.shiksha.com/college/icfai-business-school-ibs-mumbai-powai-26449,10,https://www.careers360.com/colleges/ibs-business-school-mumbai,15,https://www.collegedekho.com/colleges/icfai-business-school-mumbai,,,,,,,,,,,,,,,9825,College,9900,,,College-MS
14,iiit guwahati,9,https://collegedunia.com/university/55150-indian-institute-of-information-technology-iiitg-guwahati,,,5,https://www.shiksha.com/college/iiit-guwahati-indian-institute-of-information-technology-assam-39384,13,https://www.careers360.com/university/indian-institute-of-information-technology-guwahati/admission,18,https://www.collegedekho.com/colleges/iiit-guwahati,42,https://jeemains.in/iiit-guwahati/,,,,,58,https://www.fresherslive.com/iiitg-indian-institute-of-information-technology-guwahati-recruitment,57,https://www.embibe.com/exams/iiit-guwahati-placement/,,,,,9826,College,9900,,,College-MS
15,iiit guwahati,9,https://collegedunia.com/university/55150-indian-institute-of-information-technology-iiitg-guwahati,,,44,http://www.a-zshiksha.com/forum/viewtopic.php?f=102&t=59438,13,https://www.careers360.com/university/indian-institute-of-information-technology-guwahati/admission,18,https://www.collegedekho.com/colleges/iiit-guwahati,42,https://jeemains.in/iiit-guwahati/,,,,,58,https://www.fresherslive.com/iiitg-indian-institute-of-information-technology-guwahati-recruitment,57,https://www.embibe.com/exams/iiit-guwahati-placement/,,,,,9826,College,9900,,,College-MS
16,op jindal global university,5,https://collegedunia.com/university/25542-o-p-jindal-global-university-jgu-sonepat,,,4,https://www.shiksha.com/university/o-p-jindal-global-university-sonepat-51933,26,https://www.careers360.com/university/op-jindal-global-university-sonipat/courses,18,https://www.collegedekho.com/colleges/o-p-jindal-global-university,,,97,https://news.aglasem.com/qs-asia-rankings-2022-indian-universities/,,,,,,,,,,,9827,College,9900,,,College-MS
17,nit sikkim,5,https://collegedunia.com/university/28213-national-institute-of-technology-nit-south-sikkim,,,3,https://www.shiksha.com/college/nit-sikkim-national-institute-of-technology-sikkim-other-39335,13,https://www.careers360.com/university/national-institute-of-technology-sikkim,,,67,https://jeemains.in/nit-sikkim-placements-report-and-summer-internship-programs/,70,https://institutes.aglasem.com/nit-sikkim/,,,,,21,https://www.embibe.com/exams/nit-sikkim-cut-off/,,,,,9828,College,9900,,,College-MS
18,cmc ludhiana,4,https://collegedunia.com/college/7573-christian-medical-college-cmc-ludhiana,,,8,https://www.shiksha.com/college/christian-medical-college-hospital-ludhiana-22504/courses,6,https://www.careers360.com/colleges/christian-medical-college-ludhiana,65,https://www.collegedekho.com/news/admission-notice-cmc-ludhiana-announces-admission-for-ug-medical-programs-2016-8623/,,,23,https://admission.aglasem.com/cmc-ludhiana-m-sc-nursing/,,,,,,,93,https://leverageedu.com/blog/medical-courses-without-neet/,,,9829,College,9900,,,College-MS
19,cmc ludhiana,4,https://collegedunia.com/college/7573-christian-medical-college-cmc-ludhiana,,,9,https://www.shiksha.com/college/christian-medical-college-hospital-ludhiana-22504/courses,6,https://www.careers360.com/colleges/christian-medical-college-ludhiana,65,https://www.collegedekho.com/news/admission-notice-cmc-ludhiana-announces-admission-for-ug-medical-programs-2016-8623/,,,23,https://admission.aglasem.com/cmc-ludhiana-m-sc-nursing/,,,,,,,93,https://leverageedu.com/blog/medical-courses-without-neet/,,,9829,College,9900,,,College-MS
20,cmc ludhiana,4,https://collegedunia.com/college/7573-christian-medical-college-cmc-ludhiana,,,10,https://www.shiksha.com/college/christian-medical-college-hospital-ludhiana-22504/courses/bsc-bc,6,https://www.careers360.com/colleges/christian-medical-college-ludhiana,65,https://www.collegedekho.com/news/admission-notice-cmc-ludhiana-announces-admission-for-ug-medical-programs-2016-8623/,,,23,https://admission.aglasem.com/cmc-ludhiana-m-sc-nursing/,,,,,,,93,https://leverageedu.com/blog/medical-courses-without-neet/,,,9829,College,9900,,,College-MS
21,Kerala Agricultural University,4,https://collegedunia.com/university/25644-kerala-agricultural-university-kau-thrissur/courses-fees,,,16,https://www.shiksha.com/university/kau-kerala-agricultural-university-thrissur-58179,10,https://www.careers360.com/university/kerala-agricultural-university-thrissur,,,,,28,https://admission.aglasem.com/kau-admission/,,,,,,,,,,,9830,College,9900,,,College-MS
22,Kerala Agricultural University,4,https://collegedunia.com/university/25644-kerala-agricultural-university-kau-thrissur/courses-fees,,,16,https://www.shiksha.com/university/kau-kerala-agricultural-university-thrissur-58179,11,https://www.careers360.com/university/kerala-agricultural-university-thrissur,,,,,28,https://admission.aglasem.com/kau-admission/,,,,,,,,,,,9830,College,9900,,,College-MS
23,Kerala Agricultural University,4,https://collegedunia.com/university/25644-kerala-agricultural-university-kau-thrissur/courses-fees,,,16,https://www.shiksha.com/university/kau-kerala-agricultural-university-thrissur-58179,12,https://www.careers360.com/university/kerala-agricultural-university-thrissur/courses,,,,,28,https://admission.aglasem.com/kau-admission/,,,,,,,,,,,9830,College,9900,,,College-MS
24,rama university,3,https://collegedunia.com/university/56477-rama-university-kanpur,,,5,https://www.shiksha.com/university/rama-university-kanpur-47222,22,https://www.careers360.com/university/rama-university-kanpur/courses,25,https://www.collegedekho.com/colleges/rama-university-kanpur,,,55,https://colleges.aglasem.com/rama-university-hapur/home,,,84,https://www.fresherslive.com/education/rama-university-result-103998,81,https://www.embibe.com/exams/rama-university-entrance-test/,,,59,https://www.buddy4study.com/scholarship/rama-university-scholarship,9831,College,9900,,,College-MS
25,uem kolkata,9,https://collegedunia.com/university/57446-university-of-engineering-and-management-uem-kolkata,,,6,https://www.shiksha.com/university/uem-kolkata-university-of-engineering-and-management-47398,18,https://www.careers360.com/university/university-of-engineering-and-management-kolkata/reviews,13,https://www.collegedekho.com/colleges/university-of-engineering-and-management-kolkata,60,https://jeemains.in/university-of-engineering-and-management-kolkata-57446-admission/,44,https://exams.aglasem.com/iemjee-2021/,,,,,,,,,,,9832,College,9900,,,College-MS
26,uem kolkata,9,https://collegedunia.com/university/57446-university-of-engineering-and-management-uem-kolkata,,,7,https://www.shiksha.com/university/uem-kolkata-university-of-engineering-and-management-47398,18,https://www.careers360.com/university/university-of-engineering-and-management-kolkata/reviews,13,https://www.collegedekho.com/colleges/university-of-engineering-and-management-kolkata,60,https://jeemains.in/university-of-engineering-and-management-kolkata-57446-admission/,44,https://exams.aglasem.com/iemjee-2021/,,,,,,,,,,,9832,College,9900,,,College-MS
