,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,bfuhs,7,https://collegedunia.com/university/25774-baba-farid-university-of-health-sciences-bfuhs-faridkot,67,https://prepp.in/news/e-904-bfuhs-cho-exam-2021-download-cho-admit-card-bfuhsacin,19,https://www.shiksha.com/university/baba-farid-university-of-health-sciences-faridkot-58509,21,https://www.careers360.com/university/baba-farid-university-of-health-sciences-faridkot/courses,,,23,https://admission.aglasem.com/baba-farid-university-result/,,,26,https://www.fresherslive.com/bfuhs-baba-farid-university-of-health-sciences-recruitment,84,https://www.embibe.com/exams/bfuhs-result/,,,,,5593,Prepp,246000,Overview,,Prepp-C1
1,bfuhs,8,https://collegedunia.com/university/25774-baba-farid-university-of-health-sciences-bfuhs-faridkot,67,https://prepp.in/news/e-904-bfuhs-cho-exam-2021-download-cho-admit-card-bfuhsacin,19,https://www.shiksha.com/university/baba-farid-university-of-health-sciences-faridkot-58509,21,https://www.careers360.com/university/baba-farid-university-of-health-sciences-faridkot/courses,,,23,https://admission.aglasem.com/baba-farid-university-result/,,,26,https://www.fresherslive.com/bfuhs-baba-farid-university-of-health-sciences-recruitment,84,https://www.embibe.com/exams/bfuhs-result/,,,,,5593,Prepp,246000,Overview,,Prepp-C1
2,bfuhs,9,https://collegedunia.com/university/25774-baba-farid-university-of-health-sciences-bfuhs-faridkot/admission,67,https://prepp.in/news/e-904-bfuhs-cho-exam-2021-download-cho-admit-card-bfuhsacin,19,https://www.shiksha.com/university/baba-farid-university-of-health-sciences-faridkot-58509,21,https://www.careers360.com/university/baba-farid-university-of-health-sciences-faridkot/courses,,,23,https://admission.aglasem.com/baba-farid-university-result/,,,26,https://www.fresherslive.com/bfuhs-baba-farid-university-of-health-sciences-recruitment,84,https://www.embibe.com/exams/bfuhs-result/,,,,,5593,Prepp,246000,Overview,,Prepp-C1
3,csir net,41,https://collegedunia.com/qna/question/5037-when-can-one-appear-for-csir-ugc-net-jrfcsir-ugc-net-ls-exams,22,https://prepp.in/csir-ugc-net-exam,6,https://www.shiksha.com/exams/csir-net-exam,17,https://news.careers360.com/csir-net-2021-nta-announce-exam-dates-soon,44,https://www.collegedekho.com/exam/csir-ugc-net,,,,,,,9,https://www.embibe.com/exams/csir-net-notification/,40,https://leverageedu.com/blog/csir-net/,,,5626,Prepp,110000,Overview,,Prepp-C1
4,csir net,41,https://collegedunia.com/qna/question/5037-when-can-one-appear-for-csir-ugc-net-jrfcsir-ugc-net-ls-exams,22,https://prepp.in/csir-ugc-net-exam,6,https://www.shiksha.com/exams/csir-net-exam,18,https://news.careers360.com/csir-net-2021-nta-announce-exam-dates-soon,44,https://www.collegedekho.com/exam/csir-ugc-net,,,,,,,9,https://www.embibe.com/exams/csir-net-notification/,40,https://leverageedu.com/blog/csir-net/,,,5626,Prepp,110000,Overview,,Prepp-C1
5,ies exam,29,https://collegedunia.com/qna/question/5839-what-is-the-difference-between-ies-and-ese,2,https://prepp.in/ies-exam,3,https://www.shiksha.com/exams/ies-exam,52,https://news.careers360.com/upsc-ies-iss-exam-2021-begins-check-exam-day-guidelines,31,https://www.collegedekho.com/exam/upsc-ies-ese,35,https://career.aglasem.com/ies-admit-card/,43,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,,,57,https://www.embibe.com/exams/upsc-ies-admit-card/,60,https://leverageedu.com/blog/ies-exam/,,,5698,Prepp,33100,Overview,,Prepp-C1
6,ies full form,47,https://collegedunia.com/qna/question/5839-what-is-the-difference-between-ies-and-ese,8,https://prepp.in/ies-exam,6,https://www.shiksha.com/exams/ies-exam,68,https://competition.careers360.com/articles/upsc-ese-application-form,74,https://www.collegedekho.com/articles/ies-iss-exam/,,,11,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,,,52,https://www.embibe.com/exams/ies-salary/,75,https://leverageedu.com/blog/ies-exam/,,,5700,Prepp,27100,Full_Form,,Prepp-C1
7,afcat eligibility,45,https://collegedunia.com/qna/question/5747-what-is-the-eligible-criteria-for-the-afcat-exam,1,https://prepp.in/afcat-exam/eligibility,3,https://www.shiksha.com/sarkari-exams/defence/articles/afcat-eligibility-criteria-blogId-33555,11,https://competition.careers360.com/articles/afcat-eligibility-criteria,5,https://www.collegedekho.com/exam/afcat/registration-eligibility,,,8,https://byjus.com/govt-exams/afcat-eligibility/,89,https://www.fresherslive.com/education/afcat-eligibility-100550,61,https://www.embibe.com/exams/afcat/,86,https://leverageedu.com/blog/afcat-exam/,57,https://exam.buddy4study.com/afcat-eligibility-criteria,5959,Prepp,22200,Eligibility,,Prepp-C1
8,kvpy registration,94,https://collegedunia.com/news/last-day-for-kvpy-2020-registration-postponed-to-october-30-check-here-to-apply-alertid-26945,11,https://prepp.in/kvpy-exam,15,https://www.shiksha.com/exams/kvpy-exam-application-form,5,https://school.careers360.com/articles/kvpy-registration,,,14,https://schools.aglasem.com/48254,31,https://byjus.com/jee/kvpy/,16,https://www.fresherslive.com/education/kvpy-registration-102328,9,https://www.embibe.com/exams/kvpy-registration/,,,36,https://exam.buddy4study.com/kvpy-registration,6202,Prepp,27100,Application,,Prepp-C1
9,kvpy registration,94,https://collegedunia.com/news/last-day-for-kvpy-2020-registration-postponed-to-october-30-check-here-to-apply-alertid-26945,11,https://prepp.in/kvpy-exam,15,https://www.shiksha.com/exams/kvpy-exam-application-form,5,https://school.careers360.com/articles/kvpy-registration,,,14,https://schools.aglasem.com/48254,32,https://byjus.com/jee/kvpy/,16,https://www.fresherslive.com/education/kvpy-registration-102328,9,https://www.embibe.com/exams/kvpy-registration/,,,36,https://exam.buddy4study.com/kvpy-registration,6202,Prepp,27100,Application,,Prepp-C1
10,kvpy registration,94,https://collegedunia.com/news/last-day-for-kvpy-2020-registration-postponed-to-october-30-check-here-to-apply-alertid-26945,11,https://prepp.in/kvpy-exam,15,https://www.shiksha.com/exams/kvpy-exam-application-form,5,https://school.careers360.com/articles/kvpy-registration,,,14,https://schools.aglasem.com/48254,33,https://byjus.com/jee/kvpy-registration/,16,https://www.fresherslive.com/education/kvpy-registration-102328,9,https://www.embibe.com/exams/kvpy-registration/,,,36,https://exam.buddy4study.com/kvpy-registration,6202,Prepp,27100,Application,,Prepp-C1
11,kvpy registration,94,https://collegedunia.com/news/last-day-for-kvpy-2020-registration-postponed-to-october-30-check-here-to-apply-alertid-26945,12,https://prepp.in/kvpy-exam,15,https://www.shiksha.com/exams/kvpy-exam-application-form,5,https://school.careers360.com/articles/kvpy-registration,,,14,https://schools.aglasem.com/48254,31,https://byjus.com/jee/kvpy/,16,https://www.fresherslive.com/education/kvpy-registration-102328,9,https://www.embibe.com/exams/kvpy-registration/,,,36,https://exam.buddy4study.com/kvpy-registration,6202,Prepp,27100,Application,,Prepp-C1
12,kvpy registration,94,https://collegedunia.com/news/last-day-for-kvpy-2020-registration-postponed-to-october-30-check-here-to-apply-alertid-26945,12,https://prepp.in/kvpy-exam,15,https://www.shiksha.com/exams/kvpy-exam-application-form,5,https://school.careers360.com/articles/kvpy-registration,,,14,https://schools.aglasem.com/48254,32,https://byjus.com/jee/kvpy/,16,https://www.fresherslive.com/education/kvpy-registration-102328,9,https://www.embibe.com/exams/kvpy-registration/,,,36,https://exam.buddy4study.com/kvpy-registration,6202,Prepp,27100,Application,,Prepp-C1
13,kvpy registration,94,https://collegedunia.com/news/last-day-for-kvpy-2020-registration-postponed-to-october-30-check-here-to-apply-alertid-26945,12,https://prepp.in/kvpy-exam,15,https://www.shiksha.com/exams/kvpy-exam-application-form,5,https://school.careers360.com/articles/kvpy-registration,,,14,https://schools.aglasem.com/48254,33,https://byjus.com/jee/kvpy-registration/,16,https://www.fresherslive.com/education/kvpy-registration-102328,9,https://www.embibe.com/exams/kvpy-registration/,,,36,https://exam.buddy4study.com/kvpy-registration,6202,Prepp,27100,Application,,Prepp-C1
14,kvpy registration,94,https://collegedunia.com/news/last-day-for-kvpy-2020-registration-postponed-to-october-30-check-here-to-apply-alertid-26945,13,https://prepp.in/kvpy-exam/application-process,15,https://www.shiksha.com/exams/kvpy-exam-application-form,5,https://school.careers360.com/articles/kvpy-registration,,,14,https://schools.aglasem.com/48254,31,https://byjus.com/jee/kvpy/,16,https://www.fresherslive.com/education/kvpy-registration-102328,9,https://www.embibe.com/exams/kvpy-registration/,,,36,https://exam.buddy4study.com/kvpy-registration,6202,Prepp,27100,Application,,Prepp-C1
15,kvpy registration,94,https://collegedunia.com/news/last-day-for-kvpy-2020-registration-postponed-to-october-30-check-here-to-apply-alertid-26945,13,https://prepp.in/kvpy-exam/application-process,15,https://www.shiksha.com/exams/kvpy-exam-application-form,5,https://school.careers360.com/articles/kvpy-registration,,,14,https://schools.aglasem.com/48254,32,https://byjus.com/jee/kvpy/,16,https://www.fresherslive.com/education/kvpy-registration-102328,9,https://www.embibe.com/exams/kvpy-registration/,,,36,https://exam.buddy4study.com/kvpy-registration,6202,Prepp,27100,Application,,Prepp-C1
16,kvpy registration,94,https://collegedunia.com/news/last-day-for-kvpy-2020-registration-postponed-to-october-30-check-here-to-apply-alertid-26945,13,https://prepp.in/kvpy-exam/application-process,15,https://www.shiksha.com/exams/kvpy-exam-application-form,5,https://school.careers360.com/articles/kvpy-registration,,,14,https://schools.aglasem.com/48254,33,https://byjus.com/jee/kvpy-registration/,16,https://www.fresherslive.com/education/kvpy-registration-102328,9,https://www.embibe.com/exams/kvpy-registration/,,,36,https://exam.buddy4study.com/kvpy-registration,6202,Prepp,27100,Application,,Prepp-C1
17,cse exam,49,https://collegedunia.com/courses/bachelor-of-technology-btech-computer-science-and-engineering,9,https://prepp.in/ias-exam-exam,23,https://www.shiksha.com/exams/ias-exam,40,https://news.careers360.com/upsc-cse-2021-prelims-live-updates-exam-analysis-question-papers-pattern-answer-keys-result-date-cut-off,44,https://www.collegedekho.com/exam/upsc-civil-services,,,4,https://byjus.com/civil-services-exam/,,,60,https://www.embibe.com/exams/upsc-notification/,,,,,6325,Prepp,8100,Overview,,Prepp-C1
18,cbt exam,58,https://collegedunia.com/exams/mat/exam-dates,71,https://prepp.in/rrb-ntpc-exam/exam-pattern,63,https://www.shiksha.com/mba/mat-exam-dates,46,https://news.careers360.com/mat-2021-cbt-exam-being-conducted-today-check-guidelines-here,,,,,,,,,,,,,,,6451,Prepp,12100,Overview,,Prepp-C1
19,best book for reasoning,53,https://collegedunia.com/exams/gmat/gmat-books-for-critical-reasoning,22,https://prepp.in/news/e-514-best-books-for-ssc-cgl-logical-reasoning,40,https://www.shiksha.com/mba/articles/best-books-for-cat-preparation-blogId-11435,5,https://www.careers360.com/question-which-is-the-best-basic-book-of-reasoning-for-competitive-exam-like-bankrailwaysbiibpsssc-etc,,,,,77,https://byjus.com/free-cat-prep/cat-preparation-books/,,,,,6,https://leverageedu.com/blog/logical-reasoning-books/,,,6555,Prepp,6600,Books,,Prepp-C1
20,apprenticeshipindia org registration,71,https://images.static-collegedunia.com/public/image/902855802d095fdb84dd4542059b3865.pdf,,,,,82,https://news.careers360.com/south-east-central-railway-recruitment-2020-apply-for-432-apprentice-posts-apprenticeshipindiaorg,,,,,,,,,,,,,,,6634,Prepp,5400,Application,,Prepp-C1
21,kvpy full form,84,https://collegedunia.com/college/25603-indian-institute-of-science-iisc-bangalore/admission,4,https://prepp.in/kvpy-exam,9,https://www.shiksha.com/exams/kvpy-exam,6,https://school.careers360.com/exams/kvpy,,,23,https://schools.aglasem.com/48252,17,https://byjus.com/jee/kvpy/,,,22,https://www.embibe.com/exams/kvpy/,88,https://leverageedu.com/blog/exams-after-10th/,30,https://www.buddy4study.com/scholarship/kishore-vaigyanik-protsahan-yojana-kvpy,6637,Prepp,9900,Full_Form,,Prepp-C1
22,kvpy full form,84,https://collegedunia.com/college/25603-indian-institute-of-science-iisc-bangalore/admission,4,https://prepp.in/kvpy-exam,9,https://www.shiksha.com/exams/kvpy-exam,7,https://school.careers360.com/exams/kvpy,,,23,https://schools.aglasem.com/48252,17,https://byjus.com/jee/kvpy/,,,22,https://www.embibe.com/exams/kvpy/,88,https://leverageedu.com/blog/exams-after-10th/,30,https://www.buddy4study.com/scholarship/kishore-vaigyanik-protsahan-yojana-kvpy,6637,Prepp,9900,Full_Form,,Prepp-C1
23,kvpy full form,84,https://collegedunia.com/college/25603-indian-institute-of-science-iisc-bangalore/admission,4,https://prepp.in/kvpy-exam,9,https://www.shiksha.com/exams/kvpy-exam,8,https://school.careers360.com/articles/kvpy-eligibility-criteria,,,23,https://schools.aglasem.com/48252,17,https://byjus.com/jee/kvpy/,,,22,https://www.embibe.com/exams/kvpy/,88,https://leverageedu.com/blog/exams-after-10th/,30,https://www.buddy4study.com/scholarship/kishore-vaigyanik-protsahan-yojana-kvpy,6637,Prepp,9900,Full_Form,,Prepp-C1
24,pet exam,67,https://collegedunia.com/exams/bhu-pet,26,https://prepp.in/upsssc-exam/exam-analysis,24,https://www.shiksha.com/b-tech/cg-pet-exam,10,https://engineering.careers360.com/exams/cg-pet,54,https://www.collegedekho.com/exam/cg-pet,52,https://admission.aglasem.com/bhu-pet/,,,,,,,,,,,6654,Prepp,49500,Overview,,Prepp-C1
25,haryana police exam date,97,https://collegedunia.com/news/haryana-police-si-exam-date-2020-to-be-released-soon-alertid-23324,12,https://prepp.in/haryana-police-exam,,,,,,,,,,,,,74,https://www.embibe.com/exams/hssc-police-admit-card/,,,,,6724,Prepp,14800,Exam_Dates,,Prepp-C1
26,haryana police exam date,97,https://collegedunia.com/news/haryana-police-si-exam-date-2020-to-be-released-soon-alertid-23324,13,https://prepp.in/haryana-police-exam,,,,,,,,,,,,,74,https://www.embibe.com/exams/hssc-police-admit-card/,,,,,6724,Prepp,14800,Exam_Dates,,Prepp-C1
27,haryana police exam date,97,https://collegedunia.com/news/haryana-police-si-exam-date-2020-to-be-released-soon-alertid-23324,14,https://prepp.in/haryana-police-exam/exam-dates,,,,,,,,,,,,,74,https://www.embibe.com/exams/hssc-police-admit-card/,,,,,6724,Prepp,14800,Exam_Dates,,Prepp-C1
28,ese full form,39,https://collegedunia.com/qna/question/5839-what-is-the-difference-between-ies-and-ese,7,https://prepp.in/ies-exam,20,https://www.shiksha.com/exams/ies-exam,12,https://www.careers360.com/question-what-is-ese-0,,,,,50,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,,,,,,,,,6918,Prepp,6600,Full_Form,,Prepp-C1
29,slet exam,34,https://collegedunia.com/exams/set,46,https://prepp.in/jkset-exam,9,https://www.shiksha.com/bba/set-exam,17,https://competition.careers360.com/exams/neslet,55,https://www.collegedekho.com/exam/set,14,https://career.aglasem.com/assam-slet/,,,37,https://www.fresherslive.com/education/assam-slet-exam-107962,,,79,https://leverageedu.com/blog/set-exam/,,,6967,Prepp,5400,Overview,,Prepp-C1
