Keyword,Rank,Website,Date,URL,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
Delhi University Admission,1,TOP SITE,08-11-2021,http://www.du.ac.in/uploads/adm2021/index.html,0,DU_Colleges,6600,Admission,,part_1
Delhi University Admission,7,careers360.com,08-11-2021,https://news.careers360.com/delhi-university-admission-2021-du-5th-cut-off-live-updates-du-ac-in-colleges-released-fifth-cutoffs-gargi-shivaji-jmc-kmc,0,DU_Colleges,6600,Admission,,part_1
Delhi University Admission,15,shiksha.com,08-11-2021,https://www.shiksha.com/university/delhi-university-du-24642/admission,0,DU_Colleges,6600,Admission,,part_1
Delhi University Admission,27,collegedunia.com,08-11-2021,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/admission,0,DU_Colleges,6600,Admission,,part_1
Delhi University Admission,51,embibe.com,08-11-2021,https://www.embibe.com/exams/du-admission/,0,DU_Colleges,6600,Admission,,part_1
Delhi University Admission,55,collegedekho.com,08-11-2021,https://www.collegedekho.com/articles/complete-guide-to-delhi-university-ba-bcom-bsc-admission/,0,DU_Colleges,6600,Admission,,part_1
Delhi University Admission,68,aglasem.com,08-11-2021,https://admission.aglasem.com/delhi-university-admission/,0,DU_Colleges,6600,Admission,,part_1
Delhi University Courses,1,TOP SITE,08-11-2021,http://www.du.ac.in/,1,DU_Colleges,4400,Course,,part_1
Delhi University Courses,7,collegedunia.com,08-11-2021,https://collegedunia.com/university/25473-delhi-university-du-new-delhi,1,DU_Colleges,4400,Course,,part_1
Delhi University Courses,8,careers360.com,08-11-2021,https://university.careers360.com/articles/du-courses,1,DU_Colleges,4400,Course,,part_1
Delhi University Courses,9,shiksha.com,08-11-2021,https://www.shiksha.com/university/delhi-university-du-24642/courses,1,DU_Colleges,4400,Course,,part_1
Delhi University Courses,12,leverageedu.com,08-11-2021,https://leverageedu.com/blog/delhi-university-courses-after-12th/,1,DU_Colleges,4400,Course,,part_1
Delhi University Courses,16,collegedekho.com,08-11-2021,https://www.collegedekho.com/articles/delhi-university-courses/,1,DU_Colleges,4400,Course,,part_1
Delhi University Courses,52,embibe.com,08-11-2021,https://www.embibe.com/exams/du-courses/,1,DU_Colleges,4400,Course,,part_1
Delhi University Fees,1,TOP SITE,08-11-2021,https://www.timesnownews.com/education/article/du-admissions-2021-course-wise-fee-structure-for-top-courses-in-delhi-university/797383,2,DU_Colleges,2900,Fees,,part_1
Delhi University Fees,5,careers360.com,08-11-2021,https://university.careers360.com/articles/du-fees,2,DU_Colleges,2900,Fees,,part_1
Delhi University Fees,7,collegedunia.com,08-11-2021,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/courses-fees,2,DU_Colleges,2900,Fees,,part_1
Delhi University Fees,8,collegedunia.com,08-11-2021,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/courses-fees,2,DU_Colleges,2900,Fees,,part_1
Delhi University Fees,9,collegedunia.com,08-11-2021,https://collegedunia.com/university/25473-delhi-university-du-new-delhi,2,DU_Colleges,2900,Fees,,part_1
Delhi University Fees,10,shiksha.com,08-11-2021,https://www.shiksha.com/university/delhi-university-du-24642/courses,2,DU_Colleges,2900,Fees,,part_1
Delhi University Fees,25,collegedekho.com,08-11-2021,https://www.collegedekho.com/university/delhi-university,2,DU_Colleges,2900,Fees,,part_1
Delhi University Hostel,1,TOP SITE,08-11-2021,http://www.du.ac.in/index.php?page=Hostels-at-University-of-Delhi,3,DU_Colleges,1000,Hostel,,part_1
Delhi University Hostel,7,collegedunia.com,08-11-2021,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/hostel,3,DU_Colleges,1000,Hostel,,part_1
Delhi University Hostel,10,collegedekho.com,08-11-2021,https://www.collegedekho.com/articles/top-10-hostels-in-delhi-university/,3,DU_Colleges,1000,Hostel,,part_1
Delhi University Hostel,17,shiksha.com,08-11-2021,https://www.shiksha.com/humanities-social-sciences/articles/du-admissions-check-list-of-hostels-seats-available-blogId-17595,3,DU_Colleges,1000,Hostel,,part_1
Delhi University Hostel,36,careers360.com,08-11-2021,https://www.careers360.com/question-how-can-i-get-a-hostel-in-delhi-university,3,DU_Colleges,1000,Hostel,,part_1
Delhi University Placement,1,TOP SITE,08-11-2021,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/placement,4,DU_Colleges,390,Placement,,part_1
Delhi University Placement,1,collegedunia.com,08-11-2021,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/placement,4,DU_Colleges,390,Placement,,part_1
Delhi University Placement,2,shiksha.com,08-11-2021,https://www.shiksha.com/university/delhi-university-du-24642/placement,4,DU_Colleges,390,Placement,,part_1
Delhi University Placement,11,careers360.com,08-11-2021,https://www.careers360.com/university/university-of-delhi-delhi/placement,4,DU_Colleges,390,Placement,,part_1
Delhi University Cut Off,1,TOP SITE,08-11-2021,https://news.careers360.com/delhi-university-admission-2021-du-5th-cut-off-live-updates-du-ac-in-colleges-released-fifth-cutoffs-gargi-shivaji-jmc-kmc,5,DU_Colleges,5400,Cut_Off,,part_1
Delhi University Cut Off,1,careers360.com,08-11-2021,https://news.careers360.com/delhi-university-admission-2021-du-5th-cut-off-live-updates-du-ac-in-colleges-released-fifth-cutoffs-gargi-shivaji-jmc-kmc,5,DU_Colleges,5400,Cut_Off,,part_1
Delhi University Cut Off,2,careers360.com,08-11-2021,https://news.careers360.com/delhi-university-admission-2021-du-5th-cut-off-live-updates-du-ac-in-colleges-released-fifth-cutoffs-gargi-shivaji-jmc-kmc,5,DU_Colleges,5400,Cut_Off,,part_1
Delhi University Cut Off,3,careers360.com,08-11-2021,https://university.careers360.com/articles/du-cutoff,5,DU_Colleges,5400,Cut_Off,,part_1
Delhi University Cut Off,12,collegedunia.com,08-11-2021,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/cutoff,5,DU_Colleges,5400,Cut_Off,,part_1
Delhi University Cut Off,15,shiksha.com,08-11-2021,https://www.shiksha.com/university/delhi-university-du-24642/cutoff,5,DU_Colleges,5400,Cut_Off,,part_1
Delhi University Cut Off,26,aglasem.com,08-11-2021,https://cutoffs.aglasem.com/122956,5,DU_Colleges,5400,Cut_Off,,part_1
Delhi University Cut Off,33,collegedekho.com,08-11-2021,https://www.collegedekho.com/news/delhi-university-releases-first-cut-off-for-ug-courses-2017-10344/,5,DU_Colleges,5400,Cut_Off,,part_1
Delhi University Cut Off,42,embibe.com,08-11-2021,https://www.embibe.com/exams/du-admission-cutoff/,5,DU_Colleges,5400,Cut_Off,,part_1
sol du Admission,1,TOP SITE,08-11-2021,https://sol.du.ac.in/,6,DU_Colleges,4400,Admission,,part_1
sol du Admission,8,careers360.com,08-11-2021,https://university.careers360.com/articles/du-sol-application-form,6,DU_Colleges,4400,Admission,,part_1
sol du Admission,9,careers360.com,08-11-2021,https://university.careers360.com/articles/du-sol-application-form,6,DU_Colleges,4400,Admission,,part_1
