,Keyword,Tag,Search Volume,Category,Exam Tag,new_tag
9257,ignou,College,2740000,,,College-HS
9258,pkitm,College,1830000,,,College-HS
9259,rgpv,College,550000,,,College-HS
9260,aktu,College,550000,,,College-HS
9261,calicut university,College,550000,,,College-HS
9262,lnmu,College,550000,,,College-HS
9263,Gujarat University,College,550000,,,College-HS
9264,mjpru,College,450000,,,College-HS
9265,vmou,College,450000,,,College-HS
9266,Lucknow University,College,450000,,,College-HS
9267,makaut,College,450000,,,College-HS
9268,Kerala University,College,450000,,,College-HS
9269,delhi university,College,450000,,,College-HS
9270,bhu,College,368000,,,College-HS
9271,KUK,College,368000,,,College-HS
9272,bimhrd,College,368000,,,College-HS
9273,ycmou,College,368000,,,College-HS
9274,mumbai university,College,301000,,,College-HS
9275,kashmir university,College,301000,,,College-HS
9276,anna university,College,301000,,,College-HS
9277,vtu,College,301000,,,College-HS
9278,annamalai university,College,301000,,,College-HS
9279,ruhs,College,301000,,,College-HS
9280,durg university,College,301000,,,College-HS
9281,allahabad university,College,301000,,,College-HS
9282,DBRAU,College,301000,,,College-HS
9283,calcutta university,College,301000,,,College-HS
9284,csjm,College,301000,,,College-HS
9285,magadh university,College,246000,,,College-HS
9286,madras university,College,246000,,,College-HS
9287,osmania university,College,246000,,,College-HS
9288,muhs,College,246000,,,College-HS
9289,iit bombay,College,246000,,,College-HS
9290,jiwaji university,College,246000,,,College-HS
9291,bharathiar university,College,246000,,,College-HS
9292,jadavpur university,College,246000,,,College-HS
9293,rajasthan university,College,246000,,,College-HS
9294,sol du,College,246000,,,College-HS
9295,Chandigarh University,College,246000,,,College-HS
9296,csvtu,College,246000,,,College-HS
9297,aiims delhi,College,201000,,,College-HS
9298,bangalore university,College,201000,,,College-HS
9299,christ university,College,201000,,,College-HS
9300,mgsu,College,201000,,,College-HS
9301,Allahabad State University,College,201000,,,College-HS
9302,vbspu,College,201000,,,College-HS
9303,jamia millia islamia,College,201000,,,College-HS
9304,punjabi university patiala,College,165000,,,College-HS
9305,JNU,College,165000,,,College-HS
9306,pune university,College,165000,,,College-HS
9307,iit kharagpur,College,165000,,,College-HS
9308,Alagappa University,College,165000,,,College-HS
9309,iit delhi,College,165000,,,College-HS
9310,KNRUHS,College,165000,,,College-HS
9311,bits pilani,College,165000,,,College-HS
9312,Upgrad,College,165000,,,College-HS
9313,burdwan university,College,165000,,,College-HS
9314,Kannur University,College,165000,,,College-HS
9315,iit roorkee,College,165000,,,College-HS
9316,uprtou,College,165000,,,College-HS
9317,Patna University,College,165000,,,College-HS
9318,braou,College,165000,,,College-HS
9319,amu,College,165000,,,College-HS
9320,mpmsu,College,165000,,,College-HS
9321,vidyasagar university,College,165000,,,College-HS
9322,kalyani university,College,165000,,,College-HS
9323,ddu,College,165000,,,College-HS
9324,iit madras,College,165000,,,College-HS
9325,NMIMS,College,165000,,,College-HS
9326,jnvu,College,165000,,,College-HS
9327,prsu,College,165000,,,College-HS
9328,lpu,College,135000,,,College-HS
9329,mlsu,College,135000,,,College-HS
9330,HPU,College,135000,,,College-HS
9331,brabu,College,135000,,,College-HS
9332,bilaspur university,College,135000,,,College-HS
9333,kuhs,College,135000,,,College-HS
9334,ccs university,College,135000,,,College-HS
9335,dibrugarh university,College,135000,,,College-HS
9336,wbsu,College,135000,,,College-HS
9337,cmc vellore,College,135000,,,College-HS
9338,saurashtra university,College,110000,,,College-HS
9339,hngu,College,110000,,,College-HS
9340,srtmun,College,110000,,,College-HS
9341,dtu,College,110000,,,College-HS
9342,mcbu,College,110000,,,College-HS
9343,nmu,College,110000,,,College-HS
9344,FMS,College,110000,,,College-HS
9345,Kumaun University,College,110000,,,College-HS
9346,iit kanpur,College,110000,,,College-HS
9347,pdusu,College,110000,,,College-HS
9348,Tezpur University,College,110000,,,College-HS
9349,baou,College,110000,,,College-HS
9350,siddharth university,College,110000,,,College-HS
9351,Bankura University,College,110000,,,College-HS
9352,great learning,College,110000,,,College-HS
9353,tndalu,College,110000,,,College-HS
9354,Gauhati University,College,110000,,,College-HS
9355,ptu,College,90500,,,College-HS
9356,University of Mysore,College,90500,,,College-HS
9357,iiit hyderabad,College,90500,,,College-HS
9358,sharda university,College,90500,,,College-HS
9359,iisc bangalore,College,90500,,,College-HS
9360,jntuh,College,90500,,,College-HS
9361,NTRUHS,College,90500,,,College-HS
9362,pkace,College,90500,,,College-HS
9363,bamu,College,90500,,,College-HS
9364,shivaji university,College,90500,,,College-HS
9365,jipmer,College,90500,,,College-HS
9366,iit guwahati,College,90500,,,College-HS
9367,Jain University,College,90500,,,College-HS
9368,iim ahmedabad,College,90500,,,College-HS
9369,cusat,College,90500,,,College-HS
9370,RRBMU,College,90500,,,College-HS
9371,hptu,College,90500,,,College-HS
9372,bput,College,90500,,,College-HS
9373,aiims jodhpur,College,90500,,,College-HS
9374,Galgotias University,College,90500,,,College-HS
9375,nirma university,College,90500,,,College-HS
9376,ranchi university,College,90500,,,College-HS
9377,munger university,College,90500,,,College-HS
9378,pgimer,College,90500,,,College-HS
9379,nsit,College,90500,,,College-HS
9380,vikram university,College,74000,,,College-HS
9381,baba farid university,College,74000,,,College-HS
9382,Sarguja University,College,74000,,,College-HS
9383,manipal university,College,74000,,,College-HS
9384,nalanda university,College,74000,,,College-HS
9385,Periyar University,College,74000,,,College-HS
9386,kolhan university,College,74000,,,College-HS
9387,bharathidasan university,College,74000,,,College-HS
9388,KIIT,College,74000,,,College-HS
9389,bknmu,College,74000,,,College-HS
9390,bbmku,College,74000,,,College-HS
9391,mmmut,College,74000,,,College-HS
9392,Panjab University,College,74000,,,College-HS
9393,shuats,College,74000,,,College-HS
9394,wbuhs,College,74000,,,College-HS
9395,madras university distance education,College,74000,,,College-HS
9396,upes,College,74000,,,College-HS
9397,sgbau,College,74000,,,College-HS
9398,ip university,College,74000,,,College-HS
9399,iit hyderabad,College,74000,,,College-HS
9400,thapar university,College,74000,,,College-HS
9401,Ashoka University,College,74000,,,College-HS
9402,iim bangalore,College,74000,,,College-HS
9403,nit trichy,College,74000,,,College-HS
9404,iim indore,College,74000,,,College-HS
9405,HNBGU,College,74000,,,College-HS
9406,nimhans,College,74000,,,College-HS
9407,Ravenshaw University,College,74000,,,College-HS
9408,tnau,College,74000,,,College-HS
9409,kkhsou,College,74000,,,College-HS
9410,integral university,College,74000,,,College-HS
9411,andhra university,College,74000,,,College-HS
9412,Tripura University,College,74000,,,College-HS
9413,aimba,College,60500,,,College-HS
9414,bit mesra,College,60500,,,College-HS
9415,aiims rishikesh,College,60500,,,College-HS
9416,jammu university,College,60500,,,College-HS
9417,gulbarga university,College,60500,,,College-HS
9418,subharti university,College,60500,,,College-HS
9419,assam university,College,60500,,,College-HS
9420,nalanda open university,College,60500,,,College-HS
9421,ksou,College,60500,,,College-HS
9422,wbuttepa,College,60500,,,College-HS
9423,pes university,College,60500,,,College-HS
9424,gju,College,60500,,,College-HS
9425,nit warangal,College,60500,,,College-HS
9426,reva university,College,60500,,,College-HS
9427,iit mandi,College,60500,,,College-HS
9428,nit rourkela,College,60500,,,College-HS
9429,krishna university,College,60500,,,College-HS
9430,utkal university,College,60500,,,College-HS
9431,Mangalore University,College,60500,,,College-HS
9432,sastra university,College,60500,,,College-HS
9433,manipal university jaipur,College,60500,,,College-HS
9434,amity university noida,College,60500,,,College-HS
9435,Aliah University,College,60500,,,College-HS
9436,Rabindra Bharati University,College,60500,,,College-HS
9437,jncu,College,60500,,,College-HS
9438,raiganj university,College,60500,,,College-HS
9439,CGIHM,College,60500,,,College-HS
9440,AKNU,College,60500,,,College-HS
9441,mmyvvdde,College,49500,,,College-HS
9442,Solapur University,College,49500,,,College-HS
9443,dcrust,College,49500,,,College-HS
9444,iit bhu,College,49500,,,College-HS
9445,jntuk,College,49500,,,College-HS
9446,nit hamirpur,College,49500,,,College-HS
9447,jntua,College,49500,,,College-HS
9448,nit silchar,College,49500,,,College-HS
9449,nit durgapur,College,49500,,,College-HS
9450,mnit jaipur,College,49500,,,College-HS
9451,vit chennai,College,49500,,,College-HS
9452,mgr university,College,49500,,,College-HS
9453,mumbai university idol,College,49500,,,College-HS
9454,KJ Somaiya,College,49500,,,College-HS
9455,manipal institute of technology,College,49500,,,College-HS
9456,rajuvas,College,49500,,,College-HS
9457,nit calicut,College,49500,,,College-HS
9458,KGMU,College,49500,,,College-HS
9459,bennett university,College,49500,,,College-HS
9460,iit ropar,College,49500,,,College-HS
9461,miranda house,College,49500,,,College-HS
9462,iit gandhinagar,College,49500,,,College-HS
9463,nit jalandhar,College,49500,,,College-HS
9464,iit jodhpur,College,49500,,,College-HS
9465,mitwpu,College,49500,,,College-HS
9466,Kota University,College,49500,,,College-HS
9467,MSBU,College,49500,,,College-HS
9468,dbatu,College,49500,,,College-HS
9469,aiims bhopal,College,49500,,,College-HS
9470,acharya nagarjuna university,College,49500,,,College-HS
9471,bundelkhand university,College,49500,,,College-HS
9472,gurugram university,College,49500,,,College-HS
9473,tanuvas,College,49500,,,College-HS
9474,presidency university bangalore,College,49500,,,College-HS
9475,cluster university jammu,College,49500,,,College-HS
9476,msu baroda,College,49500,,,College-HS
9477,tnteu,College,40500,,,College-HS
9478,iim rohtak,College,40500,,,College-HS
9479,Gondwana University,College,40500,,,College-HS
9480,Kuvempu University,College,40500,,,College-HS
9481,aiims patna,College,40500,,,College-HS
9482,ggtu,College,40500,,,College-HS
9483,madurai kamaraj university,College,40500,,,College-HS
9484,kalinga university,College,40500,,,College-HS
9485,mdu rohtak,College,40500,,,College-HS
9486,nit kurukshetra,College,40500,,,College-HS
9487,Barkatullah University,College,40500,,,College-HS
9488,nit surathkal,College,40500,,,College-HS
9489,ouat,College,40500,,,College-HS
9490,gla university,College,40500,,,College-HS
9491,aiims bhubaneswar,College,40500,,,College-HS
9492,vssut,College,40500,,,College-HS
9493,manonmaniam sundaranar university,College,40500,,,College-HS
