,Keyword,Tag,Search Volume,Category,Exam Tag,new_tag
41,NEET,Exams,823000,Overview,NEET,Exams
42,NEET APPLICATION FORM,Exams,14800,Application,NEET,Exams
43,NEET REGISTRATION,Exams,12100,Application,NEET,Exams
44,NEET ELIGIBILITY,Exams,6600,Eligibility,NEET,Exams
45,NEET RESERVATION,Exams,1000,General,NEET,Exams
46,NEET EXAM DATES,Exams,27100,Exam_Dates,NEET,Exams
47,NEET ADMIT CARD,Exams,49500,Admit_Card,NEET,Exams
48,NEET EXAM CENTERS,Exams,3600,Exam_Centers,NEET,Exams
49,NEET EXAM PATTERN,Exams,5400,Exam_Pattern,NEET,Exams
50,NEET PAPER ANALYSIS,Exams,590,Paper_Analysis,NEET,Exams
51,NEET SYLLABUS,Exams,33100,Syllabus,NEET,Exams
52,NEET PREPARATION TIPS,Exams,1600,Preparation,NEET,Exams
53,NEET PRACTICE PAPERS,Exams,880,Practice_Papers,NEET,Exams
54,NEET RESULT,Exams,165000,Result,NEET,Exams
55,NEET MERIT LIST,Exams,720,Counselling,NEET,Exams
56,NEET COUNSELLING,Exams,14800,Counselling,NEET,Exams
57,NEET ANSWER KEY,Exams,5400,Answer_Key,NEET,Exams
58,NEET CUTOFF,Exams,6600,Cut_Off,NEET,Exams
59,NEET RANK PREDICTOR,Exams,8100,Rank_Predictor,NEET,Exams
60,NEET NOTIFICATION,Exams,720,Notification,NEET,Exams
61,IIT JAM,Exams,49500,Overview,IIT JAM,Exams
62,IIT JAM APPLICATION FORM,Exams,260,Application,IIT JAM,Exams
63,IIT JAM ELIGIBILITY,Exams,2900,Eligibility,IIT JAM,Exams
64,IIT JAM EXAM DATES,Exams,210,Exam_Dates,IIT JAM,Exams
65,IIT JAM ADMIT CARD,Exams,480,Admit_Card,IIT JAM,Exams
66,IIT JAM EXAM PATTERN,Exams,480,Exam_Pattern,IIT JAM,Exams
67,IIT JAM SYLLABUS,Exams,6600,Syllabus,IIT JAM,Exams
68,IIT JAM RESULT,Exams,1000,Result,IIT JAM,Exams
69,IIT JAM COUNSELLING,Exams,210,Counselling,IIT JAM,Exams
70,IIT JAM ANSWER KEY,Exams,170,Answer_Key,IIT JAM,Exams
71,IIT JAM CUTOFF,Exams,590,Cut_Off,IIT JAM,Exams
72,NEET MDS,Exams,8100,Overview,NEET MDS,Exams
73,NEET MDS APPLICATION FORM,Exams,140,Application,NEET MDS,Exams
74,NEET MDS ADMIT CARD,Exams,480,Admit_Card,NEET MDS,Exams
75,NEET MDS EXAM PATTERN,Exams,110,Exam_Pattern,NEET MDS,Exams
76,NEET MDS SYLLABUS,Exams,390,Syllabus,NEET MDS,Exams
77,NEET MDS RESULT,Exams,2400,Result,NEET MDS,Exams
78,NEET MDS COUNSELLING,Exams,1900,Counselling,NEET MDS,Exams
79,JIPMER PG,Exams,260,Overview,JIPMER,Exams
