,Keyword,Tag,Search Volume,Category,Exam Tag,new_tag
11680,Yale University Admission,Study_Abroad,90,Admission,,Study_Abroad-part_1
11681,Morehouse College Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11682,Lafayette College Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11683,Midwestern State University Admission,Study_Abroad,10,Admission,,Study_Abroad-part_1
11684,Ball State University Admission,Study_Abroad,10,Admission,,Study_Abroad-part_1
11685,Davidson College Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11686,University of Hartford Admission,Study_Abroad,10,Admission,,Study_Abroad-part_1
11687,Berry College Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11688,Swarthmore College Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11689,Spelman College Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11690,Queens College Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11691,Delaware State University Admission,Study_Abroad,10,Admission,,Study_Abroad-part_1
11692,Capital University Admission,Study_Abroad,10,Admission,,Study_Abroad-part_1
11693,University of Hawaii Admission,Study_Abroad,10,Admission,,Study_Abroad-part_1
11694,College of DuPage Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11695,"University of Arkansas, Little Rock Admission",Study_Abroad,0,Admission,,Study_Abroad-part_1
11696,"University of North Carolina, Chapel Hill Admission",Study_Abroad,20,Admission,,Study_Abroad-part_1
11697,University of Waterloo Admission,Study_Abroad,90,Admission,,Study_Abroad-part_1
11698,Providence College Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11699,McMaster University Admission,Study_Abroad,30,Admission,,Study_Abroad-part_1
11700,Bowdoin College Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11701,University of Toledo Admission,Study_Abroad,10,Admission,,Study_Abroad-part_1
11702,Colgate University Admission,Study_Abroad,10,Admission,,Study_Abroad-part_1
11703,University of Nottingham Admission,Study_Abroad,10,Admission,,Study_Abroad-part_1
11704,Dawson College Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11705,University of Utah Admission,Study_Abroad,10,Admission,,Study_Abroad-part_1
11706,Pomona College Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11707,Georgia State University Admission,Study_Abroad,50,Admission,,Study_Abroad-part_1
11708,University of Saskatchewan Admission,Study_Abroad,30,Admission,,Study_Abroad-part_1
11709,Clark Atlanta University Admission,Study_Abroad,10,Admission,,Study_Abroad-part_1
11710,Bates College Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11711,Colby College Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11712,Massachusetts Institute of Technology Admission,Study_Abroad,320,Admission,,Study_Abroad-part_1
11713,Occidental College Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11714,Vassar College Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11715,University of Cambridge Admission,Study_Abroad,260,Admission,,Study_Abroad-part_1
11716,Amherst College Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11717,Northwest University Admission,Study_Abroad,20,Admission,,Study_Abroad-part_1
11718,Reed College Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11719,University of Melbourne Admission,Study_Abroad,50,Admission,,Study_Abroad-part_1
11720,Suny Cortland Admission,Study_Abroad,10,Admission,,Study_Abroad-part_1
11721,University of Glasgow Admission,Study_Abroad,20,Admission,,Study_Abroad-part_1
11722,seneca college admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11723,University of Manitoba Admission,Study_Abroad,30,Admission,,Study_Abroad-part_1
11724,Central Washington University Admission,Study_Abroad,10,Admission,,Study_Abroad-part_1
11725,"University of Illinois, Chicago Admission",Study_Abroad,10,Admission,,Study_Abroad-part_1
11726,"University of Wisconsin, Green Bay Admission",Study_Abroad,0,Admission,,Study_Abroad-part_1
11727,Indiana University Admission,Study_Abroad,10,Admission,,Study_Abroad-part_1
11728,"University of South Florida, Tampa Admission",Study_Abroad,0,Admission,,Study_Abroad-part_1
11729,Pitzer College Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11730,York University Admission,Study_Abroad,30,Admission,,Study_Abroad-part_1
11731,HEC Montreal Admission,Study_Abroad,10,Admission,,Study_Abroad-part_1
11732,University of Regina Admission,Study_Abroad,30,Admission,,Study_Abroad-part_1
11733,University of Edinburgh Admission,Study_Abroad,30,Admission,,Study_Abroad-part_1
11734,Middlesex University Admission,Study_Abroad,20,Admission,,Study_Abroad-part_1
11735,Baylor College of Medicine Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11736,Alabama State University Admission,Study_Abroad,10,Admission,,Study_Abroad-part_1
11737,"Carnegie Mellon University, Adelaide Admission",Study_Abroad,0,Admission,,Study_Abroad-part_1
11738,Stetson University Admission,Study_Abroad,0,Admission,,Study_Abroad-part_1
11739,"Heidelberg University, Tiffin Admission",Study_Abroad,0,Admission,,Study_Abroad-part_1
11740,Swansea University Admission,Study_Abroad,10,Admission,,Study_Abroad-part_1
