0|Delhi University Admission|DU Colleges|6600|Admission|
1|Delhi University Courses|DU Colleges|4400|Course|
2|Delhi University Fees|DU Colleges|2900|Fees|
3|Delhi University Hostel|DU Colleges|1000|Hostel|
4|Delhi University Placement|DU Colleges|390|Placement|
5|Delhi University Cut Off|DU Colleges|5400|Cut Off|
6|sol du Admission|DU Colleges|4400|Admission|
7|sol du Courses|DU Colleges|260|Course|
8|miranda house Courses|DU Colleges|480|Course|
9|miranda house Fees|DU Colleges|390|Fees|
10|miranda house Hostel|DU Colleges|720|Hostel|
11|miranda house Cut Off|DU Colleges|1300|Cut Off|
12|srcc Admission|DU Colleges|170|Admission|
13|srcc Courses|DU Colleges|590|Course|
14|srcc Fees|DU Colleges|480|Fees|
15|srcc Hostel|DU Colleges|210|Hostel|
16|srcc Placement|DU Colleges|880|Placement|
17|srcc Cut Off|DU Colleges|2900|Cut Off|
18|jmc Admission|DU Colleges|170|Admission|
19|jmc Cut Off|DU Colleges|210|Cut Off|
20|Delhi University Scholarship|DU Colleges|260|Scholarship|
21|sol du Fees|DU Colleges|170|Fees|
22|miranda house Placement|DU Colleges|260|Placement|
23|jmc Courses|DU Colleges|170|Course|
24|svc Fees|DU Colleges|210|Fees|
25|keshav mahavidyalaya Placement|DU Colleges|170|Placement|
26|keshav mahavidyalaya Cut Off|DU Colleges|110|Cut Off|
27|lsr Courses|DU Colleges|210|Course|
28|lsr Fees|DU Colleges|170|Fees|
29|lsr Hostel|DU Colleges|260|Hostel|
30|lsr Placement|DU Colleges|170|Placement|
31|lsr Cut Off|DU Colleges|590|Cut Off|
32|dipsar Admission|DU Colleges|480|Admission|
33|maulana azad institute of dental sciences Cut Off|DU Colleges|140|Cut Off|
34|FMS Admission|DU Colleges|480|Admission|
35|FMS Courses|DU Colleges|320|Course|
36|FMS Fees|DU Colleges|1000|Fees|
37|FMS Hostel|DU Colleges|110|Hostel|
38|FMS Placement|DU Colleges|1300|Placement|
39|FMS Scholarship|DU Colleges|260|Scholarship|
40|FMS Cut Off|DU Colleges|1300|Cut Off|
41|NEET|Exams|823000|Overview|NEET
42|NEET APPLICATION FORM|Exams|14800|Application|NEET
43|NEET REGISTRATION|Exams|12100|Application|NEET
44|NEET ELIGIBILITY|Exams|6600|Eligibility|NEET
45|NEET RESERVATION|Exams|1000|General|NEET
46|NEET EXAM DATES|Exams|27100|Exam Dates|NEET
47|NEET ADMIT CARD|Exams|49500|Admit Card|NEET
48|NEET EXAM CENTERS|Exams|3600|Exam Centers|NEET
49|NEET EXAM PATTERN|Exams|5400|Exam Pattern|NEET
50|NEET PAPER ANALYSIS|Exams|590|Paper Analysis|NEET
51|NEET SYLLABUS|Exams|33100|Syllabus|NEET
52|NEET PREPARATION TIPS|Exams|1600|Preparation|NEET
53|NEET PRACTICE PAPERS|Exams|880|Practice Papers|NEET
54|NEET RESULT|Exams|165000|Result|NEET
55|NEET MERIT LIST|Exams|720|Counselling|NEET
56|NEET COUNSELLING|Exams|14800|Counselling|NEET
57|NEET ANSWER KEY|Exams|5400|Answer Key|NEET
58|NEET CUTOFF|Exams|6600|Cut Off|NEET
59|NEET RANK PREDICTOR|Exams|8100|Rank Predictor|NEET
60|NEET NOTIFICATION|Exams|720|Notification|NEET
61|IIT JAM|Exams|49500|Overview|IIT JAM
62|IIT JAM APPLICATION FORM|Exams|260|Application|IIT JAM
63|IIT JAM ELIGIBILITY|Exams|2900|Eligibility|IIT JAM
64|IIT JAM EXAM DATES|Exams|210|Exam Dates|IIT JAM
65|IIT JAM ADMIT CARD|Exams|480|Admit Card|IIT JAM
66|IIT JAM EXAM PATTERN|Exams|480|Exam Pattern|IIT JAM
67|IIT JAM SYLLABUS|Exams|6600|Syllabus|IIT JAM
68|IIT JAM RESULT|Exams|1000|Result|IIT JAM
69|IIT JAM COUNSELLING|Exams|210|Counselling|IIT JAM
70|IIT JAM ANSWER KEY|Exams|170|Answer Key|IIT JAM
71|IIT JAM CUTOFF|Exams|590|Cut Off|IIT JAM
72|NEET MDS|Exams|8100|Overview|NEET MDS
73|NEET MDS APPLICATION FORM|Exams|140|Application|NEET MDS
74|NEET MDS ADMIT CARD|Exams|480|Admit Card|NEET MDS
75|NEET MDS EXAM PATTERN|Exams|110|Exam Pattern|NEET MDS
76|NEET MDS SYLLABUS|Exams|390|Syllabus|NEET MDS
77|NEET MDS RESULT|Exams|2400|Result|NEET MDS
78|NEET MDS COUNSELLING|Exams|1900|Counselling|NEET MDS
79|JIPMER PG|Exams|260|Overview|JIPMER
80|AIIMS PG|Exams|12100|Overview|AIIMS PG
81|AIIMS PG REGISTRATION|Exams|1600|Application|AIIMS PG
82|AIIMS PG ADMIT CARD|Exams|1600|Admit Card|AIIMS PG
83|AIIMS PG EXAM PATTERN|Exams|140|Exam Pattern|AIIMS PG
84|AIIMS PG RESULT|Exams|1900|Result|AIIMS PG
85|AIIMS PG COUNSELLING|Exams|210|Counselling|AIIMS PG
86|AIIMS PG CUTOFF|Exams|170|Cut Off|AIIMS PG
87|NEET PG|Exams|74000|Overview|NEET
88|NEET PG application|Exams|480|Application|NEET
89|NEET PG admit card|Exams|6600|Admit Card|NEET
90|NEET PG eligibility|Exams|590|Eligibility|NEET
91|NEET PG exam pattern|Exams|720|Exam Pattern|NEET
92|NEET PG syllabus|Exams|2400|Syllabus|NEET
93|NEET PG result|Exams|9900|Result|NEET
94|NEET PG counselling|Exams|880|Counselling|NEET
95|NEET PG cut off|Exams|720|Cut Off|NEET
96|NEET PG rank predictor|Exams|1300|Rank Predictor|NEET
97|JEE Main|Exams|1500000|Overview|JEE Main
98|JEE Main Exam Pattern|Exams|2900|Exam Pattern|JEE Main
99|JEE Main Syllabus|Exams|22200|Syllabus|JEE Main
100|JEE Main Registration|Exams|18100|Application|JEE Main
101|JEE Main Preparation|Exams|1000|Preparation|JEE Main
102|JEE Main Preparation Tips|Exams|210|Preparation|JEE Main
103|JEE Main Admit Card|Exams|135000|Admit Card|JEE Main
104|JEE Main Application|Exams|5400|Application|JEE Main
105|JEE Main Exam Dates|Exams|8100|Exam Dates|JEE Main
106|JEE Main FAQs|Exams|210|General|JEE Main
107|JEE Main Latest News|Exams|22200|News|JEE Main
108|JEE Main Ranks vs Marks|Exams|8100|Comparison|JEE Main
109|JEE Main Physics Syllabus|Exams|1600|Syllabus|JEE Main
110|JEE Main Mock Test|Exams|9900|Practice Papers|JEE Main
111|JEE Main Eligibility|Exams|2900|Eligibility|JEE Main
112|JEE Main Form Correction|Exams|590|Form Correction|JEE Main
113|JEE Main Notification|Exams|320|Notification|JEE Main
114|JEE Main Counselling|Exams|8100|Counselling|JEE Main
115|JEE Main Toppers|Exams|2900|General|JEE Main
116|JEE Main Rank Predictor|Exams|6600|Rank Predictor|JEE Main
117|JEE Main Answer key|Exams|22200|Answer Key|JEE Main
118|BITSAT|Exams|110000|Overview|BITSAT
119|BITSAT Exam|Exams|5400|Overview|BITSAT
120|BITSAT Application Form|Exams|1900|Application|BITSAT
121|BITSAT Registration|Exams|1300|Application|BITSAT
122|BITSAT Eligibility|Exams|720|Eligibility|BITSAT
123|BITSAT Admit Card|Exams|3600|Admit Card|BITSAT
124|BITSAT Exam Dates|Exams|5400|Exam Dates|BITSAT
125|BITSAT Exam Centers|Exams|480|Exam Centers|BITSAT
126|BITSAT Exam Pattern|Exams|2400|Exam Pattern|BITSAT
127|BITSAT Syllabus|Exams|3600|Syllabus|BITSAT
128|BITSAT Slot Booking|Exams|8100|Slot Booking|BITSAT
129|BITSAT Preparation|Exams|390|Preparation|BITSAT
130|Best books for BITSAT|Exams|320|Books|BITSAT
131|BITSAT Practice Papers|Exams|140|Practice Papers|BITSAT
132|BITSAT Sample Paper|Exams|2900|Practice Papers|BITSAT
133|BITSAT Sample Papers|Exams|2900|Practice Papers|BITSAT
134|BITSAT Mock Test|Exams|4400|Practice Papers|BITSAT
135|BITSAT Result|Exams|1600|Result|BITSAT
136|BITSAT Counselling|Exams|880|Counselling|BITSAT
137|BITSAT Cutoff|Exams|8100|Cut Off|BITSAT
138|BITSAT Fees|Exams|3600|Fees|BITSAT
139|BITSAT Previous Year Papers|Exams|5400|Question Paper|BITSAT
140|JEE Advanced|Exams|301000|Overview|JEE Advance
141|JEE Advanced Application Form|Exams|260|Application|JEE Advance
142|JEE Advanced Registration|Exams|22200|Application|JEE Advance
143|JEE Advanced Eligibility|Exams|1900|Eligibility|JEE Advance
144|JEE Advanced Admit Card|Exams|27100|Admit Card|JEE Advance
145|JEE Advanced Exam Dates|Exams|590|Exam Dates|JEE Advance
146|JEE Advanced Exam Pattern|Exams|1900|Exam Pattern|JEE Advance
147|JEE Advanced Syllabus|Exams|9900|Syllabus|JEE Advance
148|JEE Advanced Preparation|Exams|320|Preparation|JEE Advance
149|Best books for JEE Advanced|Exams|1600|Books|JEE Advance
150|JEE Advanced Practice Papers|Exams|140|Practice Papers|JEE Advance
151|JEE Advanced Sample Paper|Exams|880|Practice Papers|JEE Advance
152|JEE Advanced Sample Papers|Exams|880|Practice Papers|JEE Advance
153|JEE Advanced Mock Test|Exams|2400|Practice Papers|JEE Advance
154|JEE Advanced Result|Exams|22200|Result|JEE Advance
155|JEE Advanced Counselling|Exams|390|Counselling|JEE Advance
156|JEE Advanced Cutoff|Exams|4400|Cut Off|JEE Advance
157|MHT CET|Exams|450000|Overview|MHT CET
158|MHT CET Exam|Exams|1900|Overview|MHT CET
159|MHT CET Application Form|Exams|2900|Application|MHT CET
160|MHT CET Registration|Exams|2900|Application|MHT CET
161|MHT CET Eligibility|Exams|480|Eligibility|MHT CET
162|MHT CET Admit Card|Exams|27100|Admit Card|MHT CET
163|MHT CET Exam Dates|Exams|4400|Exam Dates|MHT CET
164|MHT CET Exam Centers|Exams|320|Exam Centers|MHT CET
165|MHT CET Exam Pattern|Exams|880|Exam Pattern|MHT CET
