,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,ignou,12,https://collegedunia.com/university/25451-indira-gandhi-national-open-university-ignou-new-delhi,,,29,https://www.shiksha.com/university/ignou-indira-gandhi-national-open-university-delhi-3030,26,https://university.careers360.com/articles/ignou-date-sheet,,,,,,,,,,,,,,,,,9257,College,2740000,,,College-HS
1,pkitm,1,https://collegedunia.com/college/58719-pk-institute-of-technology-and-management-pkitm-mathura,,,,,51,https://www.careers360.com/colleges/pk-institute-of-technology-and-management-mathura,3,https://www.collegedekho.com/colleges/pk-institute-of-technology-management,,,,,,,,,,,,,,,9258,College,1830000,,,College-HS
2,rgpv,5,https://collegedunia.com/university/25681-rajiv-gandhi-proudyogiki-vishwavidyalaya-rgpv-bhopal,,,7,https://www.shiksha.com/university/rgpv-rajiv-gandhi-proudyogiki-vishwavidyalaya-bhopal-51542,20,https://www.careers360.com/university/rajiv-gandhi-proudyogiki-vishwavidyalaya-bhopal,,,,,97,https://admission.aglasem.com/institutes/madhya-pradesh-colleges-universities/,,,81,https://www.fresherslive.com/education/rajiv-gandhi-proudyogiki-vishwavidyalaya,77,https://www.embibe.com/exams/rgpv-diploma-result/,,,,,9259,College,550000,,,College-HS
3,aktu,5,https://collegedunia.com/university/25941-dr-apj-abdul-kalam-technical-university-aktu-lucknow,,,9,https://www.shiksha.com/university/aktu-dr-a-p-j-abdul-kalam-technical-university-uptu-lucknow-57835,18,https://www.careers360.com/university/dr-apj-abdul-kalam-technical-university-lucknow,60,https://www.collegedekho.com/university/aktu,,,43,https://colleges.aglasem.com/dr-apj-abdul-kalam-technical-university-aktu-lucknow/home,,,,,30,https://www.embibe.com/exams/aktu-result/,,,83,https://www.buddy4study.com/article/up-scholarship,9260,College,550000,,,College-HS
4,calicut university,20,https://collegedunia.com/university/25654-calicut-university-cu-calicut,,,21,https://www.shiksha.com/university/calicut-university-51534,52,https://university.careers360.com/articles/calicut-university-admission,70,https://www.collegedekho.com/university/calicut-university,,,47,https://institutes.aglasem.com/calicut-university-exam-results/,,,,,,,,,,,9261,College,550000,,,College-HS
5,lnmu,25,https://collegedunia.com/university/25413-lalit-narayan-mithila-university-lnmu-darbhanga/placement,,,27,https://www.shiksha.com/university/lnmu-lalit-narayan-mithila-university-bihar-other-20508/admission,,,,,,,78,https://colleges.aglasem.com/lalit-narayan-mithila-university-lnmu-darbhanga/home,,,69,https://www.fresherslive.com/education/lnmu-admit-card-106531,57,https://www.embibe.com/exams/lnmu-result/,,,,,9262,College,550000,,,College-HS
6,lnmu,25,https://collegedunia.com/university/25413-lalit-narayan-mithila-university-lnmu-darbhanga/placement,,,28,https://www.shiksha.com/university/lnmu-lalit-narayan-mithila-university-bihar-other-20508/admission,,,,,,,78,https://colleges.aglasem.com/lalit-narayan-mithila-university-lnmu-darbhanga/home,,,69,https://www.fresherslive.com/education/lnmu-admit-card-106531,57,https://www.embibe.com/exams/lnmu-result/,,,,,9262,College,550000,,,College-HS
7,lnmu,25,https://collegedunia.com/university/25413-lalit-narayan-mithila-university-lnmu-darbhanga/placement,,,29,https://www.shiksha.com/university/lnmu-lalit-narayan-mithila-university-bihar-other-20508,,,,,,,78,https://colleges.aglasem.com/lalit-narayan-mithila-university-lnmu-darbhanga/home,,,69,https://www.fresherslive.com/education/lnmu-admit-card-106531,57,https://www.embibe.com/exams/lnmu-result/,,,,,9262,College,550000,,,College-HS
8,Gujarat University,14,https://collegedunia.com/university/25491-gujarat-university-gu-ahmedabad,,,22,https://www.shiksha.com/university/gujarat-university-ahmedabad-29851,33,https://www.careers360.com/university/gujarat-university-ahmedabad,,,,,,,,,,,,,,,,,9263,College,550000,,,College-HS
9,mjpru,21,https://collegedunia.com/msc/uttar-pradesh/mahatma-jyotiba-phule-rohilkhand-university-mjpru-affiliated-colleges,,,18,https://www.shiksha.com/university/mahatma-jyotiba-phule-rohilkhand-university-bareilly-20593/admission,25,https://www.careers360.com/university/mahatma-jyotiba-phule-rohilkhand-university-bareilly/courses,38,https://www.collegedekho.com/colleges/connect-mjp-rohilkhand-university,94,https://jeemains.in/mahatma-jyotiba-phule-rohilkhand-university-bareilly-25955-about/,97,https://institutes.aglasem.com/mjpru/,,,49,https://www.fresherslive.com/education/mjpru-result-102052,11,https://www.embibe.com/exams/mjpru-result/,,,,,9264,College,450000,,,College-HS
10,vmou,4,https://collegedunia.com/university/25854-vardhman-mahaveer-open-university-vmou-kota/admission,,,12,https://www.shiksha.com/university/vmou-vardhman-mahaveer-open-university/vmou-met-exam,,,9,https://www.collegedekho.com/colleges/vmou-kota,,,21,https://admission.aglasem.com/vmou-mba-entrance-test/,,,22,https://www.fresherslive.com/education/vmou-result-101126,33,https://www.embibe.com/exams/vmou-time-table/,,,,,9265,College,450000,,,College-HS
11,vmou,4,https://collegedunia.com/university/25854-vardhman-mahaveer-open-university-vmou-kota/admission,,,12,https://www.shiksha.com/university/vmou-vardhman-mahaveer-open-university/vmou-met-exam,,,10,https://www.collegedekho.com/colleges/vmou-kota,,,21,https://admission.aglasem.com/vmou-mba-entrance-test/,,,22,https://www.fresherslive.com/education/vmou-result-101126,33,https://www.embibe.com/exams/vmou-time-table/,,,,,9265,College,450000,,,College-HS
