,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,icar result,29,https://collegedunia.com/exams/icar-aieea/results,,,13,https://www.shiksha.com/science/icar-aieea-exam-results,5,https://university.careers360.com/articles/icar-aieea-result,8,https://www.collegedekho.com/exam/icar-aieea/cut-off-results,28,https://admission.aglasem.com/aieea-ug-result/,,,58,https://www.fresherslive.com/education/icar-aieea-result-100893,45,https://www.embibe.com/exams/icar-aieea-result/,,,,,5692,Prepp,18100,Result,,Prepp-C2
1,banking syllabus,30,https://collegedunia.com/courses/diploma-in-banking-and-finance/syllabus,6,https://prepp.in/news/g-34242-bank-exam-syllabus-2021-sbi-ibps-rrb-and-rbi,15,https://www.shiksha.com/sarkari-exams/banking/exams-sb-21-107,51,https://www.careers360.com/courses/banking-law-course,32,https://www.collegedekho.com/courses/bba-in-banking-and-insurance/,,,1,https://byjus.com/bank-exam-syllabus/,98,https://www.fresherslive.com/competitive-exams/jammu-and-kashmir-bank-syllabus-109415,11,https://www.embibe.com/exams/indian-bank-po-syllabus/,76,https://leverageedu.com/blog/bank-po/,,,6053,Prepp,14800,Syllabus,,Prepp-C2
2,loco pilot salary,18,https://collegedunia.com/courses/diploma-in-electronics/loco-pilot-salary-in-india,3,https://prepp.in/rrb-alp-exam/salary,13,https://www.shiksha.com/exams/rrb-alp-exam-salary,6,https://www.careers360.com/careers/loco-pilot,11,https://www.collegedekho.com/careers/loco-pilot,89,https://hindi.aglasem.com/loco-pilot-salary-hindi/,9,https://byjus.com/rrb-exams/rrb-alp-salary/,,,16,https://www.embibe.com/exams/rrb-alp-salary/,52,https://leverageedu.com/blog/loco-pilot/,,,6054,Prepp,14800,Salary,,Prepp-C2
3,canara bank scholarship,33,https://collegedunia.com/college/56473-canara-bank-school-of-management-cbsms-bangalore/scholarship,,,,,73,https://news.careers360.com/ugc-signs-mou-canara-bank-migration-fellowship-data,,,,,,,47,https://latestnews.fresherslive.com/articles/canara-bank-scholarship-registration-online-application-process-eligibility-documents-required-and-more-221835,12,https://www.embibe.com/exams/canara-bank-scholarship-portal/,8,https://leverageedu.com/blog/canara-bank-scholarship/,18,https://www.buddy4study.com/article/canara-bank-scholarship-portal-for-ugc-schemes,6217,Prepp,12100,Scholarship,,Prepp-C2
4,exam results ts nic in,59,https://collegedunia.com/exams/ts-edcet,,,27,https://www.shiksha.com/boards/ts-ssc-board-results,17,https://school.careers360.com/articles/ts-intermediate-result,,,44,https://boardexam.aglasem.com/ts-inter-2nd-year-result-2021/,,,56,https://www.fresherslive.com/articles/telangana-high-court-result,12,https://www.embibe.com/exams/ts-inter-result/,,,,,6219,Prepp,210,Result,,Prepp-C2
5,npcil recruitment,91,https://collegedunia.com/news/e-60-npcil-recruitment-through-gate-2017,25,https://prepp.in/npcil-recruitment-exam,,,50,https://engineering.careers360.com/articles/npcil-recruitment-through-gate,,,,,,,18,https://www.fresherslive.com/npcil-nuclear-power-corporation-of-india-recruitment,,,,,,,6229,Prepp,14800,Recruitment,,Prepp-C2
6,ib syllabus,62,https://collegedunia.com/courses/master-of-business-administration-mba-international-business/syllabus,5,https://prepp.in/ib-acio-exam/syllabus,2,https://www.shiksha.com/exams/ib-acio-exam-syllabus,33,https://bschool.careers360.com/articles/iift-syllabus,75,https://www.collegedekho.com/courses/pgdm-international-business-ib/,,,,,13,https://www.fresherslive.com/competitive-exams/intelligence-bureau-ib-syllabus-103562,9,https://www.embibe.com/exams/ib-acio-syllabus/,,,,,6412,Prepp,8100,Syllabus,,Prepp-C2
7,drdo recruitment,52,https://collegedunia.com/news/e-60-drdo-recruitment-through-gate,39,https://prepp.in/drdo-ceptam-exam/news,,,,,,,,,,,9,https://www.fresherslive.com/drdo-defence-research-and-development-organisation-recruitment,58,https://www.embibe.com/exams/drdo-mts-recruitment/,,,,,6617,Prepp,18100,Recruitment,,Prepp-C2
8,ssc je salary,80,https://collegedunia.com/qna/question/4950-what-is-the-difference-between-the-ssc-je-and-the-ies-exams,1,https://prepp.in/ssc-je-exam/salary,77,https://www.shiksha.com/exams/ssc-je-exam,17,https://competition.careers360.com/articles/ssc-je-career-growth,,,,,4,https://byjus.com/ssc-exams/ssc-je-salary/,,,6,https://www.embibe.com/exams/ssc-je-salary/,,,,,6682,Prepp,5400,Salary,,Prepp-C2
9,cse syllabus,18,https://collegedunia.com/courses/bachelor-of-science-bsc-computer-science/syllabus,70,https://prepp.in/ias-exam-exam/prelims-syllabus,5,https://www.shiksha.com/engineering/computer-science-engineering-chp,28,https://engineering.careers360.com/articles/gate-syllabus,,,,,6,https://byjus.com/ias/upsc-syllabus/,,,,,60,https://leverageedu.com/blog/bsc-computer-science-syllabus/,,,6759,Prepp,5400,Syllabus,,Prepp-C2
10,drdo vacancy,41,https://collegedunia.com/news/e-60-drdo-recruitment-through-gate,33,https://prepp.in/drdo-ceptam-exam,,,91,https://engineering.careers360.com/articles/drdo-recruitment-through-gate,,,,,,,6,https://www.fresherslive.com/drdo-defence-research-and-development-organisation-recruitment,,,,,,,6824,Prepp,4400,Vacancy,,Prepp-C2
