,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,Algoma University BSc in Environmental Science,7,https://collegedunia.com/canada/college/1-algoma-university-sault-ste-marie/graduate-certificate-environmental-science-210976,,,22,https://studyabroad.shiksha.com/canada/universities/algoma-university,,,40,https://www.collegedekho.com/canada/algoma-university/,,,,,,,,,,,16295,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
1,Carleton University BSc in Biochemistry,6,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-science-bsc-biochemistry-31,,,5,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-science-in-biochemistry,,,,,,,,,,,,,,,16296,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
2,Carleton University BSc in Biology,6,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-science-bsc-biology-35,,,5,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-science-in-biology-bsc,,,,,,,,,,,,,,,16297,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
3,Carleton University BSc in Chemistry,6,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-science-bsc-chemistry-40,,,7,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-science-in-chemistry,,,,,,,,,,,,,,,16298,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
4,Carleton University BEng in Civil Engineering,6,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-engineering-beng-civil-engineering-45,,,7,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-engineering-in-civil-engineering,,,,,,,,,,,,,,,16299,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
5,Carleton University BEng in Electrical Engineering,5,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-engineering-beng-electrical-engineering-74,,,6,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-engineering-in-electrical-engineering,,,35,https://www.collegedekho.com/canada/universities-beng-in-electrical-engineering/,,,,,,,,,,,16300,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
6,Carleton University BSc in Environmental Science,24,https://collegedunia.com/canada/college/104-university-of-toronto-toronto/bachelor-of-science-bsc-environmental-science-8011,,,20,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-science-in-biology-bsc,,,,,,,,,,,,,,,16301,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
7,Carleton University BA in Law,9,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-arts-ba-law-115,,,19,https://studyabroad.shiksha.com/canada/universities/carleton-university,,,,,,,,,,,45,https://leverageedu.com/blog/law-colleges-in-canada/,,,16302,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
8,Carleton University BEng in Mechanical Engineering,9,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-engineering-beng-biomedical-and-mechanical-engineering-197163,,,5,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-engineering-in-mechanical-engineering,,,,,,,,,,,42,https://leverageedu.com/blog/aeronautical-engineering-in-canada/,,,16303,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
9,Carleton University BEng in Mechanical Engineering,10,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-engineering-beng-biomedical-and-mechanical-engineering-197163,,,5,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-engineering-in-mechanical-engineering,,,,,,,,,,,42,https://leverageedu.com/blog/aeronautical-engineering-in-canada/,,,16303,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
