,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_mbbsneet.in,URL_mbbsneet.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,Delhi University Admission,19,https://collegedunia.com/university/25473-delhi-university-du-new-delhi,,,15,https://www.shiksha.com/university/delhi-university-du-24642,8,https://news.careers360.com/du-fourth-cut-off-2021-live-updates-4th-cutoff-released-list-of-jmc-hansraj-srcc-colleges-wise-seats,27,https://www.collegedekho.com/articles/complete-guide-to-delhi-university-ba-bcom-bsc-admission/,,,,,44,https://admission.aglasem.com/delhi-university-admission/,,,,,23,https://www.embibe.com/exams/du-admission/,,,,,0,DU_Colleges,6600,Admission,,part_1
1,Delhi University Admission,19,https://collegedunia.com/university/25473-delhi-university-du-new-delhi,,,15,https://www.shiksha.com/university/delhi-university-du-24642,9,https://news.careers360.com/du-fourth-cut-off-2021-live-updates-4th-cutoff-released-list-of-jmc-hansraj-srcc-colleges-wise-seats,27,https://www.collegedekho.com/articles/complete-guide-to-delhi-university-ba-bcom-bsc-admission/,,,,,44,https://admission.aglasem.com/delhi-university-admission/,,,,,23,https://www.embibe.com/exams/du-admission/,,,,,0,DU_Colleges,6600,Admission,,part_1
2,Delhi University Admission,19,https://collegedunia.com/university/25473-delhi-university-du-new-delhi,,,15,https://www.shiksha.com/university/delhi-university-du-24642,10,https://university.careers360.com/articles/du-admission,27,https://www.collegedekho.com/articles/complete-guide-to-delhi-university-ba-bcom-bsc-admission/,,,,,44,https://admission.aglasem.com/delhi-university-admission/,,,,,23,https://www.embibe.com/exams/du-admission/,,,,,0,DU_Colleges,6600,Admission,,part_1
3,Delhi University Courses,6,https://collegedunia.com/university/25473-delhi-university-du-new-delhi,,,8,https://www.shiksha.com/university/delhi-university-du-24642/courses,7,https://university.careers360.com/articles/du-courses,26,https://www.collegedekho.com/university/delhi-university,,,,,,,,,,,53,https://www.embibe.com/exams/du-courses/,41,https://leverageedu.com/blog/delhi-university-courses-after-12th/,,,1,DU_Colleges,4400,Course,,part_1
4,Delhi University Courses,6,https://collegedunia.com/university/25473-delhi-university-du-new-delhi,,,9,https://www.shiksha.com/university/delhi-university-du-24642/courses,7,https://university.careers360.com/articles/du-courses,26,https://www.collegedekho.com/university/delhi-university,,,,,,,,,,,53,https://www.embibe.com/exams/du-courses/,41,https://leverageedu.com/blog/delhi-university-courses-after-12th/,,,1,DU_Colleges,4400,Course,,part_1
5,Delhi University Courses,6,https://collegedunia.com/university/25473-delhi-university-du-new-delhi,,,10,https://www.shiksha.com/university/delhi-university-du-24642,7,https://university.careers360.com/articles/du-courses,26,https://www.collegedekho.com/university/delhi-university,,,,,,,,,,,53,https://www.embibe.com/exams/du-courses/,41,https://leverageedu.com/blog/delhi-university-courses-after-12th/,,,1,DU_Colleges,4400,Course,,part_1
6,Delhi University Fees,6,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/courses-fees,,,9,https://www.shiksha.com/university/delhi-university-du-24642/courses,1,https://university.careers360.com/articles/du-fees,37,https://www.collegedekho.com/university/delhi-university,,,,,,,,,,,,,,,,,2,DU_Colleges,2900,Fees,,part_1
7,Delhi University Fees,7,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/courses-fees,,,9,https://www.shiksha.com/university/delhi-university-du-24642/courses,1,https://university.careers360.com/articles/du-fees,37,https://www.collegedekho.com/university/delhi-university,,,,,,,,,,,,,,,,,2,DU_Colleges,2900,Fees,,part_1
8,Delhi University Fees,8,https://collegedunia.com/university/25473-delhi-university-du-new-delhi,,,9,https://www.shiksha.com/university/delhi-university-du-24642/courses,1,https://university.careers360.com/articles/du-fees,37,https://www.collegedekho.com/university/delhi-university,,,,,,,,,,,,,,,,,2,DU_Colleges,2900,Fees,,part_1
9,Delhi University Hostel,5,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/hostel,,,19,https://www.shiksha.com/humanities-social-sciences/articles/du-admissions-check-list-of-hostels-seats-available-blogId-17595,35,https://www.careers360.com/university/university-of-delhi-delhi/facilities,8,https://www.collegedekho.com/articles/top-10-hostels-in-delhi-university/,,,,,,,,,,,,,,,,,3,DU_Colleges,1000,Hostel,,part_1
