Keyword,Rank,Website,Date,URL,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
phd biomedical engineering,1,TOP SITE,30-10-2021,https://www.phdportal.com/disciplines/30/bio-biomedical-engineering.html,3079,Courses,210,Course,,Courses
phd biomedical engineering,3,collegedunia.com,30-10-2021,https://collegedunia.com/courses/phd-biomedical-engineering,3079,Courses,210,Course,,Courses
phd biomedical engineering,7,careers360.com,30-10-2021,https://engineering.careers360.com/colleges/list-of-phd-in-biomedical-engineering-colleges-in-india,3079,Courses,210,Course,,Courses
mba,1,TOP SITE,30-10-2021,https://www.mba.com/,3080,Courses,135000,Course,,Courses
mba,3,collegedunia.com,30-10-2021,https://collegedunia.com/courses/master-of-business-administration-mba,3080,Courses,135000,Course,,Courses
mba,9,shiksha.com,30-10-2021,https://www.shiksha.com/mba-masters-of-business-administration-chp,3080,Courses,135000,Course,,Courses
mba,77,careers360.com,30-10-2021,https://www.careers360.com/courses/mba-master-of-business-administration,3080,Courses,135000,Course,,Courses
master of science,1,TOP SITE,30-10-2021,"https://en.wikipedia.org/wiki/Master_of_Science#:~:text=A%20Master%20of%20Science%20(Latin,person%20holding%20such%20a%20degree.",3081,Courses,8100,Course,,Courses
master of science,6,shiksha.com,30-10-2021,https://www.shiksha.com/m-sc-master-of-science-chp,3081,Courses,8100,Course,,Courses
master of science,9,careers360.com,30-10-2021,https://www.careers360.com/courses/msc-master-of-science,3081,Courses,8100,Course,,Courses
master of science,16,collegedunia.com,30-10-2021,https://collegedunia.com/courses/master-of-science-ms,3081,Courses,8100,Course,,Courses
master of science,84,collegedekho.com,30-10-2021,https://www.collegedekho.com/courses/master-of-science-msc/,3081,Courses,8100,Course,,Courses
MD,1,TOP SITE,30-10-2021,https://www.mdanderson.org/,3082,Courses,74000,Course,,Courses
d el ed,1,TOP SITE,30-10-2021,https://updeled.gov.in/,3083,Courses,74000,Course,,Courses
d el ed,4,collegedunia.com,30-10-2021,https://collegedunia.com/courses/diploma-in-elementary-education-deled,3083,Courses,74000,Course,,Courses
d el ed,6,careers360.com,30-10-2021,https://www.careers360.com/courses/deled-diploma-in-elementary-education,3083,Courses,74000,Course,,Courses
d el ed,28,aglasem.com,30-10-2021,https://admission.aglasem.com/d-el-ed/,3083,Courses,74000,Course,,Courses
d el ed,35,shiksha.com,30-10-2021,https://www.shiksha.com/d-el-ed-diploma-in-elementary-education-chp,3083,Courses,74000,Course,,Courses
bba,1,TOP SITE,30-10-2021,"https://timesofindia.indiatimes.com/home/education/news/know-all-about-bba-course/articleshow/75248319.cms#:~:text=BBA%20is%20a%20three%20years,BBA%20develop%20entrepreneurship.",3084,Courses,90500,Course,,Courses
bba,2,collegedunia.com,30-10-2021,https://collegedunia.com/courses/bachelor-of-business-administration-bba,3084,Courses,90500,Course,,Courses
bba,3,shiksha.com,30-10-2021,https://www.shiksha.com/bba-bachelor-of-business-administration-chp,3084,Courses,90500,Course,,Courses
bba,4,careers360.com,30-10-2021,https://www.careers360.com/courses/bba-bachelor-of-business-administration,3084,Courses,90500,Course,,Courses
B Pharmacy,1,TOP SITE,30-10-2021,https://www.collegedekho.com/courses/b-pharma/,3085,Courses,110000,Course,,Courses
B Pharmacy,1,collegedekho.com,30-10-2021,https://www.collegedekho.com/courses/b-pharma/,3085,Courses,110000,Course,,Courses
B Pharmacy,2,collegedunia.com,30-10-2021,https://collegedunia.com/courses/bachelor-of-pharmacy-bpharma,3085,Courses,110000,Course,,Courses
B Pharmacy,13,shiksha.com,30-10-2021,https://www.shiksha.com/bachelor-of-pharmacy-b-pharma-chp,3085,Courses,110000,Course,,Courses
B Pharmacy,15,careers360.com,30-10-2021,https://pharmacy.careers360.com/colleges/list-of-bpharma-colleges-in-uttar-pradesh,3085,Courses,110000,Course,,Courses
B Pharmacy,16,leverageedu.com,30-10-2021,https://leverageedu.com/blog/b-pharmacy-subjects/,3085,Courses,110000,Course,,Courses
bsc nursing,1,TOP SITE,30-10-2021,"https://collegedunia.com/courses/bachelor-of-science-bsc-nursing#:~:text=BSc%20in%20Nursing%20is%20a,detailed%20nursing%20to%20medical%20aspirants.&text=Bsc%20Nursing%20is%20provided%20through%20the%20MNS%20Nursing%20exam%20to,from%20INR%202.5%20%2D%208%20LPA.",3086,Courses,90500,Course,,Courses
bsc nursing,1,collegedunia.com,30-10-2021,"https://collegedunia.com/courses/bachelor-of-science-bsc-nursing#:~:text=BSc%20in%20Nursing%20is%20a,detailed%20nursing%20to%20medical%20aspirants.&text=Bsc%20Nursing%20is%20provided%20through%20the%20MNS%20Nursing%20exam%20to,from%20INR%202.5%20%2D%208%20LPA.",3086,Courses,90500,Course,,Courses
bsc nursing,2,collegedekho.com,30-10-2021,https://www.collegedekho.com/courses/bsc-nursing/,3086,Courses,90500,Course,,Courses
bsc nursing,6,careers360.com,30-10-2021,https://www.careers360.com/courses/b-sc-nursing,3086,Courses,90500,Course,,Courses
bsc nursing,8,shiksha.com,30-10-2021,https://www.shiksha.com/nursing/articles/bsc-nursing-admission-2021-in-india-dates-eligibility-entrance-exams-admission-process-blogId-55849,3086,Courses,90500,Course,,Courses
