,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,bseodisha ac in,61,https://collegedunia.com/news/odisha-10th-result-2021-declared-alertid-36536,37,https://prepp.in/news/e-787-osstet-admit-card-2021-released-on-bseodishaacin-download-link-here,41,https://www.shiksha.com/sarkari-exams/teaching/articles/bse-odisha-released-otet-2021-application-fill-the-otet-applications-till-march-9-blogId-55025,16,https://news.careers360.com/osstet-answer-key-2021-released-at-bseodishaacin-download-now,,,,,,,81,https://byjus.com/maths/pythagoras-theorem/,,,,,,,,,5715,Prepp,74000,General,,Prepp-C3
1,cse paper i current events of national and international importance,61,https://collegedunia.com/exams/clat,22,https://prepp.in/opsc-exam/syllabus,5,https://www.shiksha.com/exams/ias-exam-syllabus,15,https://competition.careers360.com/articles/ias-syllabus-current-events-of-national-and-international-importance,,,,,,,9,https://byjus.com/ias/upsc-syllabus/,99,https://www.fresherslive.com/current-affairs/science-technology-current-affairs,,,86,https://leverageedu.com/blog/upsc-essay-topics/,,,5725,Prepp,18100,General,,Prepp-C3
2,ies,37,https://collegedunia.com/qna/question/5839-what-is-the-difference-between-ies-and-ese,7,https://prepp.in/ies-exam/eligibility,6,https://www.shiksha.com/exams/ies-exam,79,https://news.careers360.com/upsc-ies-iss-exam-2021-begins-check-exam-day-guidelines,100,https://www.collegedekho.com/articles/ies-iss-exam/,,,,,,,,,92,https://www.embibe.com/exams/how-to-prepare-for-gate-and-ies-simultaneously/,,,,,5749,Prepp,33100,General,,Prepp-C3
3,ies,37,https://collegedunia.com/qna/question/5839-what-is-the-difference-between-ies-and-ese,8,https://prepp.in/ies-exam/eligibility,6,https://www.shiksha.com/exams/ies-exam,79,https://news.careers360.com/upsc-ies-iss-exam-2021-begins-check-exam-day-guidelines,100,https://www.collegedekho.com/articles/ies-iss-exam/,,,,,,,,,92,https://www.embibe.com/exams/how-to-prepare-for-gate-and-ies-simultaneously/,,,,,5749,Prepp,33100,General,,Prepp-C3
4,ies,37,https://collegedunia.com/qna/question/5839-what-is-the-difference-between-ies-and-ese,9,https://prepp.in/ies-exam,6,https://www.shiksha.com/exams/ies-exam,79,https://news.careers360.com/upsc-ies-iss-exam-2021-begins-check-exam-day-guidelines,100,https://www.collegedekho.com/articles/ies-iss-exam/,,,,,,,,,92,https://www.embibe.com/exams/how-to-prepare-for-gate-and-ies-simultaneously/,,,,,5749,Prepp,33100,General,,Prepp-C3
5,pstcl,77,https://collegedunia.com/news/e-60-pstcl-recruitment-through-gate-2017,40,https://prepp.in/news/e-839-pstcl-to-recruit-500-alm--assa-in-2021,,,,,,,,,,,,,42,https://www.fresherslive.com/competitive-exams/pstcl-dv-schedule-109361,,,,,,,5847,Prepp,40500,General,,Prepp-C3
6,anudeep durishetty,32,https://images.static-collegedunia.com/public/image/31c243be3659206909293686f55625b5.pdf,20,https://prepp.in/news/e-492-ias-upsc-cse-2017-topper-anudeep-durishetty-strategy-to-ace-the-interview,,,,,,,,,,,7,https://byjus.com/free-ias-prep/meet-upsc-2017-topper-anudeep-durishetty/,,,,,,,,,5855,Prepp,27100,General,,Prepp-C3
7,rcfl,50,https://collegedunia.com/news/e-60-rcfl-recruitment-through-gate,,,,,,,,,,,,,,,22,https://www.fresherslive.com/competitive-exams/rcfl-answer-key-109700,,,,,,,5866,Prepp,18100,General,,Prepp-C3
8,loco pilot,4,https://collegedunia.com/courses/diploma-in-electronics/how-to-become-a-loco-pilot,6,https://prepp.in/rrb-alp-exam,49,https://www.shiksha.com/exams/rrb-alp-exam,3,https://www.careers360.com/careers/loco-pilot,1,https://www.collegedekho.com/careers/loco-pilot,,,,,19,https://byjus.com/rrb-exams/rrb-alp/,,,,,5,https://leverageedu.com/blog/loco-pilot/,,,5921,Prepp,22200,General,,Prepp-C3
9,blood relation questions,21,https://collegedunia.com/news/e-242-cat-lr-blood-relations-quiz,60,https://prepp.in/news/e-514-blood-relationship-concepts-in-ssc-cgl-reasoning,,,45,https://competition.careers360.com/articles/blood-relation-question,,,,,,,3,https://byjus.com/govt-exams/blood-relations-logical-reasoning/,6,https://www.fresherslive.com/online-test/blood-relations-questions-and-answers,,,18,https://leverageedu.com/blog/pu/blood-relations-questions/,,,5929,Prepp,22200,General,,Prepp-C3
