,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,Harvard University,17,https://collegedunia.com/usa/college/1090-harvard-university-cambridge,15,https://studyabroad.shiksha.com/usa/universities/harvard-university,,,,,,,,,,,12102,Study_Abroad,165000,College,,Study_Abroad-College-HS
1,University of Oxford,5,https://collegedunia.com/uk/college/865-university-of-oxford-oxford,9,https://studyabroad.shiksha.com/uk/universities/university-of-oxford,,,,,,,,,,,12103,Study_Abroad,135000,College,,Study_Abroad-College-HS
2,Stanford University,23,https://collegedunia.com/usa/college/2074-stanford-university-stanford,6,https://studyabroad.shiksha.com/usa/universities/stanford-university,45,https://news.careers360.com/16-jmi-professors-feature-in-stanfords-university-list-of-top-2-scientists,33,https://www.collegedekho.com/usa/stanford-university/,,,87,https://leverageedu.com/blog/how-to-get-into-stanford/,,,12104,Study_Abroad,110000,College,,Study_Abroad-College-HS
3,University of Toronto(Mississauga),4,https://collegedunia.com/canada/college/102-university-of-toronto-mississauga-mississauga,7,https://studyabroad.shiksha.com/canada/universities/university-of-toronto,,,,,,,,,,,12105,Study_Abroad,90500,College,,Study_Abroad-College-HS
4,University of Toronto,5,https://collegedunia.com/canada/college/104-university-of-toronto-toronto,4,https://studyabroad.shiksha.com/canada/universities/university-of-toronto,,,,,,,24,https://leverageedu.com/universities/university-of-toronto,,,12106,Study_Abroad,90500,College,,Study_Abroad-College-HS
5,University of Cambridge,10,https://collegedunia.com/uk/college/800-university-of-cambridge-cambridge,7,https://studyabroad.shiksha.com/uk/universities/university-of-cambridge,85,https://news.careers360.com/cambridge-university-names-chemistry-dept-after-ciplas-yusuf-hamied,,,,,,,,,12107,Study_Abroad,90500,College,,Study_Abroad-College-HS
6,Columbia University,33,https://collegedunia.com/usa/college/1711-columbia-university-new-york-city,31,https://studyabroad.shiksha.com/usa/universities/columbia-university,,,97,https://www.collegedekho.com/usa/columbia-university/,,,,,,,12108,Study_Abroad,60500,College,,Study_Abroad-College-HS
7,University of British Columbia,8,https://collegedunia.com/canada/college/64-the-university-of-british-columbia-vancouver,3,https://studyabroad.shiksha.com/canada/universities/university-of-british-columbia,,,19,https://www.collegedekho.com/canada/the-university-of-british-columbia/,,,65,https://leverageedu.com/blog/university-of-british-columbia-acceptance-rate/,,,12109,Study_Abroad,60500,College,,Study_Abroad-College-HS
8,University of Alberta,5,https://collegedunia.com/canada/college/9-university-of-alberta-edmonton,3,https://studyabroad.shiksha.com/canada/universities/university-of-alberta,,,25,https://www.collegedekho.com/canada/university-of-alberta/,,,18,https://leverageedu.com/universities/university-of-alberta,,,12110,Study_Abroad,49500,College,,Study_Abroad-College-HS
9,Yale University,20,https://collegedunia.com/usa/college/1699-yale-university-new-haven,5,https://studyabroad.shiksha.com/usa/universities/yale-university,,,,,,,92,https://leverageedu.com/blog/study-at-yale/,60,https://admission.buddy4study.com/study-abroad/yale-university,12111,Study_Abroad,49500,College,,Study_Abroad-College-HS
10,University of Waterloo,6,https://collegedunia.com/canada/college/11-university-of-waterloo-waterloo,3,https://studyabroad.shiksha.com/canada/universities/university-of-waterloo,,,17,https://www.collegedekho.com/canada/university-of-waterloo/,,,18,https://leverageedu.com/universities/university-of-waterloo,,,12112,Study_Abroad,49500,College,,Study_Abroad-College-HS
11,Northeastern University,30,https://collegedunia.com/usa/college/1020-northeastern-university-boston,4,https://studyabroad.shiksha.com/usa/universities/northeastern-university,,,74,https://www.collegedekho.com/ae/usa/northeastern-university/,,,,,,,12114,Study_Abroad,49500,College,,Study_Abroad-College-HS
12,University of California Los Angeles,8,https://collegedunia.com/usa/college/1551-university-of-california-los-angeles-los-angeles,3,https://studyabroad.shiksha.com/usa/universities/university-of-california-los-angeles-campus,,,,,,,,,,,12115,Study_Abroad,49500,College,,Study_Abroad-College-HS
13,Massachusetts Institute of Technology,23,https://collegedunia.com/usa/college/1087-massachusetts-institute-of-technology-cambridge,5,https://studyabroad.shiksha.com/usa/universities/massachusetts-institute-of-technology,,,45,https://www.collegedekho.com/usa/massachusetts-institute-of-technology/,,,32,https://leverageedu.com/universities/massachusetts-institute-of-technology-mit,,,12116,Study_Abroad,40500,College,,Study_Abroad-College-HS
14,McGill University,6,https://collegedunia.com/canada/college/39-mcgill-university-montreal,5,https://studyabroad.shiksha.com/canada/universities/mcgill-university,,,41,https://www.collegedekho.com/canada/mcgill-university/,,,,,,,12117,Study_Abroad,40500,College,,Study_Abroad-College-HS
15,York University,7,https://collegedunia.com/canada/college/109-york-university-toronto,4,https://studyabroad.shiksha.com/canada/universities/york-university,,,40,https://www.collegedekho.com/canada/york-university/,,,,,,,12118,Study_Abroad,40500,College,,Study_Abroad-College-HS
16,Cornell University,22,https://collegedunia.com/usa/college/1452-cornell-university-ithaca,8,https://studyabroad.shiksha.com/usa/universities/cornell-university,,,,,,,47,https://leverageedu.com/universities/cornell-university,,,12119,Study_Abroad,40500,College,,Study_Abroad-College-HS
17,Boston University,26,https://collegedunia.com/usa/college/1019-boston-university-boston,3,https://studyabroad.shiksha.com/usa/universities/boston-university,,,39,https://www.collegedekho.com/usa/boston-university/,,,,,,,12120,Study_Abroad,40500,College,,Study_Abroad-College-HS
18,Arizona State University,23,https://collegedunia.com/usa/college/2110-arizona-state-university-tempe,4,https://studyabroad.shiksha.com/usa/universities/arizona-state-university,,,,,,,,,,,12121,Study_Abroad,40500,College,,Study_Abroad-College-HS
19,Coventry University,8,https://collegedunia.com/uk/college/804-coventry-university-coventry,3,https://studyabroad.shiksha.com/uk/universities/coventry-university,,,28,https://www.collegedekho.com/united-kingdom/coventry-university/,,,68,https://leverageedu.com/blog/coventry-university-acceptance-rate/,,,12122,Study_Abroad,40500,College,,Study_Abroad-College-HS
20,University of Greenwich,9,https://collegedunia.com/uk/college/848-university-of-greenwich-london,3,https://studyabroad.shiksha.com/uk/universities/university-of-greenwich,,,40,https://www.collegedekho.com/united-kingdom/university-of-greenwich/,,,,,,,12123,Study_Abroad,40500,College,,Study_Abroad-College-HS
21,University of California Berkeley,15,https://collegedunia.com/usa/college/982-university-of-california-berkeley,4,https://studyabroad.shiksha.com/usa/universities/university-of-california-berkeley-campus,,,28,https://www.collegedekho.com/usa/university-of-california-berkeley-campus/,,,,,,,12124,Study_Abroad,40500,College,,Study_Abroad-College-HS
22,University of Hertfordshire,8,https://collegedunia.com/uk/college/819-university-of-hertfordshire-hatfield,3,https://studyabroad.shiksha.com/uk/universities/university-of-hertfordshire,,,27,https://www.collegedekho.com/united-kingdom/university-of-hertfordshire/,,,,,,,12125,Study_Abroad,33100,College,,Study_Abroad-College-HS
23,Princeton University,20,https://collegedunia.com/usa/college/1873-princeton-university-princeton,6,https://studyabroad.shiksha.com/usa/universities/princeton-university,,,52,https://www.collegedekho.com/ae/usa/princeton-university/,,,59,https://leverageedu.com/blog/princeton-university/,,,12126,Study_Abroad,33100,College,,Study_Abroad-College-HS
24,University of Edinburgh,9,https://collegedunia.com/uk/college/810-university-of-edinburgh-edinburgh,5,https://studyabroad.shiksha.com/uk/universities/the-university-of-edinburgh,,,57,https://www.collegedekho.com/united-kingdom/the-university-of-edinburgh/,,,37,https://leverageedu.com/universities/the-university-of-edinburgh,,,12127,Study_Abroad,33100,College,,Study_Abroad-College-HS
25,University of Manchester,12,https://collegedunia.com/uk/college/855-university-of-manchester-manchester,4,https://studyabroad.shiksha.com/uk/universities/university-of-manchester,,,35,https://www.collegedekho.com/united-kingdom/university-of-manchester/,,,93,https://leverageedu.com/blog/university-of-manchester-acceptance-rate/,,,12128,Study_Abroad,33100,College,,Study_Abroad-College-HS
26,New York University,29,https://collegedunia.com/usa/college/1713-new-york-university-new-york-city,4,https://studyabroad.shiksha.com/usa/universities/new-york-university,,,,,,,,,,,12129,Study_Abroad,33100,College,,Study_Abroad-College-HS
27,Manchester University,9,https://collegedunia.com/uk/college/855-university-of-manchester-manchester,3,https://studyabroad.shiksha.com/uk/universities/university-of-manchester,,,40,https://www.collegedekho.com/united-kingdom/university-of-manchester/,,,89,https://leverageedu.com/blog/university-of-manchester-acceptance-rate/,,,12130,Study_Abroad,33100,College,,Study_Abroad-College-HS
28,University of Pennsylvania,44,https://collegedunia.com/usa/college/1822-university-of-pennsylvania-philadelphia,15,https://studyabroad.shiksha.com/usa/universities/university-of-pennsylvania,,,,,,,,,,,12131,Study_Abroad,33100,College,,Study_Abroad-College-HS
29,University of Calgary,5,https://collegedunia.com/canada/college/10-university-of-calgary-calgary,3,https://studyabroad.shiksha.com/canada/universities/university-of-calgary,,,,,,,,,,,12132,Study_Abroad,33100,College,,Study_Abroad-College-HS
30,University of Windsor,6,https://collegedunia.com/canada/college/12-university-of-windsor-windsor,3,https://studyabroad.shiksha.com/canada/universities/university-of-windsor,,,16,https://www.collegedekho.com/canada/university-of-windsor/,,,,,,,12133,Study_Abroad,27100,College,,Study_Abroad-College-HS
31,Teesside University,12,https://collegedunia.com/uk/college/856-teesside-university-middlesbrough,3,https://studyabroad.shiksha.com/uk/universities/teesside-university,,,,,,,,,,,12134,Study_Abroad,27100,College,,Study_Abroad-College-HS
32,University of Southern California,9,https://collegedunia.com/usa/college/1552-university-of-southern-california-los-angeles,4,https://studyabroad.shiksha.com/usa/universities/university-of-southern-california,,,28,https://www.collegedekho.com/usa/university-of-southern-california/,,,,,,,12135,Study_Abroad,27100,College,,Study_Abroad-College-HS
33,University of Melbourne,8,https://collegedunia.com/australia/college/609-university-of-melbourne-melbourne,4,https://studyabroad.shiksha.com/australia/universities/the-university-of-melbourne,,,,,,,76,https://leverageedu.com/blog/university-of-melbourne-acceptance-rate/,33,https://admission.buddy4study.com/college/australia-university-of-melbourne-melbourne-1224,12136,Study_Abroad,27100,College,,Study_Abroad-College-HS
