,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,phd biomedical engineering,2,https://collegedunia.com/courses/phd-biomedical-engineering,,,9,https://engineering.careers360.com/colleges/list-of-phd-in-biomedical-engineering-colleges-in-india,,,,,,,,,,,,,,,,,3079,Courses,210,Course,,Courses
1,mba,4,https://collegedunia.com/courses/master-of-business-administration-mba,10,https://www.shiksha.com/mba-masters-of-business-administration-chp,69,https://www.careers360.com/courses/mba-master-of-business-administration,84,https://www.collegedekho.com/courses/master-of-business-administration-mba/,,,,,,,,,,,,,,,3080,Courses,135000,Course,,Courses
2,master of science,8,https://collegedunia.com/courses/master-of-science-ms,3,https://www.shiksha.com/m-sc-master-of-science-chp,9,https://www.careers360.com/courses/msc-master-of-science,,,,,,,,,,,,,53,https://leverageedu.com/blog/master-of-science/,,,3081,Courses,8100,Course,,Courses
3,d el ed,5,https://collegedunia.com/courses/diploma-in-elementary-education-deled,40,https://www.shiksha.com/d-el-ed-diploma-in-elementary-education-chp,6,https://www.careers360.com/courses/deled-diploma-in-elementary-education,,,,,47,https://admission.aglasem.com/d-el-ed/,,,,,,,,,,,3083,Courses,74000,Course,,Courses
4,bba,2,https://collegedunia.com/courses/bachelor-of-business-administration-bba,7,https://www.shiksha.com/bba-bachelor-of-business-administration-chp,6,https://www.careers360.com/courses/bba-bachelor-of-business-administration,,,,,,,,,,,,,,,,,3084,Courses,90500,Course,,Courses
5,B Pharmacy,3,https://collegedunia.com/courses/bachelor-of-pharmacy-bpharma,9,https://www.shiksha.com/bachelor-of-pharmacy-b-pharma-chp,13,https://pharmacy.careers360.com/articles/b-pharmacy-subjects-list,1,https://www.collegedekho.com/courses/b-pharma/,,,,,,,,,,,25,https://leverageedu.com/blog/b-pharmacy-subjects/,,,3085,Courses,110000,Course,,Courses
6,B Pharmacy,3,https://collegedunia.com/courses/bachelor-of-pharmacy-bpharma,9,https://www.shiksha.com/bachelor-of-pharmacy-b-pharma-chp,14,https://pharmacy.careers360.com/articles/b-pharmacy-subjects-list,1,https://www.collegedekho.com/courses/b-pharma/,,,,,,,,,,,25,https://leverageedu.com/blog/b-pharmacy-subjects/,,,3085,Courses,110000,Course,,Courses
7,B Pharmacy,3,https://collegedunia.com/courses/bachelor-of-pharmacy-bpharma,9,https://www.shiksha.com/bachelor-of-pharmacy-b-pharma-chp,15,https://pharmacy.careers360.com/colleges/list-of-bpharma-colleges-in-uttar-pradesh,1,https://www.collegedekho.com/courses/b-pharma/,,,,,,,,,,,25,https://leverageedu.com/blog/b-pharmacy-subjects/,,,3085,Courses,110000,Course,,Courses
8,bsc nursing,1,"https://collegedunia.com/courses/bachelor-of-science-bsc-nursing#:~:text=BSc%20in%20Nursing%20is%20a,detailed%20nursing%20to%20medical%20aspirants.&text=Bsc%20Nursing%20is%20provided%20through%20the%20MNS%20Nursing%20exam%20to,from%20INR%202.5%20%2D%208%20LPA.",10,https://www.shiksha.com/nursing/articles/bsc-nursing-admission-2021-in-india-dates-eligibility-entrance-exams-admission-process-blogId-55849,6,https://www.careers360.com/courses/b-sc-nursing,2,https://www.collegedekho.com/courses/bsc-nursing/,,,,,,,,,46,https://www.embibe.com/exams/bsc-nursing/,,,,,3086,Courses,90500,Course,,Courses
9,bsc nursing,1,"https://collegedunia.com/courses/bachelor-of-science-bsc-nursing#:~:text=BSc%20in%20Nursing%20is%20a,detailed%20nursing%20to%20medical%20aspirants.&text=Bsc%20Nursing%20is%20provided%20through%20the%20MNS%20Nursing%20exam%20to,from%20INR%202.5%20%2D%208%20LPA.",11,https://www.shiksha.com/nursing/articles/bsc-nursing-admission-2021-in-india-dates-eligibility-entrance-exams-admission-process-blogId-55849,6,https://www.careers360.com/courses/b-sc-nursing,2,https://www.collegedekho.com/courses/bsc-nursing/,,,,,,,,,46,https://www.embibe.com/exams/bsc-nursing/,,,,,3086,Courses,90500,Course,,Courses
