,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,Study Accounting in Sweden,1,https://collegedunia.com/sweden/article/study-accounting-in-sweden-top-colleges-admission-process-cost-scholarships-and-job-prospects,,,22,https://studyabroad.shiksha.com/sweden,,,,,,,,,,,,,,,94,https://leverageedu.com/blog/student-loan-for-sweden/,,,14217,Study_Abroad,10,Listing_Page,,Study_Abroad-part_3
1,SAT,15,https://collegedunia.com/exams/sat,,,11,https://studyabroad.shiksha.com/exams/sat,44,https://studyabroad.careers360.com/exams/sat-assessments,34,https://www.collegedekho.com/study-abroad/exam/sat/,,,,,,,,,,,72,https://leverageedu.com/blog/sat-exam-dates/,50,https://www.buddy4study.com/collegeboard,14238,Study_Abroad,90500,Overview,,Study_Abroad-part_3
2,SAT exam,9,https://collegedunia.com/exams/sat,,,2,https://studyabroad.shiksha.com/exams/sat,26,https://studyabroad.careers360.com/exams/sat-assessments,10,https://www.collegedekho.com/study-abroad/exam/sat/,,,,,72,https://byjus.com/full-form/sat-full-form/,74,https://www.fresherslive.com/education/sat-exam,34,https://www.embibe.com/exams/sat/,6,https://leverageedu.com/blog/sat-syllabus/,55,https://www.buddy4study.com/collegeboard,14239,Study_Abroad,40500,Overview,,Study_Abroad-part_3
3,SAT exam,9,https://collegedunia.com/exams/sat,,,2,https://studyabroad.shiksha.com/exams/sat,26,https://studyabroad.careers360.com/exams/sat-assessments,10,https://www.collegedekho.com/study-abroad/exam/sat/,,,,,72,https://byjus.com/full-form/sat-full-form/,74,https://www.fresherslive.com/education/sat-exam,34,https://www.embibe.com/exams/sat/,7,https://leverageedu.com/blog/sat-syllabus/,55,https://www.buddy4study.com/collegeboard,14239,Study_Abroad,40500,Overview,,Study_Abroad-part_3
4,SAT exam,9,https://collegedunia.com/exams/sat,,,2,https://studyabroad.shiksha.com/exams/sat,26,https://studyabroad.careers360.com/exams/sat-assessments,10,https://www.collegedekho.com/study-abroad/exam/sat/,,,,,72,https://byjus.com/full-form/sat-full-form/,74,https://www.fresherslive.com/education/sat-exam,34,https://www.embibe.com/exams/sat/,8,https://leverageedu.com/blog/sat-exam/,55,https://www.buddy4study.com/collegeboard,14239,Study_Abroad,40500,Overview,,Study_Abroad-part_3
5,SAT exam syllabus,4,https://collegedunia.com/exams/sat/exam-pattern,91,https://prepp.in/ntse-exam/exam-pattern,2,https://studyabroad.shiksha.com/exams/sat/syllabus,37,https://studyabroad.careers360.com/exams/sat-assessments,6,https://www.collegedekho.com/study-abroad/exam/sat/syllabus/,,,,,65,https://byjus.com/full-form/sat-full-form/,9,https://www.fresherslive.com/education/sat-exam-syllabus-102065,17,https://www.embibe.com/exams/sat-syllabus/,1,https://leverageedu.com/blog/sat-syllabus/,,,14240,Study_Abroad,6600,Overview,,Study_Abroad-part_3
6,SAT exam dates,10,https://collegedunia.com/exams/sat/exam-dates,,,7,https://studyabroad.shiksha.com/exams/sat/important-dates,39,https://studyabroad.careers360.com/exams/sat-assessments,15,https://www.collegedekho.com/study-abroad/exam/sat/,,,,,,,72,https://www.fresherslive.com/education/sat-exam,50,https://www.embibe.com/exams/sat-exam-dates/,14,https://leverageedu.com/blog/sat-exam-dates/,,,14241,Study_Abroad,4400,Overview,,Study_Abroad-part_3
7,SAT exam dates,10,https://collegedunia.com/exams/sat/exam-dates,,,7,https://studyabroad.shiksha.com/exams/sat/important-dates,39,https://studyabroad.careers360.com/exams/sat-assessments,16,https://www.collegedekho.com/study-abroad/exam/sat/,,,,,,,72,https://www.fresherslive.com/education/sat-exam,50,https://www.embibe.com/exams/sat-exam-dates/,14,https://leverageedu.com/blog/sat-exam-dates/,,,14241,Study_Abroad,4400,Overview,,Study_Abroad-part_3
8,SAT exam dates,10,https://collegedunia.com/exams/sat/exam-dates,,,7,https://studyabroad.shiksha.com/exams/sat/important-dates,39,https://studyabroad.careers360.com/exams/sat-assessments,17,https://www.collegedekho.com/study-abroad/exam/sat/test-dates/,,,,,,,72,https://www.fresherslive.com/education/sat-exam,50,https://www.embibe.com/exams/sat-exam-dates/,14,https://leverageedu.com/blog/sat-exam-dates/,,,14241,Study_Abroad,4400,Overview,,Study_Abroad-part_3
9,SAT exam dates,10,https://collegedunia.com/exams/sat/exam-dates,,,8,https://studyabroad.shiksha.com/exams/sat/important-dates,39,https://studyabroad.careers360.com/exams/sat-assessments,15,https://www.collegedekho.com/study-abroad/exam/sat/,,,,,,,72,https://www.fresherslive.com/education/sat-exam,50,https://www.embibe.com/exams/sat-exam-dates/,14,https://leverageedu.com/blog/sat-exam-dates/,,,14241,Study_Abroad,4400,Overview,,Study_Abroad-part_3
10,SAT exam dates,10,https://collegedunia.com/exams/sat/exam-dates,,,8,https://studyabroad.shiksha.com/exams/sat/important-dates,39,https://studyabroad.careers360.com/exams/sat-assessments,16,https://www.collegedekho.com/study-abroad/exam/sat/,,,,,,,72,https://www.fresherslive.com/education/sat-exam,50,https://www.embibe.com/exams/sat-exam-dates/,14,https://leverageedu.com/blog/sat-exam-dates/,,,14241,Study_Abroad,4400,Overview,,Study_Abroad-part_3
11,SAT exam dates,10,https://collegedunia.com/exams/sat/exam-dates,,,8,https://studyabroad.shiksha.com/exams/sat/important-dates,39,https://studyabroad.careers360.com/exams/sat-assessments,17,https://www.collegedekho.com/study-abroad/exam/sat/test-dates/,,,,,,,72,https://www.fresherslive.com/education/sat-exam,50,https://www.embibe.com/exams/sat-exam-dates/,14,https://leverageedu.com/blog/sat-exam-dates/,,,14241,Study_Abroad,4400,Overview,,Study_Abroad-part_3
12,SAT exam dates,10,https://collegedunia.com/exams/sat/exam-dates,,,9,https://studyabroad.shiksha.com/exams/sat,39,https://studyabroad.careers360.com/exams/sat-assessments,15,https://www.collegedekho.com/study-abroad/exam/sat/,,,,,,,72,https://www.fresherslive.com/education/sat-exam,50,https://www.embibe.com/exams/sat-exam-dates/,14,https://leverageedu.com/blog/sat-exam-dates/,,,14241,Study_Abroad,4400,Overview,,Study_Abroad-part_3
13,SAT exam dates,10,https://collegedunia.com/exams/sat/exam-dates,,,9,https://studyabroad.shiksha.com/exams/sat,39,https://studyabroad.careers360.com/exams/sat-assessments,16,https://www.collegedekho.com/study-abroad/exam/sat/,,,,,,,72,https://www.fresherslive.com/education/sat-exam,50,https://www.embibe.com/exams/sat-exam-dates/,14,https://leverageedu.com/blog/sat-exam-dates/,,,14241,Study_Abroad,4400,Overview,,Study_Abroad-part_3
14,SAT exam dates,10,https://collegedunia.com/exams/sat/exam-dates,,,9,https://studyabroad.shiksha.com/exams/sat,39,https://studyabroad.careers360.com/exams/sat-assessments,17,https://www.collegedekho.com/study-abroad/exam/sat/test-dates/,,,,,,,72,https://www.fresherslive.com/education/sat-exam,50,https://www.embibe.com/exams/sat-exam-dates/,14,https://leverageedu.com/blog/sat-exam-dates/,,,14241,Study_Abroad,4400,Overview,,Study_Abroad-part_3
15,SAT exam dates,11,https://collegedunia.com/exams/sat/exam-dates,,,7,https://studyabroad.shiksha.com/exams/sat/important-dates,39,https://studyabroad.careers360.com/exams/sat-assessments,15,https://www.collegedekho.com/study-abroad/exam/sat/,,,,,,,72,https://www.fresherslive.com/education/sat-exam,50,https://www.embibe.com/exams/sat-exam-dates/,14,https://leverageedu.com/blog/sat-exam-dates/,,,14241,Study_Abroad,4400,Overview,,Study_Abroad-part_3
16,SAT exam dates,11,https://collegedunia.com/exams/sat/exam-dates,,,7,https://studyabroad.shiksha.com/exams/sat/important-dates,39,https://studyabroad.careers360.com/exams/sat-assessments,16,https://www.collegedekho.com/study-abroad/exam/sat/,,,,,,,72,https://www.fresherslive.com/education/sat-exam,50,https://www.embibe.com/exams/sat-exam-dates/,14,https://leverageedu.com/blog/sat-exam-dates/,,,14241,Study_Abroad,4400,Overview,,Study_Abroad-part_3
17,SAT exam dates,11,https://collegedunia.com/exams/sat/exam-dates,,,7,https://studyabroad.shiksha.com/exams/sat/important-dates,39,https://studyabroad.careers360.com/exams/sat-assessments,17,https://www.collegedekho.com/study-abroad/exam/sat/test-dates/,,,,,,,72,https://www.fresherslive.com/education/sat-exam,50,https://www.embibe.com/exams/sat-exam-dates/,14,https://leverageedu.com/blog/sat-exam-dates/,,,14241,Study_Abroad,4400,Overview,,Study_Abroad-part_3
18,SAT exam dates,11,https://collegedunia.com/exams/sat/exam-dates,,,8,https://studyabroad.shiksha.com/exams/sat/important-dates,39,https://studyabroad.careers360.com/exams/sat-assessments,15,https://www.collegedekho.com/study-abroad/exam/sat/,,,,,,,72,https://www.fresherslive.com/education/sat-exam,50,https://www.embibe.com/exams/sat-exam-dates/,14,https://leverageedu.com/blog/sat-exam-dates/,,,14241,Study_Abroad,4400,Overview,,Study_Abroad-part_3
19,SAT exam dates,11,https://collegedunia.com/exams/sat/exam-dates,,,8,https://studyabroad.shiksha.com/exams/sat/important-dates,39,https://studyabroad.careers360.com/exams/sat-assessments,16,https://www.collegedekho.com/study-abroad/exam/sat/,,,,,,,72,https://www.fresherslive.com/education/sat-exam,50,https://www.embibe.com/exams/sat-exam-dates/,14,https://leverageedu.com/blog/sat-exam-dates/,,,14241,Study_Abroad,4400,Overview,,Study_Abroad-part_3
20,SAT exam dates,11,https://collegedunia.com/exams/sat/exam-dates,,,8,https://studyabroad.shiksha.com/exams/sat/important-dates,39,https://studyabroad.careers360.com/exams/sat-assessments,17,https://www.collegedekho.com/study-abroad/exam/sat/test-dates/,,,,,,,72,https://www.fresherslive.com/education/sat-exam,50,https://www.embibe.com/exams/sat-exam-dates/,14,https://leverageedu.com/blog/sat-exam-dates/,,,14241,Study_Abroad,4400,Overview,,Study_Abroad-part_3
21,SAT exam dates,11,https://collegedunia.com/exams/sat/exam-dates,,,9,https://studyabroad.shiksha.com/exams/sat,39,https://studyabroad.careers360.com/exams/sat-assessments,15,https://www.collegedekho.com/study-abroad/exam/sat/,,,,,,,72,https://www.fresherslive.com/education/sat-exam,50,https://www.embibe.com/exams/sat-exam-dates/,14,https://leverageedu.com/blog/sat-exam-dates/,,,14241,Study_Abroad,4400,Overview,,Study_Abroad-part_3
22,SAT exam dates,11,https://collegedunia.com/exams/sat/exam-dates,,,9,https://studyabroad.shiksha.com/exams/sat,39,https://studyabroad.careers360.com/exams/sat-assessments,16,https://www.collegedekho.com/study-abroad/exam/sat/,,,,,,,72,https://www.fresherslive.com/education/sat-exam,50,https://www.embibe.com/exams/sat-exam-dates/,14,https://leverageedu.com/blog/sat-exam-dates/,,,14241,Study_Abroad,4400,Overview,,Study_Abroad-part_3
23,SAT exam dates,11,https://collegedunia.com/exams/sat/exam-dates,,,9,https://studyabroad.shiksha.com/exams/sat,39,https://studyabroad.careers360.com/exams/sat-assessments,17,https://www.collegedekho.com/study-abroad/exam/sat/test-dates/,,,,,,,72,https://www.fresherslive.com/education/sat-exam,50,https://www.embibe.com/exams/sat-exam-dates/,14,https://leverageedu.com/blog/sat-exam-dates/,,,14241,Study_Abroad,4400,Overview,,Study_Abroad-part_3
