,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,KUK Result,12,https://collegedunia.com/news/c-25530-kurukshetra-university-result,,,73,https://www.shiksha.com/articles/kurukshetra-university-result-semester-revaluation-blogId-36261,,,,,,,23,https://institutes.aglasem.com/kuk-result/,,,13,https://www.fresherslive.com/education/kuk-result-100546,26,https://www.embibe.com/exams/kuk-result/,,,,,4232,Result,246000,Result,,part2
1,MDU Result,18,https://collegedunia.com/news/c-25535-mdu-result,,,,,,,,,,,8,https://institutes.aglasem.com/mdu-result/,,,13,https://www.fresherslive.com/education/md-university-result-100518,9,https://www.embibe.com/exams/mdu-result/,,,,,4233,Result,450000,Result,,part2
2,RTMNU Result,5,https://collegedunia.com/news/c-25721-rtmnu-results,,,37,https://www.shiksha.com/articles/rtmnu-result-2021-declared-check-nagpur-university-results-online-at-rtmnuresults-org-blogId-63049,,,,,,,11,https://institutes.aglasem.com/rtmnu-result/,,,7,https://www.fresherslive.com/education/rtmnu-result-100620,4,https://www.embibe.com/exams/rtmnu-result/,,,,,4234,Result,246000,Result,,part2
3,DU Results,12,https://collegedunia.com/news/c-25473-delhi-university-du-results,,,13,https://www.shiksha.com/articles/du-results-2020-released-semester-exam-schedule-revaluation-retotaling-mark-scheme-blogId-34715,8,https://university.careers360.com/articles/du-pg-result,,,,,29,https://institutes.aglasem.com/du-result/,,,35,https://www.fresherslive.com/education/du-result-101139,43,https://www.embibe.com/exams/delhi-university-result/,,,,,4235,Result,90500,Result,,part2
4,DU Results,12,https://collegedunia.com/news/c-25473-delhi-university-du-results,,,13,https://www.shiksha.com/articles/du-results-2020-released-semester-exam-schedule-revaluation-retotaling-mark-scheme-blogId-34715,9,https://university.careers360.com/articles/du-pg-result,,,,,29,https://institutes.aglasem.com/du-result/,,,35,https://www.fresherslive.com/education/du-result-101139,43,https://www.embibe.com/exams/delhi-university-result/,,,,,4235,Result,90500,Result,,part2
5,RCUB Results,35,https://collegedunia.com/university/25623-rani-channamma-university-rcub-belagavi/results,,,77,https://images.shiksha.com/mediadata/articleCtaPdf/30485.pdf?v=1591319923,,,,,,,33,https://institutes.aglasem.com/rcub-results/,,,8,https://www.fresherslive.com/education/rcub-result-103573,29,https://www.embibe.com/exams/rcub-results/,,,,,4236,Result,18100,Result,,part2
6,SPPU Result,12,https://collegedunia.com/news/c-25732-pune-university-result,,,63,https://www.shiksha.com/articles/sppu-result-2021-pune-university-releases-ug-pg-results-know-where-how-to-check-blogId-59729,13,https://university.careers360.com/articles/pune-university-result,,,,,10,https://institutes.aglasem.com/pune-university-result/,,,25,https://www.fresherslive.com/education/pune-university-result-100537,27,https://www.embibe.com/exams/pune-university-result/,,,,,4237,Result,135000,Result,,part2
7,RDVV Results,30,https://collegedunia.com/news/c-25683-rdvv-entrance-exams-result,,,,,,,,,,,6,https://institutes.aglasem.com/rdvv-result/,,,10,https://www.fresherslive.com/education/rdvv-result-100686,47,https://www.embibe.com/exams/tag/rdvv-results/,,,,,4238,Result,74000,Result,,part2
8,KUD Results,19,https://collegedunia.com/news/c-25610-kud-result,,,,,,,,,,,71,https://institutes.aglasem.com/kud-result/,,,11,https://www.fresherslive.com/education/kud-result-103245,40,https://www.embibe.com/exams/kud-result/,,,,,4240,Result,33100,Result,,part2
9,anna university result,8,https://collegedunia.com/news/c-25863-anna-university-results,,,63,https://www.shiksha.com/articles/anna-university-re-exam-result-2021-declared-know-where-and-how-to-check-blogId-67393,53,https://news.careers360.com/anna-university-result-2021-declared-at-annauniv-edu-websites-to-check,,,,,4,https://institutes.aglasem.com/anna-university-result/,,,3,https://www.fresherslive.com/education/anna-university-result-102300,80,https://www.embibe.com/exams/anna-university-result/,,,,,4241,Result,74000,Result,,part2
