Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com
Delhi University Admission,9,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/admission,16,https://www.shiksha.com/university/delhi-university-du-24642,12,https://news.careers360.com/delhi-university-admission-2021-du-pg-merit-list-expected-be-released-soon,40,https://www.collegedekho.com/articles/complete-guide-to-delhi-university-ba-bcom-bsc-admission/,54,https://admission.aglasem.com/delhi-university-admission/,33,https://www.embibe.com/exams/du-admission/,,
Delhi University Courses,6,https://collegedunia.com/university/25473-delhi-university-du-new-delhi,8,https://www.shiksha.com/university/delhi-university-du-24642/courses,7,https://university.careers360.com/articles/du-courses,21,https://www.collegedekho.com/university/delhi-university,,,56,https://www.embibe.com/exams/du-colleges/,12,https://leverageedu.com/blog/delhi-university-courses-after-12th/
Delhi University Courses,6,https://collegedunia.com/university/25473-delhi-university-du-new-delhi,9,https://www.shiksha.com/university/delhi-university-du-24642/courses,7,https://university.careers360.com/articles/du-courses,21,https://www.collegedekho.com/university/delhi-university,,,56,https://www.embibe.com/exams/du-colleges/,12,https://leverageedu.com/blog/delhi-university-courses-after-12th/
Delhi University Courses,6,https://collegedunia.com/university/25473-delhi-university-du-new-delhi,10,https://www.shiksha.com/university/delhi-university-du-24642,7,https://university.careers360.com/articles/du-courses,21,https://www.collegedekho.com/university/delhi-university,,,56,https://www.embibe.com/exams/du-colleges/,12,https://leverageedu.com/blog/delhi-university-courses-after-12th/
Delhi University Fees,6,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/courses-fees,7,https://www.shiksha.com/university/delhi-university-du-24642/courses,1,https://university.careers360.com/articles/du-fees,36,https://www.collegedekho.com/university/delhi-university,67,https://admission.aglasem.com/du-sol/,,,,
Delhi University Fees,6,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/courses-fees,8,https://www.shiksha.com/university/delhi-university-du-24642/courses,1,https://university.careers360.com/articles/du-fees,36,https://www.collegedekho.com/university/delhi-university,67,https://admission.aglasem.com/du-sol/,,,,
Delhi University Fees,6,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/courses-fees,9,https://www.shiksha.com/university/delhi-university-du-24642,1,https://university.careers360.com/articles/du-fees,36,https://www.collegedekho.com/university/delhi-university,67,https://admission.aglasem.com/du-sol/,,,,
Delhi University Hostel,7,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/hostel,19,https://www.shiksha.com/humanities-social-sciences/articles/du-admissions-check-list-of-hostels-seats-available-blogId-17595,24,https://www.careers360.com/university/university-of-delhi-delhi/facilities,9,https://www.collegedekho.com/articles/top-10-hostels-in-delhi-university/,,,,,,
Delhi University Placement,1,"https://collegedunia.com/university/25473-delhi-university-du-new-delhi/placement#:~:text=During%20the%202020%20placement%20drive%2C%20166%20offers%20were%20provided%20and,Wipro%2C%20Pwc%20and%20many%20more.",3,https://www.shiksha.com/university/delhi-university-du-24642/placement,9,https://www.careers360.com/university/university-of-delhi-delhi/placement,,,,,,,,
Delhi University Placement,2,"https://collegedunia.com/university/25473-delhi-university-du-new-delhi/placement#:~:text=During%20the%202020%20placement%20drive%2C%20166%20offers%20were%20provided%20and,Wipro%2C%20Pwc%20and%20many%20more.",3,https://www.shiksha.com/university/delhi-university-du-24642/placement,9,https://www.careers360.com/university/university-of-delhi-delhi/placement,,,,,,,,
Delhi University Cut Off,12,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/cutoff,10,https://www.shiksha.com/university/delhi-university-du-24642/cutoff,1,https://university.careers360.com/articles/du-cutoff,17,https://www.collegedekho.com/news/delhi-university-releases-first-cut-off-for-ug-courses-2017-10344/,19,https://cutoffs.aglasem.com/122956,24,https://www.embibe.com/exams/du-admission-cutoff/,,
Delhi University Cut Off,12,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/cutoff,10,https://www.shiksha.com/university/delhi-university-du-24642/cutoff,2,https://university.careers360.com/articles/du-cutoff,17,https://www.collegedekho.com/news/delhi-university-releases-first-cut-off-for-ug-courses-2017-10344/,19,https://cutoffs.aglasem.com/122956,24,https://www.embibe.com/exams/du-admission-cutoff/,,
Delhi University Cut Off,12,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/cutoff,10,https://www.shiksha.com/university/delhi-university-du-24642/cutoff,3,https://news.careers360.com/delhi-university-admission-2021-du-5th-cut-off-live-updates-du-ac-in-colleges-released-fifth-cutoffs-gargi-shivaji-jmc-kmc,17,https://www.collegedekho.com/news/delhi-university-releases-first-cut-off-for-ug-courses-2017-10344/,19,https://cutoffs.aglasem.com/122956,24,https://www.embibe.com/exams/du-admission-cutoff/,,
