,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,simc pune,7,https://collegedunia.com/college/7502-symbiosis-institute-of-media-and-communication-simc-pune,,,5,https://www.shiksha.com/college/symbiosis-institute-of-media-and-communication-symbiosis-international-pune-lavale-village-37023,20,https://www.careers360.com/colleges/symbiosis-institute-of-media-and-communication-pune/admission,18,https://www.collegedekho.com/colleges/simc,,,28,https://admission.aglasem.com/simc-pune/,,,,,,,,,,,10643,College,1900,,,College-LS
1,simc pune,7,https://collegedunia.com/college/7502-symbiosis-institute-of-media-and-communication-simc-pune,,,6,https://www.shiksha.com/college/symbiosis-institute-of-media-and-communication-symbiosis-international-pune-lavale-village-37023,20,https://www.careers360.com/colleges/symbiosis-institute-of-media-and-communication-pune/admission,18,https://www.collegedekho.com/colleges/simc,,,28,https://admission.aglasem.com/simc-pune/,,,,,,,,,,,10643,College,1900,,,College-LS
2,Anand Institute of Higher Technology,4,https://collegedunia.com/college/12815-anand-institute-of-higher-technology-aiht-chennai/courses-fees,,,3,https://www.shiksha.com/college/anand-institute-of-higher-technology-old-mahabalipuram-road-chennai-38141,7,https://www.careers360.com/colleges/anand-institute-of-higher-technology-chennai,21,https://www.collegedekho.com/colleges/anand-institute-of-higher-technology,,,26,https://colleges.aglasem.com/anand-institute-of-higher-technology-aiht-chennai/home,,,,,,,,,,,10644,College,1900,,,College-LS
3,Rani Lakshmi Bai Central Agricultural University,4,https://collegedunia.com/university/59025-rani-lakshmi-bai-central-agricultural-university-jhansi,,,23,https://www.shiksha.com/university/rani-lakshmi-bai-central-agricultural-university-jhansi-65141/courses/msc-bc,11,https://www.careers360.com/university/rani-lakshmi-bai-central-agricultural-university-jhansi,21,https://www.collegedekho.com/colleges/rani-lakshmi-bai-central-agricultural-university,,,51,https://colleges.aglasem.com/rani-lakshmi-bai-central-agricultural-university-jhansi/admission-process,,,,,,,,,,,10645,College,1900,,,College-LS
4,Rani Lakshmi Bai Central Agricultural University,5,https://collegedunia.com/university/59025-rani-lakshmi-bai-central-agricultural-university-jhansi,,,23,https://www.shiksha.com/university/rani-lakshmi-bai-central-agricultural-university-jhansi-65141/courses/msc-bc,11,https://www.careers360.com/university/rani-lakshmi-bai-central-agricultural-university-jhansi,21,https://www.collegedekho.com/colleges/rani-lakshmi-bai-central-agricultural-university,,,51,https://colleges.aglasem.com/rani-lakshmi-bai-central-agricultural-university-jhansi/admission-process,,,,,,,,,,,10645,College,1900,,,College-LS
5,Rani Lakshmi Bai Central Agricultural University,6,https://collegedunia.com/university/59025-rani-lakshmi-bai-central-agricultural-university-jhansi/courses-fees,,,23,https://www.shiksha.com/university/rani-lakshmi-bai-central-agricultural-university-jhansi-65141/courses/msc-bc,11,https://www.careers360.com/university/rani-lakshmi-bai-central-agricultural-university-jhansi,21,https://www.collegedekho.com/colleges/rani-lakshmi-bai-central-agricultural-university,,,51,https://colleges.aglasem.com/rani-lakshmi-bai-central-agricultural-university-jhansi/admission-process,,,,,,,,,,,10645,College,1900,,,College-LS
6,iior,18,https://collegedunia.com/college/6612-indian-institute-of-oilseeds-research-hyderabad,,,,,,,,,,,,,,,62,https://www.fresherslive.com/iior-indian-institute-of-oilseeds-research-recruitment,,,,,,,10646,College,1900,,,College-LS
7,mangalore university distance education,5,https://collegedunia.com/college/57800-mangalore-university-center-for-distance-education-mangalore/admission,,,29,https://www.shiksha.com/compare-school-of-distance-education-university-of-kerala-vs-mangalore-university-id-28184-11199,21,https://www.careers360.com/colleges/center-for-distance-education-mangalore-university-mangalore/ma-hindi-course,67,https://www.collegedekho.com/news/mangalore-university-announces-admission-to-its-distance-education-courses-4155/,,,19,https://admission.aglasem.com/mangalore-university-distance-education/,,,71,https://www.fresherslive.com/education/mangalore-university-time-table-102784,,,,,,,10647,College,1900,,,College-LS
8,National Institute of Siddha,29,https://collegedunia.com/college/6423-national-institute-of-siddha-nis-chennai,,,45,https://www.shiksha.com/compare-national-institute-of-siddha-nis-tamil-nadu-vs-medical-college-and-hospital-id-357405-346349,11,https://www.careers360.com/colleges/national-institute-of-siddha-chennai,16,https://www.collegedekho.com/colleges/national-institute-of-siddha,,,,,,,,,,,,,,,10648,College,1900,,,College-LS
9,kiot,25,https://collegedunia.com/college/24148-knowledge-institute-of-technology-kiot-salem/reviews,,,10,https://www.shiksha.com/college/kiot-knowledge-institute-of-technology-salem-47361,30,https://www.careers360.com/colleges/knowledge-institute-of-technology-salem,23,https://www.collegedekho.com/colleges/knowledge-institute-of-technology,,,,,,,,,,,,,,,10649,College,1900,,,College-LS
