,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,spa bhopal,4,https://collegedunia.com/college/5673-school-of-planning-and-architecture-spa-bhopal,,,3,https://www.shiksha.com/college/spa-bhopal-school-of-planning-and-architecture-39575,11,https://www.careers360.com/university/school-of-planning-and-architecture-bhopal,19,https://www.collegedekho.com/colleges/spa-bhopal,38,https://jeemains.in/spa-bhopal/,35,https://admission.aglasem.com/spa-bhopal/,,,,,,,,,,,9819,College,9900,,,College-MS
1,igidr,10,https://collegedunia.com/university/25704-indira-gandhi-institute-of-development-research-igidr-mumbai,,,17,https://www.shiksha.com/college/indira-gandhi-institute-of-development-research-igidr-goregaon-east-mumbai-21852/reviews,20,https://www.careers360.com/university/indira-gandhi-institute-of-development-research-mumbai,16,https://www.collegedekho.com/colleges/igidr,,,23,https://admission.aglasem.com/igidr-admission/,,,50,https://www.fresherslive.com/education/igidr-admission-110730,,,,,,,9820,College,9900,,,College-MS
2,igidr,10,https://collegedunia.com/university/25704-indira-gandhi-institute-of-development-research-igidr-mumbai,,,17,https://www.shiksha.com/college/indira-gandhi-institute-of-development-research-igidr-goregaon-east-mumbai-21852/reviews,20,https://www.careers360.com/university/indira-gandhi-institute-of-development-research-mumbai,16,https://www.collegedekho.com/colleges/igidr,,,23,https://admission.aglasem.com/igidr-admission/,,,51,https://www.fresherslive.com/education/igidr-admission-110730,,,,,,,9820,College,9900,,,College-MS
3,igidr,10,https://collegedunia.com/university/25704-indira-gandhi-institute-of-development-research-igidr-mumbai,,,17,https://www.shiksha.com/college/indira-gandhi-institute-of-development-research-igidr-goregaon-east-mumbai-21852/reviews,20,https://www.careers360.com/university/indira-gandhi-institute-of-development-research-mumbai,16,https://www.collegedekho.com/colleges/igidr,,,23,https://admission.aglasem.com/igidr-admission/,,,52,https://www.fresherslive.com/igidr-indira-gandhi-institute-of-development-research-recruitment,,,,,,,9820,College,9900,,,College-MS
4,DIAS,60,https://collegedunia.com/college/17489-delhi-institute-of-advanced-studies-dias-new-delhi/reviews,,,72,https://www.shiksha.com/college/delhi-institute-of-advanced-studies-rohini-48191/admission,84,https://www.careers360.com/colleges/delhi-institute-of-advanced-studies-delhi/reviews,56,https://www.collegedekho.com/colleges/dias,,,,,,,,,,,,,,,9821,College,9900,,,College-MS
5,punjab agricultural university,3,https://collegedunia.com/university/25788-punjab-agricultural-university-pau-ludhiana,,,8,https://www.shiksha.com/university/pau-punjab-agricultural-university-ludhiana-986,23,https://www.careers360.com/university/punjab-agricultural-university-ludhiana,29,https://www.collegedekho.com/colleges/punjab-agriculture-university,,,,,,,,,,,,,,,9822,College,9900,,,College-MS
6,punjab agricultural university,3,https://collegedunia.com/university/25788-punjab-agricultural-university-pau-ludhiana,,,9,https://www.shiksha.com/university/pau-punjab-agricultural-university-ludhiana-986,23,https://www.careers360.com/university/punjab-agricultural-university-ludhiana,29,https://www.collegedekho.com/colleges/punjab-agriculture-university,,,,,,,,,,,,,,,9822,College,9900,,,College-MS
7,punjab agricultural university,3,https://collegedunia.com/university/25788-punjab-agricultural-university-pau-ludhiana,,,10,https://www.shiksha.com/university/pau-punjab-agricultural-university-ludhiana-986/courses,23,https://www.careers360.com/university/punjab-agricultural-university-ludhiana,29,https://www.collegedekho.com/colleges/punjab-agriculture-university,,,,,,,,,,,,,,,9822,College,9900,,,College-MS
8,iiswbm,5,https://collegedunia.com/college/17894-indian-institute-of-social-welfare-and-business-management-iiswbm-kolkata,,,3,https://www.shiksha.com/college/iiswbm-indian-institute-of-social-welfare-and-business-management-college-square-kolkata-166,8,https://www.careers360.com/colleges/indian-institute-of-social-welfare-and-business-management-kolkata/courses,43,https://www.collegedekho.com/colleges/indian-institute-of-social-welfare-and-business-management,78,https://jeemains.in/indian-institute-of-social-welfare-and-business-management-17894-about/,64,https://admission.aglasem.com/iiswbm-application-form/,,,53,https://www.fresherslive.com/education/iiswbm-result-110437,,,,,,,9823,College,9900,,,College-MS
9,igu meerpur,10,https://collegedunia.com/university/59073-indira-gandhi-university-igu-rewari/courses-fees,,,,,7,https://university.careers360.com/articles/igu-meerpur-admission,59,https://www.collegedekho.com/colleges/courses-indira-gandhi-university-meerpur,,,31,https://admission.aglasem.com/igu-meerpur/,,,37,https://www.fresherslive.com/education/igu-date-sheet-103344,14,https://www.embibe.com/exams/igu-result/,,,,,9824,College,9900,,,College-MS
10,igu meerpur,10,https://collegedunia.com/university/59073-indira-gandhi-university-igu-rewari/courses-fees,,,,,8,https://university.careers360.com/articles/igu-meerpur-admission,59,https://www.collegedekho.com/colleges/courses-indira-gandhi-university-meerpur,,,31,https://admission.aglasem.com/igu-meerpur/,,,37,https://www.fresherslive.com/education/igu-date-sheet-103344,14,https://www.embibe.com/exams/igu-result/,,,,,9824,College,9900,,,College-MS
11,igu meerpur,10,https://collegedunia.com/university/59073-indira-gandhi-university-igu-rewari/courses-fees,,,,,9,https://www.careers360.com/university/indira-gandhi-university-meerpur/courses,59,https://www.collegedekho.com/colleges/courses-indira-gandhi-university-meerpur,,,31,https://admission.aglasem.com/igu-meerpur/,,,37,https://www.fresherslive.com/education/igu-date-sheet-103344,14,https://www.embibe.com/exams/igu-result/,,,,,9824,College,9900,,,College-MS
12,ibs mumbai,8,https://collegedunia.com/college/17833-icfai-business-school-ibs-mumbai,,,4,https://www.shiksha.com/college/icfai-business-school-ibs-mumbai-powai-26449,12,https://www.careers360.com/colleges/ibs-business-school-mumbai,18,https://www.collegedekho.com/colleges/icfai-business-school-mumbai,,,,,,,,,,,,,,,9825,College,9900,,,College-MS
13,ibs mumbai,8,https://collegedunia.com/college/17833-icfai-business-school-ibs-mumbai,,,5,https://www.shiksha.com/college/icfai-business-school-ibs-mumbai-powai-26449,12,https://www.careers360.com/colleges/ibs-business-school-mumbai,18,https://www.collegedekho.com/colleges/icfai-business-school-mumbai,,,,,,,,,,,,,,,9825,College,9900,,,College-MS
14,ibs mumbai,8,https://collegedunia.com/college/17833-icfai-business-school-ibs-mumbai,,,6,https://www.shiksha.com/college/icfai-business-school-ibs-mumbai-powai-26449/courses,12,https://www.careers360.com/colleges/ibs-business-school-mumbai,18,https://www.collegedekho.com/colleges/icfai-business-school-mumbai,,,,,,,,,,,,,,,9825,College,9900,,,College-MS
15,ibs mumbai,9,https://collegedunia.com/college/17833-icfai-business-school-ibs-mumbai,,,4,https://www.shiksha.com/college/icfai-business-school-ibs-mumbai-powai-26449,12,https://www.careers360.com/colleges/ibs-business-school-mumbai,18,https://www.collegedekho.com/colleges/icfai-business-school-mumbai,,,,,,,,,,,,,,,9825,College,9900,,,College-MS
16,ibs mumbai,9,https://collegedunia.com/college/17833-icfai-business-school-ibs-mumbai,,,5,https://www.shiksha.com/college/icfai-business-school-ibs-mumbai-powai-26449,12,https://www.careers360.com/colleges/ibs-business-school-mumbai,18,https://www.collegedekho.com/colleges/icfai-business-school-mumbai,,,,,,,,,,,,,,,9825,College,9900,,,College-MS
17,ibs mumbai,9,https://collegedunia.com/college/17833-icfai-business-school-ibs-mumbai,,,6,https://www.shiksha.com/college/icfai-business-school-ibs-mumbai-powai-26449/courses,12,https://www.careers360.com/colleges/ibs-business-school-mumbai,18,https://www.collegedekho.com/colleges/icfai-business-school-mumbai,,,,,,,,,,,,,,,9825,College,9900,,,College-MS
