,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,iim eligibility criteria,19,https://collegedunia.com/exams/gmat/gmat-eligibility-for-iims,,,6,https://www.shiksha.com/mba/articles/iim-shortlist-selection-admission-criteria-blogId-18787,1,https://bschool.careers360.com/articles/iim-admission-criteria,53,https://www.collegedekho.com/exam/cat/selection-process,,,48,https://admission.aglasem.com/iim-b-selection-criteria-pgp/,63,https://byjus.com/free-cat-prep/iim-calcutta-admission-criteria/,42,https://www.fresherslive.com/education/iim-admission-108550,,,,,,,459,Main_Research_Sheet,1000,Eligibility,,Main_Research_Sheet-part_1
1,wat iim,4,https://collegedunia.com/exams/cat/wat-in-iims,,,18,https://www.shiksha.com/mba/articles/13-must-do-things-to-crack-gd-pi-wat-blogId-10407,15,https://bschool.careers360.com/articles/how-prepare-for-ipmat-wat-and-pi,14,https://www.collegedekho.com/articles/wat-tips-and-topics-for-mba-admission/,,,43,https://admission.aglasem.com/iim-admission-shortlist-waitlist/,19,https://byjus.com/free-cat-prep/importance-of-wat-in-iim-selection/,,,,,,,,,465,Main_Research_Sheet,210,General,,Main_Research_Sheet-part_1
2,Acharya Institute of Technology placement,6,https://collegedunia.com/college/12715-acharya-institute-of-technology-ait-bangalore/placement,,,3,https://www.shiksha.com/college/ait-acharya-institute-of-technology-hessarghatta-road-bangalore-3156/placement,9,https://www.careers360.com/colleges/acharya-institute-of-technology-bangalore/placement,16,https://www.collegedekho.com/colleges/placement-acharya-institutes,40,https://jeemains.in/acharya-institute-of-technology-12715-about/,55,https://admission.aglasem.com/acharya-institute-of-technology-admission/,,,,,30,https://www.embibe.com/ask/question/acharya-institute-of-technology-ait-bangalore-placements-443,,,,,887,Main_Research_Sheet,590,Placement,,Main_Research_Sheet-part_1
3,Acharya Institute of Technology placement,6,https://collegedunia.com/college/12715-acharya-institute-of-technology-ait-bangalore/placement,,,4,https://www.shiksha.com/college/ait-acharya-institute-of-technology-hessarghatta-road-bangalore-3156/placement,9,https://www.careers360.com/colleges/acharya-institute-of-technology-bangalore/placement,16,https://www.collegedekho.com/colleges/placement-acharya-institutes,40,https://jeemains.in/acharya-institute-of-technology-12715-about/,55,https://admission.aglasem.com/acharya-institute-of-technology-admission/,,,,,30,https://www.embibe.com/ask/question/acharya-institute-of-technology-ait-bangalore-placements-443,,,,,887,Main_Research_Sheet,590,Placement,,Main_Research_Sheet-part_1
4,Acharya Institute of Technology placement,6,https://collegedunia.com/college/12715-acharya-institute-of-technology-ait-bangalore/placement,,,5,https://www.shiksha.com/college/ait-acharya-institute-of-technology-hessarghatta-road-bangalore-3156/course-b-e-in-computer-science-and-engineering-8873,9,https://www.careers360.com/colleges/acharya-institute-of-technology-bangalore/placement,16,https://www.collegedekho.com/colleges/placement-acharya-institutes,40,https://jeemains.in/acharya-institute-of-technology-12715-about/,55,https://admission.aglasem.com/acharya-institute-of-technology-admission/,,,,,30,https://www.embibe.com/ask/question/acharya-institute-of-technology-ait-bangalore-placements-443,,,,,887,Main_Research_Sheet,590,Placement,,Main_Research_Sheet-part_1
5,Acharya Institute of Technology ranking,10,https://collegedunia.com/college/12715-acharya-institute-of-technology-ait-bangalore/placement,,,2,https://www.shiksha.com/college/ait-acharya-institute-of-technology-hessarghatta-road-bangalore-3156,3,https://www.careers360.com/colleges/acharya-institute-of-technology-bangalore,4,https://www.collegedekho.com/colleges/acharya-institutes,,,,,,,,,41,https://www.embibe.com/exams/top-engineering-colleges-in-bangalore/,,,,,888,Main_Research_Sheet,320,Ranking,,Main_Research_Sheet-part_1
6,Acharya Institute of Technology ranking,11,https://collegedunia.com/college/12715-acharya-institute-of-technology-ait-bangalore/placement,,,2,https://www.shiksha.com/college/ait-acharya-institute-of-technology-hessarghatta-road-bangalore-3156,3,https://www.careers360.com/colleges/acharya-institute-of-technology-bangalore,4,https://www.collegedekho.com/colleges/acharya-institutes,,,,,,,,,41,https://www.embibe.com/exams/top-engineering-colleges-in-bangalore/,,,,,888,Main_Research_Sheet,320,Ranking,,Main_Research_Sheet-part_1
7,Acharya Institute of Technology ranking,12,https://collegedunia.com/college/12715-acharya-institute-of-technology-ait-bangalore/courses-fees,,,2,https://www.shiksha.com/college/ait-acharya-institute-of-technology-hessarghatta-road-bangalore-3156,3,https://www.careers360.com/colleges/acharya-institute-of-technology-bangalore,4,https://www.collegedekho.com/colleges/acharya-institutes,,,,,,,,,41,https://www.embibe.com/exams/top-engineering-colleges-in-bangalore/,,,,,888,Main_Research_Sheet,320,Ranking,,Main_Research_Sheet-part_1
8,adamas university courses,1,https://collegedunia.com/university/55140-adamas-university-kolkata/courses-fees,,,5,https://www.shiksha.com/university/adamas-university-kolkata-46715/courses,11,https://www.careers360.com/university/adamas-university-kolkata/courses,6,https://www.collegedekho.com/colleges/adamas-university,,,19,https://colleges.aglasem.com/adamas-university-kolkata/course-fees,,,61,https://www.fresherslive.com/education/adamas-university-admission-107955,,,,,,,889,Main_Research_Sheet,140,Course,,Main_Research_Sheet-part_1
9,adamas university courses,1,https://collegedunia.com/university/55140-adamas-university-kolkata/courses-fees,,,5,https://www.shiksha.com/university/adamas-university-kolkata-46715/courses,11,https://www.careers360.com/university/adamas-university-kolkata/courses,7,https://www.collegedekho.com/colleges/adamas-university,,,19,https://colleges.aglasem.com/adamas-university-kolkata/course-fees,,,61,https://www.fresherslive.com/education/adamas-university-admission-107955,,,,,,,889,Main_Research_Sheet,140,Course,,Main_Research_Sheet-part_1
