,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,icar result,21,https://collegedunia.com/exams/icar-aieea/results,,,31,https://www.shiksha.com/science/icar-aieea-exam-results,6,https://university.careers360.com/articles/icar-aieea-result,20,https://www.collegedekho.com/exam/icar-aieea/cut-off-results,18,https://admission.aglasem.com/aieea-ug-result/,,,38,https://www.fresherslive.com/education/icar-aieea-result-100893,40,https://www.embibe.com/exams/icar-aieea-result/,,,,,5692,Prepp,18100,Result,,Prepp-C2
1,ongc recruitment,62,https://collegedunia.com/news/e-60-psu-recruitment-through-gate-ongc-cutoff,61,https://prepp.in/news/e-499-ongc-recruitment-2021-going-on-for-trainee-posts,93,https://www.shiksha.com/engineering/articles/ongc-recruitment-through-gate-blogId-27779,83,https://engineering.careers360.com/articles/ongc-recruitment-through-gate,,,,,66,https://byjus.com/gate/ongc-recruitment-through-gate/,27,https://www.fresherslive.com/ongc-oil-and-natural-gas-corporation-limited-recruitment,85,https://www.embibe.com/exams/ongc-recruitment/,72,https://leverageedu.com/blog/ongc-recruitment/,,,5856,Prepp,18100,Recruitment,,Prepp-C2
2,banking syllabus,32,https://collegedunia.com/courses/diploma-in-banking-and-finance/syllabus,6,https://prepp.in/news/g-34242-bank-exam-syllabus-2021-sbi-ibps-rrb-and-rbi,16,https://www.shiksha.com/sarkari-exams/banking/exams-sb-21-107,59,https://www.careers360.com/courses/banking-law-course,54,https://www.collegedekho.com/courses/bba-in-banking-and-insurance/,,,1,https://byjus.com/bank-exam-syllabus/,63,https://www.fresherslive.com/competitive-exams/jammu-and-kashmir-bank-syllabus-109415,11,https://www.embibe.com/exams/indian-bank-po-syllabus/,100,https://leverageedu.com/blog/bank-po/,,,6053,Prepp,14800,Syllabus,,Prepp-C2
3,loco pilot salary,13,https://collegedunia.com/courses/diploma-in-electronics/loco-pilot-salary-in-india,4,https://prepp.in/rrb-alp-exam/salary,14,https://www.shiksha.com/exams/rrb-alp-exam-salary,8,https://www.careers360.com/careers/loco-pilot,9,https://www.collegedekho.com/careers/loco-pilot,48,https://hindi.aglasem.com/loco-pilot-salary-hindi/,12,https://byjus.com/rrb-exams/rrb-alp-salary/,,,22,https://www.embibe.com/exams/rrb-alp-salary/,66,https://leverageedu.com/blog/hi/tag/loco-pilot-salary/,,,6054,Prepp,14800,Salary,,Prepp-C2
4,canara bank scholarship,26,https://collegedunia.com/college/56473-canara-bank-school-of-management-cbsms-bangalore/scholarship,,,,,45,https://news.careers360.com/ugc-signs-mou-canara-bank-migration-fellowship-data,,,,,,,82,https://latestnews.fresherslive.com/articles/canara-bank-scholarship-registration-online-application-process-eligibility-documents-required-and-more-221835,9,https://www.embibe.com/exams/canara-bank-scholarship-portal/,16,https://leverageedu.com/blog/canara-bank-scholarship/,23,https://www.buddy4study.com/article/canara-bank-scholarship-portal-for-ugc-schemes,6217,Prepp,12100,Scholarship,,Prepp-C2
5,exam results ts nic in,81,https://collegedunia.com/exams/ts-eamcet,,,28,https://www.shiksha.com/boards/ts-ssc-board-results,17,https://news.careers360.com/ts-inter-result-2021-tsbie-cgg-gov-in-telangana-intermediate-2nd-year-results-manabadi-date-time-declared,,,45,https://boardexam.aglasem.com/ts-inter-1st-year-results-2020/,,,78,https://www.fresherslive.com/articles/telangana-high-court-result,5,https://www.embibe.com/exams/ts-inter-result/,,,,,6219,Prepp,210,Result,,Prepp-C2
6,npcil recruitment,75,https://collegedunia.com/news/e-60-npcil-recruitment-through-gate-2017,15,https://prepp.in/npcil-recruitment-exam/npcil-2022,,,95,https://engineering.careers360.com/articles/npcil-recruitment-through-gate,74,https://www.collegedekho.com/articles/npcil-recruitment-through-gate/,,,,,10,https://www.fresherslive.com/npcil-nuclear-power-corporation-of-india-recruitment,,,,,,,6229,Prepp,14800,Recruitment,,Prepp-C2
7,npcil recruitment,75,https://collegedunia.com/news/e-60-npcil-recruitment-through-gate-2017,16,https://prepp.in/npcil-recruitment-exam/npcil-2022,,,95,https://engineering.careers360.com/articles/npcil-recruitment-through-gate,74,https://www.collegedekho.com/articles/npcil-recruitment-through-gate/,,,,,10,https://www.fresherslive.com/npcil-nuclear-power-corporation-of-india-recruitment,,,,,,,6229,Prepp,14800,Recruitment,,Prepp-C2
8,npcil recruitment,75,https://collegedunia.com/news/e-60-npcil-recruitment-through-gate-2017,17,https://prepp.in/npcil-recruitment-exam/news,,,95,https://engineering.careers360.com/articles/npcil-recruitment-through-gate,74,https://www.collegedekho.com/articles/npcil-recruitment-through-gate/,,,,,10,https://www.fresherslive.com/npcil-nuclear-power-corporation-of-india-recruitment,,,,,,,6229,Prepp,14800,Recruitment,,Prepp-C2
9,pspcl recruitment,84,https://collegedunia.com/news/e-60-pspcl-recruitment-through-gate-2017,8,https://prepp.in/pspcl-exam,,,,,,,99,https://career.aglasem.com/pspcl-recruitment-gate/,,,,,19,https://www.embibe.com/exams/pspcl-recruitments/,,,,,6269,Prepp,18100,Recruitment,,Prepp-C2
10,ib syllabus,70,https://collegedunia.com/courses/master-of-business-administration-mba-international-business/syllabus,6,https://prepp.in/ib-acio-exam/syllabus,2,https://www.shiksha.com/exams/ib-acio-exam-syllabus,31,https://bschool.careers360.com/articles/iift-syllabus,,,,,,,13,https://www.fresherslive.com/competitive-exams/intelligence-bureau-ib-syllabus-103562,9,https://www.embibe.com/exams/ib-acio-syllabus/,,,,,6412,Prepp,8100,Syllabus,,Prepp-C2
11,ib syllabus,70,https://collegedunia.com/courses/master-of-business-administration-mba-international-business/syllabus,7,https://prepp.in/ib-acio-exam/syllabus,2,https://www.shiksha.com/exams/ib-acio-exam-syllabus,31,https://bschool.careers360.com/articles/iift-syllabus,,,,,,,13,https://www.fresherslive.com/competitive-exams/intelligence-bureau-ib-syllabus-103562,9,https://www.embibe.com/exams/ib-acio-syllabus/,,,,,6412,Prepp,8100,Syllabus,,Prepp-C2
12,ib syllabus,70,https://collegedunia.com/courses/master-of-business-administration-mba-international-business/syllabus,8,https://prepp.in/ib-acio-exam/exam-pattern,2,https://www.shiksha.com/exams/ib-acio-exam-syllabus,31,https://bschool.careers360.com/articles/iift-syllabus,,,,,,,13,https://www.fresherslive.com/competitive-exams/intelligence-bureau-ib-syllabus-103562,9,https://www.embibe.com/exams/ib-acio-syllabus/,,,,,6412,Prepp,8100,Syllabus,,Prepp-C2
13,drdo recruitment,51,https://collegedunia.com/news/e-60-drdo-recruitment-through-gate,42,https://prepp.in/drdo-ceptam-exam/news,,,97,https://engineering.careers360.com/articles/drdo-recruitment-through-gate,,,,,,,24,https://www.fresherslive.com/drdo-defence-research-and-development-organisation-recruitment,87,https://www.embibe.com/exams/drdo-recruitment/,,,,,6617,Prepp,18100,Recruitment,,Prepp-C2
14,cse syllabus,7,https://collegedunia.com/courses/bachelor-of-technology-btech-computer-science-and-engineering,,,3,https://www.shiksha.com/engineering/computer-science-engineering-chp,56,https://engineering.careers360.com/articles/gate-syllabus,,,,,62,https://byjus.com/gate/gate-syllabus-for-computer-science-engineering/,,,,,48,https://leverageedu.com/blog/bsc-computer-science-syllabus/,,,6759,Prepp,5400,Syllabus,,Prepp-C2
15,drdo vacancy,40,https://collegedunia.com/news/e-60-drdo-recruitment-through-gate,53,https://prepp.in/news/e-815-drdo-recruitment-2021-walk-in-interview-in-december-for-jrf-and-ra,,,100,https://engineering.careers360.com/articles/drdo-recruitment-through-gate,,,,,,,6,https://www.fresherslive.com/drdo-defence-research-and-development-organisation-recruitment,54,https://www.embibe.com/exams/drdo-mts-recruitment/,,,,,6824,Prepp,4400,Vacancy,,Prepp-C2
16,rcfl recruitment,57,https://collegedunia.com/news/e-60-rcfl-recruitment-through-gate,,,,,,,,,89,https://career.aglasem.com/rcfl-recruitment/,,,8,https://www.fresherslive.com/rcf-rashtriya-chemicals-and-fertilizers-limited-recruitment,,,,,,,6852,Prepp,1300,Recruitment,,Prepp-C2
17,ies salary,17,https://collegedunia.com/qna/question/4949-what-is-the-salary-of-an-ies-officer-in-the-indian-railways,1,https://prepp.in/ies-exam/salary,33,https://www.shiksha.com/exams/ies-exam,6,https://competition.careers360.com/articles/ese-salary,,,,,29,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,,,2,https://www.embibe.com/exams/ies-salary/,62,https://leverageedu.com/blog/ies-syllabus/,,,6898,Prepp,6600,Salary,,Prepp-C2
18,ntpc recruitment,98,https://collegedunia.com/news/e-60-ntpc-recruitment-through-gate-ntpc-cut-off,,,38,https://www.shiksha.com/exams/rrb-ntpc-exam-recruitment,77,https://engineering.careers360.com/articles/ntpc-recruitment-through-gate,89,https://www.collegedekho.com/articles/ntpc-recruitment-clat-scores/,,,,,64,https://www.fresherslive.com/ntpc-national-thermal-power-corporation-recruitment,88,https://www.embibe.com/exams/rrb-ntpc-recruitment/,,,,,7030,Prepp,27100,Recruitment,,Prepp-C2
19,pstcl recruitment,23,https://collegedunia.com/news/e-60-pstcl-recruitment-through-gate-2017,73,https://prepp.in/news/e-839-pstcl-recruitment-2021-apply-by-may-17th-for-490-je-clerk,,,,,,,,,,,6,https://www.fresherslive.com/pstcl-punjab-state-transmission-corporation-limited-recruitment,,,,,,,7033,Prepp,12100,Recruitment,,Prepp-C2
20,haryana police previous year paper,49,https://images.static-collegedunia.com/public/image/1241e38d753b795809baf1a9b1e7bfe0.pdf,14,https://prepp.in/haryana-police-exam/practice-papers,,,,,,,,,,,,,93,https://www.embibe.com/exams/haryana-police-si-predicted-question-paper/,,,,,7195,Prepp,1900,Question_Paper,,Prepp-C2
21,iocl salary,35,https://collegedunia.com/qna/question/4373-what-is-the-starting-package-in-iocl-after-the-gate,1,https://prepp.in/iocl-recruitment-exam/salary,,,39,https://engineering.careers360.com/articles/iocl-recruitment-through-gate,52,https://www.collegedekho.com/articles/iocl-recruitment-through-gate/,,,,,58,https://www.fresherslive.com/iocl-indian-oil-corporation-limited-recruitment,,,,,,,7294,Prepp,1000,Salary,,Prepp-C2
22,BSPHCL recruitment,30,https://collegedunia.com/news/e-60-bspcl-psu-recruitment-through-gate,3,https://prepp.in/bsphcl-exam,,,52,https://www.careers360.com/question-can-we-expect-bsphcl-recruitment-through-gate-2020,,,,,,,17,https://www.fresherslive.com/bsphcl-bihar-state-power-holding-company-limited-recruitment,,,,,,,7331,Prepp,390,Recruitment,,Prepp-C2
23,UPSC Geoscientist Salary,63,https://collegedunia.com/courses/bachelor-of-science-bsc-geology/career-as-a-geologist,1,https://prepp.in/upsc-geo-scientist-exam/salary,,,3,https://competition.careers360.com/articles/upsc-geologist-salary,21,https://www.collegedekho.com/careers/geochemist,,,,,68,https://www.fresherslive.com/upsc-union-public-service-commission-recruitment,,,,,,,7410,Prepp,110,Salary,,Prepp-C2
24,hp police previous year question paper,8,https://images.static-collegedunia.com/public/image/0b48c2d5f435a96c861472d3f021dadd.pdf,4,https://prepp.in/hp-police-exam/practice-papers,,,,,,,,,,,,,,,,,,,7467,Prepp,260,Question_Paper,,Prepp-C2
