,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,bseodisha ac in,74,https://collegedunia.com/news/odisha-10th-result-2021-declared-alertid-36536,43,https://prepp.in/news/e-787-osstet-admit-card-2021-released-on-bseodishaacin-download-link-here,53,https://www.shiksha.com/exams/otet-exam,16,https://news.careers360.com/osstet-answer-key-2021-released-at-bseodishaacin-download-now,,,,,60,https://news.aglasem.com/otet-result-2019-announced-bseodishaacin-bseodishanicin/,97,https://byjus.com/maths/pythagoras-theorem/,,,,,,,,,5715,Prepp,74000,General,,Prepp-C3
1,bseodisha ac in,74,https://collegedunia.com/news/odisha-10th-result-2021-declared-alertid-36536,43,https://prepp.in/news/e-787-osstet-admit-card-2021-released-on-bseodishaacin-download-link-here,53,https://www.shiksha.com/exams/otet-exam,16,https://news.careers360.com/osstet-answer-key-2021-released-at-bseodishaacin-download-now,,,,,60,https://news.aglasem.com/otet-result-2019-announced-bseodishaacin-bseodishanicin/,98,https://byjus.com/maths/pythagoras-theorem/,,,,,,,,,5715,Prepp,74000,General,,Prepp-C3
2,bseodisha ac in,74,https://collegedunia.com/news/odisha-10th-result-2021-declared-alertid-36536,43,https://prepp.in/news/e-787-osstet-admit-card-2021-released-on-bseodishaacin-download-link-here,53,https://www.shiksha.com/exams/otet-exam,16,https://news.careers360.com/osstet-answer-key-2021-released-at-bseodishaacin-download-now,,,,,60,https://news.aglasem.com/otet-result-2019-announced-bseodishaacin-bseodishanicin/,99,https://byjus.com/jee/ntse-2020-21-stage-2-question-paper-with-solutions-and-answer-key/,,,,,,,,,5715,Prepp,74000,General,,Prepp-C3
3,ies,43,https://collegedunia.com/college/17806-iess-management-college-and-research-centre-ies-mcrc-mumbai,13,https://prepp.in/ies-exam,5,https://www.shiksha.com/college/ies-s-management-college-and-research-centre-bandra-west-mumbai-28220,72,https://www.careers360.com/question-between-chetanamet-and-ieswhich-bschool-is-best-in-terms-of-placementsfaculty-and-all,90,https://www.collegedekho.com/news/upsc-ies-ese-important-dates-14889/,,,,,69,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,,,,,,,,,5749,Prepp,33100,General,,Prepp-C3
4,ies,43,https://collegedunia.com/college/17806-iess-management-college-and-research-centre-ies-mcrc-mumbai,13,https://prepp.in/ies-exam,6,https://www.shiksha.com/college/ies-s-management-college-and-research-centre-bandra-west-mumbai-28220,72,https://www.careers360.com/question-between-chetanamet-and-ieswhich-bschool-is-best-in-terms-of-placementsfaculty-and-all,90,https://www.collegedekho.com/news/upsc-ies-ese-important-dates-14889/,,,,,69,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,,,,,,,,,5749,Prepp,33100,General,,Prepp-C3
5,ies,43,https://collegedunia.com/college/17806-iess-management-college-and-research-centre-ies-mcrc-mumbai,13,https://prepp.in/ies-exam,7,https://www.shiksha.com/exams/ies-exam,72,https://www.careers360.com/question-between-chetanamet-and-ieswhich-bschool-is-best-in-terms-of-placementsfaculty-and-all,90,https://www.collegedekho.com/news/upsc-ies-ese-important-dates-14889/,,,,,69,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,,,,,,,,,5749,Prepp,33100,General,,Prepp-C3
6,peb mp gov in,67,https://collegedunia.com/exams/mp-ppt/application-process,75,https://prepp.in/mppeb-vyapam-exam,11,https://www.shiksha.com/exams/mp-vyapam-exam,60,https://news.careers360.com/mp-ppt-2019-answer-key-released-pebmpgovin-check-important-details-here,,,,,42,https://admission.aglasem.com/tag/www-peb-mp-gov-in/,,,38,https://www.fresherslive.com/competitive-exams/mp-vyapam-admit-card-108238,,,,,,,5818,Prepp,33100,General,,Prepp-C3
7,pstcl,65,https://collegedunia.com/news/e-60-pstcl-recruitment-through-gate-2017,,,,,,,,,,,,,,,23,https://www.fresherslive.com/competitive-exams/pstcl-result-109970,,,,,,,5847,Prepp,40500,General,,Prepp-C3
8,anudeep durishetty,36,https://images.static-collegedunia.com/public/image/31c243be3659206909293686f55625b5.pdf,19,https://prepp.in/news/e-492-ias-upsc-cse-2017-topper-anudeep-durishetty-strategy-to-ace-the-interview,,,,,,,,,,,10,https://byjus.com/free-ias-prep/meet-upsc-2017-topper-anudeep-durishetty/,,,,,,,,,5855,Prepp,27100,General,,Prepp-C3
9,rcfl,82,https://collegedunia.com/news/e-60-rcfl-recruitment-through-gate,98,https://prepp.in/news/e-818-rcfl-recruitment-2021-apply-for-50-operator-posts-rcfltd-com-details-here,,,,,,,,,,,,,22,https://www.fresherslive.com/competitive-exams/rcfl-answer-key-109700,,,,,,,5866,Prepp,18100,General,,Prepp-C3
