,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,Yale University Admission,11,https://collegedunia.com/usa/college/1699-yale-university-new-haven/admission,7,https://studyabroad.shiksha.com/usa/universities/yale-university,,,31,https://www.collegedekho.com/usa/yale-university/,,,,,,,68,https://leverageedu.com/blog/yale-university-acceptance-rate/,71,https://admission.buddy4study.com/study-abroad/yale-university,11680,Study_Abroad,90,Admission,,Study_Abroad-part_1
1,Yale University Admission,11,https://collegedunia.com/usa/college/1699-yale-university-new-haven/admission,8,https://studyabroad.shiksha.com/usa/universities/yale-university,,,31,https://www.collegedekho.com/usa/yale-university/,,,,,,,68,https://leverageedu.com/blog/yale-university-acceptance-rate/,71,https://admission.buddy4study.com/study-abroad/yale-university,11680,Study_Abroad,90,Admission,,Study_Abroad-part_1
2,Yale University Admission,11,https://collegedunia.com/usa/college/1699-yale-university-new-haven/admission,9,https://studyabroad.shiksha.com/usa/universities/yale-university/admissions,,,31,https://www.collegedekho.com/usa/yale-university/,,,,,,,68,https://leverageedu.com/blog/yale-university-acceptance-rate/,71,https://admission.buddy4study.com/study-abroad/yale-university,11680,Study_Abroad,90,Admission,,Study_Abroad-part_1
3,Yale University Admission,12,https://collegedunia.com/usa/college/1699-yale-university-new-haven/admission,7,https://studyabroad.shiksha.com/usa/universities/yale-university,,,31,https://www.collegedekho.com/usa/yale-university/,,,,,,,68,https://leverageedu.com/blog/yale-university-acceptance-rate/,71,https://admission.buddy4study.com/study-abroad/yale-university,11680,Study_Abroad,90,Admission,,Study_Abroad-part_1
4,Yale University Admission,12,https://collegedunia.com/usa/college/1699-yale-university-new-haven/admission,8,https://studyabroad.shiksha.com/usa/universities/yale-university,,,31,https://www.collegedekho.com/usa/yale-university/,,,,,,,68,https://leverageedu.com/blog/yale-university-acceptance-rate/,71,https://admission.buddy4study.com/study-abroad/yale-university,11680,Study_Abroad,90,Admission,,Study_Abroad-part_1
5,Yale University Admission,12,https://collegedunia.com/usa/college/1699-yale-university-new-haven/admission,9,https://studyabroad.shiksha.com/usa/universities/yale-university/admissions,,,31,https://www.collegedekho.com/usa/yale-university/,,,,,,,68,https://leverageedu.com/blog/yale-university-acceptance-rate/,71,https://admission.buddy4study.com/study-abroad/yale-university,11680,Study_Abroad,90,Admission,,Study_Abroad-part_1
6,Yale University Admission,13,https://collegedunia.com/usa/college/1699-yale-university-new-haven,7,https://studyabroad.shiksha.com/usa/universities/yale-university,,,31,https://www.collegedekho.com/usa/yale-university/,,,,,,,68,https://leverageedu.com/blog/yale-university-acceptance-rate/,71,https://admission.buddy4study.com/study-abroad/yale-university,11680,Study_Abroad,90,Admission,,Study_Abroad-part_1
7,Yale University Admission,13,https://collegedunia.com/usa/college/1699-yale-university-new-haven,8,https://studyabroad.shiksha.com/usa/universities/yale-university,,,31,https://www.collegedekho.com/usa/yale-university/,,,,,,,68,https://leverageedu.com/blog/yale-university-acceptance-rate/,71,https://admission.buddy4study.com/study-abroad/yale-university,11680,Study_Abroad,90,Admission,,Study_Abroad-part_1
8,Yale University Admission,13,https://collegedunia.com/usa/college/1699-yale-university-new-haven,9,https://studyabroad.shiksha.com/usa/universities/yale-university/admissions,,,31,https://www.collegedekho.com/usa/yale-university/,,,,,,,68,https://leverageedu.com/blog/yale-university-acceptance-rate/,71,https://admission.buddy4study.com/study-abroad/yale-university,11680,Study_Abroad,90,Admission,,Study_Abroad-part_1
9,Morehouse College Admission,9,https://collegedunia.com/usa/college/947-morehouse-college-atlanta/admission,,,,,,,,,,,,,,,,,11681,Study_Abroad,0,Admission,,Study_Abroad-part_1
