Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
simc pune,1,TOP SITE,02-12-2021,https://www.simc.edu/,4,https://collegedunia.com/college/7502-symbiosis-institute-of-media-and-communication-simc-pune,,,2,https://www.shiksha.com/college/symbiosis-institute-of-media-and-communication-symbiosis-international-pune-lavale-village-37023,14,https://www.careers360.com/colleges/symbiosis-institute-of-media-and-communication-pune/admission,13,https://www.collegedekho.com/colleges/simc,,,25,https://admission.aglasem.com/simc-pune/,,,,,,,,,,,10643,College,1900,,,College-LS
Anand Institute of Higher Technology,1,TOP SITE,02-12-2021,https://www.aiht.ac.in/,4,https://collegedunia.com/college/12815-anand-institute-of-higher-technology-aiht-chennai/courses-fees,,,2,https://www.shiksha.com/college/anand-institute-of-higher-technology-old-mahabalipuram-road-chennai-38141,8,https://www.careers360.com/colleges/anand-institute-of-higher-technology-chennai,24,https://www.collegedekho.com/colleges/anand-institute-of-higher-technology,,,23,https://colleges.aglasem.com/anand-institute-of-higher-technology-aiht-chennai/home,,,,,,,,,,,10644,College,1900,,,College-LS
Rani Lakshmi Bai Central Agricultural University,1,TOP SITE,02-12-2021,https://www.rlbcau.ac.in/,3,https://collegedunia.com/university/59025-rani-lakshmi-bai-central-agricultural-university-jhansi,,,8,https://www.shiksha.com/university/rani-lakshmi-bai-central-agricultural-university-jhansi-65141/courses,4,https://www.careers360.com/university/rani-lakshmi-bai-central-agricultural-university-jhansi,18,https://www.collegedekho.com/colleges/rani-lakshmi-bai-central-agricultural-university,,,47,https://colleges.aglasem.com/rani-lakshmi-bai-central-agricultural-university-jhansi/home,,,53,https://www.fresherslive.com/education/rlbcau-result-108557,,,,,,,10645,College,1900,,,College-LS
iior,1,TOP SITE,02-12-2021,https://www.icar-iior.org.in/,42,https://collegedunia.com/college/6612-indian-institute-of-oilseeds-research-hyderabad,,,,,,,,,,,,,,,63,https://www.fresherslive.com/iior-indian-institute-of-oilseeds-research-recruitment,,,,,,,10646,College,1900,,,College-LS
mangalore university distance education,1,TOP SITE,02-12-2021,https://mangaloreuniversity.ac.in/distance-education-1,4,https://collegedunia.com/college/57800-mangalore-university-center-for-distance-education-mangalore/admission,,,22,https://www.shiksha.com/compare-school-of-distance-education-university-of-kerala-vs-mangalore-university-id-28184-11199,14,https://www.careers360.com/colleges/center-for-distance-education-mangalore-university-mangalore/ma-hindi-course,80,https://www.collegedekho.com/news/mangalore-university-announces-admission-to-its-distance-education-courses-4155/,,,20,https://admission.aglasem.com/mangalore-university-distance-education/,,,61,https://www.fresherslive.com/education/mangalore-university-result-103171,57,https://www.embibe.com/exams/mangalore-university-exam-time-table/,,,,,10647,College,1900,,,College-LS
National Institute of Siddha,1,TOP SITE,02-12-2021,https://www.nischennai.org/,30,https://collegedunia.com/college/6423-national-institute-of-siddha-nis-chennai/reviews,,,37,https://www.shiksha.com/compare-national-institute-of-siddha-nis-tamil-nadu-vs-medical-college-and-hospital-id-357405-346349,9,https://www.careers360.com/colleges/national-institute-of-siddha-chennai,28,https://www.collegedekho.com/colleges/national-institute-of-siddha,,,,,,,,,,,,,,,10648,College,1900,,,College-LS
IILM Lodhi Road,1,TOP SITE,02-12-2021,https://www.iilm.edu/,3,https://collegedunia.com/college/45162-iilm-institute-for-higher-education-new-delhi,,,2,https://www.shiksha.com/college/iilm-institute-for-higher-education-lodi-colony-delhi-25763,19,https://www.careers360.com/question-which-campus-of-iilm-is-better-between-greater-noida-and-gurgaonwhy,,,,,,,,,,,45,https://www.embibe.com/ask/question/iilm-lodhi-road-mba-fees-iilm-mba-registration-iilm-mba-ranking-791,,,,,10651,College,1900,,,College-LS
don bosco institute of technology Bangalore,1,TOP SITE,02-12-2021,https://www.dbit.co.in/,5,https://collegedunia.com/college/13359-don-bosco-institute-of-technology-dbit-bangalore/placement,,,3,https://www.shiksha.com/college/don-bosco-institute-of-technology-bangalore-mysore-road-43062,10,https://www.careers360.com/colleges/don-bosco-institute-of-technology-bangalore,17,https://www.collegedekho.com/colleges/don-bosco-institute-of-technology-dbit-bangalore,,,,,,,,,,,,,,,10652,College,1900,,,College-LS
doms iit madras,1,TOP SITE,02-12-2021,https://doms.iitm.ac.in/,5,https://collegedunia.com/college/27861-department-of-management-studies-iit-madras-doms-iit-madras-chennai,,,3,https://www.shiksha.com/college/doms-iit-madras-department-of-management-studies-adyar-chennai-42933,14,https://bschool.careers360.com/articles/iit-madras-mba-admission,,,,,,,,,,,,,,,,,10656,College,1900,,,College-LS
nift shillong,1,TOP SITE,02-12-2021,https://www.nift.ac.in/shillong/,3,https://collegedunia.com/college/58089-national-institute-of-fashion-technology-nift-shillong/courses-fees,,,2,https://www.shiksha.com/college/national-institute-of-fashion-technology-shillong-45481,4,https://www.careers360.com/colleges/national-institute-of-fashion-technology-shillong,9,https://www.collegedekho.com/colleges/nift-shillong,,,,,,,,,,,,,,,10657,College,1900,,,College-LS
