Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
ssc cgl apply,1,TOP SITE,02-12-2021,https://ssc.nic.in/,,,6,https://prepp.in/ssc-cgl-exam/ssc-cgl-2022,4,https://www.shiksha.com/exams/ssc-cgl-exam-application-form,8,https://competition.careers360.com/hi/articles/ssc-cgl-application-form,22,https://www.collegedekho.com/exam/ssc-cgl,26,https://career.aglasem.com/ssc-cgl-application-form/,14,https://byjus.com/ssc-exams/ssc-cgl/,,,56,https://www.embibe.com/exams/ssc-cgl-application-form/,,,,,5685,Prepp,60500,General,,Prepp-C3
haryana police,1,TOP SITE,02-12-2021,https://haryanapolice.gov.in/,,,48,https://prepp.in/haryana-police-exam,,,,,,,,,,,,,,,,,,,5688,Prepp,74000,General,,Prepp-C3
psssb,1,TOP SITE,02-12-2021,https://sssb.punjab.gov.in/,,,26,https://prepp.in/news/e-812-psssb-clerk-exam-date-2021-released-sssbpunjabgovin-admit-cards-soon,,,62,https://news.careers360.com/psssb-recruitment-2021-apply-for-1152-patwari-and-ziladar-vacancies,,,,,,,19,https://www.fresherslive.com/competitive-exams/psssb-admit-card-105622,,,,,,,5689,Prepp,246000,General,,Prepp-C3
ecil,1,TOP SITE,02-12-2021,https://www.ecil.co.in/,,,69,https://prepp.in/news/e-505-ecil-recruitment-2021-walk-in-for-21-technical-officers-scientific-asst-and-junior-artisan-posts,,,72,https://engineering.careers360.com/articles/ecil-recruitment-through-gate,,,,,,,4,https://www.fresherslive.com/ecil-electronics-corporation-of-india-limited-recruitment,,,,,,,5693,Prepp,60500,General,,Prepp-C3
uppbpb,1,TOP SITE,02-12-2021,http://uppbpb.gov.in/,,,58,https://prepp.in/up-police-exam/constable-syllabus,,,42,https://news.careers360.com/up-police-recruitment-2021-revised-dates-released-for-1329-vacancies,,,,,,,81,https://www.fresherslive.com/competitive-exams/anantapur-dccb-syllabus-115735,,,,,,,5695,Prepp,60500,General,,Prepp-C3
slprb,1,TOP SITE,02-12-2021,https://slprbassam.in/,,,94,https://prepp.in/news/e-841-slprb-assam-wireless-operator-admit-card-2021-to-release-soon-slprbassamin,,,97,https://news.careers360.com/ap-police-scientific-assistant-recruitment-2020-apply-for-58-posts-wwwslprbapgovin,,,45,https://news.aglasem.com/slprb-assam-police-admit-card-2021-released-at-slprbassam-in-heres-download-link-exam-date-instructions/,,,6,https://www.fresherslive.com/competitive-exams/slprb-assam-admit-card-110051,51,https://www.embibe.com/exams/assam-police-admit-card/,,,,,5707,Prepp,33100,General,,Prepp-C3
nta ugc net,1,TOP SITE,02-12-2021,https://ugcnet.nta.nic.in/,,,24,https://prepp.in/cbse-ugc-net-exam,7,https://www.shiksha.com/exams/ugc-net-exam,25,https://competition.careers360.com/articles/ugc-net-admit-card,,,69,https://career.aglasem.com/ugc-net-answer-key-24-nov-2021/,,,,,,,,,,,5709,Prepp,40500,General,,Prepp-C3
kptcl,1,TOP SITE,02-12-2021,https://kptcl.karnataka.gov.in/english,,,13,https://prepp.in/kptcl-recruitment-exam,,,,,,,,,,,61,https://www.fresherslive.com/competitive-exams/kptcl-exam-109268,,,,,,,5710,Prepp,49500,General,,Prepp-C3
hpsssb login,1,TOP SITE,02-12-2021,https://hpsssb.hp.gov.in/Login.aspx,,,27,https://prepp.in/hpsssb-exam,75,https://www.shiksha.com/exams/hp-tet-exam,,,,,37,https://career.aglasem.com/hpsssb-admit-card/,,,13,https://www.fresherslive.com/articles/hpsssb-admit-card,,,,,,,5711,Prepp,60500,General,,Prepp-C3
wbpsc gov in,1,TOP SITE,02-12-2021,https://wbpsc.gov.in/,,,22,https://prepp.in/news/e-813-wbpsc-workshop-instructor-prelims-2021-answer-key-released-wbpsc-gov-in-check-details-here,,,26,https://news.careers360.com/wbcs-prelims-admit-card-2021-released-check-steps-download,,,,,,,13,https://www.fresherslive.com/articles/wbpsc-admit-card,,,,,,,5712,Prepp,74000,General,,Prepp-C3
npcil,1,TOP SITE,02-12-2021,https://npcilcareers.co.in/,,,55,https://prepp.in/npcil-recruitment-exam,,,44,https://engineering.careers360.com/articles/npcil-recruitment-through-gate,,,,,,,54,https://www.fresherslive.com/npcil-nuclear-power-corporation-of-india-recruitment,,,,,,,5713,Prepp,60500,General,,Prepp-C3
bseodisha ac in,1,TOP SITE,02-12-2021,http://www.bseodisha.ac.in/,,,27,https://prepp.in/news/e-787-osstet-admit-card-2021-released-on-bseodishaacin-download-link-here,63,https://www.shiksha.com/boards/articles/bse-odisha-10th-results-2020-to-be-announced-today-bseodisha-ac-in-blogId-43535,21,https://news.careers360.com/osstet-answer-key-2021-released-at-bseodishaacin-download-now,,,20,https://news.aglasem.com/nrts-admit-card-2021-to-be-released-soon/,,,82,https://www.fresherslive.com/competitive-exams/muhs-result-115763,,,,,,,5715,Prepp,74000,General,,Prepp-C3
csir ugc net,1,TOP SITE,02-12-2021,https://csirnet.nta.nic.in/,,,5,https://prepp.in/csir-ugc-net-exam,4,https://www.shiksha.com/exams/csir-net-exam,23,https://competition.careers360.com/hi/articles/csir-ugc-net,22,https://www.collegedekho.com/exam/csir-ugc-net,47,https://hindi.aglasem.com/csir-ugc-net-hindi/,,,,,21,https://www.embibe.com/exams/csir-net-notification/,,,,,5717,Prepp,27100,General,,Prepp-C3
cg police,1,TOP SITE,02-12-2021,https://cgpolice.gov.in/,,,20,https://prepp.in/chhattisgarh-police-exam,,,,,,,78,https://career.aglasem.com/cg-police-result/,,,,,,,,,,,5724,Prepp,49500,General,,Prepp-C3
cse paper i current events of national and international importance,1,TOP SITE,02-12-2021,https://www.careerlauncher.com/upsc/syllabus/,,,31,https://prepp.in/news/e-492-ias-upsc-cse-prelims-2021-five-year-paper-analysis-2015-to-2019,3,https://www.shiksha.com/exams/ias-exam-syllabus,17,https://competition.careers360.com/articles/ias-syllabus-current-events-of-national-and-international-importance,,,,,7,https://byjus.com/free-ias-prep/upsc-prelims-syllabus/,,,,,53,https://leverageedu.com/blog/hi/upsc-books-in-hindi/,,,5725,Prepp,18100,General,,Prepp-C3
