Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
spa bhopal,1,TOP SITE,06-12-2021,http://spabhopal.ac.in/,4,https://collegedunia.com/college/5673-school-of-planning-and-architecture-spa-bhopal,,,3,https://www.shiksha.com/college/spa-bhopal-school-of-planning-and-architecture-39575,14,https://www.careers360.com/university/school-of-planning-and-architecture-bhopal,28,https://www.collegedekho.com/colleges/pictures-spa-bhopal,46,https://jeemains.in/spa-bhopal/,42,https://admission.aglasem.com/spa-bhopal/,,,,,,,,,,,9819,College,9900,,,College-MS
igidr,1,TOP SITE,06-12-2021,http://www.igidr.ac.in/,4,https://collegedunia.com/university/25704-indira-gandhi-institute-of-development-research-igidr-mumbai,,,9,https://www.shiksha.com/college/indira-gandhi-institute-of-development-research-igidr-goregaon-east-mumbai-21852/placement,12,https://www.careers360.com/university/indira-gandhi-institute-of-development-research-mumbai,19,https://www.collegedekho.com/colleges/igidr,,,15,https://admission.aglasem.com/igidr-admission/,,,39,https://www.fresherslive.com/education/igidr-admission-110730,,,,,,,9820,College,9900,,,College-MS
DIAS,1,TOP SITE,06-12-2021,https://diasindia.com/,,,,,,,85,https://school.careers360.com/hi/articles/hindi-diwas-speech,,,,,,,,,,,,,,,,,9821,College,9900,,,College-MS
punjab agricultural university,1,TOP SITE,06-12-2021,https://www.pau.edu/,2,https://collegedunia.com/university/25788-punjab-agricultural-university-pau-ludhiana,,,7,https://www.shiksha.com/university/pau-punjab-agricultural-university-ludhiana-986,15,https://www.careers360.com/university/punjab-agricultural-university-ludhiana,25,https://www.collegedekho.com/colleges/pictures-punjab-agriculture-university,,,56,https://admission.aglasem.com/institutes/punjab-colleges-universities/,,,,,,,,,,,9822,College,9900,,,College-MS
igu meerpur,1,TOP SITE,06-12-2021,https://igu.ac.in/2021/,4,https://collegedunia.com/university/59073-indira-gandhi-university-igu-rewari/courses-fees,,,57,https://www.shiksha.com/university/indira-gandhi-university-rewari-64609,7,https://university.careers360.com/articles/igu-meerpur-admission,54,https://www.collegedekho.com/articles/indira-gandhi-university-bed-admission/,,,34,https://admission.aglasem.com/igu-meerpur/,,,9,https://www.fresherslive.com/education/igu-date-sheet-103344,13,https://www.embibe.com/exams/igu-result/,,,,,9824,College,9900,,,College-MS
ibs mumbai,1,TOP SITE,06-12-2021,https://ibsindia.org/ibs-mumbai/,3,https://collegedunia.com/college/17833-icfai-business-school-ibs-mumbai,,,2,https://www.shiksha.com/college/icfai-business-school-ibs-mumbai-powai-26449,5,https://www.careers360.com/colleges/ibs-business-school-mumbai,12,https://www.collegedekho.com/colleges/icfai-business-school-mumbai,,,,,,,,,,,,,,,9825,College,9900,,,College-MS
iiit guwahati,1,TOP SITE,06-12-2021,https://www.iiitg.ac.in/,6,https://collegedunia.com/university/55150-indian-institute-of-information-technology-iiitg-guwahati,,,3,https://www.shiksha.com/college/iiit-guwahati-indian-institute-of-information-technology-assam-39384,11,https://www.careers360.com/university/indian-institute-of-information-technology-guwahati/admission,18,https://www.collegedekho.com/colleges/admission-iiit-guwahati,15,https://jeemains.in/iiit-guwahati/,,,,,50,https://www.fresherslive.com/iiitg-indian-institute-of-information-technology-guwahati-recruitment,22,https://www.embibe.com/exams/iiit-guwahati-placement/,,,,,9826,College,9900,,,College-MS
op jindal global university,1,TOP SITE,06-12-2021,https://jgu.edu.in/,3,https://collegedunia.com/university/25542-o-p-jindal-global-university-jgu-sonepat,,,6,https://www.shiksha.com/university/o-p-jindal-global-university-sonepat-51933,28,https://www.careers360.com/university/op-jindal-global-university-sonipat/courses,20,https://www.collegedekho.com/colleges/o-p-jindal-global-university,,,,,,,,,,,,,,,9827,College,9900,,,College-MS
nit sikkim,1,TOP SITE,06-12-2021,http://nitsikkim.ac.in/,5,https://collegedunia.com/university/28213-national-institute-of-technology-nit-south-sikkim,,,2,https://www.shiksha.com/college/nit-sikkim-national-institute-of-technology-sikkim-other-39335,8,https://www.careers360.com/university/national-institute-of-technology-sikkim,,,43,https://jeemains.in/nit-sikkim-cut-off/,50,https://institutes.aglasem.com/nit-sikkim/,,,,,,,,,,,9828,College,9900,,,College-MS
Kerala Agricultural University,1,TOP SITE,06-12-2021,http://www.kau.in/,4,https://collegedunia.com/university/25644-kerala-agricultural-university-kau-thrissur/courses-fees,,,18,https://www.shiksha.com/university/kau-kerala-agricultural-university-thrissur-58179,16,https://www.careers360.com/university/kerala-agricultural-university-thrissur/courses,,,,,31,https://admission.aglasem.com/kau-admission/,,,91,https://www.fresherslive.com/job-alert/driver-mechanic-and-more-vacancies-jobs-in-thiruvananthapuram-at-kerala-psc-apply-now-1216514,,,,,,,9830,College,9900,,,College-MS
rama university,1,TOP SITE,06-12-2021,https://www.ramauniversity.ac.in/,2,https://collegedunia.com/university/56477-rama-university-kanpur,,,4,https://www.shiksha.com/university/rama-university-kanpur-47222,18,https://www.careers360.com/university/rama-university-kanpur/courses,27,https://www.collegedekho.com/colleges/rama-university-kanpur,,,47,https://colleges.aglasem.com/rama-university-hapur/home,,,,,,,,,,,9831,College,9900,,,College-MS
uiet chandigarh,1,TOP SITE,06-12-2021,https://uiet.puchd.ac.in/,4,https://collegedunia.com/college/28262-university-institute-of-engineering-and-technology-uiet-chandigarh,,,3,https://www.shiksha.com/college/university-institute-of-engineering-and-technology-panjab-university-chandigarh-21446,5,https://www.careers360.com/colleges/university-institute-of-engineering-and-technology-panjab-university-chandigarh,,,,,38,https://cutoffs.aglasem.com/866,,,44,https://www.fresherslive.com/education/uiet-chandigarh-cutoff-107887,,,,,,,9833,College,9900,,,College-MS
suresh gyan vihar university,1,TOP SITE,06-12-2021,https://www.gyanvihar.org/,3,https://collegedunia.com/university/25849-suresh-gyan-vihar-university-sgvu-jaipur/courses-fees,,,7,https://www.shiksha.com/university/suresh-gyan-vihar-university-jaipur-24423/courses,23,https://www.careers360.com/university/suresh-gyan-vihar-university-jaipur,20,https://www.collegedekho.com/colleges/gyan-vihar-university,,,70,https://admission.aglasem.com/sgvuee/,,,,,,,,,,,9835,College,9900,,,College-MS
