Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
Carleton University BSc in Biochemistry,1,TOP SITE,06-12-2021,https://admissions.carleton.ca/programs/biochemistry/,3,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-science-bsc-biochemistry-31,,,2,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-science-in-biochemistry,,,,,,,,,,,,,,,,,16296,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
Carleton University BSc in Biology,1,TOP SITE,06-12-2021,https://admissions.carleton.ca/programs/biology-bsc/,3,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-science-bsc-biology-35,,,2,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-science-in-biology-bsc,,,36,https://www.collegedekho.com/canada/carleton-university/course-fees/,,,,,,,,,,,,,16297,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
Carleton University BSc in Chemistry,1,TOP SITE,06-12-2021,https://calendar.carleton.ca/undergrad/undergradprograms/chemistry/,2,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-science-bsc-chemistry-40,,,3,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-science-in-chemistry,,,,,,,,,,,,,,,,,16298,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
Carleton University BEng in Civil Engineering,1,TOP SITE,06-12-2021,https://carleton.ca/engineering-design/future-students/undergraduate-programs/civil-engineering/,3,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-engineering-beng-civil-engineering-45,,,2,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-engineering-in-civil-engineering,,,,,,,,,,,,,14,https://leverageedu.com/universities/carleton-university,,,16299,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
Carleton University BEng in Electrical Engineering,1,TOP SITE,06-12-2021,https://admissions.carleton.ca/programs/electrical-engineering/,3,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-engineering-beng-electrical-engineering-74,,,2,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-engineering-in-electrical-engineering,,,,,,,,,,,,,38,https://leverageedu.com/blog/electrical-engineering/,,,16300,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
Carleton University BA in Law,1,TOP SITE,06-12-2021,https://admissions.carleton.ca/programs/law-ba/,2,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-arts-ba-law-115,,,15,https://studyabroad.shiksha.com/canada/universities/carleton-university,,,,,,,,,,,,,47,https://leverageedu.com/blog/law-colleges-in-canada/,,,16302,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
Carleton University BEng in Mechanical Engineering,1,TOP SITE,06-12-2021,https://admissions.carleton.ca/programs/mechanical-engineering/,6,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-engineering-beng-biomedical-and-mechanical-engineering-197163,,,2,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-engineering-in-mechanical-engineering,,,,,,,,,,,,,,,,,16303,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
Carleton University BSc in Physics,1,TOP SITE,06-12-2021,https://admissions.carleton.ca/programs/physics/,3,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-science-bsc-applied-physics-26,,,2,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-science-in-physics,,,26,https://www.collegedekho.com/canada/carleton-university/course-fees/,,,,,,,,,9,https://leverageedu.com/universities/carleton-university,,,16304,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
Carleton University BEng in Software Engineering,1,TOP SITE,06-12-2021,https://admissions.carleton.ca/programs/software-engineering-beng/,4,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-engineering-beng-software-engineering-170,,,3,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-engineering-in-software-engineering,,,,,,,,,,,,,,,,,16305,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
Concordia University BSc in Biochemistry,1,TOP SITE,06-12-2021,https://www.concordia.ca/academics/undergraduate/biochemistry.html,10,https://collegedunia.com/canada/college/3-concordia-university-montreal/bachelor-of-science-bsc-biochemistry-194,,,11,https://studyabroad.shiksha.com/canada/universities/concordia-university/biochemistry-bsc,,,,,,,,,,,,,,,,,16306,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
