,Keyword,Tag,Search Volume,Category,Exam Tag,new_tag
9819,spa bhopal,College,9900,,,College-MS
9820,igidr,College,9900,,,College-MS
9821,DIAS,College,9900,,,College-MS
9822,punjab agricultural university,College,9900,,,College-MS
9823,iiswbm,College,9900,,,College-MS
9824,igu meerpur,College,9900,,,College-MS
9825,ibs mumbai,College,9900,,,College-MS
9826,iiit guwahati,College,9900,,,College-MS
9827,op jindal global university,College,9900,,,College-MS
9828,nit sikkim,College,9900,,,College-MS
9829,cmc ludhiana,College,9900,,,College-MS
9830,Kerala Agricultural University,College,9900,,,College-MS
9831,rama university,College,9900,,,College-MS
9832,uem kolkata,College,9900,,,College-MS
9833,uiet chandigarh,College,9900,,,College-MS
9834,mats University,College,9900,,,College-MS
9835,suresh gyan vihar university,College,9900,,,College-MS
9836,rgipt,College,9900,,,College-MS
9837,iiit bhopal,College,9900,,,College-MS
9838,RIMT University,College,9900,,,College-MS
9839,sri dev suman university,College,9900,,,College-MS
9840,Oriental University,College,9900,,,College-MS
9841,msit,College,9900,,,College-MS
9842,GRAU,College,9900,,,College-MS
9843,rie ajmer,College,9900,,,College-MS
9844,mother teresa university,College,9900,,,College-MS
9845,rk university,College,9900,,,College-MS
9846,Great Lakes Chennai,College,9900,,,College-MS
9847,nmims Bangalore,College,9900,,,College-MS
9848,aditi mahavidyalaya,College,9900,,,College-MS
9849,nift mumbai,College,9900,,,College-MS
9850,JIMS rohini,College,9900,,,College-MS
9851,nit manipur,College,9900,,,College-MS
9852,iiit nagpur,College,9900,,,College-MS
9853,ili,College,9900,,,College-MS
9854,Wildlife Institute of India,College,9900,,,College-MS
9855,maharaja surajmal institute,College,9900,,,College-MS
9856,iis university,College,9900,,,College-MS
9857,Monad University,College,9900,,,College-MS
9858,kl university hyderabad,College,9900,,,College-MS
9859,rie mysore,College,9900,,,College-MS
9860,gujarat ayurved university,College,9900,,,College-MS
9861,mangalayatan university,College,9900,,,College-MS
9862,assam agricultural university,College,9900,,,College-MS
9863,babu banarasi das university,College,9900,,,College-MS
9864,sndt womens university,College,9900,,,College-MS
9865,navrachana university,College,9900,,,College-MS
9866,tilka manjhi bhagalpur university,College,9900,,,College-MS
9867,rie bhopal,College,9900,,,College-MS
9868,vivekananda global university,College,9900,,,College-MS
9869,ustm,College,9900,,,College-MS
9870,ddce utkal university,College,9900,,,College-MS
9871,kr mangalam university,College,9900,,,College-MS
9872,Vivekananda Mahavidyalaya,College,9900,,,College-MS
9873,veltech university,College,9900,,,College-MS
9874,William Carey University,College,9900,,,College-MS
9875,rmlnlu,College,9900,,,College-MS
9876,sreenidhi institute of science and technology,College,9900,,,College-MS
9877,plaksha university,College,9900,,,College-MS
9878,JD Institute of Fashion Technology,College,9900,,,College-MS
9879,parul university vadodara,College,9900,,,College-MS
9880,Sukumar Sengupta Mahavidyalaya,College,9900,,,College-MS
9881,rgukt basar,College,9900,,,College-MS
9882,Mody University,College,8100,,,College-MS
9883,imi kolkata,College,8100,,,College-MS
9884,iim visakhapatnam,College,8100,,,College-MS
9885,imt hyderabad,College,8100,,,College-MS
