city_id,city,New York,Los Angeles,Chicago,Houston,Phoenix
3786,Bakersfield,4516.069,179.316,3267.231,2663.621,774.1
6114,Hillsdale,1014.493,3531.553,313.394,1961.201,3062.934
9033,South Hadley,249.908,4672.128,1453.968,2862.854,4135.648
6300,Iowa City,1604.654,2890.899,355.816,1687.533,2436.632
9749,Waterbury,147.733,4606.732,1388.572,2777.631,4034.519
5528,Fort Wayne,1042.116,3476.164,261.359,1835.188,2936.921
3682,Arlington,375.497,4285.319,1126.238,2257.719,3693.628
5227,Ellensburg,4387.421,1724.253,3116.439,3593.976,2122.394
6086,High Point,886.978,3951.348,1169.699,1785.741,3359.657
8026,Palo Alto,4722.088,572.714,3473.25,3057.019,1167.498
7462,Mount Pleasant,1176.629,4008.438,1478.308,1765.347,3468.393
3616,Anderson,1208.617,3705.488,1190.19,1470.905,3165.443
7913,Oneonta,275.487,4444.721,1226.562,2720.227,3908.242
7338,Mobile,1515.317,3163.792,244.334,1837.82,2709.525
4826,Cromwell,174.919,4646.662,1428.503,2787.866,4074.444
8685,Saint Peter,1976.935,2956.548,705.953,1858.597,2502.375
7390,Montreat,0,0,0,0,0
4288,California,4691.864,351.634,3443.026,2835.939,946.419
8507,Rio Grande,3174.488,1939.375,2164.742,630.218,1342.094
7685,Newport News,638.07,4318.143,1385.909,2228.401,3726.452
3495,Abilene,2779.743,2017.295,1743.295,573.152,1420.015
8557,Rock Island,1519.765,2985.8,270.918,1683.207,2531.532
9651,Waco,2644.696,2278.895,1713.454,298.552,1681.614
4484,Charlottesville,550.783,4101.592,1191.679,2073.973,3509.882
5135,East Stroudsburg,121.137,4373.355,1155.196,2543.222,3801.14
9925,Westerville,868.951,3632.454,517.493,1881.935,3040.762
9516,Tyler,0,0,0,0,0
7623,New Haven,129.833,4615.856,1397.696,2745.926,4043.64
9084,Spearfish,2809.949,2071.745,1538.967,2151.293,1901.446
9212,Stillwater,2266.004,2237.911,1210.469,813.067,1646.201
4083,Boulder,2886.122,1654.085,1637.283,1696.27,1340.065
8768,Santa Monica,4517.253,25.301,3268.415,2510.865,621.345
5982,Hartford,190.102,4654.091,1435.931,2801.279,4081.875
5428,Flint,1380.021,3811.093,1458.957,1456.853,3271.031
7332,Missoula,3794.513,1948.265,2523.53,3092.42,1906.704
7199,Mequon,1444.891,3321.836,173.906,1876.171,2867.569
6106,Hillsboro,4689.837,1567.129,3440.999,3676.63,2161.913
8414,Randolph Center,355.489,4814.696,1596.537,2971.584,4257.343
8105,Pembroke,381.836,4841.044,1622.884,2997.931,4283.69
7666,Newberg,0,1522.621,0,3682.392,0
4177,Brookline,7.796,4520.431,1302.271,2634.916,3913.269
7322,Misenheimer,953.809,3933.492,1222.447,1734.614,3341.801
8261,Pomona,4446.8,47.438,3197.962,2443.244,553.723
8717,San Bernardino,4420.615,96.131,3171.777,2404.051,514.531
6690,Laurinburg,946.808,4042.858,1325.323,1799.766,3502.813
9215,Stockton,4609.331,542.666,3360.493,3026.971,1137.45
7093,Maryville,2015.23,2601.287,766.391,1367.316,2056.776
6817,Little Rock,1982.482,2679.247,1051.203,698.798,2087.556
9225,Storrs,158.717,4612.015,1393.856,2782.914,0
7044,Marion,864.937,3640.131,477.613,1914.695,3048.439
7377,Montgomery,1684.679,3353.288,1212.916,1019.204,2756.008
5942,Hampton,151.619,4641.238,1423.078,2780.027,4058.347
4592,Clarksville,1498.034,3216.375,645.807,1244.969,2624.664
7957,Oshkosh,1554.815,3312.146,283.83,1956.3,2857.879
4730,Conway,2018.92,2628.944,1036.555,735.689,2037.233
3930,Bemidji,2273.313,3064.51,1002.331,2241.06,2882.291
4559,Cincinnati,1028.914,3510.585,479.423,1684.734,2918.875
9597,Ventura,4599.727,118.495,3350.889,2606.213,716.693
6655,Langston,2289.528,2202.774,1233.991,777.948,1611.083
4985,Detroit,991.333,3671.038,454.854,2095.348,3197.08
8345,Princess Anne,395.588,4458.49,1331.471,2413.87,3866.812
5795,Grand Forks,2433.115,2956.86,1162.132,2243.826,2786.562
8461,Reno,1160.593,5370.351,2154.168,3773.539,4881.86
4523,Chestnut Hill,339.102,4791.489,1573.329,2950.279,4234.135
5903,Gunnison,3177.999,1444.36,1929.161,1670.861,978.352
9310,Swarthmore,178.318,4363.049,1221.899,2466.532,3771.371
8488,Richmond,538.822,4211.02,1286.661,2129.067,3619.328
6043,Helena,3596.954,1882.76,2325.972,2925.104,1841.199
6757,Lewisburg,322.412,4194.882,976.722,2463.708,3622.666
7548,Nacogdoches,2426.345,2569.872,1517.77,227.857,1972.591
4913,Davis,4691.864,351.634,3443.026,2835.939,946.418
6394,Joliet,1291.915,3204.092,73.886,1669.01,2760.697
3977,Beverly,382.491,4834.878,1616.718,2993.668,4277.524
6330,Jackson,1926.951,2962.637,1191.856,713.257,2365.357
6349,Jamestown,0,0,0,0,0
3520,Aiken,1216.831,3779.723,1316.791,1536.631,3239.678
6202,Houston,2618.355,2490.005,1743.612,0,1892.725
9507,Tuscaloosa,1638.58,3252.872,1158.631,990.692,2655.591
7895,Old Westbury,40.596,4530.214,1312.055,2667.236,3957.998
6907,Lubbock,2891.066,1779.629,1835.53,840.099,1187.919
4216,Buena Vista,3052.466,1577.358,1803.628,1607.603,1081.457
8671,Saint Joseph,1943.115,2619.411,794.942,1301.898,1991.358
7423,Morris,4497.233,65.059,3248.394,2483.443,585.403
4045,Bluefield,896.013,3858.577,962.256,1830.976,3266.885
7518,Muncie,1093.175,3426.9,368.737,1733.476,2835.208
5152,Eau Claire,1781.973,3192.041,510.99,1988.675,2737.774
6395,Jonesboro,1820.06,2838.85,824.296,905.284,2247.159
6992,Manchester,409.209,4861.596,1643.436,3022.155,4304.242
5695,Geneva,4580.024,1777.941,3309.041,3786.58,2314.996
9734,Washington,4444.668,1841.433,3173.685,3742.575,2239.574
4170,Bronx,23.572,4502.469,1284.31,2639.49,3930.254
5839,Green Bay,1603.622,3390.839,332.64,2070.081,2936.572
7291,Milledgeville,1384.56,3667.358,1314.938,1364.551,3127.295
5412,Findlay,915.589,3663.95,445.791,1940.657,3069.713
6760,Lewiston,4686.838,928.327,3437.999,3412.632,1523.111
4101,Bozeman,3471.208,1762.378,2200.225,2769.115,1720.817
6009,Haverford,173.221,4351.467,1210.304,2482.018,3759.743
4386,Carson,4691.864,351.634,3443.026,2835.939,946.418
6152,Holland,1238.846,3458.985,242.801,1927.431,3015.59
8307,Portland,4659.266,1548.285,3410.429,3646.06,2143.069
10016,Willimantic,228.736,4698.171,1480.008,2841.682,4125.955
5166,Edinboro,665.757,3924.748,706.589,2229.311,3388.269
4136,Bridgeport,100.16,4586.183,1368.023,2716.254,4013.967
9179,Stanford,4725.829,576.868,3476.99,3061.172,1171.652
4605,Clemson,1214.404,3709.27,1183.459,1474.669,3169.207
7434,Morrow,1416.35,3532.739,1180.62,1274.424,2992.694
7726,North Andover,368.332,4820.718,1602.559,2981.278,4263.368
5837,Greeley,2818.192,1717.657,1569.354,1688.874,1403.638
9410,Tiffin,867.871,3673.498,455.339,1980.925,3109.981
6025,Hayward,4686.653,575.486,3437.815,3059.79,1170.27
9730,Warwick,1416.145,3231.952,766.817,1260.565,2640.261
9444,Topeka,2018.223,2501.602,920.509,1190.49,1873.549
6653,Langhorne,122.537,4380.372,1239.209,2536.301,3788.68
9161,St. Louis,1533.213,2936.747,477.677,1253.497,2345.037
6231,Huntingdon,0,0,0,0,0
9795,Wayne,0,0,0,0,0
4089,Bowie,345.966,4263.556,1136.537,2300.024,3671.878
7374,Monterey,4830.526,512.541,3581.688,2996.846,1107.325
6832,Livonia,997.023,3643.014,426.836,2095.734,3199.619
3910,Bellevue,4549.489,1830.786,3278.506,3756.044,2284.461
6847,Loma Linda,4429.68,95.068,3180.842,2397.047,507.527
10059,Wingate,0,0,0,0,0
7633,New London,202.566,4688.589,1470.429,2818.659,4116.373
5543,Framingham,316.324,4768.711,1550.552,2927.502,4211.358
4435,Cedarville,948.066,3553.384,516.738,1787.838,2961.674
4897,Danville,762.706,3998.315,1190.324,1881.9,3406.623
4911,Davidson,1005.637,3895.628,1186.136,1692.005,3303.918
4034,Bloomsburg,239.887,4254.788,1036.629,2466.496,3682.573
6864,Longmeadow,224.194,4674.558,1456.399,2835.372,4116.266
8664,St. Davids,168.58,4340.423,1199.26,2486.891,3748.699
8684,Saint Paul,1916.614,3106.209,645.631,1902.843,2651.941
6643,Lancaster,263.64,4256.419,1115.27,2411.292,3664.741
4919,Daytona Beach,1642.712,4027.831,1852.782,1540.509,3430.551
5339,Fairfield,90.955,4576.978,1358.819,2707.05,4004.763
7371,Montclair,33.354,4470.012,1251.853,2612.741,3897.797
8896,Shawnee,2325.963,2196.648,1270.427,705.219,1604.957
8556,Rock Hill,1048.556,3888.48,1248.808,1653.897,3348.435
5369,Fargo,2305.048,2865.558,1034.065,2116.739,2689.314
3733,Atlanta,1392.943,3510.26,1157.212,1276.135,2970.215
4804,Crawfordsville,1215.083,3310.308,244.474,1616.866,2718.598
6005,Hattiesburg,1918.84,3099.186,1333.865,701.053,2501.905
6785,Lima,2518.537,2285.512,1587.259,413.391,1688.232
9884,West Liberty,644.967,3831.232,766.836,2074.463,3239.508
6968,Mahwah,55.411,4492.125,1273.966,2637.858,3919.91
5352,Fairmont,175.366,4335.324,1207.612,2491.266,3743.614
4522,Chestertown,277.034,4363.342,1236.323,2393.309,3771.664
8666,Saint George,3869.403,623.18,2620.565,2266.292,675.079
