unique,head2,head2ID,course_rating,new_sub_streams,new_sub_streamsID,degree_type,stream_rating,levelID,country_id,country
1541232452,(Professional) Education,1000,233,Education,324,Doctorate,55,5,2,United Kingdom
953030912,3D Design,1001,21,Design,309,Bachelor,94,1,2,United Kingdom
953030922,3D Design,1001,21,Design,309,Master,94,2,2,United Kingdom
1747722421,3D Fine Arts,1002,13,Fine Arts,224,Master,119,2,1,USA
1747722411,3D Fine Arts,1002,13,Fine Arts,224,Bachelor,119,1,1,USA
11272202314,3D Modeling for Animation and Games,1003,15,Games Development,202,Certificate/Diploma,97,3,14,Canada
1123856314,911 and Emergency Services Communications,1004,98,Communication Studies,56,Certificate/Diploma,7,3,14,Canada
211233211,Accelerated Nursing,1005,16,Nursing,332,Bachelor,79,1,1,USA
831527311,Accelerated Physician-Scientist,1006,27,Health Care,273,Bachelor,36,1,1,USA
524830911,Accessories Design,1007,8,Design,309,Bachelor,94,1,1,USA
778130911,Accessory Design,1008,40,Design,309,Bachelor,94,1,1,USA
778130915,Accessory Design,1008,40,Design,309,Bachelor,94,1,5,Germany
118519713,Accident Forensics,1009,9,Forensic Sciences,97,Bachelor,35,1,3,Australia
116869753,Accident Research Centre,1010,41,Forensic Sciences,97,Doctorate,35,5,3,Australia
1735431911,Accountancy and Information Systems,1011,1248,Business,319,Bachelor,1,1,1,USA
10303350214,Accountants,1012,2,Business Management,350,Master,7,2,14,Canada
119231911,Accounting,1013,1249,Business,319,Bachelor,1,1,1,USA
119231921,Accounting,1013,1249,Business,319,Master,1,2,1,USA
119231913,Accounting,1013,1249,Business,319,Bachelor,1,1,3,Australia
1192319111,Accounting,1013,1249,Business,319,Bachelor,1,1,11,Singapore
119231917,Accounting,1013,1249,Business,319,Bachelor,1,1,7,Ireland
119231923,Accounting,1013,1249,Business,319,Master,1,2,3,Australia
119231916,Accounting,1013,1249,Business,319,Bachelor,1,1,6,Hong Kong
119231918,Accounting,1013,1249,Business,319,Bachelor,1,1,8,Malaysia
1192319110,Accounting,1013,1249,Business,319,Bachelor,1,1,10,New Zealand
119231951,Accounting,1013,1249,Business,319,Doctorate,1,5,1,USA
1192350114,Accounting,1013,228,Business Management,350,Bachelor,7,1,14,Canada
1192350214,Accounting,1013,228,Business Management,350,Master,7,2,14,Canada
119232113,Accounting,1013,29,Commerce,321,Bachelor,23,1,3,Australia
1192321114,Accounting,1013,29,Commerce,321,Bachelor,23,1,14,Canada
1178932123,Accounting,1013,29,Commerce,321,Master,23,2,3,Australia
1192321110,Accounting,1013,29,Commerce,321,Bachelor,23,1,10,New Zealand
1192321210,Accounting,1013,29,Commerce,321,Master,23,2,10,New Zealand
119233711,Accounting,1013,39,Sciences,337,Bachelor,33,1,1,USA
119233721,Accounting,1013,39,Sciences,337,Master,33,2,1,USA
119233722,Accounting,1013,39,Sciences,337,Master,33,2,2,United Kingdom
119233712,Accounting,1013,39,Sciences,337,Bachelor,33,1,2,United Kingdom
