,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,bfuhs,11,https://collegedunia.com/university/25774-baba-farid-university-of-health-sciences-bfuhs-faridkot,51,https://prepp.in/news/e-904-bfuhs-cho-exam-2021-download-cho-admit-card-bfuhsacin,14,https://www.shiksha.com/university/baba-farid-university-of-health-sciences-faridkot-58509,21,https://www.careers360.com/university/baba-farid-university-of-health-sciences-faridkot,,,19,https://admission.aglasem.com/baba-farid-university-result/,,,26,https://www.fresherslive.com/bfuhs-baba-farid-university-of-health-sciences-recruitment,83,https://www.embibe.com/exams/bfuhs-result/,,,,,5593,Prepp,246000,Overview,,Prepp-C1
1,bfuhs,12,https://collegedunia.com/university/25774-baba-farid-university-of-health-sciences-bfuhs-faridkot,51,https://prepp.in/news/e-904-bfuhs-cho-exam-2021-download-cho-admit-card-bfuhsacin,14,https://www.shiksha.com/university/baba-farid-university-of-health-sciences-faridkot-58509,21,https://www.careers360.com/university/baba-farid-university-of-health-sciences-faridkot,,,19,https://admission.aglasem.com/baba-farid-university-result/,,,26,https://www.fresherslive.com/bfuhs-baba-farid-university-of-health-sciences-recruitment,83,https://www.embibe.com/exams/bfuhs-result/,,,,,5593,Prepp,246000,Overview,,Prepp-C1
2,bfuhs,13,https://collegedunia.com/university/25774-baba-farid-university-of-health-sciences-bfuhs-faridkot/admission,51,https://prepp.in/news/e-904-bfuhs-cho-exam-2021-download-cho-admit-card-bfuhsacin,14,https://www.shiksha.com/university/baba-farid-university-of-health-sciences-faridkot-58509,21,https://www.careers360.com/university/baba-farid-university-of-health-sciences-faridkot,,,19,https://admission.aglasem.com/baba-farid-university-result/,,,26,https://www.fresherslive.com/bfuhs-baba-farid-university-of-health-sciences-recruitment,83,https://www.embibe.com/exams/bfuhs-result/,,,,,5593,Prepp,246000,Overview,,Prepp-C1
3,mp vyapam,89,https://collegedunia.com/exams/mp-vyapam-dahet,8,https://prepp.in/mppeb-vyapam-exam,9,https://www.shiksha.com/exams/mp-vyapam-exam,,,,,,,,,51,https://www.fresherslive.com/competitive-exams/mp-vyapam-result-109869,21,https://www.embibe.com/exams/mp-vyapam/,,,,,5682,Prepp,60500,Overview,,Prepp-C1
4,ies full form,36,https://collegedunia.com/qna/question/5839-what-is-the-difference-between-ies-and-ese,8,https://prepp.in/ies-exam,4,https://www.shiksha.com/exams/ies-exam,62,https://competition.careers360.com/articles/upsc-ese-application-form,77,https://www.collegedekho.com/articles/ies-iss-exam/,,,11,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,,,48,https://www.embibe.com/exams/ies-salary/,59,https://leverageedu.com/blog/ies-exam/,,,5700,Prepp,27100,Full_Form,,Prepp-C1
5,afcat eligibility,44,https://collegedunia.com/qna/question/5747-what-is-the-eligible-criteria-for-the-afcat-exam,1,https://prepp.in/afcat-exam/eligibility,3,https://www.shiksha.com/sarkari-exams/defence/articles/afcat-eligibility-criteria-blogId-33555,9,https://competition.careers360.com/articles/afcat-eligibility-criteria,5,https://www.collegedekho.com/exam/afcat/registration-eligibility,,,8,https://byjus.com/govt-exams/afcat-eligibility/,84,https://www.fresherslive.com/education/afcat-eligibility-100550,46,https://www.embibe.com/exams/afcat/,80,https://leverageedu.com/blog/afcat-exam/,57,https://exam.buddy4study.com/afcat-eligibility-criteria,5959,Prepp,22200,Eligibility,,Prepp-C1
6,cbt exam,63,https://collegedunia.com/exams/mat/exam-dates,69,https://prepp.in/rrb-ntpc-exam/exam-pattern,80,https://www.shiksha.com/mba/mat-exam-dates,43,https://news.careers360.com/rrb-ntpc-2021-7th-phase-cbt-exam-begins-check-important-details,,,,,,,,,,,,,,,6451,Prepp,12100,Overview,,Prepp-C1
7,best book for reasoning,49,https://collegedunia.com/exams/gmat/gmat-books-for-critical-reasoning,17,https://prepp.in/news/e-514-best-books-for-ssc-cgl-logical-reasoning,80,https://www.shiksha.com/law/articles/best-books-for-glat-blogId-38411,7,https://www.careers360.com/question-which-is-the-best-basic-book-of-reasoning-for-competitive-exam-like-bankrailwaysbiibpsssc-etc,60,https://www.collegedekho.com/exam/clat/best-books,90,https://admission.aglasem.com/nimcet-books/,,,,,76,https://www.embibe.com/exams/bank-exam-books/,6,https://leverageedu.com/blog/logical-reasoning-books/,,,6555,Prepp,6600,Books,,Prepp-C1
8,pet exam,84,https://collegedunia.com/exams/bhu-pet,47,https://prepp.in/news/e-886-upsssc-pet-exam-center-2021-city-list-covid-19-guidelines-exam-day-instructions-and-shift-timings,28,https://www.shiksha.com/b-tech/cg-pet-exam,25,https://engineering.careers360.com/exams/cg-pet,65,https://www.collegedekho.com/exam/cg-pet,,,,,,,,,,,,,6654,Prepp,49500,Overview,,Prepp-C1
9,ese full form,24,https://collegedunia.com/qna/question/5839-what-is-the-difference-between-ies-and-ese,7,https://prepp.in/ies-exam,15,https://www.shiksha.com/exams/ies-exam,13,https://www.careers360.com/question-what-is-ese-0,,,,,51,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,,,98,https://www.embibe.com/exams/career-in-indian-engineering-services/,,,,,6918,Prepp,6600,Full_Form,,Prepp-C1
