,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,University of Windsor fees,5,https://collegedunia.com/canada/college/12-university-of-windsor-windsor,4,https://studyabroad.shiksha.com/canada/universities/university-of-windsor,,,8,https://www.collegedekho.com/canada/university-of-windsor/,,,,,,,,,12663,Study_Abroad,880,College,,Study_Abroad-College-LS
1,University of Windsor fees,5,https://collegedunia.com/canada/college/12-university-of-windsor-windsor,72,https://easyshiksha.com/University-of-Windsor--Canada-10484,,,8,https://www.collegedekho.com/canada/university-of-windsor/,,,,,,,,,12663,Study_Abroad,880,College,,Study_Abroad-College-LS
2,University of Windsor fees,6,https://collegedunia.com/canada/college/12-university-of-windsor-windsor,4,https://studyabroad.shiksha.com/canada/universities/university-of-windsor,,,8,https://www.collegedekho.com/canada/university-of-windsor/,,,,,,,,,12663,Study_Abroad,880,College,,Study_Abroad-College-LS
3,University of Windsor fees,6,https://collegedunia.com/canada/college/12-university-of-windsor-windsor,72,https://easyshiksha.com/University-of-Windsor--Canada-10484,,,8,https://www.collegedekho.com/canada/university-of-windsor/,,,,,,,,,12663,Study_Abroad,880,College,,Study_Abroad-College-LS
4,University of Windsor fees,7,https://collegedunia.com/canada/college/12-university-of-windsor-windsor/master-of-business-administration-mba-18150,4,https://studyabroad.shiksha.com/canada/universities/university-of-windsor,,,8,https://www.collegedekho.com/canada/university-of-windsor/,,,,,,,,,12663,Study_Abroad,880,College,,Study_Abroad-College-LS
5,University of Windsor fees,7,https://collegedunia.com/canada/college/12-university-of-windsor-windsor/master-of-business-administration-mba-18150,72,https://easyshiksha.com/University-of-Windsor--Canada-10484,,,8,https://www.collegedekho.com/canada/university-of-windsor/,,,,,,,,,12663,Study_Abroad,880,College,,Study_Abroad-College-LS
6,McGill University fees,6,https://collegedunia.com/canada/college/39-mcgill-university-montreal,5,https://studyabroad.shiksha.com/canada/universities/mcgill-university,,,18,https://www.collegedekho.com/canada/mcgill-university/course-fees/,,,,,15,https://leverageedu.com/blog/mba-in-mcgill-university/,47,https://admission.buddy4study.com/study-abroad/study-in-montreal,12664,Study_Abroad,880,College,,Study_Abroad-College-LS
7,Columbia University fees,9,https://collegedunia.com/usa/college/1711-columbia-university-new-york-city,1,https://studyabroad.shiksha.com/usa/universities/columbia-university,,,13,https://www.collegedekho.com/usa/columbia-university/,,,,,24,https://leverageedu.com/universities/columbia-university,,,12665,Study_Abroad,880,College,,Study_Abroad-College-LS
8,Boston University fees,7,https://collegedunia.com/usa/college/1019-boston-university-boston,6,https://studyabroad.shiksha.com/usa/universities/boston-university,,,12,https://www.collegedekho.com/usa/boston-university/,,,,,31,https://leverageedu.com/blog/boston-university-mba/,,,12666,Study_Abroad,880,College,,Study_Abroad-College-LS
9,University of Alberta fees,7,https://collegedunia.com/canada/college/9-university-of-alberta-edmonton,6,https://studyabroad.shiksha.com/canada/universities/university-of-alberta,,,8,https://www.collegedekho.com/canada/university-of-alberta/,,,,,16,https://leverageedu.com/universities/university-of-alberta,,,12667,Study_Abroad,880,College,,Study_Abroad-College-LS
10,New York Film Academy fees,6,https://collegedunia.com/usa/college/1080-new-york-film-academy-burbank,79,https://studyabroad.shiksha.com/usa/universities/the-los-angeles-film-school,93,https://www.careers360.com/news/9450-NYFA-in-India,,,,,,,,,,,12668,Study_Abroad,880,College,,Study_Abroad-College-LS
11,Southwestern University,6,https://collegedunia.com/usa/college/1349-southwestern-university-georgetown,,,,,,,,,,,,,,,12669,Study_Abroad,880,College,,Study_Abroad-College-LS
12,Alliant International University,5,https://collegedunia.com/usa/college/899-alliant-international-university-san-diego,3,https://studyabroad.shiksha.com/usa/universities/alliant-international-university,,,10,https://www.collegedekho.com/usa/alliant-international-university/,,,,,,,,,12670,Study_Abroad,880,College,,Study_Abroad-College-LS
13,"St George's, University of London",12,https://collegedunia.com/uk/college/845-st-georges-university-of-london-london,3,https://studyabroad.shiksha.com/uk/universities/st-george-s-university-of-london,,,,,,,,,,,,,12672,Study_Abroad,880,College,,Study_Abroad-College-LS
14,Texas Southern University,14,https://collegedunia.com/usa/college/1433-texas-southern-university-houston,3,https://studyabroad.shiksha.com/usa/universities/texas-southern-university,,,57,https://www.collegedekho.com/usa/texas-southern-university/,,,,,,,,,12673,Study_Abroad,880,College,,Study_Abroad-College-LS
15,Jonkoping University,11,https://collegedunia.com/sweden/college/2268-jonkoping-university-jonkoping/admission,4,https://studyabroad.shiksha.com/sweden/universities/jonkoping-university,,,,,,,,,,,,,12674,Study_Abroad,880,College,,Study_Abroad-College-LS
16,Texas Christian University,20,https://collegedunia.com/usa/college/1320-texas-christian-university-fort-worth,5,https://studyabroad.shiksha.com/usa/universities/texas-christian-university,,,39,https://www.collegedekho.com/ae/usa/texas-christian-university/,,,,,,,,,12675,Study_Abroad,880,College,,Study_Abroad-College-LS
17,Fairleigh Dickinson University Vancouver,12,https://collegedunia.com/canada/college/3621-fairleigh-dickinson-university-vancouver,16,https://studyabroad.shiksha.com/usa/universities/fairleigh-dickinson-university,,,,,,,,,,,,,12676,Study_Abroad,880,College,,Study_Abroad-College-LS
18,University of Alabama Huntsville,5,https://collegedunia.com/usa/college/1440-university-of-alabama-huntsville-huntsville,62,https://studyabroad.shiksha.com/usa/universities/university-of-alabama,,,,,,,,,,,,,12677,Study_Abroad,880,College,,Study_Abroad-College-LS
