Keyword,Rank,Website,Date,URL,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
Harvard University,1,TOP SITE,30-10-2021,https://www.harvard.edu/,12102,Study_Abroad,165000,College,,Study_Abroad-College-HS
Harvard University,14,shiksha.com,30-10-2021,https://studyabroad.shiksha.com/usa/universities/harvard-university,12102,Study_Abroad,165000,College,,Study_Abroad-College-HS
Harvard University,17,collegedunia.com,30-10-2021,https://collegedunia.com/usa/college/1090-harvard-university-cambridge,12102,Study_Abroad,165000,College,,Study_Abroad-College-HS
Harvard University,37,collegedekho.com,30-10-2021,https://www.collegedekho.com/usa/harvard-university/,12102,Study_Abroad,165000,College,,Study_Abroad-College-HS
University of Oxford,1,TOP SITE,30-10-2021,https://www.ox.ac.uk/,12103,Study_Abroad,135000,College,,Study_Abroad-College-HS
University of Oxford,5,collegedunia.com,30-10-2021,https://collegedunia.com/uk/college/865-university-of-oxford-oxford,12103,Study_Abroad,135000,College,,Study_Abroad-College-HS
University of Oxford,8,shiksha.com,30-10-2021,https://studyabroad.shiksha.com/uk/universities/university-of-oxford,12103,Study_Abroad,135000,College,,Study_Abroad-College-HS
Stanford University,1,TOP SITE,30-10-2021,https://www.stanford.edu/,12104,Study_Abroad,110000,College,,Study_Abroad-College-HS
Stanford University,6,shiksha.com,30-10-2021,https://studyabroad.shiksha.com/usa/universities/stanford-university,12104,Study_Abroad,110000,College,,Study_Abroad-College-HS
Stanford University,24,collegedunia.com,30-10-2021,https://collegedunia.com/usa/college/2074-stanford-university-stanford,12104,Study_Abroad,110000,College,,Study_Abroad-College-HS
Stanford University,31,collegedekho.com,30-10-2021,https://www.collegedekho.com/usa/stanford-university/,12104,Study_Abroad,110000,College,,Study_Abroad-College-HS
Stanford University,57,careers360.com,30-10-2021,https://news.careers360.com/duk-professor-in-stanford-varsitys-list-of-top-2-scientists,12104,Study_Abroad,110000,College,,Study_Abroad-College-HS
University of Toronto(Mississauga),1,TOP SITE,30-10-2021,https://www.utm.utoronto.ca/,12105,Study_Abroad,90500,College,,Study_Abroad-College-HS
University of Toronto(Mississauga),4,collegedunia.com,30-10-2021,https://collegedunia.com/canada/college/102-university-of-toronto-mississauga-mississauga,12105,Study_Abroad,90500,College,,Study_Abroad-College-HS
University of Toronto(Mississauga),8,shiksha.com,30-10-2021,https://studyabroad.shiksha.com/canada/universities/university-of-toronto,12105,Study_Abroad,90500,College,,Study_Abroad-College-HS
University of Toronto,1,TOP SITE,30-10-2021,https://www.utoronto.ca/,12106,Study_Abroad,90500,College,,Study_Abroad-College-HS
University of Toronto,4,shiksha.com,30-10-2021,https://studyabroad.shiksha.com/canada/universities/university-of-toronto,12106,Study_Abroad,90500,College,,Study_Abroad-College-HS
University of Toronto,6,collegedunia.com,30-10-2021,https://collegedunia.com/canada/college/104-university-of-toronto-toronto,12106,Study_Abroad,90500,College,,Study_Abroad-College-HS
University of Toronto,22,leverageedu.com,30-10-2021,https://leverageedu.com/universities/university-of-toronto,12106,Study_Abroad,90500,College,,Study_Abroad-College-HS
University of Toronto,78,buddy4study.com,30-10-2021,https://admission.buddy4study.com/study-abroad/university-of-toronto,12106,Study_Abroad,90500,College,,Study_Abroad-College-HS
University of Cambridge,1,TOP SITE,30-10-2021,https://www.cam.ac.uk/,12107,Study_Abroad,90500,College,,Study_Abroad-College-HS
University of Cambridge,6,shiksha.com,30-10-2021,https://studyabroad.shiksha.com/uk/universities/university-of-cambridge,12107,Study_Abroad,90500,College,,Study_Abroad-College-HS
University of Cambridge,11,collegedunia.com,30-10-2021,https://collegedunia.com/uk/college/800-university-of-cambridge-cambridge,12107,Study_Abroad,90500,College,,Study_Abroad-College-HS
