Keyword,Rank,Website,Date,URL,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
KUK Result,1,TOP SITE,30-10-2021,https://www.kuk.ac.in/hpcontent.php?action=hpcontent&id=MTI0,4232,Result,246000,Result,,part2
KUK Result,11,collegedunia.com,30-10-2021,https://collegedunia.com/news/c-25530-kurukshetra-university-result,4232,Result,246000,Result,,part2
KUK Result,16,fresherslive.com,30-10-2021,https://www.fresherslive.com/education/kuk-result-100546,4232,Result,246000,Result,,part2
KUK Result,23,embibe.com,30-10-2021,https://www.embibe.com/exams/kuk-result/,4232,Result,246000,Result,,part2
KUK Result,33,aglasem.com,30-10-2021,https://institutes.aglasem.com/kuk-result/,4232,Result,246000,Result,,part2
KUK Result,74,shiksha.com,30-10-2021,https://www.shiksha.com/university/kuk-kurukshetra-university/kuk-entrance-exam-results,4232,Result,246000,Result,,part2
MDU Result,1,TOP SITE,30-10-2021,http://result.mdurtk.in/postexam/result.aspx,4233,Result,450000,Result,,part2
MDU Result,6,embibe.com,30-10-2021,https://www.embibe.com/exams/mdu-result/,4233,Result,450000,Result,,part2
MDU Result,10,aglasem.com,30-10-2021,https://institutes.aglasem.com/mdu-result/,4233,Result,450000,Result,,part2
MDU Result,16,collegedunia.com,30-10-2021,https://collegedunia.com/news/c-25535-mdu-result,4233,Result,450000,Result,,part2
MDU Result,17,fresherslive.com,30-10-2021,https://www.fresherslive.com/education/md-university-result-100518,4233,Result,450000,Result,,part2
RTMNU Result,1,TOP SITE,30-10-2021,https://rtmnuresults.org/,4234,Result,246000,Result,,part2
RTMNU Result,4,embibe.com,30-10-2021,https://www.embibe.com/exams/rtmnu-result/,4234,Result,246000,Result,,part2
RTMNU Result,5,collegedunia.com,30-10-2021,https://collegedunia.com/news/c-25721-rtmnu-results,4234,Result,246000,Result,,part2
RTMNU Result,7,aglasem.com,30-10-2021,https://institutes.aglasem.com/rtmnu-result/,4234,Result,246000,Result,,part2
RTMNU Result,9,fresherslive.com,30-10-2021,https://www.fresherslive.com/education/rtmnu-result-100620,4234,Result,246000,Result,,part2
RTMNU Result,29,shiksha.com,30-10-2021,https://www.shiksha.com/articles/rtmnu-result-2021-declared-check-nagpur-university-results-online-at-rtmnuresults-org-blogId-63049,4234,Result,246000,Result,,part2
DU Results,1,TOP SITE,30-10-2021,http://exam.du.ac.in/UG-result.html,4235,Result,90500,Result,,part2
DU Results,9,careers360.com,30-10-2021,https://university.careers360.com/articles/du-pg-result,4235,Result,90500,Result,,part2
DU Results,10,shiksha.com,30-10-2021,https://www.shiksha.com/articles/du-results-2020-released-semester-exam-schedule-revaluation-retotaling-mark-scheme-blogId-34715,4235,Result,90500,Result,,part2
DU Results,27,collegedunia.com,30-10-2021,https://collegedunia.com/news/c-25473-delhi-university-du-results,4235,Result,90500,Result,,part2
DU Results,30,aglasem.com,30-10-2021,https://institutes.aglasem.com/du-result/,4235,Result,90500,Result,,part2
DU Results,37,embibe.com,30-10-2021,https://www.embibe.com/exams/delhi-university-result/,4235,Result,90500,Result,,part2
DU Results,44,fresherslive.com,30-10-2021,https://www.fresherslive.com/education/du-result-101139,4235,Result,90500,Result,,part2
RCUB Results,1,TOP SITE,30-10-2021,https://studentportal.universitysolutions.in/,4236,Result,18100,Result,,part2
RCUB Results,7,fresherslive.com,30-10-2021,https://www.fresherslive.com/education/rcub-result-103573,4236,Result,18100,Result,,part2
RCUB Results,36,aglasem.com,30-10-2021,https://institutes.aglasem.com/rcub-results/,4236,Result,18100,Result,,part2
RCUB Results,61,collegedunia.com,30-10-2021,https://collegedunia.com/news/c-25623-rcub-result,4236,Result,18100,Result,,part2
RCUB Results,77,embibe.com,30-10-2021,https://www.embibe.com/exams/rcub-results/,4236,Result,18100,Result,,part2
SPPU Result,1,TOP SITE,30-10-2021,http://www.unipune.ac.in/university_files/results.htm,4237,Result,135000,Result,,part2
SPPU Result,16,collegedunia.com,30-10-2021,https://collegedunia.com/news/c-25732-pune-university-result,4237,Result,135000,Result,,part2
SPPU Result,17,aglasem.com,30-10-2021,https://institutes.aglasem.com/pune-university-result/,4237,Result,135000,Result,,part2
SPPU Result,18,careers360.com,30-10-2021,https://university.careers360.com/articles/pune-university-result,4237,Result,135000,Result,,part2
SPPU Result,25,fresherslive.com,30-10-2021,https://www.fresherslive.com/education/pune-university-result-100537,4237,Result,135000,Result,,part2
SPPU Result,29,embibe.com,30-10-2021,https://www.embibe.com/exams/pune-university-result/,4237,Result,135000,Result,,part2
SPPU Result,72,shiksha.com,30-10-2021,https://www.shiksha.com/articles/sppu-result-2021-pune-university-releases-ug-pg-results-know-where-how-to-check-blogId-59729,4237,Result,135000,Result,,part2
RDVV Results,1,TOP SITE,30-10-2021,http://www.rdunijbpin.org/1436/Result-Links,4238,Result,74000,Result,,part2
