,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,University of Windsor fees,5,https://collegedunia.com/canada/college/12-university-of-windsor-windsor,,,4,https://studyabroad.shiksha.com/canada/universities/university-of-windsor,,,8,https://www.collegedekho.com/canada/university-of-windsor/,,,,,,,,,12663,Study_Abroad,880,College,,Study_Abroad-College-LS
1,University of Windsor fees,6,https://collegedunia.com/canada/college/12-university-of-windsor-windsor,,,4,https://studyabroad.shiksha.com/canada/universities/university-of-windsor,,,8,https://www.collegedekho.com/canada/university-of-windsor/,,,,,,,,,12663,Study_Abroad,880,College,,Study_Abroad-College-LS
2,University of Windsor fees,7,https://collegedunia.com/canada/college/12-university-of-windsor-windsor/programs,,,4,https://studyabroad.shiksha.com/canada/universities/university-of-windsor,,,8,https://www.collegedekho.com/canada/university-of-windsor/,,,,,,,,,12663,Study_Abroad,880,College,,Study_Abroad-College-LS
3,McGill University fees,6,https://collegedunia.com/canada/college/39-mcgill-university-montreal,,,5,https://studyabroad.shiksha.com/canada/universities/mcgill-university,,,13,https://www.collegedekho.com/canada/mcgill-university/course-fees/,,,,,16,https://leverageedu.com/blog/mba-in-mcgill-university/,61,https://admission.buddy4study.com/study-abroad/study-in-montreal,12664,Study_Abroad,880,College,,Study_Abroad-College-LS
4,Columbia University fees,8,https://collegedunia.com/usa/college/1711-columbia-university-new-york-city,,,1,https://studyabroad.shiksha.com/usa/universities/columbia-university,,,12,https://www.collegedekho.com/usa/columbia-university/,,,,,29,https://leverageedu.com/universities/columbia-university,,,12665,Study_Abroad,880,College,,Study_Abroad-College-LS
5,Boston University fees,7,https://collegedunia.com/usa/college/1019-boston-university-boston,,,6,https://studyabroad.shiksha.com/usa/universities/boston-university,,,18,https://www.collegedekho.com/usa/boston-university/,,,,,,,,,12666,Study_Abroad,880,College,,Study_Abroad-College-LS
6,University of Alberta fees,7,https://collegedunia.com/canada/college/9-university-of-alberta-edmonton,,,6,https://studyabroad.shiksha.com/canada/universities/university-of-alberta,,,8,https://www.collegedekho.com/canada/university-of-alberta/,,,,,16,https://leverageedu.com/universities/university-of-alberta,,,12667,Study_Abroad,880,College,,Study_Abroad-College-LS
7,New York Film Academy fees,5,https://collegedunia.com/usa/college/1080-new-york-film-academy-burbank,,,70,https://studyabroad.shiksha.com/usa/universities/the-los-angeles-film-school,,,,,,,,,,,85,https://admission.buddy4study.com/course/australia-new-york-film-academy-australia-southport-126/under-graduate-diploma-diploma-of-screen-and-media-filmmaking-1906,12668,Study_Abroad,880,College,,Study_Abroad-College-LS
8,Southwestern University,5,https://collegedunia.com/usa/college/1349-southwestern-university-georgetown,,,76,https://studyabroad.shiksha.com/usa/universities/georgia-southwestern-state-university,,,,,,,,,,,,,12669,Study_Abroad,880,College,,Study_Abroad-College-LS
9,Alliant International University,7,https://collegedunia.com/usa/college/899-alliant-international-university-san-diego,,,4,https://studyabroad.shiksha.com/usa/universities/alliant-international-university,,,6,https://www.collegedekho.com/usa/alliant-international-university/,,,,,,,,,12670,Study_Abroad,880,College,,Study_Abroad-College-LS
