Keyword,Rank,Website,Date,URL,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
phd biomedical engineering,1,TOP SITE,15-11-2021,https://collegedunia.com/courses/phd-biomedical-engineering,3079,Courses,210,Course,,Courses
phd biomedical engineering,1,collegedunia.com,15-11-2021,https://collegedunia.com/courses/phd-biomedical-engineering,3079,Courses,210,Course,,Courses
phd biomedical engineering,7,careers360.com,15-11-2021,https://engineering.careers360.com/colleges/list-of-phd-in-biomedical-engineering-colleges-in-india,3079,Courses,210,Course,,Courses
mba,1,TOP SITE,15-11-2021,https://en.wikipedia.org/wiki/Master_of_Business_Administration,3080,Courses,135000,Course,,Courses
mba,3,collegedunia.com,15-11-2021,https://collegedunia.com/courses/master-of-business-administration-mba,3080,Courses,135000,Course,,Courses
mba,7,shiksha.com,15-11-2021,https://www.shiksha.com/mba-masters-of-business-administration-chp,3080,Courses,135000,Course,,Courses
mba,50,careers360.com,15-11-2021,https://www.careers360.com/courses/mba-master-of-business-administration,3080,Courses,135000,Course,,Courses
mba,64,collegedekho.com,15-11-2021,https://www.collegedekho.com/courses/master-of-business-administration-mba/,3080,Courses,135000,Course,,Courses
master of science,1,TOP SITE,15-11-2021,"https://en.wikipedia.org/wiki/Master_of_Science#:~:text=A%20Master%20of%20Science%20(Latin,person%20holding%20such%20a%20degree.",3081,Courses,8100,Course,,Courses
master of science,4,shiksha.com,15-11-2021,https://www.shiksha.com/m-sc-master-of-science-chp,3081,Courses,8100,Course,,Courses
master of science,7,collegedunia.com,15-11-2021,https://collegedunia.com/courses/master-of-science-ms,3081,Courses,8100,Course,,Courses
master of science,8,careers360.com,15-11-2021,https://www.careers360.com/courses/msc-master-of-science,3081,Courses,8100,Course,,Courses
MD,1,TOP SITE,15-11-2021,https://en.wikipedia.org/wiki/Doctor_of_Medicine,3082,Courses,74000,Course,,Courses
MD,5,shiksha.com,15-11-2021,https://www.shiksha.com/md-doctor-of-medicine-chp,3082,Courses,74000,Course,,Courses
d el ed,1,TOP SITE,15-11-2021,http://dled.nios.ac.in/,3083,Courses,74000,Course,,Courses
d el ed,5,collegedunia.com,15-11-2021,https://collegedunia.com/courses/diploma-in-elementary-education-deled,3083,Courses,74000,Course,,Courses
d el ed,7,careers360.com,15-11-2021,https://www.careers360.com/courses/deled-diploma-in-elementary-education,3083,Courses,74000,Course,,Courses
d el ed,26,shiksha.com,15-11-2021,https://www.shiksha.com/d-el-ed-diploma-in-elementary-education-chp,3083,Courses,74000,Course,,Courses
d el ed,42,aglasem.com,15-11-2021,https://admission.aglasem.com/d-el-ed/,3083,Courses,74000,Course,,Courses
bba,1,TOP SITE,15-11-2021,https://collegedunia.com/bba/mumbai-colleges,3084,Courses,90500,Course,,Courses
bba,1,collegedunia.com,15-11-2021,https://collegedunia.com/bba/mumbai-colleges,3084,Courses,90500,Course,,Courses
bba,2,collegedunia.com,15-11-2021,https://collegedunia.com/bba/mumbai-colleges,3084,Courses,90500,Course,,Courses
bba,3,collegedunia.com,15-11-2021,https://collegedunia.com/courses/bachelor-of-business-administration-bba,3084,Courses,90500,Course,,Courses
bba,4,shiksha.com,15-11-2021,https://www.shiksha.com/bba/colleges/bba-colleges-mumbai,3084,Courses,90500,Course,,Courses
bba,5,shiksha.com,15-11-2021,https://www.shiksha.com/bba/colleges/bba-colleges-mumbai,3084,Courses,90500,Course,,Courses
bba,6,shiksha.com,15-11-2021,https://www.shiksha.com/bba/colleges/bba-colleges-mumbai-all,3084,Courses,90500,Course,,Courses
bba,7,careers360.com,15-11-2021,https://www.careers360.com/courses/bba-bachelor-of-business-administration,3084,Courses,90500,Course,,Courses
bba,21,leverageedu.com,15-11-2021,https://leverageedu.com/blog/bba-colleges-in-mumbai/,3084,Courses,90500,Course,,Courses
bba,47,collegedekho.com,15-11-2021,https://www.collegedekho.com/bba-colleges-in-mumbai/,3084,Courses,90500,Course,,Courses
B Pharmacy,1,TOP SITE,15-11-2021,https://www.collegedekho.com/courses/b-pharma/,3085,Courses,110000,Course,,Courses
B Pharmacy,1,collegedekho.com,15-11-2021,https://www.collegedekho.com/courses/b-pharma/,3085,Courses,110000,Course,,Courses
B Pharmacy,3,collegedunia.com,15-11-2021,https://collegedunia.com/courses/bachelor-of-pharmacy-bpharma,3085,Courses,110000,Course,,Courses
B Pharmacy,14,shiksha.com,15-11-2021,https://www.shiksha.com/bachelor-of-pharmacy-b-pharma-chp,3085,Courses,110000,Course,,Courses
B Pharmacy,19,careers360.com,15-11-2021,https://pharmacy.careers360.com/articles/b-pharmacy-subjects-list,3085,Courses,110000,Course,,Courses
B Pharmacy,20,leverageedu.com,15-11-2021,https://leverageedu.com/blog/b-pharmacy-subjects/,3085,Courses,110000,Course,,Courses
B Pharmacy,65,embibe.com,15-11-2021,https://www.embibe.com/exams/b-pharma-courses/,3085,Courses,110000,Course,,Courses
bsc nursing,1,TOP SITE,15-11-2021,"https://collegedunia.com/courses/bachelor-of-science-bsc-nursing#:~:text=BSc%20in%20Nursing%20is%20a,other%20university%20level%20entrance%20exams.",3086,Courses,90500,Course,,Courses
bsc nursing,1,collegedunia.com,15-11-2021,"https://collegedunia.com/courses/bachelor-of-science-bsc-nursing#:~:text=BSc%20in%20Nursing%20is%20a,other%20university%20level%20entrance%20exams.",3086,Courses,90500,Course,,Courses
bsc nursing,3,collegedekho.com,15-11-2021,https://www.collegedekho.com/courses/bsc-nursing/,3086,Courses,90500,Course,,Courses
bsc nursing,4,careers360.com,15-11-2021,https://www.careers360.com/courses/b-sc-nursing,3086,Courses,90500,Course,,Courses
