Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
University of Oxford,1,TOP SITE,02-12-2021,https://www.ox.ac.uk/,12,https://collegedunia.com/uk/college/865-university-of-oxford-oxford,9,https://studyabroad.shiksha.com/uk/universities/university-of-oxford,,,,,,,,,,,12103,Study_Abroad,135000,College,,Study_Abroad-College-HS
Stanford University,1,TOP SITE,02-12-2021,https://www.stanford.edu/,22,https://collegedunia.com/usa/college/2074-stanford-university-stanford,5,https://studyabroad.shiksha.com/usa/universities/stanford-university,,,38,https://www.collegedekho.com/usa/stanford-university/,,,,,,,12104,Study_Abroad,110000,College,,Study_Abroad-College-HS
University of Toronto(Mississauga),1,TOP SITE,02-12-2021,https://www.utm.utoronto.ca/,3,https://collegedunia.com/canada/college/102-university-of-toronto-mississauga-mississauga,6,https://studyabroad.shiksha.com/canada/universities/university-of-toronto,,,,,,,,,,,12105,Study_Abroad,90500,College,,Study_Abroad-College-HS
University of Cambridge,1,TOP SITE,02-12-2021,https://www.cam.ac.uk/,16,https://collegedunia.com/uk/college/800-university-of-cambridge-cambridge,5,https://studyabroad.shiksha.com/uk/universities/university-of-cambridge,,,,,,,,,,,12107,Study_Abroad,90500,College,,Study_Abroad-College-HS
Columbia University,1,TOP SITE,02-12-2021,https://www.columbia.edu/,26,https://collegedunia.com/usa/college/1711-columbia-university-new-york-city,5,https://studyabroad.shiksha.com/usa/universities/columbia-university,,,50,https://www.collegedekho.com/usa/columbia-university/,,,,,,,12108,Study_Abroad,60500,College,,Study_Abroad-College-HS
University of British Columbia,1,TOP SITE,02-12-2021,https://www.ubc.ca/,8,https://collegedunia.com/canada/college/64-the-university-of-british-columbia-vancouver,2,https://studyabroad.shiksha.com/canada/universities/university-of-british-columbia,,,21,https://www.collegedekho.com/canada/the-university-of-british-columbia/,,,70,https://leverageedu.com/blog/university-of-british-columbia-acceptance-rate/,,,12109,Study_Abroad,60500,College,,Study_Abroad-College-HS
Yale University,1,TOP SITE,02-12-2021,https://www.yale.edu/,,,4,https://studyabroad.shiksha.com/usa/universities/yale-university,,,80,https://www.collegedekho.com/ae/usa/yale-university/,,,,,,,12111,Study_Abroad,49500,College,,Study_Abroad-College-HS
Purdue University,1,TOP SITE,02-12-2021,https://www.purdue.edu/,40,https://collegedunia.com/usa/college/2187-purdue-university-west-lafayette,6,https://studyabroad.shiksha.com/usa/universities/purdue-university,,,48,https://www.collegedekho.com/ae/usa/purdue-university/,,,,,,,12113,Study_Abroad,49500,College,,Study_Abroad-College-HS
Northeastern University,1,TOP SITE,02-12-2021,https://www.northeastern.edu/,47,https://collegedunia.com/usa/college/1020-northeastern-university-boston,3,https://studyabroad.shiksha.com/usa/universities/northeastern-university,,,27,https://www.collegedekho.com/usa/northeastern-university/,,,,,,,12114,Study_Abroad,49500,College,,Study_Abroad-College-HS
University of California Los Angeles,1,TOP SITE,02-12-2021,https://www.ucla.edu/,6,https://collegedunia.com/usa/college/1551-university-of-california-los-angeles-los-angeles,3,https://studyabroad.shiksha.com/usa/universities/university-of-california-los-angeles-campus,,,,,,,,,,,12115,Study_Abroad,49500,College,,Study_Abroad-College-HS
Massachusetts Institute of Technology,1,TOP SITE,02-12-2021,https://www.mit.edu/,14,https://collegedunia.com/usa/college/1087-massachusetts-institute-of-technology-cambridge,4,https://studyabroad.shiksha.com/usa/universities/massachusetts-institute-of-technology,,,36,https://www.collegedekho.com/usa/massachusetts-institute-of-technology/,,,33,https://leverageedu.com/universities/massachusetts-institute-of-technology-mit,,,12116,Study_Abroad,40500,College,,Study_Abroad-College-HS
McGill University,1,TOP SITE,02-12-2021,https://www.mcgill.ca/,6,https://collegedunia.com/canada/college/39-mcgill-university-montreal,4,https://studyabroad.shiksha.com/canada/universities/mcgill-university,,,,,,,25,https://leverageedu.com/universities/mcgill-university,,,12117,Study_Abroad,40500,College,,Study_Abroad-College-HS
York University,1,TOP SITE,02-12-2021,https://www.yorku.ca/,6,https://collegedunia.com/canada/college/109-york-university-toronto,3,https://studyabroad.shiksha.com/canada/universities/york-university,,,32,https://www.collegedekho.com/canada/york-university/,,,,,,,12118,Study_Abroad,40500,College,,Study_Abroad-College-HS
