Keyword,Rank,Website,Date,URL,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
University of Windsor fees,1,TOP SITE,02-12-2021,https://www.uwindsor.ca/finance/fee-estimator,12663,Study_Abroad,880,College,,Study_Abroad-College-LS
University of Windsor fees,2,shiksha.com,02-12-2021,https://studyabroad.shiksha.com/canada/universities/university-of-windsor,12663,Study_Abroad,880,College,,Study_Abroad-College-LS
University of Windsor fees,3,collegedunia.com,02-12-2021,https://collegedunia.com/canada/college/12-university-of-windsor-windsor,12663,Study_Abroad,880,College,,Study_Abroad-College-LS
University of Windsor fees,4,collegedekho.com,02-12-2021,https://www.collegedekho.com/canada/university-of-windsor/,12663,Study_Abroad,880,College,,Study_Abroad-College-LS
Columbia University fees,1,TOP SITE,02-12-2021,https://studyabroad.shiksha.com/usa/universities/columbia-university,12665,Study_Abroad,880,College,,Study_Abroad-College-LS
Columbia University fees,1,shiksha.com,02-12-2021,https://studyabroad.shiksha.com/usa/universities/columbia-university,12665,Study_Abroad,880,College,,Study_Abroad-College-LS
Columbia University fees,3,collegedunia.com,02-12-2021,https://collegedunia.com/usa/college/1711-columbia-university-new-york-city,12665,Study_Abroad,880,College,,Study_Abroad-College-LS
Columbia University fees,7,collegedekho.com,02-12-2021,https://www.collegedekho.com/usa/columbia-university/,12665,Study_Abroad,880,College,,Study_Abroad-College-LS
Boston University fees,1,TOP SITE,02-12-2021,https://www.bu.edu/admissions/admitted/tuition-and-fees/,12666,Study_Abroad,880,College,,Study_Abroad-College-LS
Boston University fees,2,shiksha.com,02-12-2021,https://studyabroad.shiksha.com/usa/universities/boston-university,12666,Study_Abroad,880,College,,Study_Abroad-College-LS
Boston University fees,17,collegedekho.com,02-12-2021,https://www.collegedekho.com/usa/boston-university/,12666,Study_Abroad,880,College,,Study_Abroad-College-LS
University of Alberta fees,1,TOP SITE,02-12-2021,https://www.ualberta.ca/admissions/undergraduate/tuition-and-scholarships/tuition-and-fees.html,12667,Study_Abroad,880,College,,Study_Abroad-College-LS
University of Alberta fees,2,shiksha.com,02-12-2021,https://studyabroad.shiksha.com/canada/universities/university-of-alberta,12667,Study_Abroad,880,College,,Study_Abroad-College-LS
University of Alberta fees,3,collegedunia.com,02-12-2021,https://collegedunia.com/canada/college/9-university-of-alberta-edmonton,12667,Study_Abroad,880,College,,Study_Abroad-College-LS
University of Alberta fees,4,collegedekho.com,02-12-2021,https://www.collegedekho.com/canada/university-of-alberta/,12667,Study_Abroad,880,College,,Study_Abroad-College-LS
University of Alberta fees,13,leverageedu.com,02-12-2021,https://leverageedu.com/universities/university-of-alberta,12667,Study_Abroad,880,College,,Study_Abroad-College-LS
New York Film Academy fees,1,TOP SITE,02-12-2021,https://www.nyfa.edu/admissions/dates_tuition/,12668,Study_Abroad,880,College,,Study_Abroad-College-LS
New York Film Academy fees,2,collegedunia.com,02-12-2021,https://collegedunia.com/usa/college/1080-new-york-film-academy-burbank,12668,Study_Abroad,880,College,,Study_Abroad-College-LS
New York Film Academy fees,71,shiksha.com,02-12-2021,https://www.shiksha.com/mass-communication-media/film-tv/articles/ny-film-academy-to-debut-in-india-blogId-5433,12668,Study_Abroad,880,College,,Study_Abroad-College-LS
Southwestern University,1,TOP SITE,02-12-2021,https://www.southwestern.edu/,12669,Study_Abroad,880,College,,Study_Abroad-College-LS
Southwestern University,7,collegedunia.com,02-12-2021,https://collegedunia.com/usa/college/1349-southwestern-university-georgetown,12669,Study_Abroad,880,College,,Study_Abroad-College-LS
Southwestern University,86,shiksha.com,02-12-2021,https://studyabroad.shiksha.com/usa/universities/georgia-southwestern-state-university,12669,Study_Abroad,880,College,,Study_Abroad-College-LS
Alliant International University,1,TOP SITE,02-12-2021,https://www.alliant.edu/,12670,Study_Abroad,880,College,,Study_Abroad-College-LS
Alliant International University,3,shiksha.com,02-12-2021,https://studyabroad.shiksha.com/usa/universities/alliant-international-university,12670,Study_Abroad,880,College,,Study_Abroad-College-LS
Alliant International University,8,collegedekho.com,02-12-2021,https://www.collegedekho.com/usa/alliant-international-university/,12670,Study_Abroad,880,College,,Study_Abroad-College-LS
Alliant International University,9,collegedunia.com,02-12-2021,https://collegedunia.com/usa/college/899-alliant-international-university-san-diego,12670,Study_Abroad,880,College,,Study_Abroad-College-LS
Oregon Health & Science University,1,TOP SITE,02-12-2021,https://www.ohsu.edu/,12671,Study_Abroad,880,College,,Study_Abroad-College-LS
Oregon Health & Science University,3,shiksha.com,02-12-2021,https://studyabroad.shiksha.com/usa/universities/oregon-health-and-science-university,12671,Study_Abroad,880,College,,Study_Abroad-College-LS
Oregon Health & Science University,17,collegedunia.com,02-12-2021,https://collegedunia.com/usa/college/1858-oregon-health--science-university-portland,12671,Study_Abroad,880,College,,Study_Abroad-College-LS
"St George's, University of London",1,TOP SITE,02-12-2021,https://www.sgul.ac.uk/,12672,Study_Abroad,880,College,,Study_Abroad-College-LS
"St George's, University of London",2,shiksha.com,02-12-2021,https://studyabroad.shiksha.com/uk/universities/st-george-s-university-of-london,12672,Study_Abroad,880,College,,Study_Abroad-College-LS
"St George's, University of London",5,collegedunia.com,02-12-2021,https://collegedunia.com/uk/college/845-st-georges-university-of-london-london,12672,Study_Abroad,880,College,,Study_Abroad-College-LS
Texas Southern University,1,TOP SITE,02-12-2021,http://www.tsu.edu/,12673,Study_Abroad,880,College,,Study_Abroad-College-LS
Texas Southern University,2,shiksha.com,02-12-2021,https://studyabroad.shiksha.com/usa/universities/texas-southern-university,12673,Study_Abroad,880,College,,Study_Abroad-College-LS
Texas Southern University,15,collegedunia.com,02-12-2021,https://collegedunia.com/usa/college/1433-texas-southern-university-houston,12673,Study_Abroad,880,College,,Study_Abroad-College-LS
Texas Southern University,50,collegedekho.com,02-12-2021,https://www.collegedekho.com/usa/texas-southern-university/,12673,Study_Abroad,880,College,,Study_Abroad-College-LS
Jonkoping University,1,TOP SITE,02-12-2021,https://ju.se/,12674,Study_Abroad,880,College,,Study_Abroad-College-LS
Jonkoping University,4,shiksha.com,02-12-2021,https://studyabroad.shiksha.com/sweden/universities/jonkoping-university,12674,Study_Abroad,880,College,,Study_Abroad-College-LS
Jonkoping University,9,collegedunia.com,02-12-2021,https://collegedunia.com/sweden/college/2268-jonkoping-university-jonkoping/admission,12674,Study_Abroad,880,College,,Study_Abroad-College-LS
