Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
ignou,1,TOP SITE,06-12-2021,http://ignou.ac.in/,31,https://collegedunia.com/university/25451-indira-gandhi-national-open-university-ignou-new-delhi,,,19,https://www.shiksha.com/university/ignou-indira-gandhi-national-open-university-delhi-3030,32,https://university.careers360.com/hi/articles/ignou-registration,,,,,,,,,,,58,https://www.embibe.com/exams/ignou-admission/,,,,,9257,College,2740000,,,College-HS
pkitm,1,TOP SITE,06-12-2021,https://collegedunia.com/college/58719-pk-institute-of-technology-and-management-pkitm-mathura,1,https://collegedunia.com/college/58719-pk-institute-of-technology-and-management-pkitm-mathura,,,,,82,https://www.careers360.com/colleges/pk-institute-of-technology-and-management-mathura,3,https://www.collegedekho.com/colleges/pk-institute-of-technology-management,,,,,,,,,,,,,,,9258,College,1830000,,,College-HS
pkitm,1,collegedunia.com,06-12-2021,https://collegedunia.com/college/58719-pk-institute-of-technology-and-management-pkitm-mathura,1,https://collegedunia.com/college/58719-pk-institute-of-technology-and-management-pkitm-mathura,,,,,82,https://www.careers360.com/colleges/pk-institute-of-technology-and-management-mathura,3,https://www.collegedekho.com/colleges/pk-institute-of-technology-management,,,,,,,,,,,,,,,9258,College,1830000,,,College-HS
lnmu,1,TOP SITE,06-12-2021,https://lnmu.ac.in/,30,https://collegedunia.com/news/c-25413-lnmu-admit-card,,,19,https://www.shiksha.com/university/lnmu-lalit-narayan-mithila-university-bihar-other-20508,,,,,,,89,https://institutes.aglasem.com/category/bihar/lnmu/,,,47,https://www.fresherslive.com/education/lnmu-time-table-103038,80,https://www.embibe.com/exams/lnmu-result/,,,,,9262,College,550000,,,College-HS
Gujarat University,1,TOP SITE,06-12-2021,https://www.gujaratuniversity.ac.in/,11,https://collegedunia.com/university/25491-gujarat-university-gu-ahmedabad,,,19,https://www.shiksha.com/university/gujarat-university-ahmedabad-29851,46,https://university.careers360.com/colleges/list-of-government-universities-in-gujarat,56,https://www.collegedekho.com/articles/gujarat-university-ba-admissions/,,,,,,,,,,,,,,,9263,College,550000,,,College-HS
vmou,1,TOP SITE,06-12-2021,https://www.vmou.ac.in/,15,https://collegedunia.com/university/25854-vardhman-mahaveer-open-university-vmou-kota/courses-fees,,,25,https://www.shiksha.com/university/vmou-vardhman-mahaveer-open-university-kota-19437/admission,,,39,https://www.collegedekho.com/colleges/vmou-kota,,,35,https://admission.aglasem.com/vmou-b-ed-answer-key/,,,24,https://www.fresherslive.com/education/vmou-admit-card-101725,43,https://www.embibe.com/exams/vmou-admit-card/,,,,,9265,College,450000,,,College-HS
Lucknow University,1,TOP SITE,06-12-2021,https://www.lkouniv.ac.in/,15,https://collegedunia.com/university/25978-university-of-lucknow-lu-lucknow,,,19,https://www.shiksha.com/university/lucknow-university-21456,32,https://www.careers360.com/university/university-of-lucknow-lucknow,81,https://www.collegedekho.com/articles/lucknow-university-bcom-admissions-eligibility-application-selection/,,,,,,,,,,,,,,,9266,College,450000,,,College-HS
makaut,1,TOP SITE,06-12-2021,http://makautexam.net/,12,https://collegedunia.com/university/26028-maulana-abul-kalam-azad-university-of-technology-makaut-kolkata,,,11,https://www.shiksha.com/university/maulana-abul-kalam-azad-university-of-technology-kolkata-51181,20,https://www.careers360.com/university/maulana-abul-kalam-azad-university-of-technology-kolkata/courses,42,https://www.collegedekho.com/articles/makaut-bhm-admission/,,,47,https://admission.aglasem.com/makaut-cet-application-form/,,,32,https://www.fresherslive.com/education/wbut-exam-routine-108796,,,,,,,9267,College,450000,,,College-HS
Kerala University,1,TOP SITE,06-12-2021,https://www.keralauniversity.ac.in/,32,https://collegedunia.com/university/25646-kerala-university-ku-thiruvananthapuram,,,31,https://www.shiksha.com/university/kerala-university-thiruvananthapuram-21454,27,https://www.careers360.com/university/university-of-kerala-thiruvananthapuram/courses,75,https://www.collegedekho.com/articles/kerala-university-ba-admissions/,,,43,https://admission.aglasem.com/kerala-university-pg/,,,38,https://www.fresherslive.com/education/kerala-university-admission,,,,,,,9268,College,450000,,,College-HS
delhi university,1,TOP SITE,06-12-2021,http://www.du.ac.in/,5,https://collegedunia.com/university/25473-delhi-university-du-new-delhi,,,7,https://www.shiksha.com/university/delhi-university-du-24642,36,https://www.careers360.com/university/university-of-delhi-delhi,55,https://www.collegedekho.com/university/delhi-university,,,78,https://admission.aglasem.com/delhi-university-admission/,,,,,,,,,,,9269,College,450000,,,College-HS
