Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
simc pune,1,TOP SITE,06-12-2021,https://www.simc.edu/,3,https://collegedunia.com/college/7502-symbiosis-institute-of-media-and-communication-simc-pune,,,2,https://www.shiksha.com/college/symbiosis-institute-of-media-and-communication-symbiosis-international-pune-lavale-village-37023,14,https://www.careers360.com/colleges/symbiosis-institute-of-media-and-communication-pune/admission,16,https://www.collegedekho.com/colleges/simc,,,34,https://admission.aglasem.com/simc-pune/,,,,,,,,,,,10643,College,1900,,,College-LS
Anand Institute of Higher Technology,1,TOP SITE,06-12-2021,https://www.aiht.ac.in/,4,https://collegedunia.com/college/12815-anand-institute-of-higher-technology-aiht-chennai/courses-fees,,,2,https://www.shiksha.com/college/anand-institute-of-higher-technology-old-mahabalipuram-road-chennai-38141,6,https://www.careers360.com/colleges/anand-institute-of-higher-technology-chennai,16,https://www.collegedekho.com/colleges/anand-institute-of-higher-technology,,,26,https://colleges.aglasem.com/anand-institute-of-higher-technology-aiht-chennai/home,,,,,,,,,,,10644,College,1900,,,College-LS
Rani Lakshmi Bai Central Agricultural University,1,TOP SITE,06-12-2021,https://www.rlbcau.ac.in/,3,https://collegedunia.com/university/59025-rani-lakshmi-bai-central-agricultural-university-jhansi,,,6,https://www.shiksha.com/university/rani-lakshmi-bai-central-agricultural-university-jhansi-65141/courses,4,https://www.careers360.com/university/rani-lakshmi-bai-central-agricultural-university-jhansi,26,https://www.collegedekho.com/colleges/rani-lakshmi-bai-central-agricultural-university,,,72,https://colleges.aglasem.com/rani-lakshmi-bai-central-agricultural-university-jhansi/home,,,,,,,,,,,10645,College,1900,,,College-LS
iior,1,TOP SITE,06-12-2021,https://www.icar-iior.org.in/,,,,,,,67,https://university.careers360.com/hi/articles/delhi-university-admissions-how-calculate-best-of-four-marks,,,,,,,,,,,,,,,,,10646,College,1900,,,College-LS
mangalore university distance education,1,TOP SITE,06-12-2021,https://mangaloreuniversity.ac.in/distance-education-1,3,https://collegedunia.com/college/57800-mangalore-university-center-for-distance-education-mangalore/admission,,,15,https://www.shiksha.com/compare-school-of-distance-education-university-of-kerala-vs-mangalore-university-id-28184-11199,9,https://www.careers360.com/colleges/center-for-distance-education-mangalore-university-mangalore/ma-hindi-course,50,https://www.collegedekho.com/news/mangalore-university-announces-admission-to-its-distance-education-courses-4155/,,,12,https://admission.aglasem.com/mangalore-university-distance-education/,,,43,https://www.fresherslive.com/education/mangalore-university-result-103171,41,https://www.embibe.com/exams/mangalore-university-exam-time-table/,,,,,10647,College,1900,,,College-LS
National Institute of Siddha,1,TOP SITE,06-12-2021,https://www.nischennai.org/,45,https://collegedunia.com/college/6423-national-institute-of-siddha-nis-chennai/news,,,30,https://www.shiksha.com/compare-national-institute-of-siddha-nis-tamil-nadu-vs-medical-college-and-hospital-id-357405-346349,10,https://www.careers360.com/colleges/national-institute-of-siddha-chennai,33,https://www.collegedekho.com/colleges/pictures-national-institute-of-siddha,,,,,,,,,,,,,,,10648,College,1900,,,College-LS
kiot,1,TOP SITE,06-12-2021,https://kiot.io/,10,https://collegedunia.com/college/24148-knowledge-institute-of-technology-kiot-salem/courses-fees,,,9,https://www.shiksha.com/college/kiot-knowledge-institute-of-technology-salem-47361/reviews,,,23,https://www.collegedekho.com/colleges/knowledge-institute-of-technology,,,,,,,,,,,,,,,10649,College,1900,,,College-LS
IIIT Agartala,1,TOP SITE,06-12-2021,https://www.iiitagartala.ac.in/,4,https://collegedunia.com/college/60078-indian-institute-of-information-technology-iiit-agartala/courses-fees,,,5,https://www.shiksha.com/college/iiit-agartala-indian-institute-of-information-technology-63989,15,https://engineering.careers360.com/articles/iiit-agartala-fee-structure,48,https://www.collegedekho.com/articles/all-you-need-to-know-about-iiits-selection-details-fees-and-scope/,9,https://jeemains.in/iiit-agartala-fee-structure/,39,https://cutoffs.aglasem.com/tag/iiit-agartala-cut-off,,,,,49,https://www.embibe.com/exams/iiit-cut-off/,,,,,10650,College,1900,,,College-LS
IILM Lodhi Road,1,TOP SITE,06-12-2021,https://www.iilm.edu/,3,https://collegedunia.com/college/45162-iilm-institute-for-higher-education-new-delhi,,,2,https://www.shiksha.com/college/iilm-institute-for-higher-education-lodi-colony-delhi-25763,22,https://www.careers360.com/question-which-campus-of-iilm-is-better-between-greater-noida-and-gurgaonwhy,60,https://www.collegedekho.com/colleges/iilm,,,,,,,,,45,https://www.embibe.com/ask/question/iilm-lodhi-road-mba-fees-iilm-mba-registration-iilm-mba-ranking-791,,,,,10651,College,1900,,,College-LS
don bosco institute of technology Bangalore,1,TOP SITE,06-12-2021,https://www.dbit.co.in/,5,https://collegedunia.com/college/13359-don-bosco-institute-of-technology-dbit-bangalore/placement,,,3,https://www.shiksha.com/college/don-bosco-institute-of-technology-bangalore-mysore-road-43062,7,https://www.careers360.com/colleges/don-bosco-institute-of-technology-bangalore,10,https://www.collegedekho.com/colleges/don-bosco-institute-of-technology-dbit-bangalore,,,,,,,,,,,,,,,10652,College,1900,,,College-LS
SDA Bocconi Asia Center,1,TOP SITE,06-12-2021,https://sdabocconiasiacenter.com/,5,https://collegedunia.com/college/55142-sda-bocconi-asia-center-mumbai,,,2,https://www.shiksha.com/college/sda-bocconi-asia-center-powai-mumbai-34334,19,https://www.careers360.com/colleges/sda-bocconi-asia-center-mumbai,,,,,,,,,,,,,,,,,10653,College,1900,,,College-LS
SCMC,1,TOP SITE,06-12-2021,https://scmc.edu.in/,5,https://collegedunia.com/college/60071-symbiosis-center-for-media-and-communication-scmc-pune/admission,,,2,https://www.shiksha.com/college/symbiosis-centre-for-media-and-communication-symbiosis-international-pune-viman-nagar-46394,55,https://www.careers360.com/colleges/symbiosis-centre-for-media-and-communication-pune,,,,,16,https://admission.aglasem.com/set-symbiosis-institute-of-media-communication-ug/,,,,,,,,,,,10654,College,1900,,,College-LS
iilm greater noida,1,TOP SITE,06-12-2021,https://www.iilmgsm.ac.in/,4,https://collegedunia.com/college/13752-iilm-academy-of-higher-learning-greater-noida/courses-fees,,,5,https://www.shiksha.com/college/iilm-graduate-school-of-management-greater-noida-22240,8,https://www.careers360.com/colleges/college-of-engineering-and-technology-iilm-academy-of-higher-learning-greater-noida,9,https://www.collegedekho.com/colleges/iilm-greater-noida-2,,,,,,,,,,,,,,,10655,College,1900,,,College-LS
doms iit madras,1,TOP SITE,06-12-2021,https://doms.iitm.ac.in/,5,https://collegedunia.com/college/27861-department-of-management-studies-iit-madras-doms-iit-madras-chennai,,,3,https://www.shiksha.com/college/doms-iit-madras-department-of-management-studies-adyar-chennai-42933,14,https://www.careers360.com/colleges/department-of-management-studies-indian-institute-of-technology-madras/courses,,,,,,,,,,,,,,,,,10656,College,1900,,,College-LS
nift shillong,1,TOP SITE,06-12-2021,https://www.nift.ac.in/shillong/,3,https://collegedunia.com/college/58089-national-institute-of-fashion-technology-nift-shillong/courses-fees,,,2,https://www.shiksha.com/college/national-institute-of-fashion-technology-shillong-45481,4,https://www.careers360.com/colleges/national-institute-of-fashion-technology-shillong,8,https://www.collegedekho.com/colleges/nift-shillong,,,,,,,,,,,,,,,10657,College,1900,,,College-LS
loyola institute of technology,1,TOP SITE,06-12-2021,https://litedu.in/,8,https://collegedunia.com/college/14111-loyola-institute-of-technology-lit-chennai/courses-fees,,,5,https://www.shiksha.com/college/loyola-institute-of-technology-palanchur-chennai-42584,14,https://www.careers360.com/colleges/loyola-institute-of-technology-chennai,12,https://www.collegedekho.com/colleges/loyola-institute-of-technology,,,,,,,,,,,,,,,10658,College,1900,,,College-LS
MGUMST,1,TOP SITE,06-12-2021,https://www.mgumst.org/,5,https://collegedunia.com/university/60388-mahatma-gandhi-university-of-medical-science-and-technology-jaipur,,,4,https://www.shiksha.com/university/mahatma-gandhi-university-of-medical-sciences-and-technology-mgumst-jaipur-58115,61,https://www.careers360.com/colleges/mahatma-gandhi-medical-college-and-hospital-jaipur,60,https://www.collegedekho.com/news/admission-notice-mgumst-jaipur-announces-admission-for-pg-dental-mds-course-2016-1708/,,,17,https://admission.aglasem.com/mgumst-admission/,,,25,https://www.fresherslive.com/education/mgumst-admission-111402,,,,,,,10660,College,1900,,,College-LS
geetanjali university,1,TOP SITE,06-12-2021,https://www.geetanjaliuniversity.com/,2,https://collegedunia.com/university/25805-geetanjali-university-gu-udaipur/courses-fees,,,3,https://www.shiksha.com/university/geetanjali-university-udaipur-65065,16,https://www.careers360.com/university/geetanjali-university-udaipur/affiliated-colleges,9,https://www.collegedekho.com/colleges/geetanjali-university,,,,,,,,,,,,,,,10661,College,1900,,,College-LS
dream institute of technology,1,TOP SITE,06-12-2021,https://www.dreaminstituteonline.com/,2,https://collegedunia.com/college/13412-dream-institute-of-technology-kolkata/courses-fees,,,3,https://www.shiksha.com/college/dit-dream-institute-of-technology-thakurpukur-kolkata-36659/courses,4,https://www.careers360.com/colleges/dream-institute-of-technology-south-24-parganas,5,https://www.collegedekho.com/colleges/dream-institute-of-technology,,,,,,,,,,,,,,,10662,College,1900,,,College-LS
dfs delhi,1,TOP SITE,06-12-2021,https://mfc.edu/,2,https://collegedunia.com/college/28989-university-of-delhi-department-of-financial-studies-dfs-new-delhi,,,3,https://www.shiksha.com/college/department-of-financial-studies-university-of-delhi-benito-juarez-marg-2465,12,https://www.careers360.com/colleges/department-of-financial-studies-university-of-delhi-south-campus-new-delhi/phd-financial-studies-course,28,https://www.collegedekho.com/colleges/admission-department-of-financial-studies,,,,,,,,,,,,,,,10664,College,1900,,,College-LS
mgm institute of health sciences,1,TOP SITE,06-12-2021,https://www.mgmuhs.com/,3,https://collegedunia.com/university/25712-mgm-university-of-health-sciences-mgmuhs-navi-mumbai/admission,,,4,https://www.shiksha.com/university/mgm-institute-of-health-sciences-navi-mumbai-23657/courses,28,https://www.careers360.com/university/mgm-institute-of-health-sciences-navi-mumbai,,,,,,,,,,,,,,,,,10665,College,1900,,,College-LS
niec,1,TOP SITE,06-12-2021,https://adgitmdelhi.ac.in/,4,https://collegedunia.com/college/14513-dr-akhilesh-das-gupta-institute-of-technology-and-management-adgitm-new-delhi,,,3,https://www.shiksha.com/college/dr-akhilesh-das-gupta-institute-of-technology-and-management-formerly-northern-india-engineering-college-shastri-park-delhi-28762,35,https://www.careers360.com/question-i-got-niec-in-ggsipu-in-the-1st-round-and-want-to-upgrade-to-a-good-college-than-niec-in-2-round-without-losing-this-seat,5,https://www.collegedekho.com/colleges/northern-india-engineering-college,,,,,,,,,,,,,,,10666,College,1900,,,College-LS
klay,1,TOP SITE,06-12-2021,https://www.klayschools.com/,,,,,,,92,https://medicine.careers360.com/hi/articles/neet-cut-off,,,,,,,,,,,,,,,,,10667,College,1900,,,College-LS
institute of public enterprise,1,TOP SITE,06-12-2021,https://www.ipeindia.org/,3,https://collegedunia.com/college/18057-institute-of-public-enterprise-ipe-hyderabad,,,2,https://www.shiksha.com/college/ipe-hyderabad-institute-of-public-enterprise-shamirpet-32277,10,https://www.careers360.com/colleges/institute-of-public-enterprise-hyderabad,14,https://www.collegedekho.com/colleges/ipe,,,43,https://admission.aglasem.com/ipe-india-pgdm-admission/,,,,,,,,,,,10668,College,1900,,,College-LS
Sharnbasva university,1,TOP SITE,06-12-2021,http://sharnbasvauniversity.edu.in/,3,https://collegedunia.com/university/59788-sharnbasva-university-gulbarga,,,4,https://www.shiksha.com/university/sharnbasva-university-gulbarga-60720,11,https://www.careers360.com/university/sharnbasva-university-kalaburagi,,,,,,,,,,,,,,,,,10670,College,1900,,,College-LS
Venkateshwara Open University,1,TOP SITE,06-12-2021,https://vou.ac.in/,3,https://collegedunia.com/university/59288-venkateshwara-open-university-vou-naharlagun,,,4,https://www.shiksha.com/university/venkateshwara-open-university-itanagar-47284,7,https://www.careers360.com/university/venkateshwara-open-university-papum-pare,,,,,,,,,,,,,,,,,10671,College,1900,,,College-LS
sv university tirupati,1,TOP SITE,06-12-2021,https://www.svuniversity.edu.in/,4,https://collegedunia.com/university/25379-sri-venkateswara-university-svu-tirupati,,,2,https://www.shiksha.com/university/svu-sri-venkateswara-university-tirupati-22950,10,https://www.careers360.com/university/sri-venkateswara-university-tirupati,60,https://www.collegedekho.com/colleges/courses-sri-venkateswara-university,,,54,https://colleges.aglasem.com/sri-venkateswara-university-svu-tirupati/home,,,,,,,,,,,10673,College,1900,,,College-LS
iirm hyderabad,1,TOP SITE,06-12-2021,https://www.iirmworld.org.in/,4,https://collegedunia.com/college/55873-institute-of-insurance-and-risk-management-iirm-hyderabad/admission,,,2,https://www.shiksha.com/college/iirm-institute-of-insurance-and-risk-management-gachibowli-hyderabad-26151,21,https://www.careers360.com/colleges/institute-of-insurance-and-risk-management-hyderabad,5,https://www.collegedekho.com/colleges/iirm,,,55,https://admission.aglasem.com/iirm-pgdm/,,,,,,,,,,,10676,College,1900,,,College-LS
bhagwant university ajmer,1,TOP SITE,06-12-2021,https://bhagwantuniversity.ac.in/,2,https://collegedunia.com/university/25799-bhagwant-university-ajmer/courses-fees,,,8,https://www.shiksha.com/university/bhagwant-university-ajmer-bua-38044,7,https://www.careers360.com/university/bhagwant-university-ajmer/courses,10,https://www.collegedekho.com/colleges/bhagwant-university-ajmer,,,,,,,77,https://www.fresherslive.com/education/bhagwant-university-result-106614,,,,,,,10677,College,1900,,,College-LS
nift bhopal,1,TOP SITE,06-12-2021,https://nift.ac.in/bhopal/,3,https://collegedunia.com/college/6912-national-institute-of-fashion-technology-nift-bhopal/courses-fees,,,2,https://www.shiksha.com/college/national-institute-of-fashion-technology-bhopal-771,5,https://www.careers360.com/colleges/national-institute-of-fashion-technology-bhopal-campus,6,https://www.collegedekho.com/colleges/nift-bhopal,,,,,,,,,,,,,,,10678,College,1900,,,College-LS
chettinad academy of research and education,1,TOP SITE,06-12-2021,https://care.edu.in/,4,https://collegedunia.com/university/54944-chettinad-academy-of-research-and-education-chengalpattu,,,5,https://www.shiksha.com/college/chettinad-academy-of-research-and-education-kelambakkam-chennai-24779,8,https://www.careers360.com/university/chettinad-academy-of-research-and-education-kelambakkam/courses,22,https://www.collegedekho.com/colleges/chettinad-academy-of-research-and-education,,,50,https://colleges.aglasem.com/chettinad-academy-of-research-and-education-kanchipuram/admission-process,,,,,,,,,,,10679,College,1900,,,College-LS
tamil nadu nurses and midwives council,1,TOP SITE,06-12-2021,http://www.tamilnadunursingcouncil.com/,18,https://collegedunia.com/college/12600-tamil-nadu-nurses-and-midwives-council-chennai,,,,,,,,,,,,,,,81,https://www.fresherslive.com/job-alert/staff-nurse-jobs-in-chennai-at-anna-university-apply-now-1215919,,,,,,,10680,College,1900,,,College-LS
mits ujjain,1,TOP SITE,06-12-2021,https://www.mitujjain.ac.in/,2,https://collegedunia.com/college/14185-mahakal-institute-of-technology-mit-ujjain/courses-fees,,,7,https://www.shiksha.com/college/mit-group-of-institutes-mahakal-ujjain-4055,21,https://www.careers360.com/colleges/mahakal-institute-of-technology-ujjain,8,https://www.collegedekho.com/colleges/mahakal-institute-of-technologyujjain,,,,,,,,,,,,,,,10681,College,1900,,,College-LS
nbair,1,TOP SITE,06-12-2021,https://www.nbair.res.in/,25,https://collegedunia.com/college/6673-national-bureau-of-agricultural-insect-resources-nbair-bangalore,,,,,,,,,,,,,,,,,,,,,,,10682,College,1900,,,College-LS
Sangam University,1,TOP SITE,06-12-2021,https://www.sangamuniversity.ac.in/,2,https://collegedunia.com/university/25844-sangam-university-su-bhilwara/courses-fees,,,6,https://www.shiksha.com/university/sangam-university-bhilwara-37072/placement,7,https://www.careers360.com/university/sangam-university-bhilwara/courses,13,https://www.collegedekho.com/colleges/connect-sangam-university,,,,,,,,,,,,,,,10683,College,1900,,,College-LS
Sanghvi Institute of Management and Science,1,TOP SITE,06-12-2021,http://www.sims-indore.com/,3,https://collegedunia.com/college/14918-sanghvi-institute-of-management-and-science-sims-indore/courses-fees,,,2,https://www.shiksha.com/college/sims-sanghvi-institute-of-management-and-science-indore-30433,7,https://www.careers360.com/colleges/sanghvi-institute-of-management-and-science-indore,5,https://www.collegedekho.com/colleges/sims-indore,,,,,,,,,,,,,,,10684,College,1900,,,College-LS
pondicherry institute of medical sciences,1,TOP SITE,06-12-2021,https://www.pimsmmm.com/,3,https://collegedunia.com/college/10841-pondicherry-institute-of-medical-sciences-pims-pondicherry,,,18,https://www.shiksha.com/college/pondicherry-institute-of-medical-sciences-65625/courses,2,https://www.careers360.com/colleges/pondicherry-institute-of-medical-sciences-pondicherry,27,https://www.collegedekho.com/colleges/pondicherry-institute-of-medical-sciences,,,35,https://admission.aglasem.com/pims-mbbs/,,,,,,,,,,,10685,College,1900,,,College-LS
