Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
mba,1,TOP SITE,06-12-2021,https://www.mba.com/,4,https://collegedunia.com/courses/master-of-business-administration-mba,,,7,https://www.shiksha.com/mba-masters-of-business-administration-chp,93,https://www.careers360.com/courses/mba-master-of-business-administration,46,https://www.collegedekho.com/courses/master-of-business-administration-mba/,,,,,,,,,,,,,,,3080,Courses,135000,Course,,Courses
master of science,1,TOP SITE,06-12-2021,https://www.masterstudies.com/MSc/,4,https://collegedunia.com/courses/master-of-science-ms,,,2,https://www.shiksha.com/m-sc-master-of-science-chp,6,https://www.careers360.com/courses/msc-master-of-science,,,,,,,,,,,,,,,,,3081,Courses,8100,Course,,Courses
MD,1,TOP SITE,06-12-2021,https://www.webmd.com/,,,,,93,https://www.shiksha.com/medicine-health-sciences/articles/what-after-mbbs-md-or-ms-blogId-6396,7,https://medicine.careers360.com/articles/mbbs-vs-md,,,,,,,,,,,,,,,,,3082,Courses,74000,Course,,Courses
d el ed,1,TOP SITE,06-12-2021,https://predeled.com/,6,https://collegedunia.com/courses/diploma-in-elementary-education-deled,,,25,https://www.shiksha.com/d-el-ed-diploma-in-elementary-education-chp,32,https://www.careers360.com/courses/deled-diploma-in-elementary-education,,,,,20,https://hindi.aglasem.com/d-el-ed-information-hindi/,,,,,,,,,,,3083,Courses,74000,Course,,Courses
bba,1,TOP SITE,06-12-2021,https://collegedunia.com/courses/bachelor-of-business-administration-bba,1,https://collegedunia.com/courses/bachelor-of-business-administration-bba,,,2,https://www.shiksha.com/bba-bachelor-of-business-administration-chp,9,https://www.careers360.com/courses/bba-bachelor-of-business-administration,,,,,,,,,,,,,,,,,3084,Courses,90500,Course,,Courses
bba,1,collegedunia.com,06-12-2021,https://collegedunia.com/courses/bachelor-of-business-administration-bba,1,https://collegedunia.com/courses/bachelor-of-business-administration-bba,,,2,https://www.shiksha.com/bba-bachelor-of-business-administration-chp,9,https://www.careers360.com/courses/bba-bachelor-of-business-administration,,,,,,,,,,,,,,,,,3084,Courses,90500,Course,,Courses
B Pharmacy,1,TOP SITE,06-12-2021,https://www.collegedekho.com/courses/b-pharma/,2,https://collegedunia.com/courses/bachelor-of-pharmacy-bpharma,,,13,https://www.shiksha.com/bachelor-of-pharmacy-b-pharma-chp,41,https://pharmacy.careers360.com/articles/b-pharmacy-subjects-list,1,https://www.collegedekho.com/courses/b-pharma/,,,,,,,,,,,28,https://leverageedu.com/blog/b-pharmacy-subjects/,,,3085,Courses,110000,Course,,Courses
B Pharmacy,1,collegedekho.com,06-12-2021,https://www.collegedekho.com/courses/b-pharma/,2,https://collegedunia.com/courses/bachelor-of-pharmacy-bpharma,,,13,https://www.shiksha.com/bachelor-of-pharmacy-b-pharma-chp,41,https://pharmacy.careers360.com/articles/b-pharmacy-subjects-list,1,https://www.collegedekho.com/courses/b-pharma/,,,,,,,,,,,28,https://leverageedu.com/blog/b-pharmacy-subjects/,,,3085,Courses,110000,Course,,Courses
bsc nursing,1,TOP SITE,06-12-2021,https://collegedunia.com/courses/bachelor-of-science-bsc-nursing,1,https://collegedunia.com/courses/bachelor-of-science-bsc-nursing,,,12,https://www.shiksha.com/nursing/b-sc-nursing-chp,5,https://medicine.careers360.com/hi/articles/bsc-nursing-admission-through-neet,10,https://www.collegedekho.com/courses/bsc-nursing/,,,,,,,,,67,https://www.embibe.com/exams/bsc-nursing/,,,,,3086,Courses,90500,Course,,Courses
bsc nursing,1,collegedunia.com,06-12-2021,https://collegedunia.com/courses/bachelor-of-science-bsc-nursing,1,https://collegedunia.com/courses/bachelor-of-science-bsc-nursing,,,12,https://www.shiksha.com/nursing/b-sc-nursing-chp,5,https://medicine.careers360.com/hi/articles/bsc-nursing-admission-through-neet,10,https://www.collegedekho.com/courses/bsc-nursing/,,,,,,,,,67,https://www.embibe.com/exams/bsc-nursing/,,,,,3086,Courses,90500,Course,,Courses
