Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
Jain University distance education,1,TOP SITE,06-12-2021,https://cde.jainuniversity.ac.in/,28,https://collegedunia.com/university/59588-jain-vishwa-bharati-institute-jvbi-nagaur/admission,,,3,https://www.shiksha.com/articles/jain-deemed-to-be-university-distance-courses-admission-2021-courses-eligibility-fee-blogId-59383,7,https://www.careers360.com/colleges/center-for-distance-education-and-virtual-learning-jain-university-bangalore,62,https://www.collegedekho.com/colleges/jain-university,,,,,,,,,,,,,,,1982,Main_Research_Sheet,1000,Course,,Main_Research_Sheet-part_2
Jain University entrance exam,1,TOP SITE,06-12-2021,https://www.jainuniversity.ac.in/JET-2021,2,https://collegedunia.com/exams/jain-entrance-test,,,5,https://www.shiksha.com/b-tech/jet-exam,4,https://engineering.careers360.com/exams/jet,44,https://www.collegedekho.com/colleges/admission-jain-university,70,https://jeemains.in/jain-university-25606-about/,62,https://admission.aglasem.com/jain-university-admit-card/,,,8,https://www.fresherslive.com/education/jain-university-admission-102306,22,https://www.embibe.com/exams/jain-entrance-test/,65,https://leverageedu.com/blog/jain-entrance-test/,,,1983,Main_Research_Sheet,140,Entrance_Exam,,Main_Research_Sheet-part_2
Jain University entrance exam,1,TOP SITE,06-12-2021,https://www.jainuniversity.ac.in/JET-2021,49,https://images.static-collegedunia.com/public/college_data/images/entrance/sample_paper/1556694858Model%20Entrance%20Test%20Paper.pdf,,,5,https://www.shiksha.com/b-tech/jet-exam,4,https://engineering.careers360.com/exams/jet,44,https://www.collegedekho.com/colleges/admission-jain-university,70,https://jeemains.in/jain-university-25606-about/,62,https://admission.aglasem.com/jain-university-admit-card/,,,8,https://www.fresherslive.com/education/jain-university-admission-102306,22,https://www.embibe.com/exams/jain-entrance-test/,65,https://leverageedu.com/blog/jain-entrance-test/,,,1983,Main_Research_Sheet,140,Entrance_Exam,,Main_Research_Sheet-part_2
Jain University mba fee,1,TOP SITE,06-12-2021,https://collegedunia.com/university/25606-jain-university-ju-bangalore/courses-fees,1,https://collegedunia.com/university/25606-jain-university-ju-bangalore/courses-fees,,,3,https://www.shiksha.com/university/jain-deemed-to-be-university-bangalore-424/courses/mba-pgdm-bc,9,https://www.careers360.com/university/jain-university-bangalore/courses,4,https://www.collegedekho.com/articles/jain-university-mba-admissions/,,,,,,,,,21,https://www.embibe.com/ask/question/jain-university-direct-admission-direct-admission-mba-in-jain-university-lowest-fees-in-jain-univrsity-747,,,,,1986,Main_Research_Sheet,1000,Fees,,Main_Research_Sheet-part_2
Jain University mba fee,1,collegedunia.com,06-12-2021,https://collegedunia.com/university/25606-jain-university-ju-bangalore/courses-fees,1,https://collegedunia.com/university/25606-jain-university-ju-bangalore/courses-fees,,,3,https://www.shiksha.com/university/jain-deemed-to-be-university-bangalore-424/courses/mba-pgdm-bc,9,https://www.careers360.com/university/jain-university-bangalore/courses,4,https://www.collegedekho.com/articles/jain-university-mba-admissions/,,,,,,,,,21,https://www.embibe.com/ask/question/jain-university-direct-admission-direct-admission-mba-in-jain-university-lowest-fees-in-jain-univrsity-747,,,,,1986,Main_Research_Sheet,1000,Fees,,Main_Research_Sheet-part_2
Jain University mca,1,TOP SITE,06-12-2021,https://www.jainuniversity.ac.in/program/science/mca-with-electives,8,https://collegedunia.com/university/25606-jain-university-ju-bangalore/master-of-computer-applications-mca-full-time,,,11,https://www.shiksha.com/university/jain-deemed-to-be-university-bangalore-424/course-master-of-computer-applications-mca-with-electives-344867,9,https://www.careers360.com/university/jain-university-bangalore/mca-course,33,https://www.collegedekho.com/colleges/jain-college-of-mca-mba,,,,,,,,,29,https://www.embibe.com/ask/question/bca-mca-bba-at-jain-university-cms-bangalore-placements-fees-admission-28,,,,,1987,Main_Research_Sheet,260,Course,,Main_Research_Sheet-part_2
Jain University Ranking,1,TOP SITE,06-12-2021,https://www.jainuniversity.ac.in/about/rankings-and-recognitions,9,https://collegedunia.com/university/25606-jain-university-ju-bangalore,,,3,https://www.shiksha.com/university/jain-deemed-to-be-university-bangalore-424,4,https://www.careers360.com/university/jain-university-bangalore,6,https://www.collegedekho.com/colleges/jain-university,86,https://jeemains.in/jain-university-25606-about/,,,,,,,28,https://www.embibe.com/ask/question/what-is-the-ranking-of-jain-university-cms-on-mba-923,,,,,1989,Main_Research_Sheet,880,Ranking,,Main_Research_Sheet-part_2
Jain University scholarship,1,TOP SITE,06-12-2021,https://www.jainuniversity.ac.in/academics/scholarships-offered-in-india,3,https://collegedunia.com/university/25606-jain-university-ju-bangalore/scholarship,,,2,https://www.shiksha.com/university/jain-deemed-to-be-university-bangalore-424/scholarships,4,https://engineering.careers360.com/articles/jain-university-scholarship,47,https://www.collegedekho.com/colleges/scholarship-a-m-jain-college,61,https://jeemains.in/jain-university-25606-about/,73,https://colleges.aglasem.com/scholarship/state/3681,,,,,,,,,10,https://www.buddy4study.com/scholarship/jain-university-admission-scholarship-2021-22,1990,Main_Research_Sheet,110,Scholarship,,Main_Research_Sheet-part_2
jaipur national university fee structure,1,TOP SITE,06-12-2021,https://collegedunia.com/university/25819-jaipur-national-university-jnu-jaipur/courses-fees,1,https://collegedunia.com/university/25819-jaipur-national-university-jnu-jaipur/courses-fees,,,5,https://www.shiksha.com/university/jaipur-national-university-3256/courses,13,https://www.careers360.com/university/jaipur-national-university-jaipur/courses,7,https://www.collegedekho.com/colleges/courses-jaipur-national-university,,,,,,,55,https://www.fresherslive.com/education/jaipur-national-university-distance-education-112031,,,,,,,1993,Main_Research_Sheet,590,Fees,,Main_Research_Sheet-part_2
jaipur national university fee structure,1,collegedunia.com,06-12-2021,https://collegedunia.com/university/25819-jaipur-national-university-jnu-jaipur/courses-fees,1,https://collegedunia.com/university/25819-jaipur-national-university-jnu-jaipur/courses-fees,,,5,https://www.shiksha.com/university/jaipur-national-university-3256/courses,13,https://www.careers360.com/university/jaipur-national-university-jaipur/courses,7,https://www.collegedekho.com/colleges/courses-jaipur-national-university,,,,,,,55,https://www.fresherslive.com/education/jaipur-national-university-distance-education-112031,,,,,,,1993,Main_Research_Sheet,590,Fees,,Main_Research_Sheet-part_2
