Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
upsc syllabus,1,TOP SITE,06-12-2021,https://www.upsc.gov.in/,,,33,https://prepp.in/ias-exam-exam/prelims-syllabus,22,https://www.shiksha.com/exams/ias-exam-syllabus,29,https://competition.careers360.com/hi/articles/upsc-ias-syllabus,,,,,3,https://byjus.com/ias/upsc-syllabus/,,,27,https://www.embibe.com/exams/upsc-syllabus-ias/,28,https://leverageedu.com/blog/hi/upsc-syllabus-in-hindi/,,,5585,Prepp,301000,Syllabus,,Prepp-C2
sarkari result,1,TOP SITE,06-12-2021,https://www.sarkariresult.com/,,,,,,,,,,,,,,,28,https://www.fresherslive.com/sarkari-results,,,,,,,5599,Prepp,1500000,Result,,Prepp-C2
education recruitment board,1,TOP SITE,06-12-2021,https://educationrecruitmentboard.com/,,,58,https://prepp.in/news/e-487-punjab-ett-recruitment-2021-apply-for-6635-vacancies-for-elementary-teacher,,,,,,,,,,,52,https://www.fresherslive.com/competitive-exams/perb-lecturer-admit-card-2021-will-be-released-check-exam-date-hall-ticket-at-educationrecruitmentboard-com-09-june-2021-113289,,,,,,,5629,Prepp,165000,Recruitment,,Prepp-C2
ias salary,1,TOP SITE,06-12-2021,https://byjus.com/free-ias-prep/ias-salary/,,,8,https://prepp.in/ias-exam-exam/salary,11,https://www.shiksha.com/exams/ias-exam-salary,10,https://competition.careers360.com/articles/ias-salary,28,https://www.collegedekho.com/careers/ias-officer,98,https://career.aglasem.com/upsc-ias-2020-salary/,1,https://byjus.com/free-ias-prep/ias-salary/,,,13,https://www.embibe.com/exams/upsc-ias-salary/,,,,,5644,Prepp,90500,Salary,,Prepp-C2
ias salary,1,byjus.com,06-12-2021,https://byjus.com/free-ias-prep/ias-salary/,,,8,https://prepp.in/ias-exam-exam/salary,11,https://www.shiksha.com/exams/ias-exam-salary,10,https://competition.careers360.com/articles/ias-salary,28,https://www.collegedekho.com/careers/ias-officer,98,https://career.aglasem.com/upsc-ias-2020-salary/,1,https://byjus.com/free-ias-prep/ias-salary/,,,13,https://www.embibe.com/exams/upsc-ias-salary/,,,,,5644,Prepp,90500,Salary,,Prepp-C2
sbi cleark result,1,TOP SITE,06-12-2021,https://www.iiwbr.org/sbi-clerk-result/,,,,,,,28,https://www.careers360.com/question-when-sbi-cleark-preliminary-exam-resuli-out,,,9,https://hindi.aglasem.com/sbi-clerk-result-hindi/,,,,,35,https://www.embibe.com/exams/sbi-clerk-result/Hindi,,,,,5647,Prepp,110000,Result,,Prepp-C2
rrb ntpc syllabus,1,TOP SITE,06-12-2021,https://www.careerpower.in/rrb-ntpc-syllabus.html,,,17,https://prepp.in/rrb-ntpc-exam/syllabus,7,https://www.shiksha.com/exams/rrb-ntpc-exam-syllabus,9,https://competition.careers360.com/articles/rrb-ntpc-syllabus,,,55,https://career.aglasem.com/rrb-ntpc-syllabus/,3,https://byjus.com/rrb-ntpc-syllabus/,,,5,https://www.embibe.com/exams/railway-ntpc-syllabus/,,,23,https://exam.buddy4study.com/rrb-ntpc-syllabus,5657,Prepp,60500,Syllabus,,Prepp-C2
ssc chsl syllabus,1,TOP SITE,06-12-2021,https://www.careerpower.in/ssc-chsl-syllabus.html,,,4,https://prepp.in/ssc-chsl-exam/syllabus,14,https://www.shiksha.com/exams/ssc-chsl-exam-syllabus,16,https://competition.careers360.com/articles/ssc-chsl-syllabus,,,73,https://career.aglasem.com/ssc-chsl-syllabus/,13,https://byjus.com/ssc-exams/ssc-chsl-syllabus/,,,7,https://www.embibe.com/exams/ssc-chsl-syllabus/,,,,,5659,Prepp,90500,Syllabus,,Prepp-C2
ntpc syllabus,1,TOP SITE,06-12-2021,https://www.careerpower.in/rrb-ntpc-syllabus.html,,,16,https://prepp.in/rrb-ntpc-exam/syllabus,8,https://www.shiksha.com/exams/rrb-ntpc-exam-syllabus,6,https://competition.careers360.com/articles/rrb-ntpc-syllabus,,,80,https://career.aglasem.com/rrb-ntpc-syllabus/,2,https://byjus.com/rrb-ntpc-syllabus/,,,9,https://www.embibe.com/exams/railway-ntpc-syllabus/,,,22,https://exam.buddy4study.com/rrb-ntpc-syllabus,5660,Prepp,60500,Syllabus,,Prepp-C2
ibps clerk result,1,TOP SITE,06-12-2021,https://www.careerpower.in/ibps-clerk-result.html,,,17,https://prepp.in/ibps-clerk-exam/results,5,https://www.shiksha.com/exams/ibps-clerk-exam-results,19,https://competition.careers360.com/articles/ibps-clerk-result,10,https://www.collegedekho.com/exam/ibps-clerk/cut-off-results,59,https://career.aglasem.com/ibps-clerk-2018-result/,4,https://byjus.com/bank-exam/ibps-clerk-results/,54,https://www.fresherslive.com/articles/ibps-clerk-result,7,https://www.embibe.com/exams/ibps-clerk-result/,,,74,https://exam.buddy4study.com/ibps-clerk-prelims-result-out,5665,Prepp,60500,Result,,Prepp-C2
