Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
ssc cgl apply,1,TOP SITE,06-12-2021,https://ssc.nic.in/,,,4,https://prepp.in/ssc-cgl-exam/ssc-cgl-2022,5,https://www.shiksha.com/exams/ssc-cgl-exam-application-form,7,https://competition.careers360.com/hi/articles/ssc-cgl-application-form,15,https://www.collegedekho.com/exam/ssc-cgl,,,30,https://career.aglasem.com/ssc-cgl-application-form/,14,https://byjus.com/ssc-exams/ssc-cgl-apply-online/,,,40,https://www.embibe.com/exams/ssc-cgl-application-form/,,,,,5685,Prepp,60500,General,,Prepp-C3
haryana police,1,TOP SITE,06-12-2021,https://haryanapolice.gov.in/,,,39,https://prepp.in/haryana-police-exam,,,,,,,,,,,,,,,,,,,,,5688,Prepp,74000,General,,Prepp-C3
psssb,1,TOP SITE,06-12-2021,https://sssb.punjab.gov.in/,,,29,https://prepp.in/news/e-812-psssb-jail-warder-exam-date-out-check-details-here,,,55,https://news.careers360.com/psssb-recruitment-2021-apply-for-1152-patwari-and-ziladar-vacancies,,,,,,,,,20,https://www.fresherslive.com/competitive-exams/psssb-admit-card-105622,,,,,,,5689,Prepp,246000,General,,Prepp-C3
ntse,1,TOP SITE,06-12-2021,https://ncert.nic.in/national-talent-examination.php,,,15,https://prepp.in/ntse-exam,3,https://www.shiksha.com/exams/ntse-exam,2,https://school.careers360.com/exams/ntse,,,,,7,https://schools.aglasem.com/4939/,11,https://byjus.com/jee/ntse-exam/,,,51,https://www.embibe.com/exams/ntse-scholarship/,,,46,https://exam.buddy4study.com/ntse,5690,Prepp,74000,General,,Prepp-C3
uppbpb,1,TOP SITE,06-12-2021,http://uppbpb.gov.in/,,,53,https://prepp.in/up-police-exam/constable-syllabus,,,,,,,,,37,https://news.aglasem.com/upprpb-has-released-up-si-answer-key-2021-notification-at-uppbpb-gov-in/,,,30,https://www.fresherslive.com/competitive-exams/upprpb-result-110110,,,,,,,5695,Prepp,60500,General,,Prepp-C3
assam police,1,TOP SITE,06-12-2021,https://slprbassam.in/,,,6,https://prepp.in/assam-police-exam,94,https://www.shiksha.com/exams/assam-police-si-exam,,,,,,,,,,,19,https://www.fresherslive.com/articles/assam-police-admit-card,35,https://www.embibe.com/exams/assam-police-admit-card/,,,,,5704,Prepp,33100,General,,Prepp-C3
nta ugc net,1,TOP SITE,06-12-2021,https://ugcnet.nta.nic.in/,,,24,https://prepp.in/cbse-ugc-net-exam,7,https://www.shiksha.com/exams/ugc-net-exam,35,https://news.careers360.com/ugc-net-exam-2021-nta-announces-new-dates-for-december-2020-and-june-21-sessions,,,,,,,,,,,43,https://www.embibe.com/exams/nta-net/,,,,,5709,Prepp,40500,General,,Prepp-C3
kptcl,1,TOP SITE,06-12-2021,https://kptcl.karnataka.gov.in/english,,,9,https://prepp.in/kptcl-recruitment-exam,,,,,,,,,,,,,50,https://www.fresherslive.com/competitive-exams/kptcl-result-102610,,,,,,,5710,Prepp,49500,General,,Prepp-C3
hpsssb login,1,TOP SITE,06-12-2021,https://hpsssb.hp.gov.in/Login.aspx,,,57,https://prepp.in/hpsssb-exam,91,https://www.shiksha.com/exams/hp-tet-exam,,,,,,,30,https://career.aglasem.com/hpsssb-admit-card/,,,14,https://www.fresherslive.com/articles/hpsssb-admit-card,,,,,,,5711,Prepp,60500,General,,Prepp-C3
wbpsc gov in,1,TOP SITE,06-12-2021,https://wbpsc.gov.in/,,,19,https://prepp.in/news/e-813-wbpsc-interview-schedule-2021-out-for-assistant-professor-post-wbpsc-gov-in-download-admit-card-here,42,https://www.shiksha.com/news/wbcs-2021-prelims-and-main-2020-answer-key-released-check-steps-to-download-blogId-70279,17,https://news.careers360.com/wbcs-prelims-admit-card-2021-released-check-steps-download,,,,,,,93,https://byjus.com/ias/upsc-syllabus/,13,https://www.fresherslive.com/articles/wbpsc-admit-card,,,,,,,5712,Prepp,74000,General,,Prepp-C3
npcil,1,TOP SITE,06-12-2021,https://npcilcareers.co.in/,,,58,https://prepp.in/npcil-recruitment-exam/npcil-2022,,,88,https://engineering.careers360.com/articles/npcil-recruitment-through-gate,,,,,,,,,13,https://www.fresherslive.com/npcil-nuclear-power-corporation-of-india-recruitment,76,https://www.embibe.com/exams/npcil-recruitment/,,,,,5713,Prepp,60500,General,,Prepp-C3
csir ugc net,1,TOP SITE,06-12-2021,https://csirnet.nta.nic.in/,,,4,https://prepp.in/csir-ugc-net-exam,9,https://www.shiksha.com/exams/csir-net-exam,19,https://competition.careers360.com/articles/csir-ugc-net-application-form,36,https://www.collegedekho.com/exam/csir-ugc-net/how-to-apply,,,40,https://hindi.aglasem.com/csir-ugc-net-hindi/,,,,,56,https://www.embibe.com/exams/csir-net-notification/,,,,,5717,Prepp,27100,General,,Prepp-C3
ras,1,TOP SITE,06-12-2021,https://rpsc.rajasthan.gov.in/,,,55,https://prepp.in/rpsc-exam/application-process,34,https://www.shiksha.com/exams/rpsc-ras-exam,61,https://news.careers360.com/rpsc-ras-exam-analysis-2021-history-and-reasoning-dominate-check-expected-cutoff,,,,,,,57,https://byjus.com/free-ias-prep/rpsc-ras-recruitment/,,,,,,,,,5719,Prepp,60500,General,,Prepp-C3
jssc,1,TOP SITE,06-12-2021,http://www.jssc.nic.in/,,,2,https://prepp.in/jssc-exam,,,,,,,,,80,https://career.aglasem.com/jssc/,,,6,https://www.fresherslive.com/competitive-exams/jssc-admit-card-108327,43,https://www.embibe.com/exams/jssc-recruitment/,,,,,5723,Prepp,40500,General,,Prepp-C3
cse paper i current events of national and international importance,1,TOP SITE,06-12-2021,https://www.careerlauncher.com/upsc/syllabus/,,,,,3,https://www.shiksha.com/exams/ias-exam-syllabus,11,https://competition.careers360.com/articles/ias-syllabus-current-events-of-national-and-international-importance,,,,,,,4,https://byjus.com/ias/upsc-syllabus/,,,,,,,,,5725,Prepp,18100,General,,Prepp-C3
ibps clerk,1,TOP SITE,06-12-2021,https://ibps.in/,,,9,https://prepp.in/ibps-clerk-exam,7,https://www.shiksha.com/exams/ibps-clerk-exam,16,https://competition.careers360.com/articles/ibps-clerk,39,https://www.collegedekho.com/exam/ibps-clerk,,,,,21,https://byjus.com/bank-exam/ibps-clerk-syllabus/,,,22,https://www.embibe.com/exams/ibps-clerk-notification/,,,80,https://exam.buddy4study.com/ibps-clerk-syllabus,5727,Prepp,40500,General,,Prepp-C3
capf,1,TOP SITE,06-12-2021,https://www.upsc.gov.in/,,,9,https://prepp.in/upsc-capf-exam,7,https://www.shiksha.com/exams/upsc-capf-exam,25,https://competition.careers360.com/articles/capf,,,,,,,6,https://byjus.com/upsc-capf/,,,,,,,,,5728,Prepp,40500,General,,Prepp-C3
slprbassam,1,TOP SITE,06-12-2021,https://slprbassam.in/,,,,,,,42,https://news.careers360.com/assam-police-recruitment-2020-apply-online-for-133-sub-inspector-other-posts-wwwslprbassamin,,,,,,,,,4,https://www.fresherslive.com/competitive-exams/slprb-assam-admit-card-110051,64,https://www.embibe.com/exams/slprb-assam-constable-admit-card-2021-pet-pst-dates-released-download-admit-card-slprbassam-in/,,,,,5731,Prepp,22200,General,,Prepp-C3
appost in gdsonline,1,TOP SITE,06-12-2021,https://appost.in/gdsonline/home.aspx,,,53,https://prepp.in/india-post-gds-exam,,,,,,,,,37,https://news.aglasem.com/tamil-nadu-gds-recruitment-2020-for-3162-posts/,,,,,5,https://www.embibe.com/exams/gramin-dak-sevak-application-form/,,,,,5732,Prepp,40500,General,,Prepp-C3
mpsc online,1,TOP SITE,06-12-2021,https://mpsconline.gov.in/candidate/login,,,11,https://prepp.in/mpsc-exam/application-process,,,,,,,,,,,85,https://byjus.com/free-ias-prep/mpsc-exam/,56,https://www.fresherslive.com/mpsc-maharashtra-public-service-commission-recruitment,,,,,,,5736,Prepp,49500,General,,Prepp-C3
cet haryana,1,TOP SITE,06-12-2021,https://onetimeregn.haryana.gov.in/,,,28,https://prepp.in/news/e-800-haryana-cet-2021last-date-of-registration-extended,,,,,,,,,86,https://news.aglasem.com/haryana-cet-2021-last-date-extended-by-1-month-to-30th-september/,,,,,,,,,,,5739,Prepp,135000,General,,Prepp-C3
territorial army,1,TOP SITE,06-12-2021,https://www.jointerritorialarmy.gov.in/,,,18,https://prepp.in/territorial-army-exam,13,https://www.shiksha.com/exams/territorial-army-exam,,,,,,,,,52,https://byjus.com/free-ias-prep/this-day-in-history-oct09/,,,,,,,,,5741,Prepp,90500,General,,Prepp-C3
ksp 2019,1,TOP SITE,06-12-2021,http://rec19.ksp-online.in/,,,,,,,,,,,,,7,https://career.aglasem.com/ksp-cpc-result/,,,,,,,,,,,5743,Prepp,12100,General,,Prepp-C3
ies,1,TOP SITE,06-12-2021,https://www.careerindia.com/upsc/ies-exam-e26.html,37,https://collegedunia.com/qna/question/5839-what-is-the-difference-between-ies-and-ese,10,https://prepp.in/ies-exam/ies-2022,5,https://www.shiksha.com/exams/ies-exam,,,,,,,,,48,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,,,53,https://www.embibe.com/exams/ies-salary/,,,,,5749,Prepp,33100,General,,Prepp-C3
bsphcl,1,TOP SITE,06-12-2021,http://www.bsphcl.co.in/,,,6,https://prepp.in/bsphcl-exam,12,https://www.shiksha.com/exams/bsphcl-assistant-exam,,,,,,,,,,,79,https://www.fresherslive.com/bsphcl-bihar-state-power-holding-company-limited-recruitment,,,,,,,5751,Prepp,33100,General,,Prepp-C3
nda form,1,TOP SITE,06-12-2021,https://www.sarvgyan.com/articles/nda-2021-application-form,,,7,https://prepp.in/nda-exam/application-process,3,https://www.shiksha.com/exams/nda-exam-application-form,4,https://competition.careers360.com/articles/nda-application-form,,,,,16,https://hindi.aglasem.com/nda-application-form-hindi/,,,,,8,https://www.embibe.com/exams/nda-application-form/,,,,,5753,Prepp,49500,General,,Prepp-C3
sscer,1,TOP SITE,06-12-2021,http://117.247.74.231/,,,,,33,https://www.shiksha.com/sarkari-exams/ssc/articles/ssc-chsl-2019-application-status-released-for-skill-test-check-here-for-details-blogId-71395,12,https://news.careers360.com/ssc-mts-admit-card-2021-available-now-at-sscerorg-check-direct-link-download,,,,,3,https://career.aglasem.com/ssc-er-admit-card/,,,17,https://www.fresherslive.com/competitive-exams/ssc-er-admit-card-114745,,,,,,,5755,Prepp,60500,General,,Prepp-C3
ssc apply online,1,TOP SITE,06-12-2021,https://ssc.nic.in/,,,10,https://prepp.in/ssc-cgl-exam/application-process,18,https://www.shiksha.com/exams/ssc-cgl-exam-application-form,15,https://competition.careers360.com/articles/ssc-cgl-application-form,,,,,79,https://career.aglasem.com/ssc-chsl-application-form/,14,https://byjus.com/ssc-exams/ssc-online/,9,https://www.fresherslive.com/ssc-staff-selection-commission-recruitment,45,https://www.embibe.com/exams/ssc-cgl-application-form/,,,85,https://exam.buddy4study.com/ssc-cgl-registration,5757,Prepp,40500,General,,Prepp-C3
delhi police constable,1,TOP SITE,06-12-2021,https://www.delhipolice.nic.in/recruitment,,,3,https://prepp.in/delhi-police-exam/delhi-police-2022,,,65,https://news.careers360.com/delhi-police-admit-card-2021-released-for-physical-exam-at-delhipolicenicin,,,,,44,https://career.aglasem.com/ssc-delhi-police-constable/,94,https://byjus.com/ssc-exams/delhi-police-constable-exam-crash-course/,,,16,https://www.embibe.com/exams/delhi-police-recruitment/,,,,,5759,Prepp,18100,General,,Prepp-C3
rbi office attendant,1,TOP SITE,06-12-2021,https://opportunities.rbi.org.in/Scripts/resultsnew.aspx,,,38,https://prepp.in/rbi-assistant-recruitment-exam/news,,,,,,,,,35,https://career.aglasem.com/rbi-office-attendant-result/,,,65,https://www.fresherslive.com/competitive-exams/rbi-office-attendant-result-2021-to-be-released-at-rbi-org-in-download-the-results-for-the-office-attendant-cut-off-marks-here-11-june-2021-113426,,,,,,,5763,Prepp,49500,General,,Prepp-C3
bpsc online,1,TOP SITE,06-12-2021,https://onlinebpsc.bihar.gov.in/,,,26,https://prepp.in/bpsc-exam/application-process,,,42,https://competition.careers360.com/articles/bpsc-application-form,,,,,,,69,https://byjus.com/free-ias-prep/bpsc-preparation/,70,https://www.fresherslive.com/bpsc-bihar-public-service-commission-recruitment,83,https://www.embibe.com/exams/bpsc-recruitment/,,,,,5766,Prepp,27100,General,,Prepp-C3
