Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
University of Windsor fees,1,TOP SITE,06-12-2021,https://studyabroad.shiksha.com/canada/universities/university-of-windsor,3,https://collegedunia.com/canada/college/12-university-of-windsor-windsor,,,1,https://studyabroad.shiksha.com/canada/universities/university-of-windsor,,,4,https://www.collegedekho.com/canada/university-of-windsor/,,,,,,,,,12663,Study_Abroad,880,College,,Study_Abroad-College-LS
University of Windsor fees,1,shiksha.com,06-12-2021,https://studyabroad.shiksha.com/canada/universities/university-of-windsor,3,https://collegedunia.com/canada/college/12-university-of-windsor-windsor,,,1,https://studyabroad.shiksha.com/canada/universities/university-of-windsor,,,4,https://www.collegedekho.com/canada/university-of-windsor/,,,,,,,,,12663,Study_Abroad,880,College,,Study_Abroad-College-LS
Columbia University fees,1,TOP SITE,06-12-2021,https://studyabroad.shiksha.com/usa/universities/columbia-university,3,https://collegedunia.com/usa/college/1711-columbia-university-new-york-city,,,1,https://studyabroad.shiksha.com/usa/universities/columbia-university,,,10,https://www.collegedekho.com/usa/columbia-university/,,,,,24,https://leverageedu.com/universities/columbia-university,,,12665,Study_Abroad,880,College,,Study_Abroad-College-LS
Columbia University fees,1,shiksha.com,06-12-2021,https://studyabroad.shiksha.com/usa/universities/columbia-university,3,https://collegedunia.com/usa/college/1711-columbia-university-new-york-city,,,1,https://studyabroad.shiksha.com/usa/universities/columbia-university,,,10,https://www.collegedekho.com/usa/columbia-university/,,,,,24,https://leverageedu.com/universities/columbia-university,,,12665,Study_Abroad,880,College,,Study_Abroad-College-LS
Boston University fees,1,TOP SITE,06-12-2021,https://www.bu.edu/admissions/admitted/tuition-and-fees/,3,https://collegedunia.com/usa/college/1019-boston-university-boston,,,2,https://studyabroad.shiksha.com/usa/universities/boston-university,,,17,https://www.collegedekho.com/usa/boston-university/,,,,,41,https://leverageedu.com/blog/boston-university-mba/,,,12666,Study_Abroad,880,College,,Study_Abroad-College-LS
New York Film Academy fees,1,TOP SITE,06-12-2021,https://www.nyfa.edu/admissions/dates_tuition/,2,https://collegedunia.com/usa/college/1080-new-york-film-academy-burbank,,,54,https://studyabroad.shiksha.com/top-ten-film-schools-in-the-world-articlepage-1799,,,,,,,,,69,https://leverageedu.com/blog/best-film-schools-in-the-world/,,,12668,Study_Abroad,880,College,,Study_Abroad-College-LS
Southwestern University,1,TOP SITE,06-12-2021,https://www.southwestern.edu/,4,https://collegedunia.com/usa/college/1349-southwestern-university-georgetown,,,,,,,,,,,,,,,,,12669,Study_Abroad,880,College,,Study_Abroad-College-LS
Alliant International University,1,TOP SITE,06-12-2021,https://www.alliant.edu/,8,https://collegedunia.com/usa/college/899-alliant-international-university-san-diego,,,3,https://studyabroad.shiksha.com/usa/universities/alliant-international-university,,,,,,,,,,,,,12670,Study_Abroad,880,College,,Study_Abroad-College-LS
Oregon Health & Science University,1,TOP SITE,06-12-2021,https://www.ohsu.edu/,17,https://collegedunia.com/usa/college/1858-oregon-health--science-university-portland,,,4,https://studyabroad.shiksha.com/usa/universities/oregon-health-and-science-university,,,,,,,,,,,,,12671,Study_Abroad,880,College,,Study_Abroad-College-LS
"St George's, University of London",1,TOP SITE,06-12-2021,https://www.sgul.ac.uk/,5,https://collegedunia.com/uk/college/845-st-georges-university-of-london-london,,,2,https://studyabroad.shiksha.com/uk/universities/st-george-s-university-of-london,,,,,,,,,,,,,12672,Study_Abroad,880,College,,Study_Abroad-College-LS
Texas Southern University,1,TOP SITE,06-12-2021,http://www.tsu.edu/,21,https://collegedunia.com/usa/college/1433-texas-southern-university-houston,,,3,https://studyabroad.shiksha.com/usa/universities/texas-southern-university,,,41,https://www.collegedekho.com/usa/texas-southern-university/,,,,,,,,,12673,Study_Abroad,880,College,,Study_Abroad-College-LS
Jonkoping University,1,TOP SITE,06-12-2021,https://ju.se/,7,https://collegedunia.com/sweden/college/2268-jonkoping-university-jonkoping/admission,,,4,https://studyabroad.shiksha.com/sweden/universities/jonkoping-university,,,,,,,,,,,,,12674,Study_Abroad,880,College,,Study_Abroad-College-LS
Texas Christian University,1,TOP SITE,06-12-2021,https://www.tcu.edu/,15,https://collegedunia.com/usa/college/1320-texas-christian-university-fort-worth,,,4,https://studyabroad.shiksha.com/usa/universities/texas-christian-university,,,33,https://www.collegedekho.com/ae/usa/texas-christian-university/,,,,,,,,,12675,Study_Abroad,880,College,,Study_Abroad-College-LS
Fairleigh Dickinson University Vancouver,1,TOP SITE,06-12-2021,https://www.fdu.edu/campuses/vancouver-campus/,5,https://collegedunia.com/canada/college/3621-fairleigh-dickinson-university-vancouver,,,8,https://studyabroad.shiksha.com/usa/universities/fairleigh-dickinson-university,,,,,,,,,,,,,12676,Study_Abroad,880,College,,Study_Abroad-College-LS
University of Alabama Huntsville,1,TOP SITE,06-12-2021,https://www.uah.edu/,5,https://collegedunia.com/usa/college/1440-university-of-alabama-huntsville-huntsville,,,,,,,,,,,,,,,,,12677,Study_Abroad,880,College,,Study_Abroad-College-LS
James Madison University,1,TOP SITE,06-12-2021,https://www.jmu.edu/,,,,,11,https://studyabroad.shiksha.com/usa/universities/james-madison-university,,,,,,,,,,,,,12678,Study_Abroad,880,College,,Study_Abroad-College-LS
Marquette University,1,TOP SITE,06-12-2021,https://www.marquette.edu/,26,https://collegedunia.com/usa/college/1637-marquette-university-milwaukee,,,24,https://studyabroad.shiksha.com/usa/universities/marquette-university,,,,,,,,,,,,,12679,Study_Abroad,880,College,,Study_Abroad-College-LS
University of Michigan Flint,1,TOP SITE,06-12-2021,https://www.umflint.edu/,7,https://collegedunia.com/usa/college/1308-university-of-michigan-flint,,,2,https://studyabroad.shiksha.com/usa/universities/university-of-michigan-flint,,,,,,,,,,,,,12680,Study_Abroad,880,College,,Study_Abroad-College-LS
Creighton University,1,TOP SITE,06-12-2021,https://www.creighton.edu/,8,https://collegedunia.com/usa/college/1794-creighton-university-omaha,,,,,,,,,,,,,,,,,12681,Study_Abroad,880,College,,Study_Abroad-College-LS
University of Akron,1,TOP SITE,06-12-2021,https://www.uakron.edu/,11,https://collegedunia.com/usa/college/887-university-of-akron-akron,,,3,https://studyabroad.shiksha.com/usa/universities/the-university-of-akron,,,,,,,,,,,,,12683,Study_Abroad,880,College,,Study_Abroad-College-LS
Loma Linda University,1,TOP SITE,06-12-2021,https://home.llu.edu/,22,https://collegedunia.com/usa/college/1545-loma-linda-university-loma-linda,,,10,https://studyabroad.shiksha.com/usa/universities/loma-linda-university,,,,,,,,,,,,,12685,Study_Abroad,880,College,,Study_Abroad-College-LS
Virginia State University,1,TOP SITE,06-12-2021,https://www.vsu.edu/,,,,,4,https://studyabroad.shiksha.com/usa/universities/virginia-state-university,,,42,https://www.collegedekho.com/usa/virginia-state-university/,,,,,,,,,12686,Study_Abroad,880,College,,Study_Abroad-College-LS
Purdue University Global,1,TOP SITE,06-12-2021,https://www.purdueglobal.edu/,,,,,33,https://studyabroad.shiksha.com/usa/universities/purdue-university,,,,,,,,,,,,,12687,Study_Abroad,880,College,,Study_Abroad-College-LS
Drew University,1,TOP SITE,06-12-2021,https://drew.edu/,,,,,3,https://studyabroad.shiksha.com/usa/universities/drew-university,,,,,,,,,,,,,12688,Study_Abroad,880,College,,Study_Abroad-College-LS
University of Scranton,1,TOP SITE,06-12-2021,https://www.scranton.edu/,16,https://collegedunia.com/usa/college/2020-university-of-scranton-scranton,,,4,https://studyabroad.shiksha.com/usa/universities/university-of-scranton,,,,,,,,,,,,,12689,Study_Abroad,880,College,,Study_Abroad-College-LS
New Mexico State University,1,TOP SITE,06-12-2021,https://www.nmsu.edu/,31,https://collegedunia.com/usa/college/1516-new-mexico-state-university-las-cruces,,,4,https://studyabroad.shiksha.com/usa/universities/new-mexico-state-university,,,,,,,,,,,,,12690,Study_Abroad,880,College,,Study_Abroad-College-LS
Yeshiva University,1,TOP SITE,06-12-2021,https://www.yu.edu/,18,https://collegedunia.com/usa/college/1714-yeshiva-university-new-york-city,,,5,https://studyabroad.shiksha.com/usa/universities/yeshiva-university,,,27,https://www.collegedekho.com/usa/yeshiva-university/,,,,,,,,,12691,Study_Abroad,880,College,,Study_Abroad-College-LS
California Lutheran University,1,TOP SITE,06-12-2021,https://www.callutheran.edu/,28,https://collegedunia.com/usa/college/2118-california-lutheran-university-thousand-oaks,,,2,https://studyabroad.shiksha.com/usa/universities/california-lutheran-university,,,22,https://www.collegedekho.com/usa/california-lutheran-university/,,,,,,,,,12692,Study_Abroad,880,College,,Study_Abroad-College-LS
Saginaw Valley State University,1,TOP SITE,06-12-2021,https://www.svsu.edu/,34,https://collegedunia.com/usa/college/2136-saginaw-valley-state-university-university-center,,,3,https://studyabroad.shiksha.com/usa/universities/saginaw-valley-state-university,,,,,,,,,,,,,12693,Study_Abroad,880,College,,Study_Abroad-College-LS
Universiti Putra Malaysia,1,TOP SITE,06-12-2021,https://www.upm.edu.my/,7,https://collegedunia.com/malaysia/college/743-universiti-putra-malaysia-seri-kembangan/admission,,,13,https://studyabroad.shiksha.com/malaysia/universities/universiti-putra-malaysia,,,,,,,,,,,,,12696,Study_Abroad,720,College,,Study_Abroad-College-LS
Universiti Sains Malaysia,1,TOP SITE,06-12-2021,https://www.usm.my/,12,https://collegedunia.com/malaysia/college/735-universiti-sains-malaysia-george-town/admission,,,9,https://studyabroad.shiksha.com/malaysia/universities/universiti-sains-malaysia,,,,,,,,,,,,,12697,Study_Abroad,720,College,,Study_Abroad-College-LS
