Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
Yale University Admission,1,TOP SITE,06-12-2021,https://www.yale.edu/admissions,5,https://collegedunia.com/usa/college/1699-yale-university-new-haven/admission,3,https://studyabroad.shiksha.com/usa/universities/yale-university,,,,,,,,,,,92,https://leverageedu.com/blog/yale-university-acceptance-rate/,35,https://admission.buddy4study.com/study-abroad/yale-university,11680,Study_Abroad,90,Admission,,Study_Abroad-part_1
Lafayette College Admission,1,TOP SITE,06-12-2021,https://admissions.lafayette.edu/,4,https://collegedunia.com/usa/college/1264-lafayette-college-easton/admission,42,https://studyabroad.shiksha.com/usa/universities-in-lafayette,,,,,,,,,,,,,,,11682,Study_Abroad,0,Admission,,Study_Abroad-part_1
Midwestern State University Admission,1,TOP SITE,06-12-2021,https://msutexas.edu/admissions/,3,https://collegedunia.com/usa/college/2202-midwestern-state-university-wichita-falls/admission,5,https://studyabroad.shiksha.com/usa/universities/midwestern-state-university,,,39,https://www.collegedekho.com/usa/midwestern-state-university/,,,,,,,,,,,11683,Study_Abroad,10,Admission,,Study_Abroad-part_1
Ball State University Admission,1,TOP SITE,06-12-2021,https://www.bsu.edu/admissions,4,https://collegedunia.com/usa/college/1680-ball-state-university-muncie/admission,3,https://studyabroad.shiksha.com/usa/universities/ball-state-university,,,19,https://www.collegedekho.com/ae/usa/ball-state-university/,,,,,,,,,,,11684,Study_Abroad,10,Admission,,Study_Abroad-part_1
University of Hartford Admission,1,TOP SITE,06-12-2021,https://www.hartford.edu/admission/,2,https://collegedunia.com/usa/college/1397-university-of-hartford-west-hartford/admission,3,https://studyabroad.shiksha.com/usa/universities/university-of-hartford,,,11,https://www.collegedekho.com/usa/university-of-hartford/,,,,,,,,,,,11686,Study_Abroad,10,Admission,,Study_Abroad-part_1
Berry College Admission,1,TOP SITE,06-12-2021,https://www.berry.edu/admission/,3,https://collegedunia.com/usa/college/1675-berry-college-mount-berry/admission,,,,,,,,,,,,,,,,,11687,Study_Abroad,0,Admission,,Study_Abroad-part_1
Swarthmore College Admission,1,TOP SITE,06-12-2021,https://www.swarthmore.edu/admissions-aid,4,https://collegedunia.com/usa/college/2088-swarthmore-college-swarthmore/admission,50,https://studyabroad.shiksha.com/usa/universities/swarthmore-college,,,32,https://www.collegedekho.com/usa/swarthmore-college/,,,,,,,,,,,11688,Study_Abroad,0,Admission,,Study_Abroad-part_1
Capital University Admission,1,TOP SITE,06-12-2021,https://www.capital.edu/admission/admission/,8,https://collegedunia.com/usa/college/1188-capital-university-columbus/admission,25,https://www.shiksha.com/university/capital-university-jharkhand-other-63315,11,https://www.careers360.com/university/capital-university-koderma,,,23,https://admission.aglasem.com/capital-university-admission/,20,https://www.fresherslive.com/education/capital-university-admission-112194,,,,,,,11692,Study_Abroad,10,Admission,,Study_Abroad-part_1
University of Hawaii Admission,1,TOP SITE,06-12-2021,https://manoa.hawaii.edu/admissions/,3,https://collegedunia.com/usa/college/1421-university-of-hawaii-at-manoa-honolulu/admission,17,https://studyabroad.shiksha.com/usa/universities/university-of-hawaii-at-manoa,,,23,https://www.collegedekho.com/ae/usa/university-of-hawaii-at-manoa/,,,,,,,,,,,11693,Study_Abroad,10,Admission,,Study_Abroad-part_1
"University of Arkansas, Little Rock Admission",1,TOP SITE,06-12-2021,https://ualr.edu/admissions/,4,https://collegedunia.com/usa/college/1540-university-of-arkansas-little-rock/admission,33,https://studyabroad.shiksha.com/usa/universities/university-of-arkansas/admissions,,,,,,,,,,,,,,,11695,Study_Abroad,0,Admission,,Study_Abroad-part_1
