Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_mbbsneet.in,URL_mbbsneet.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
Delhi University Admission,1,TOP SITE,06-12-2021,http://www.du.ac.in/,3,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/admission,,,4,https://www.shiksha.com/university/delhi-university-du-24642,6,https://university.careers360.com/articles/du-admission,15,https://www.collegedekho.com/articles/complete-guide-to-delhi-university-ba-bcom-bsc-admission/,,,,,22,https://admission.aglasem.com/delhi-university-admission/,,,,,20,https://www.embibe.com/exams/du-admission/,,,,,0,DU_Colleges,6600,Admission,,part_1
Delhi University Courses,1,TOP SITE,06-12-2021,http://du.ac.in/,2,https://collegedunia.com/university/25473-delhi-university-du-new-delhi,,,3,https://www.shiksha.com/university/delhi-university-du-24642/courses,4,https://university.careers360.com/articles/du-courses,10,https://www.collegedekho.com/articles/delhi-university-courses/,,,,,,,,,,,34,https://www.embibe.com/exams/du-courses/,24,https://leverageedu.com/blog/delhi-university-courses-after-12th/,,,1,DU_Colleges,4400,Course,,part_1
Delhi University Fees,1,TOP SITE,06-12-2021,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/courses-fees,1,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/courses-fees,,,4,https://www.shiksha.com/university/delhi-university-du-24642/courses,2,https://university.careers360.com/articles/du-fees,47,https://www.collegedekho.com/articles/list-of-du-colleges-offering-ba-history-cutoff-fees/,,,,,66,https://admission.aglasem.com/delhi-university-admission/,,,,,,,,,,,2,DU_Colleges,2900,Fees,,part_1
Delhi University Fees,1,collegedunia.com,06-12-2021,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/courses-fees,1,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/courses-fees,,,4,https://www.shiksha.com/university/delhi-university-du-24642/courses,2,https://university.careers360.com/articles/du-fees,47,https://www.collegedekho.com/articles/list-of-du-colleges-offering-ba-history-cutoff-fees/,,,,,66,https://admission.aglasem.com/delhi-university-admission/,,,,,,,,,,,2,DU_Colleges,2900,Fees,,part_1
Delhi University Hostel,1,TOP SITE,06-12-2021,http://www.du.ac.in/index.php?page=Hostels-at-University-of-Delhi,9,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/hostel,,,20,https://www.shiksha.com/humanities-social-sciences/articles/du-admissions-check-list-of-hostels-seats-available-blogId-17595,35,https://www.careers360.com/university/university-of-delhi-delhi/facilities,14,https://www.collegedekho.com/articles/top-10-hostels-in-delhi-university/,,,,,,,,,,,,,,,,,3,DU_Colleges,1000,Hostel,,part_1
Delhi University Placement,1,TOP SITE,06-12-2021,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/placement,1,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/placement,,,3,https://www.shiksha.com/university/delhi-university-du-24642/placement,6,https://www.careers360.com/university/university-of-delhi-delhi/placement,,,,,,,,,,,,,,,,,,,4,DU_Colleges,390,Placement,,part_1
Delhi University Placement,1,collegedunia.com,06-12-2021,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/placement,1,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/placement,,,3,https://www.shiksha.com/university/delhi-university-du-24642/placement,6,https://www.careers360.com/university/university-of-delhi-delhi/placement,,,,,,,,,,,,,,,,,,,4,DU_Colleges,390,Placement,,part_1
Delhi University Cut Off,1,TOP SITE,06-12-2021,https://admission.uod.ac.in/?UG-Admission/Cut-off-Schedule,9,https://collegedunia.com/university/25473-delhi-university-du-new-delhi/cutoff,,,5,https://www.shiksha.com/university/delhi-university-du-24642/cutoff,3,https://university.careers360.com/hi/articles/du-cutoff,8,https://www.collegedekho.com/news/delhi-university-releases-first-cut-off-for-ug-courses-2017-10344/,,,,,6,https://admission.aglasem.com/du-cut-off/,,,,,10,https://www.embibe.com/exams/du-admission-cutoff/,,,,,5,DU_Colleges,5400,Cut_Off,,part_1
sol du Admission,1,TOP SITE,06-12-2021,https://sol.du.ac.in/,2,https://collegedunia.com/college/4148-school-of-open-learning-university-of-delhi-soldu-new-delhi/admission,,,11,https://www.shiksha.com/college/school-of-open-learning-university-of-delhi-north-campus-49143/courses/ma-bc,3,https://university.careers360.com/articles/du-sol-application-form,47,https://www.collegedekho.com/news/delhi-university-school-of-open-learning-sol-admission-process-dates-14515/,,,,,19,https://admission.aglasem.com/du-sol/,,,10,https://www.fresherslive.com/education/du-sol-admission,49,https://www.embibe.com/exams/du-sol-application-form/,,,,,6,DU_Colleges,4400,Admission,,part_1
sol du Courses,1,TOP SITE,06-12-2021,https://university.careers360.com/articles/du-sol-courses,8,https://collegedunia.com/college/4148-school-of-open-learning-university-of-delhi-soldu-new-delhi,,,10,https://www.shiksha.com/college/school-of-open-learning-university-of-delhi-north-campus-49143/admission,1,https://university.careers360.com/articles/du-sol-courses,71,https://www.collegedekho.com/news/delhi-university-school-of-open-learning-sol-admission-process-dates-14515/,,,,,41,https://admission.aglasem.com/du-sol/,,,40,https://www.fresherslive.com/education/du-sol-admission,61,https://www.embibe.com/exams/du-sol-eligibility-criteria/,83,https://leverageedu.com/blog/sol-admission/,,,7,DU_Colleges,260,Course,,part_1
sol du Courses,1,careers360.com,06-12-2021,https://university.careers360.com/articles/du-sol-courses,8,https://collegedunia.com/college/4148-school-of-open-learning-university-of-delhi-soldu-new-delhi,,,10,https://www.shiksha.com/college/school-of-open-learning-university-of-delhi-north-campus-49143/admission,1,https://university.careers360.com/articles/du-sol-courses,71,https://www.collegedekho.com/news/delhi-university-school-of-open-learning-sol-admission-process-dates-14515/,,,,,41,https://admission.aglasem.com/du-sol/,,,40,https://www.fresherslive.com/education/du-sol-admission,61,https://www.embibe.com/exams/du-sol-eligibility-criteria/,83,https://leverageedu.com/blog/sol-admission/,,,7,DU_Colleges,260,Course,,part_1
