Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
KUK Result,1,TOP SITE,06-12-2021,https://www.kuk.ac.in/hpcontent.php?action=hpcontent&id=MTI0,22,https://collegedunia.com/news/c-25530-kurukshetra-university-result,,,56,https://www.shiksha.com/university/kurukshetra-university/kuk-entrance-exam-results,64,https://news.careers360.com/kurukshetra-university-resume-offline-classes-from-november-22-guidelines-kuk-result-2021-date-sheet-direct-link,,,,,15,https://institutes.aglasem.com/kuk-result/,,,4,https://www.fresherslive.com/education/kuk-result-100546,71,https://www.embibe.com/exams/kuk-result/,,,,,4232,Result,246000,Result,,part2
MDU Result,1,TOP SITE,06-12-2021,http://result.mdurtk.in/postexam/result.aspx,14,https://collegedunia.com/news/c-25535-mdu-result,,,,,,,,,,,27,https://institutes.aglasem.com/mdu-result/,,,10,https://www.fresherslive.com/education/md-university-result-100518,13,https://www.embibe.com/exams/mdu-result/,,,,,4233,Result,450000,Result,,part2
RTMNU Result,1,TOP SITE,06-12-2021,https://rtmnuresults.org/,7,https://collegedunia.com/news/c-25721-rtmnu-results,,,35,https://www.shiksha.com/articles/rtmnu-result-2021-declared-check-nagpur-university-results-online-at-rtmnuresults-org-blogId-63049,,,,,,,6,https://institutes.aglasem.com/rtmnu-result/,,,3,https://www.fresherslive.com/education/rtmnu-result-100620,4,https://www.embibe.com/exams/rtmnu-result/,,,,,4234,Result,246000,Result,,part2
DU Results,1,TOP SITE,06-12-2021,http://exam.du.ac.in/result.html,17,https://collegedunia.com/news/c-25473-delhi-university-du-results,,,12,https://www.shiksha.com/articles/du-results-2020-released-semester-exam-schedule-revaluation-retotaling-mark-scheme-blogId-34715,19,https://law.careers360.com/articles/du-llb,,,,,16,https://institutes.aglasem.com/du-result/,,,10,https://www.fresherslive.com/education/du-result-101139,13,https://www.embibe.com/exams/delhi-university-result/,,,,,4235,Result,90500,Result,,part2
RCUB Results,1,TOP SITE,06-12-2021,http://results.logisys.org/reva/index.php,53,https://collegedunia.com/news/c-25623-rcub-result,,,79,https://images.shiksha.com/mediadata/articleCtaPdf/30485.pdf?v=1591319923,,,,,,,27,https://institutes.aglasem.com/rcub-results/,,,6,https://www.fresherslive.com/education/rcub-result-103573,28,https://www.embibe.com/exams/rcub-results/,,,,,4236,Result,18100,Result,,part2
SPPU Result,1,TOP SITE,06-12-2021,http://www.unipune.ac.in/university_files/results.htm,20,https://collegedunia.com/news/c-25732-pune-university-result,,,50,https://www.shiksha.com/news/sppu-semester-exams-2021-results-to-be-announced-48-hours-after-online-exam-ends-check-details-here-blogId-57497,10,https://university.careers360.com/articles/pune-university-result,,,,,13,https://institutes.aglasem.com/pune-university-result/,,,12,https://www.fresherslive.com/education/pune-university-result-100537,18,https://www.embibe.com/exams/pune-university-result/,,,,,4237,Result,135000,Result,,part2
RDVV Results,1,TOP SITE,06-12-2021,http://www.rdunijbpin.org/1436/Result-Links,19,https://collegedunia.com/news/c-25683-rdvv-entrance-exams-result,,,53,https://www.shiksha.com/articles/rdvv-result-2019-for-ug-pg-course-declared-here-s-how-to-check-blogId-33313,,,,,,,4,https://institutes.aglasem.com/rdvv-result/,,,8,https://www.fresherslive.com/education/rdvv-result-100686,,,,,,,4238,Result,74000,Result,,part2
Punjabi University Result,1,TOP SITE,06-12-2021,https://results.pupexamination.ac.in/,,,,,,,,,,,,,3,https://institutes.aglasem.com/punjabi-university-result/,,,4,https://www.fresherslive.com/education/punjabi-university-result-100817,11,https://www.embibe.com/exams/punjabi-university-result/,,,,,4239,Result,60500,Result,,part2
KUD Results,1,TOP SITE,06-12-2021,https://www.kud.ac.in/kud_results.aspx?key=UG,26,https://collegedunia.com/news/c-25610-kud-result,,,,,88,https://engineering.careers360.com/articles/karnataka-pgcet,,,,,32,https://institutes.aglasem.com/kud-result/,,,12,https://www.fresherslive.com/education/kud-result-103245,24,https://www.embibe.com/exams/kud-result/,,,,,4240,Result,33100,Result,,part2
Gujarat University Result,1,TOP SITE,06-12-2021,http://result.gujaratuniversity.ac.in/,14,https://collegedunia.com/news/c-25491-gujarat-university-result---exam-time-table-hall-ticket,,,24,https://www.shiksha.com/news/gujarat-university-result-2021-announced-for-ug-pg-courses-blogId-67835,29,https://university.careers360.com/articles/gujarat-university-result,,,,,3,https://institutes.aglasem.com/gujarat-university-result/,,,6,https://www.fresherslive.com/education/gujarat-university-result-100848,32,https://www.embibe.com/exams/gujarat-university-result/,,,,,4243,Result,74000,Result,,part2
