,Keyword,Tag,Search Volume,Category,Exam Tag,new_tag
3079,phd biomedical engineering,Courses,210,Course,,Courses
3080,mba,Courses,135000,Course,,Courses
3081,master of science,Courses,8100,Course,,Courses
3082,MD,Courses,74000,Course,,Courses
3083,d el ed,Courses,74000,Course,,Courses
3084,bba,Courses,90500,Course,,Courses
3085,B Pharmacy,Courses,110000,Course,,Courses
3086,bsc nursing,Courses,90500,Course,,Courses
3087,mbbs,Courses,90500,Course,,Courses
3088,bsc nursing post basic,Courses,2900,Course,,Courses
3089,cfa,Courses,90500,Course,,Courses
3090,bsc,Courses,74000,Course,,Courses
3091,phd,Courses,60500,Course,,Courses
3092,bca,Courses,90500,Course,,Courses
3093,ma tamil,Courses,40500,Course,,Courses
3094,d pharmacy,Courses,74000,Course,,Courses
3095,llb,Courses,49500,Course,,Courses
3096,BAMS,Courses,40500,Course,,Courses
3097,bba course,Courses,49500,Course,,Courses
3098,acca,Courses,60500,Course,,Courses
3099,b com,Courses,33100,Course,,Courses
3100,bsc agriculture,Courses,40500,Course,,Courses
3101,Bachelor of Arts,Courses,22200,Course,,Courses
3102,mphil,Courses,18100,Course,,Courses
3103,MSW,Courses,18100,Course,,Courses
3104,pgdm,Courses,22200,Course,,Courses
3105,BHMS,Courses,27100,Course,,Courses
3106,pgdca,Courses,18100,Course,,Courses
3107,bsc computer science,Courses,33100,Course,,Courses
3108,mtech,Courses,22200,Course,,Courses
3109,phd chemical engineering,Courses,260,Course,,Courses
3110,m tech,Courses,22200,Course,,Courses
3111,dmlt course,Courses,40500,Course,,Courses
3112,executive mba,Courses,14800,Course,,Courses
3113,mba finance,Courses,18100,Course,,Courses
3114,bpt,Courses,18100,Course,,Courses
3115,dmlt,Courses,22200,Course,,Courses
3116,b arch,Courses,14800,Course,,Courses
3117,ma hindi,Courses,8100,Course,,Courses
3118,Bachelor of Science (b.sc.),Courses,14800,Course,,Courses
3119,bsc biotechnology,Courses,18100,Course,,Courses
3120,BFA,Courses,12100,Course,,Courses
3121,llm,Courses,14800,Course,,Courses
3122,phd civil engineering,Courses,720,Course,,Courses
3123,gnm course,Courses,18100,Course,,Courses
3124,bms course,Courses,12100,Course,,Courses
3125,BHM,Courses,6600,Course,,Courses
3126,pgdba,Courses,9900,Course,,Courses
3127,ba llb,Courses,12100,Course,,Courses
3128,bsc it,Courses,12100,Course,,Courses
3129,pgdm course,Courses,8100,Course,,Courses
3130,bsc forensic science,Courses,9900,Course,,Courses
3131,Doctorate of Medicine,Courses,9900,Course,,Courses
3132,ma english,Courses,8100,Course,,Courses
3133,msc computer science,Courses,9900,Course,,Courses
3134,BMM,Courses,9900,Course,,Courses
3135,cfp,Courses,8100,Course,,Courses
3136,pgdca course,Courses,14800,Course,,Courses
3137,bpt course,Courses,9900,Course,,Courses
3138,mba in marketing,Courses,8100,Course,,Courses
3139,bds course,Courses,12100,Course,,Courses
3140,bams course,Courses,9900,Course,,Courses
3141,bachelor of computer application,Courses,9900,Application,,Courses
3142,BA English,Courses,8100,Course,,Courses
3143,bachelor of education,Courses,6600,Course,,Courses
3144,BSW,Courses,5400,Course,,Courses
3145,mba in hospital management,Courses,9900,Course,,Courses
3146,mba marketing,Courses,8100,Course,,Courses
3147,anm nursing,Courses,8100,Course,,Courses
3148,bsc microbiology,Courses,9900,Course,,Courses
3149,bsc psychology,Courses,12100,Course,,Courses
3150,msc chemistry,Courses,6600,Course,,Courses
3151,b voc,Courses,8100,Course,,Courses
3152,diploma in civil engineering,Courses,8100,Course,,Courses
3153,diploma in architecture engineering,Courses,110,Course,,Courses
3154,english honours,Courses,6600,Course,,Courses
3155,bsc honours,Courses,6600,Course,,Courses
3156,BA Economics,Courses,6600,Course,,Courses
3157,master of arts,Courses,6600,Course,,Courses
3158,jbt,Courses,4400,Course,,Courses
3159,mba in international business,Courses,5400,Course,,Courses
3160,GME,Courses,60500,Course,,Courses
3161,BASLP,Courses,3600,Course,,Courses
3162,bmlt,Courses,6600,Course,,Courses
3163,bsc chemistry,Courses,8100,Course,,Courses
3164,bsc hons,Courses,6600,Course,,Courses
3165,bsc physics,Courses,6600,Course,,Courses
3166,bvsc,Courses,5400,Course,,Courses
3167,msc biotechnology,Courses,8100,Course,,Courses
3168,msc psychology,Courses,6600,Course,,Courses
3169,b design,Courses,6600,Course,,Courses
3170,bjmc,Courses,8100,Course,,Courses
3171,ba hons,Courses,6600,Course,,Courses
3172,diploma in automobile engineering,Courses,2400,Course,,Courses
3173,diploma in biomedical engineering,Courses,480,Course,,Courses
3174,diploma in chemical engineering,Courses,1600,Course,,Courses
3175,ma economics,Courses,5400,Course,,Courses
3176,bfa course,Courses,8100,Course,,Courses
3177,bhms course,Courses,6600,Course,,Courses
3178,mba in business analytics,Courses,8100,Course,,Courses
3179,master in public health,Courses,5400,Course,,Courses
3180,BA Psychology,Courses,8100,Course,,Courses
3181,mba in operations management,Courses,6600,Course,,Courses
3182,bsc mlt,Courses,5400,Course,,Courses
3183,MD Medicine,Courses,5400,Course,,Courses
3184,masters in public health,Courses,5400,Course,,Courses
3185,bsc nautical science,Courses,5400,Course,,Courses
3186,msc mathematics,Courses,5400,Course,,Courses
3187,msc microbiology,Courses,6600,Course,,Courses
3188,master of computer application,Courses,5400,Application,,Courses
3189,bsc forestry,Courses,4400,Course,,Courses
3190,msc physics,Courses,5400,Course,,Courses
3191,diploma in computer engineering,Courses,5400,Course,,Courses
3192,diploma in computer science and engineering,Courses,1000,Course,,Courses
3193,bsw course,Courses,5400,Course,,Courses
3194,bbm course,Courses,3600,Course,,Courses
3195,Bachelor of Pharmacy,Courses,6600,Course,,Courses
3196,Bachelors of Computer Science,Courses,5400,Course,,Courses
3197,Diploma in Elementary Education,Courses,5400,Course,,Courses
3198,bed in hindi,Courses,5400,Course,,Courses
3199,mba operations management,Courses,6600,Course,,Courses
