,Keyword,Tag,Search Volume,Category,Exam Tag,new_tag
1981,Jain University courses,Main_Research_Sheet,1300,Course,,Main_Research_Sheet-part_2
1982,Jain University distance education,Main_Research_Sheet,1000,Course,,Main_Research_Sheet-part_2
1983,Jain University entrance exam,Main_Research_Sheet,140,Entrance_Exam,,Main_Research_Sheet-part_2
1984,Jain University hostel,Main_Research_Sheet,480,Hostel,,Main_Research_Sheet-part_2
1985,Jain University mba,Main_Research_Sheet,1300,Course,,Main_Research_Sheet-part_2
1986,Jain University mba fee,Main_Research_Sheet,1000,Fees,,Main_Research_Sheet-part_2
1987,Jain University mca,Main_Research_Sheet,260,Course,,Main_Research_Sheet-part_2
1988,Jain University placement,Main_Research_Sheet,590,Placement,,Main_Research_Sheet-part_2
1989,Jain University Ranking,Main_Research_Sheet,880,Ranking,,Main_Research_Sheet-part_2
1990,Jain University scholarship,Main_Research_Sheet,110,Scholarship,,Main_Research_Sheet-part_2
1991,jaipur national university courses,Main_Research_Sheet,260,Course,,Main_Research_Sheet-part_2
1992,jaipur national university distance education,Main_Research_Sheet,1600,Course,,Main_Research_Sheet-part_2
1993,jaipur national university fee structure,Main_Research_Sheet,590,Fees,,Main_Research_Sheet-part_2
1994,jaipur national university placement,Main_Research_Sheet,110,Placement,,Main_Research_Sheet-part_2
1995,jaipur national university ranking,Main_Research_Sheet,320,Ranking,,Main_Research_Sheet-part_2
1996,jaipur national university result,Main_Research_Sheet,880,Result,,Main_Research_Sheet-part_2
1997,Jammu University admission,Main_Research_Sheet,390,Admission,,Main_Research_Sheet-part_2
1998,Jammu University admit card,Main_Research_Sheet,320,Admit_Card,,Main_Research_Sheet-part_2
1999,Jammu University bed,Main_Research_Sheet,590,Course,,Main_Research_Sheet-part_2
2000,Jammu University courses,Main_Research_Sheet,210,Course,,Main_Research_Sheet-part_2
2001,Jammu University entrance test,Main_Research_Sheet,110,Practice_Papers,,Main_Research_Sheet-part_2
2002,Jammu University result,Main_Research_Sheet,12100,Result,,Main_Research_Sheet-part_2
2003,Jammu University syllabus,Main_Research_Sheet,390,Syllabus,,Main_Research_Sheet-part_2
2004,jbims admission process,Main_Research_Sheet,590,Admission,,Main_Research_Sheet-part_2
2005,jbims alumni,Main_Research_Sheet,480,General,,Main_Research_Sheet-part_2
2006,jbims average package,Main_Research_Sheet,1000,General,,Main_Research_Sheet-part_2
2007,jbims courses,Main_Research_Sheet,210,Course,,Main_Research_Sheet-part_2
