,Keyword,Tag,Search Volume,Category,Exam Tag,new_tag
12102,Harvard University,Study_Abroad,165000,College,,Study_Abroad-College-HS
12103,University of Oxford,Study_Abroad,135000,College,,Study_Abroad-College-HS
12104,Stanford University,Study_Abroad,110000,College,,Study_Abroad-College-HS
12105,University of Toronto(Mississauga),Study_Abroad,90500,College,,Study_Abroad-College-HS
12106,University of Toronto,Study_Abroad,90500,College,,Study_Abroad-College-HS
12107,University of Cambridge,Study_Abroad,90500,College,,Study_Abroad-College-HS
12108,Columbia University,Study_Abroad,60500,College,,Study_Abroad-College-HS
12109,University of British Columbia,Study_Abroad,60500,College,,Study_Abroad-College-HS
12110,University of Alberta,Study_Abroad,49500,College,,Study_Abroad-College-HS
12111,Yale University,Study_Abroad,49500,College,,Study_Abroad-College-HS
12112,University of Waterloo,Study_Abroad,49500,College,,Study_Abroad-College-HS
12113,Purdue University,Study_Abroad,49500,College,,Study_Abroad-College-HS
12114,Northeastern University,Study_Abroad,49500,College,,Study_Abroad-College-HS
12115,University of California Los Angeles,Study_Abroad,49500,College,,Study_Abroad-College-HS
12116,Massachusetts Institute of Technology,Study_Abroad,40500,College,,Study_Abroad-College-HS
12117,McGill University,Study_Abroad,40500,College,,Study_Abroad-College-HS
12118,York University,Study_Abroad,40500,College,,Study_Abroad-College-HS
12119,Cornell University,Study_Abroad,40500,College,,Study_Abroad-College-HS
12120,Boston University,Study_Abroad,40500,College,,Study_Abroad-College-HS
12121,Arizona State University,Study_Abroad,40500,College,,Study_Abroad-College-HS
12122,Coventry University,Study_Abroad,40500,College,,Study_Abroad-College-HS
12123,University of Greenwich,Study_Abroad,40500,College,,Study_Abroad-College-HS
12124,University of California Berkeley,Study_Abroad,40500,College,,Study_Abroad-College-HS
12125,University of Hertfordshire,Study_Abroad,33100,College,,Study_Abroad-College-HS
12126,Princeton University,Study_Abroad,33100,College,,Study_Abroad-College-HS
12127,University of Edinburgh,Study_Abroad,33100,College,,Study_Abroad-College-HS
12128,University of Manchester,Study_Abroad,33100,College,,Study_Abroad-College-HS
12129,New York University,Study_Abroad,33100,College,,Study_Abroad-College-HS
12130,Manchester University,Study_Abroad,33100,College,,Study_Abroad-College-HS
12131,University of Pennsylvania,Study_Abroad,33100,College,,Study_Abroad-College-HS
12132,University of Calgary,Study_Abroad,33100,College,,Study_Abroad-College-HS
12133,University of Windsor,Study_Abroad,27100,College,,Study_Abroad-College-HS
12134,Teesside University,Study_Abroad,27100,College,,Study_Abroad-College-HS
12135,University of Southern California,Study_Abroad,27100,College,,Study_Abroad-College-HS
12136,University of Melbourne,Study_Abroad,27100,College,,Study_Abroad-College-HS
12137,University of Birmingham,Study_Abroad,27100,College,,Study_Abroad-College-HS
12138,University of Leeds,Study_Abroad,27100,College,,Study_Abroad-College-HS
12139,University of Glasgow,Study_Abroad,27100,College,,Study_Abroad-College-HS
12140,Kingston University,Study_Abroad,27100,College,,Study_Abroad-College-HS
12141,University of East London,Study_Abroad,27100,College,,Study_Abroad-College-HS
12142,Technical University Berlin,Study_Abroad,22200,College,,Study_Abroad-College-HS
12143,Technical University Munich,Study_Abroad,22200,College,,Study_Abroad-College-HS
12144,University Canada West,Study_Abroad,22200,College,,Study_Abroad-College-HS
12145,Northwest University,Study_Abroad,22200,College,,Study_Abroad-College-HS
12146,Duke University,Study_Abroad,22200,College,,Study_Abroad-College-HS
12147,Northwestern University,Study_Abroad,22200,College,,Study_Abroad-College-HS
12148,University of Florida,Study_Abroad,22200,College,,Study_Abroad-College-HS
12149,Brown University,Study_Abroad,22200,College,,Study_Abroad-College-HS
12150,McMaster University,Study_Abroad,22200,College,,Study_Abroad-College-HS
12151,Monash University,Study_Abroad,22200,College,,Study_Abroad-College-HS
12152,Carleton University,Study_Abroad,22200,College,,Study_Abroad-College-HS
12153,Ryerson University,Study_Abroad,22200,College,,Study_Abroad-College-HS
12154,University of Manitoba,Study_Abroad,22200,College,,Study_Abroad-College-HS
12155,University of Ottawa,Study_Abroad,22200,College,,Study_Abroad-College-HS
12156,University of Bristol,Study_Abroad,22200,College,,Study_Abroad-College-HS
12157,University of Warwick,Study_Abroad,22200,College,,Study_Abroad-College-HS
12158,Dalhousie University,Study_Abroad,22200,College,,Study_Abroad-College-HS
12159,University of Leicester,Study_Abroad,22200,College,,Study_Abroad-College-HS
12160,Stevens Institute of Technology,Study_Abroad,18100,College,,Study_Abroad-College-HS
12161,National University of Singapore,Study_Abroad,18100,College,,Study_Abroad-College-HS
12162,University of Sydney,Study_Abroad,18100,College,,Study_Abroad-College-HS
12163,University of Nottingham,Study_Abroad,18100,College,,Study_Abroad-College-HS
12164,University of Cincinnati,Study_Abroad,18100,College,,Study_Abroad-College-HS
12165,Simon Fraser University,Study_Abroad,18100,College,,Study_Abroad-College-HS
12166,University of Saskatchewan,Study_Abroad,18100,College,,Study_Abroad-College-HS
12167,Cardiff University,Study_Abroad,18100,College,,Study_Abroad-College-HS
12168,University of Westminster,Study_Abroad,18100,College,,Study_Abroad-College-HS
12169,Northumbria University,Study_Abroad,18100,College,,Study_Abroad-College-HS
12170,University at Buffalo,Study_Abroad,18100,College,,Study_Abroad-College-HS
12171,University of London,Study_Abroad,18100,College,,Study_Abroad-College-HS
12172,Middlesex University,Study_Abroad,18100,College,,Study_Abroad-College-HS
12173,Nottingham Trent University,Study_Abroad,18100,College,,Study_Abroad-College-HS
12174,Brunel University,Study_Abroad,18100,College,,Study_Abroad-College-HS
12175,Lund University,Study_Abroad,18100,College,,Study_Abroad-College-HS
12176,"Queen Mary, University of London",Study_Abroad,18100,College,,Study_Abroad-College-HS
12177,University of North Texas,Study_Abroad,18100,College,,Study_Abroad-College-HS
12178,Cleveland State University,Study_Abroad,18100,College,,Study_Abroad-College-HS
12179,University of New Haven,Study_Abroad,18100,College,,Study_Abroad-College-HS
12180,Birmingham City University,Study_Abroad,18100,College,,Study_Abroad-College-HS
12181,University of Regina,Study_Abroad,18100,College,,Study_Abroad-College-HS
12182,MBA in canada,Study_Abroad,14800,College,,Study_Abroad-College-HS
12183,Memorial University of Newfoundland,Study_Abroad,14800,College,,Study_Abroad-College-HS
12184,Cape Breton University,Study_Abroad,14800,College,,Study_Abroad-College-HS
12185,University of Texas - Dallas,Study_Abroad,14800,College,,Study_Abroad-College-HS
12186,Anglia Ruskin University,Study_Abroad,14800,College,,Study_Abroad-College-HS
12187,Queen's University,Study_Abroad,14800,College,,Study_Abroad-College-HS
12188,University of Arizona,Study_Abroad,14800,College,,Study_Abroad-College-HS
12189,Deakin University,Study_Abroad,14800,College,,Study_Abroad-College-HS
12190,University of Auckland,Study_Abroad,14800,College,,Study_Abroad-College-HS
12191,University of Bath,Study_Abroad,14800,College,,Study_Abroad-College-HS
12192,University of Sheffield,Study_Abroad,14800,College,,Study_Abroad-College-HS
12193,Michigan State University,Study_Abroad,14800,College,,Study_Abroad-College-HS
12194,University of Queensland,Study_Abroad,14800,College,,Study_Abroad-College-HS
12195,Lakehead University,Study_Abroad,14800,College,,Study_Abroad-College-HS
12196,University of Illinois Chicago,Study_Abroad,14800,College,,Study_Abroad-College-HS
12197,San Jose State University,Study_Abroad,14800,College,,Study_Abroad-College-HS
12198,Thompson Rivers University,Study_Abroad,14800,College,,Study_Abroad-College-HS
12199,De Montfort University,Study_Abroad,14800,College,,Study_Abroad-College-HS
12200,Sheffield Hallam University,Study_Abroad,14800,College,,Study_Abroad-College-HS
12201,University of Texas Arlington,Study_Abroad,14800,College,,Study_Abroad-College-HS
12202,University of Texas Austin,Study_Abroad,14800,College,,Study_Abroad-College-HS
12203,Worcester Polytechnic Institute,Study_Abroad,12100,College,,Study_Abroad-College-HS
12204,Illinois Institute of Technology,Study_Abroad,12100,College,,Study_Abroad-College-HS
12205,Algoma University,Study_Abroad,12100,College,,Study_Abroad-College-HS
12206,Cranfield University,Study_Abroad,12100,College,,Study_Abroad-College-HS
12207,University of Winnipeg,Study_Abroad,12100,College,,Study_Abroad-College-HS
12208,Georgia State University,Study_Abroad,12100,College,,Study_Abroad-College-HS
12209,Howard University,Study_Abroad,12100,College,,Study_Abroad-College-HS
12210,George Mason University,Study_Abroad,12100,College,,Study_Abroad-College-HS
12211,Syracuse University,Study_Abroad,12100,College,,Study_Abroad-College-HS
12212,University of Guelph,Study_Abroad,12100,College,,Study_Abroad-College-HS
12213,Johns Hopkins University,Study_Abroad,12100,College,,Study_Abroad-College-HS
12214,Ohio State University,Study_Abroad,12100,College,,Study_Abroad-College-HS
12215,University of Exeter,Study_Abroad,12100,College,,Study_Abroad-College-HS
12216,Durham University,Study_Abroad,12100,College,,Study_Abroad-College-HS
12217,Loughborough University,Study_Abroad,12100,College,,Study_Abroad-College-HS
12218,Newcastle University,Study_Abroad,12100,College,,Study_Abroad-College-HS
12219,Brock University,Study_Abroad,12100,College,,Study_Abroad-College-HS
12220,University of Southampton,Study_Abroad,12100,College,,Study_Abroad-College-HS
12221,University of Amsterdam,Study_Abroad,12100,College,,Study_Abroad-College-HS
12222,University of Essex,Study_Abroad,12100,College,,Study_Abroad-College-HS
12223,University of Surrey,Study_Abroad,12100,College,,Study_Abroad-College-HS
12224,University of California San Diego,Study_Abroad,12100,College,,Study_Abroad-College-HS
12225,North Carolina State University,Study_Abroad,12100,College,,Study_Abroad-College-HS
12226,University of Victoria,Study_Abroad,12100,College,,Study_Abroad-College-HS
12227,University of Strathclyde,Study_Abroad,12100,College,,Study_Abroad-College-HS
12228,Oxford Brookes University,Study_Abroad,12100,College,,Study_Abroad-College-HS
12229,University of Salford,Study_Abroad,12100,College,,Study_Abroad-College-HS
12230,Heriot-Watt University,Study_Abroad,12100,College,,Study_Abroad-College-HS
12231,University of Stirling,Study_Abroad,12100,College,,Study_Abroad-College-HS
12232,University of South Florida Tampa,Study_Abroad,12100,College,,Study_Abroad-College-HS
12233,Leeds Beckett University,Study_Abroad,12100,College,,Study_Abroad-College-HS
12234,Saskatchewan Polytechnic,Study_Abroad,9900,College,,Study_Abroad-College-HS
12235,California Institute of Technology,Study_Abroad,9900,College,,Study_Abroad-College-HS
12236,Virginia Tech,Study_Abroad,9900,College,,Study_Abroad-College-HS
12237,Rochester Institute of Technology,Study_Abroad,9900,College,,Study_Abroad-College-HS
12238,Georgia Institute of Technology,Study_Abroad,9900,College,,Study_Abroad-College-HS
12239,Humboldt University of Berlin,Study_Abroad,9900,College,,Study_Abroad-College-HS
12240,Nanyang Technological University,Study_Abroad,9900,College,,Study_Abroad-College-HS
12241,Ludwig Maximilian University of Munich,Study_Abroad,9900,College,,Study_Abroad-College-HS
12242,Georgetown University,Study_Abroad,9900,College,,Study_Abroad-College-HS
12243,Rice University,Study_Abroad,9900,College,,Study_Abroad-College-HS
12244,Western University,Study_Abroad,9900,College,,Study_Abroad-College-HS
12245,Indiana University,Study_Abroad,9900,College,,Study_Abroad-College-HS
12246,University of Minnesota,Study_Abroad,9900,College,,Study_Abroad-College-HS
12247,Macquarie University,Study_Abroad,9900,College,,Study_Abroad-College-HS
12248,Stony Brook University,Study_Abroad,9900,College,,Study_Abroad-College-HS
12249,University of Sussex,Study_Abroad,9900,College,,Study_Abroad-College-HS
12250,Trent University,Study_Abroad,9900,College,,Study_Abroad-College-HS
12251,Lancaster University,Study_Abroad,9900,College,,Study_Abroad-College-HS
12252,Swansea University,Study_Abroad,9900,College,,Study_Abroad-College-HS
12253,University of California Irvine,Study_Abroad,9900,College,,Study_Abroad-College-HS
12254,University of Massachusetts Amherst,Study_Abroad,9900,College,,Study_Abroad-College-HS
12255,Wright State University,Study_Abroad,9900,College,,Study_Abroad-College-HS
12256,RMIT University,Study_Abroad,9900,College,,Study_Abroad-College-HS
12257,Aston University,Study_Abroad,9900,College,,Study_Abroad-College-HS
12258,University of Huddersfield,Study_Abroad,9900,College,,Study_Abroad-College-HS
12259,University of Dayton,Study_Abroad,9900,College,,Study_Abroad-College-HS
12260,University of Wolverhampton,Study_Abroad,9900,College,,Study_Abroad-College-HS
12261,Queen's University Belfast,Study_Abroad,9900,College,,Study_Abroad-College-HS
12262,University of Roehampton,Study_Abroad,9900,College,,Study_Abroad-College-HS
12263,University of Sunderland,Study_Abroad,9900,College,,Study_Abroad-College-HS
12264,University of Chester,Study_Abroad,9900,College,,Study_Abroad-College-HS
12265,Cardiff Metropolitan University,Study_Abroad,9900,College,,Study_Abroad-College-HS
12266,University of Bedfordshire,Study_Abroad,9900,College,,Study_Abroad-College-HS
12267,Delft University of Technology,Study_Abroad,8100,College,,Study_Abroad-College-HS
12268,Liverpool John Moores University,Study_Abroad,8100,College,,Study_Abroad-College-HS
12269,University of Kent,Study_Abroad,8100,College,,Study_Abroad-College-HS
12270,University of Kentucky,Study_Abroad,8100,College,,Study_Abroad-College-HS
12271,University of Georgia,Study_Abroad,8100,College,,Study_Abroad-College-HS
12272,Emory University,Study_Abroad,8100,College,,Study_Abroad-College-HS
12273,University of Virginia,Study_Abroad,8100,College,,Study_Abroad-College-HS
12274,Drexel University,Study_Abroad,8100,College,,Study_Abroad-College-HS
12275,St. Andrews University,Study_Abroad,8100,College,,Study_Abroad-College-HS
12276,Tufts University,Study_Abroad,8100,College,,Study_Abroad-College-HS
12277,Pace University,Study_Abroad,8100,College,,Study_Abroad-College-HS
12278,University of St Andrews,Study_Abroad,8100,College,,Study_Abroad-College-HS
12279,Iowa State University,Study_Abroad,8100,College,,Study_Abroad-College-HS
12280,DePaul University,Study_Abroad,8100,College,,Study_Abroad-College-HS
12281,Capilano University,Study_Abroad,8100,College,,Study_Abroad-College-HS
12282,La Trobe University,Study_Abroad,8100,College,,Study_Abroad-College-HS
12283,University of Aberdeen,Study_Abroad,8100,College,,Study_Abroad-College-HS
12284,Kent State University,Study_Abroad,8100,College,,Study_Abroad-College-HS
12285,University of Adelaide,Study_Abroad,8100,College,,Study_Abroad-College-HS
12286,University of Dundee,Study_Abroad,8100,College,,Study_Abroad-College-HS
12287,Bournemouth University,Study_Abroad,8100,College,,Study_Abroad-College-HS
12288,University of York,Study_Abroad,8100,College,,Study_Abroad-College-HS
12289,Wichita State University,Study_Abroad,8100,College,,Study_Abroad-College-HS
12290,University of South Wales,Study_Abroad,8100,College,,Study_Abroad-College-HS
12291,Ulster University,Study_Abroad,8100,College,,Study_Abroad-College-HS
12292,Manchester Metropolitan University,Study_Abroad,8100,College,,Study_Abroad-College-HS
12293,Gannon University,Study_Abroad,8100,College,,Study_Abroad-College-HS
12294,University of Hamburg,Study_Abroad,8100,College,,Study_Abroad-College-HS
12295,University of Bonn,Study_Abroad,8100,College,,Study_Abroad-College-HS
12296,University of Central Missouri,Study_Abroad,8100,College,,Study_Abroad-College-HS
12297,University of Wisconsin Madison,Study_Abroad,8100,College,,Study_Abroad-College-HS
12298,New York Film Academy,Study_Abroad,6600,College,,Study_Abroad-College-HS
12299,Karlsruhe Institute of Technology,Study_Abroad,6600,College,,Study_Abroad-College-HS
12300,KTH Royal Institute of Technology,Study_Abroad,6600,College,,Study_Abroad-College-HS
12301,New Jersey Institute of Technology,Study_Abroad,6600,College,,Study_Abroad-College-HS
12302,University of Oxford fees,Study_Abroad,6600,College,,Study_Abroad-College-HS
12303,University of Montreal,Study_Abroad,6600,College,,Study_Abroad-College-HS
12304,Royal Roads University,Study_Abroad,6600,College,,Study_Abroad-College-HS
12305,Yorkville University,Study_Abroad,6600,College,,Study_Abroad-College-HS
12306,University of the Fraser Valley,Study_Abroad,6600,College,,Study_Abroad-College-HS
12307,Edinburgh Napier University,Study_Abroad,6600,College,,Study_Abroad-College-HS
12308,Vancouver Island University,Study_Abroad,6600,College,,Study_Abroad-College-HS
12309,Australian National University,Study_Abroad,6600,College,,Study_Abroad-College-HS
12310,University of New South Wales,Study_Abroad,6600,College,,Study_Abroad-College-HS
12311,University of Lethbridge,Study_Abroad,6600,College,,Study_Abroad-College-HS
12312,California State University Long Beach,Study_Abroad,6600,College,,Study_Abroad-College-HS
12313,Auburn University,Study_Abroad,6600,College,,Study_Abroad-College-HS
12314,Fordham University,Study_Abroad,6600,College,,Study_Abroad-College-HS
12315,Clemson University,Study_Abroad,6600,College,,Study_Abroad-College-HS
12316,George Washington University,Study_Abroad,6600,College,,Study_Abroad-College-HS
12317,University of Notre Dame,Study_Abroad,6600,College,,Study_Abroad-College-HS
12318,University of Utah,Study_Abroad,6600,College,,Study_Abroad-College-HS
12319,American University,Study_Abroad,6600,College,,Study_Abroad-College-HS
12320,The University of Notre Dame,Study_Abroad,6600,College,,Study_Abroad-College-HS
12321,Griffith University,Study_Abroad,6600,College,,Study_Abroad-College-HS
12322,Oregon State University,Study_Abroad,6600,College,,Study_Abroad-College-HS
12323,University of Pittsburgh,Study_Abroad,6600,College,,Study_Abroad-College-HS
12324,Florida State University,Study_Abroad,6600,College,,Study_Abroad-College-HS
12325,Curtin University,Study_Abroad,6600,College,,Study_Abroad-College-HS
12326,University of San Francisco,Study_Abroad,6600,College,,Study_Abroad-College-HS
12327,University of Colorado Boulder,Study_Abroad,6600,College,,Study_Abroad-College-HS
12328,"City, University of London",Study_Abroad,6600,College,,Study_Abroad-College-HS
12329,University of Bradford,Study_Abroad,6600,College,,Study_Abroad-College-HS
12330,University of North Carolina Charlotte,Study_Abroad,6600,College,,Study_Abroad-College-HS
12331,University of Illinois - Urbana Champaign,Study_Abroad,6600,College,,Study_Abroad-College-HS
12332,Uppsala University,Study_Abroad,6600,College,,Study_Abroad-College-HS
12333,Texas Tech University,Study_Abroad,6600,College,,Study_Abroad-College-HS
12334,London Metropolitan University,Study_Abroad,6600,College,,Study_Abroad-College-HS
12335,Lewis University,Study_Abroad,6600,College,,Study_Abroad-College-HS
12336,University of Central Florida,Study_Abroad,6600,College,,Study_Abroad-College-HS
12337,University of Freiburg,Study_Abroad,6600,College,,Study_Abroad-College-HS
12338,London South Bank University,Study_Abroad,6600,College,,Study_Abroad-College-HS
12339,University of Stuttgart,Study_Abroad,6600,College,,Study_Abroad-College-HS
12340,Pratt Institute,Study_Abroad,5400,College,,Study_Abroad-College-HS
12341,New York Institute of Technology,Study_Abroad,5400,College,,Study_Abroad-College-HS
12342,Harvard University fees,Study_Abroad,5400,College,,Study_Abroad-College-HS
12343,Free University of Berlin,Study_Abroad,5400,College,,Study_Abroad-College-HS
12344,University of Groningen,Study_Abroad,5400,College,,Study_Abroad-College-HS
12345,University of Central Lancashire,Study_Abroad,5400,College,,Study_Abroad-College-HS
12346,University of Cologne,Study_Abroad,5400,College,,Study_Abroad-College-HS
12347,University of the West of Scotland,Study_Abroad,5400,College,,Study_Abroad-College-HS
12348,Glasgow Caledonian University,Study_Abroad,5400,College,,Study_Abroad-College-HS
12349,Western Sydney University,Study_Abroad,5400,College,,Study_Abroad-College-HS
12350,Temple University,Study_Abroad,5400,College,,Study_Abroad-College-HS
12351,Vanderbilt University,Study_Abroad,5400,College,,Study_Abroad-College-HS
12352,University of Delaware,Study_Abroad,5400,College,,Study_Abroad-College-HS
12353,Chapman University,Study_Abroad,5400,College,,Study_Abroad-College-HS
12354,Washington State University,Study_Abroad,5400,College,,Study_Abroad-College-HS
12355,University of Alabama Birmingham,Study_Abroad,5400,College,,Study_Abroad-College-HS
12356,Rowan University,Study_Abroad,5400,College,,Study_Abroad-College-HS
12357,San Diego State University,Study_Abroad,5400,College,,Study_Abroad-College-HS
12358,University of California Riverside,Study_Abroad,5400,College,,Study_Abroad-College-HS
12359,University of Kansas,Study_Abroad,5400,College,,Study_Abroad-College-HS
12360,University of Colorado Denver,Study_Abroad,5400,College,,Study_Abroad-College-HS
12361,Illinois State University,Study_Abroad,5400,College,,Study_Abroad-College-HS
12362,University of Rochester,Study_Abroad,5400,College,,Study_Abroad-College-HS
12363,Santa Clara University,Study_Abroad,5400,College,,Study_Abroad-College-HS
12364,Missouri State University,Study_Abroad,5400,College,,Study_Abroad-College-HS
12365,University of Reading,Study_Abroad,5400,College,,Study_Abroad-College-HS
12366,University of Brighton,Study_Abroad,5400,College,,Study_Abroad-College-HS
12367,Florida International University,Study_Abroad,5400,College,,Study_Abroad-College-HS
12368,Saint Louis University,Study_Abroad,5400,College,,Study_Abroad-College-HS
12369,Oklahoma State University,Study_Abroad,5400,College,,Study_Abroad-College-HS
12370,University of Wollongong,Study_Abroad,5400,College,,Study_Abroad-College-HS
12371,Leiden University,Study_Abroad,5400,College,,Study_Abroad-College-HS
12372,University of Hull,Study_Abroad,5400,College,,Study_Abroad-College-HS
12373,Wilfrid Laurier University,Study_Abroad,5400,College,,Study_Abroad-College-HS
12374,University of Tasmania,Study_Abroad,5400,College,,Study_Abroad-College-HS
12375,University of Limerick,Study_Abroad,5400,College,,Study_Abroad-College-HS
12376,Bangor University,Study_Abroad,5400,College,,Study_Abroad-College-HS
12377,University of East Anglia,Study_Abroad,5400,College,,Study_Abroad-College-HS
12378,University of Western Australia,Study_Abroad,5400,College,,Study_Abroad-College-HS
12379,University of Wisconsin Milwaukee,Study_Abroad,5400,College,,Study_Abroad-College-HS
12380,HEC Montreal,Study_Abroad,4400,College,,Study_Abroad-College-HS
12381,Fashion Institute of Technology,Study_Abroad,4400,College,,Study_Abroad-College-HS
12382,University of Toronto fees,Study_Abroad,4400,College,,Study_Abroad-College-HS
12383,Brandon University,Study_Abroad,4400,College,,Study_Abroad-College-HS
12384,Technical University Dresden,Study_Abroad,4400,College,,Study_Abroad-College-HS
12385,Saarland University,Study_Abroad,4400,College,,Study_Abroad-College-HS
12386,University of Twente,Study_Abroad,4400,College,,Study_Abroad-College-HS
12387,University of Northern British Columbia,Study_Abroad,4400,College,,Study_Abroad-College-HS
12388,Kwantlen Polytechnic University,Study_Abroad,4400,College,,Study_Abroad-College-HS
12389,"Royal Holloway, University of London",Study_Abroad,4400,College,,Study_Abroad-College-HS
12390,San Francisco State University,Study_Abroad,4400,College,,Study_Abroad-College-HS
12391,California State University Los Angeles,Study_Abroad,4400,College,,Study_Abroad-College-HS
12392,University of Miami,Study_Abroad,4400,College,,Study_Abroad-College-HS
12393,Ohio University,Study_Abroad,4400,College,,Study_Abroad-College-HS
12394,Texas State University,Study_Abroad,4400,College,,Study_Abroad-College-HS
12395,University of Iowa,Study_Abroad,4400,College,,Study_Abroad-College-HS
12396,Binghamton University,Study_Abroad,4400,College,,Study_Abroad-College-HS
12397,Wayne State University,Study_Abroad,4400,College,,Study_Abroad-College-HS
12398,University of Memphis,Study_Abroad,4400,College,,Study_Abroad-College-HS
12399,University of California Davis,Study_Abroad,4400,College,,Study_Abroad-College-HS
12400,Case Western Reserve University,Study_Abroad,4400,College,,Study_Abroad-College-HS
12401,Sacred Heart University,Study_Abroad,4400,College,,Study_Abroad-College-HS
12402,University of California San Francisco,Study_Abroad,4400,College,,Study_Abroad-College-HS
12403,University of California Santa Barbara,Study_Abroad,4400,College,,Study_Abroad-College-HS
12404,University of Massachusetts Boston,Study_Abroad,4400,College,,Study_Abroad-College-HS
12405,University of Connecticut,Study_Abroad,4400,College,,Study_Abroad-College-HS
12406,Flinders University,Study_Abroad,4400,College,,Study_Abroad-College-HS
12407,University of Canterbury,Study_Abroad,4400,College,,Study_Abroad-College-HS
12408,University of Otago,Study_Abroad,4400,College,,Study_Abroad-College-HS
12409,Utrecht University,Study_Abroad,4400,College,,Study_Abroad-College-HS
12410,Arkansas State University,Study_Abroad,4400,College,,Study_Abroad-College-HS
12411,University of South Australia,Study_Abroad,4400,College,,Study_Abroad-College-HS
12412,University of Derby,Study_Abroad,4400,College,,Study_Abroad-College-HS
12413,University of Bridgeport,Study_Abroad,4400,College,,Study_Abroad-College-HS
12414,University of Texas El Paso,Study_Abroad,4400,College,,Study_Abroad-College-HS
12415,Pennsylvania State University,Study_Abroad,4400,College,,Study_Abroad-College-HS
12416,MacEwan University,Study_Abroad,4400,College,,Study_Abroad-College-HS
12417,Erasmus University Rotterdam,Study_Abroad,4400,College,,Study_Abroad-College-HS
