,Keyword,Tag,Search Volume,Category,Exam Tag,new_tag
12663,University of Windsor fees,Study_Abroad,880,College,,Study_Abroad-College-LS
12664,McGill University fees,Study_Abroad,880,College,,Study_Abroad-College-LS
12665,Columbia University fees,Study_Abroad,880,College,,Study_Abroad-College-LS
12666,Boston University fees,Study_Abroad,880,College,,Study_Abroad-College-LS
12667,University of Alberta fees,Study_Abroad,880,College,,Study_Abroad-College-LS
12668,New York Film Academy fees,Study_Abroad,880,College,,Study_Abroad-College-LS
12669,Southwestern University,Study_Abroad,880,College,,Study_Abroad-College-LS
12670,Alliant International University,Study_Abroad,880,College,,Study_Abroad-College-LS
12671,Oregon Health & Science University,Study_Abroad,880,College,,Study_Abroad-College-LS
12672,"St George's, University of London",Study_Abroad,880,College,,Study_Abroad-College-LS
12673,Texas Southern University,Study_Abroad,880,College,,Study_Abroad-College-LS
12674,Jonkoping University,Study_Abroad,880,College,,Study_Abroad-College-LS
12675,Texas Christian University,Study_Abroad,880,College,,Study_Abroad-College-LS
12676,Fairleigh Dickinson University Vancouver,Study_Abroad,880,College,,Study_Abroad-College-LS
12677,University of Alabama Huntsville,Study_Abroad,880,College,,Study_Abroad-College-LS
12678,James Madison University,Study_Abroad,880,College,,Study_Abroad-College-LS
12679,Marquette University,Study_Abroad,880,College,,Study_Abroad-College-LS
12680,University of Michigan Flint,Study_Abroad,880,College,,Study_Abroad-College-LS
12681,Creighton University,Study_Abroad,880,College,,Study_Abroad-College-LS
12682,Alabama State University,Study_Abroad,880,College,,Study_Abroad-College-LS
12683,University of Akron,Study_Abroad,880,College,,Study_Abroad-College-LS
12684,University of Maine,Study_Abroad,880,College,,Study_Abroad-College-LS
12685,Loma Linda University,Study_Abroad,880,College,,Study_Abroad-College-LS
12686,Virginia State University,Study_Abroad,880,College,,Study_Abroad-College-LS
12687,Purdue University Global,Study_Abroad,880,College,,Study_Abroad-College-LS
12688,Drew University,Study_Abroad,880,College,,Study_Abroad-College-LS
12689,University of Scranton,Study_Abroad,880,College,,Study_Abroad-College-LS
12690,New Mexico State University,Study_Abroad,880,College,,Study_Abroad-College-LS
12691,Yeshiva University,Study_Abroad,880,College,,Study_Abroad-College-LS
12692,California Lutheran University,Study_Abroad,880,College,,Study_Abroad-College-LS
12693,Saginaw Valley State University,Study_Abroad,880,College,,Study_Abroad-College-LS
12694,University of Detroit Mercy,Study_Abroad,880,College,,Study_Abroad-College-LS
12695,Texas Wesleyan University,Study_Abroad,880,College,,Study_Abroad-College-LS
12696,Universiti Putra Malaysia,Study_Abroad,720,College,,Study_Abroad-College-LS
12697,Universiti Sains Malaysia,Study_Abroad,720,College,,Study_Abroad-College-LS
12698,Dublin Institute of Technology,Study_Abroad,720,College,,Study_Abroad-College-LS
12699,York University fees,Study_Abroad,720,College,,Study_Abroad-College-LS
12700,National University of Singapore fees,Study_Abroad,720,College,,Study_Abroad-College-LS
12701,Saint Paul University,Study_Abroad,720,College,,Study_Abroad-College-LS
12702,University of Sherbrooke,Study_Abroad,720,College,,Study_Abroad-College-LS
12703,University of Potomac,Study_Abroad,720,College,,Study_Abroad-College-LS
12704,Purdue University - Northwest,Study_Abroad,720,College,,Study_Abroad-College-LS
12705,Hawaii Pacific University,Study_Abroad,720,College,,Study_Abroad-College-LS
12706,California University of Pennsylvania,Study_Abroad,720,College,,Study_Abroad-College-LS
12707,University of Houston - Downtown,Study_Abroad,720,College,,Study_Abroad-College-LS
12708,Midwestern State University,Study_Abroad,720,College,,Study_Abroad-College-LS
12709,Rockefeller University,Study_Abroad,720,College,,Study_Abroad-College-LS
12710,Fitchburg State University,Study_Abroad,720,College,,Study_Abroad-College-LS
12711,Tennessee Technological University,Study_Abroad,720,College,,Study_Abroad-College-LS
12712,Towson University,Study_Abroad,720,College,,Study_Abroad-College-LS
12713,Victoria University Australia,Study_Abroad,720,College,,Study_Abroad-College-LS
12714,East Carolina University,Study_Abroad,720,College,,Study_Abroad-College-LS
12715,Bucknell University,Study_Abroad,720,College,,Study_Abroad-College-LS
12716,University of Missouri Columbia,Study_Abroad,720,College,,Study_Abroad-College-LS
12717,Mercer University,Study_Abroad,720,College,,Study_Abroad-College-LS
12718,Ball State University,Study_Abroad,720,College,,Study_Abroad-College-LS
12719,Kean University,Study_Abroad,720,College,,Study_Abroad-College-LS
12720,Drake University,Study_Abroad,720,College,,Study_Abroad-College-LS
12721,Fairfield University,Study_Abroad,720,College,,Study_Abroad-College-LS
12722,University of Hawaii at Manoa,Study_Abroad,720,College,,Study_Abroad-College-LS
12723,Biola University,Study_Abroad,720,College,,Study_Abroad-College-LS
12724,University of Montana,Study_Abroad,720,College,,Study_Abroad-College-LS
12725,Tennessee State University,Study_Abroad,720,College,,Study_Abroad-College-LS
12726,University of North Carolina Greensboro,Study_Abroad,720,College,,Study_Abroad-College-LS
12727,Regent University,Study_Abroad,720,College,,Study_Abroad-College-LS
12728,Gallaudet University,Study_Abroad,720,College,,Study_Abroad-College-LS
12729,Middle Tennessee State University,Study_Abroad,720,College,,Study_Abroad-College-LS
12730,Seattle Pacific University,Study_Abroad,720,College,,Study_Abroad-College-LS
12731,Youngstown State University,Study_Abroad,720,College,,Study_Abroad-College-LS
12732,University of New Orleans,Study_Abroad,720,College,,Study_Abroad-College-LS
12733,Western New England University,Study_Abroad,720,College,,Study_Abroad-College-LS
12734,Franklin University,Study_Abroad,720,College,,Study_Abroad-College-LS
12735,Indiana University of Pennsylvania,Study_Abroad,720,College,,Study_Abroad-College-LS
12736,University of Nebraska Omaha,Study_Abroad,720,College,,Study_Abroad-College-LS
12737,Kettering University,Study_Abroad,720,College,,Study_Abroad-College-LS
12738,Oklahoma City University,Study_Abroad,720,College,,Study_Abroad-College-LS
12739,University of Regensburg,Study_Abroad,720,College,,Study_Abroad-College-LS
12740,Harper Adams University,Study_Abroad,720,College,,Study_Abroad-College-LS
12741,The University of Chicago,Study_Abroad,720,College,,Study_Abroad-College-LS
12742,California Polytechnic State University,Study_Abroad,720,College,,Study_Abroad-College-LS
12743,Universiti Teknologi Malaysia,Study_Abroad,590,College,,Study_Abroad-College-LS
12744,Curtis Institute of Music,Study_Abroad,590,College,,Study_Abroad-College-LS
12745,Yale University fees,Study_Abroad,590,College,,Study_Abroad-College-LS
12746,McMaster University fees,Study_Abroad,590,College,,Study_Abroad-College-LS
12747,University of Hertfordshire fees,Study_Abroad,590,College,,Study_Abroad-College-LS
12748,University of Calgary fees,Study_Abroad,590,College,,Study_Abroad-College-LS
12749,New York University fees,Study_Abroad,590,College,,Study_Abroad-College-LS
12750,Arizona State University fees,Study_Abroad,590,College,,Study_Abroad-College-LS
12751,University of Manchester fees,Study_Abroad,590,College,,Study_Abroad-College-LS
12752,Manchester University fees,Study_Abroad,590,College,,Study_Abroad-College-LS
12753,University of Nottingham Malaysia,Study_Abroad,590,College,,Study_Abroad-College-LS
12754,Bellevue University,Study_Abroad,590,College,,Study_Abroad-College-LS
12755,University of Mary Hardin Baylor,Study_Abroad,590,College,,Study_Abroad-College-LS
12756,Strayer University,Study_Abroad,590,College,,Study_Abroad-College-LS
12757,City University of Seattle,Study_Abroad,590,College,,Study_Abroad-College-LS
12758,University of North Florida,Study_Abroad,590,College,,Study_Abroad-College-LS
12759,Oral Roberts University,Study_Abroad,590,College,,Study_Abroad-College-LS
12760,Malmo University,Study_Abroad,590,College,,Study_Abroad-College-LS
12761,Chinese University of Hong Kong,Study_Abroad,590,College,,Study_Abroad-College-LS
12762,California State University Bakersfield,Study_Abroad,590,College,,Study_Abroad-College-LS
12763,Texas A&M University Commerce,Study_Abroad,590,College,,Study_Abroad-College-LS
12764,Appalachian State University,Study_Abroad,590,College,,Study_Abroad-College-LS
12765,Belmont University,Study_Abroad,590,College,,Study_Abroad-College-LS
12766,Sam Houston State University,Study_Abroad,590,College,,Study_Abroad-College-LS
12767,Western Washington University,Study_Abroad,590,College,,Study_Abroad-College-LS
12768,Gonzaga University,Study_Abroad,590,College,,Study_Abroad-College-LS
12769,Monmouth University,Study_Abroad,590,College,,Study_Abroad-College-LS
12770,Augusta University,Study_Abroad,590,College,,Study_Abroad-College-LS
12771,St. Thomas University,Study_Abroad,590,College,,Study_Abroad-College-LS
12772,University of Nevada Reno,Study_Abroad,590,College,,Study_Abroad-College-LS
12773,Bridgewater State University,Study_Abroad,590,College,,Study_Abroad-College-LS
12774,University of North Carolina Wilmington,Study_Abroad,590,College,,Study_Abroad-College-LS
12775,Norwich University,Study_Abroad,590,College,,Study_Abroad-College-LS
12776,Boise State University,Study_Abroad,590,College,,Study_Abroad-College-LS
12777,Roosevelt University,Study_Abroad,590,College,,Study_Abroad-College-LS
12778,University of St. Thomas,Study_Abroad,590,College,,Study_Abroad-College-LS
12779,Niagara University,Study_Abroad,590,College,,Study_Abroad-College-LS
12780,Washington and Lee University,Study_Abroad,590,College,,Study_Abroad-College-LS
12781,Tiffin University,Study_Abroad,590,College,,Study_Abroad-College-LS
12782,University of Tulsa,Study_Abroad,590,College,,Study_Abroad-College-LS
12783,University of Louisiana,Study_Abroad,590,College,,Study_Abroad-College-LS
12784,Concordia University - Wisconsin,Study_Abroad,590,College,,Study_Abroad-College-LS
12785,Louisiana Tech University,Study_Abroad,590,College,,Study_Abroad-College-LS
12786,Claremont Graduate University,Study_Abroad,590,College,,Study_Abroad-College-LS
12787,The University of Hong Kong,Study_Abroad,590,College,,Study_Abroad-College-LS
12788,University of Regina fees,Study_Abroad,480,College,,Study_Abroad-College-LS
12789,Simon Fraser University fees,Study_Abroad,480,College,,Study_Abroad-College-LS
12790,Monash University fees,Study_Abroad,480,College,,Study_Abroad-College-LS
12791,Kingston University fees,Study_Abroad,480,College,,Study_Abroad-College-LS
12792,University of Greenwich fees,Study_Abroad,480,College,,Study_Abroad-College-LS
12793,University of Melbourne fees,Study_Abroad,480,College,,Study_Abroad-College-LS
12794,University of Texas - Rio Grande Valley,Study_Abroad,480,College,,Study_Abroad-College-LS
12795,Maharishi University of Management,Study_Abroad,480,College,,Study_Abroad-College-LS
12796,University of Baltimore,Study_Abroad,480,College,,Study_Abroad-College-LS
12797,Butler University,Study_Abroad,480,College,,Study_Abroad-College-LS
12798,Alcorn State University,Study_Abroad,480,College,,Study_Abroad-College-LS
12799,Florida Polytechnic University,Study_Abroad,480,College,,Study_Abroad-College-LS
12800,California State University San Marcos,Study_Abroad,480,College,,Study_Abroad-College-LS
12801,University of Alaska Fairbanks,Study_Abroad,480,College,,Study_Abroad-College-LS
12802,University of Arkansas Little Rock,Study_Abroad,480,College,,Study_Abroad-College-LS
12803,Quinnipiac University,Study_Abroad,480,College,,Study_Abroad-College-LS
12804,Barry University,Study_Abroad,480,College,,Study_Abroad-College-LS
12805,Campbell University,Study_Abroad,480,College,,Study_Abroad-College-LS
12806,Columbus State University,Study_Abroad,480,College,,Study_Abroad-College-LS
12807,Weber State University,Study_Abroad,480,College,,Study_Abroad-College-LS
12808,Sonoma State University,Study_Abroad,480,College,,Study_Abroad-College-LS
12809,Samford University,Study_Abroad,480,College,,Study_Abroad-College-LS
12810,Abilene Christian University,Study_Abroad,480,College,,Study_Abroad-College-LS
12811,Humboldt State University,Study_Abroad,480,College,,Study_Abroad-College-LS
12812,Loyola University Maryland,Study_Abroad,480,College,,Study_Abroad-College-LS
12813,Texas Woman's University,Study_Abroad,480,College,,Study_Abroad-College-LS
12814,Delaware State University,Study_Abroad,480,College,,Study_Abroad-College-LS
12815,University of Washington Bothell,Study_Abroad,480,College,,Study_Abroad-College-LS
12816,Park University,Study_Abroad,480,College,,Study_Abroad-College-LS
12817,Western Kentucky University,Study_Abroad,480,College,,Study_Abroad-College-LS
12818,Jacksonville State University,Study_Abroad,480,College,,Study_Abroad-College-LS
12819,Idaho State University,Study_Abroad,480,College,,Study_Abroad-College-LS
12820,Northern Kentucky University,Study_Abroad,480,College,,Study_Abroad-College-LS
12821,Wilkes University,Study_Abroad,480,College,,Study_Abroad-College-LS
12822,Colorado Technical University,Study_Abroad,480,College,,Study_Abroad-College-LS
12823,Kentucky State University,Study_Abroad,480,College,,Study_Abroad-College-LS
12824,Rush University,Study_Abroad,480,College,,Study_Abroad-College-LS
12825,Ohio Wesleyan University,Study_Abroad,480,College,,Study_Abroad-College-LS
12826,University of Texas Southwestern Medical Center,Study_Abroad,480,College,,Study_Abroad-College-LS
12827,University of Nebraska Medical Center,Study_Abroad,480,College,,Study_Abroad-College-LS
12828,Wentworth Institute of Technology,Study_Abroad,390,College,,Study_Abroad-College-LS
12829,Dallas Theological Seminary,Study_Abroad,390,College,,Study_Abroad-College-LS
12830,University of Ottawa fees,Study_Abroad,390,College,,Study_Abroad-College-LS
12831,Carleton University fees,Study_Abroad,390,College,,Study_Abroad-College-LS
12832,Ryerson University fees,Study_Abroad,390,College,,Study_Abroad-College-LS
12833,Deakin University fees,Study_Abroad,390,College,,Study_Abroad-College-LS
12834,Dalhousie University fees,Study_Abroad,390,College,,Study_Abroad-College-LS
12835,Memorial University of Newfoundland fees,Study_Abroad,390,College,,Study_Abroad-College-LS
12836,Princeton University fees,Study_Abroad,390,College,,Study_Abroad-College-LS
12837,Purdue University fees,Study_Abroad,390,College,,Study_Abroad-College-LS
12838,Cornell University fees,Study_Abroad,390,College,,Study_Abroad-College-LS
12839,University of Edinburgh fees,Study_Abroad,390,College,,Study_Abroad-College-LS
12840,University of Sydney fees,Study_Abroad,390,College,,Study_Abroad-College-LS
12841,Saint Xavier University,Study_Abroad,390,College,,Study_Abroad-College-LS
12842,Virginia International University,Study_Abroad,390,College,,Study_Abroad-College-LS
12843,Sofia University,Study_Abroad,390,College,,Study_Abroad-College-LS
12844,Maryville University,Study_Abroad,390,College,,Study_Abroad-College-LS
12845,Montana State University Billings,Study_Abroad,390,College,,Study_Abroad-College-LS
12846,West Chester University,Study_Abroad,390,College,,Study_Abroad-College-LS
12847,Morgan State University,Study_Abroad,390,College,,Study_Abroad-College-LS
12848,Hampton University,Study_Abroad,390,College,,Study_Abroad-College-LS
12849,University of Colorado Colorado Springs,Study_Abroad,390,College,,Study_Abroad-College-LS
12850,Stockton University,Study_Abroad,390,College,,Study_Abroad-College-LS
12851,Jackson State University,Study_Abroad,390,College,,Study_Abroad-College-LS
12852,Central Washington University,Study_Abroad,390,College,,Study_Abroad-College-LS
12853,Rider University,Study_Abroad,390,College,,Study_Abroad-College-LS
12854,Tuskegee University,Study_Abroad,390,College,,Study_Abroad-College-LS
12855,Jacksonville University,Study_Abroad,390,College,,Study_Abroad-College-LS
12856,University of Texas Tyler,Study_Abroad,390,College,,Study_Abroad-College-LS
12857,South University,Study_Abroad,390,College,,Study_Abroad-College-LS
12858,DePauw University,Study_Abroad,390,College,,Study_Abroad-College-LS
12859,Alfred University,Study_Abroad,390,College,,Study_Abroad-College-LS
12860,Andrews University,Study_Abroad,390,College,,Study_Abroad-College-LS
12861,University of Charleston,Study_Abroad,390,College,,Study_Abroad-College-LS
12862,East Tennessee State University,Study_Abroad,390,College,,Study_Abroad-College-LS
12863,Truman State University,Study_Abroad,390,College,,Study_Abroad-College-LS
12864,University of Washington Tacoma,Study_Abroad,390,College,,Study_Abroad-College-LS
12865,Simmons University,Study_Abroad,390,College,,Study_Abroad-College-LS
12866,North Park University,Study_Abroad,390,College,,Study_Abroad-College-LS
12867,Minot State University,Study_Abroad,390,College,,Study_Abroad-College-LS
12868,University of Minnesota- Duluth,Study_Abroad,390,College,,Study_Abroad-College-LS
12869,Austin Peay State University,Study_Abroad,390,College,,Study_Abroad-College-LS
12870,Arkansas Tech University,Study_Abroad,390,College,,Study_Abroad-College-LS
12871,Augustana University,Study_Abroad,390,College,,Study_Abroad-College-LS
12872,Johnson & Wales University,Study_Abroad,390,College,,Study_Abroad-College-LS
12873,Hong Kong Baptist University,Study_Abroad,390,College,,Study_Abroad-College-LS
12874,California State University - Monterey Bay,Study_Abroad,390,College,,Study_Abroad-College-LS
12875,Universiti Teknologi Petronas,Study_Abroad,320,College,,Study_Abroad-College-LS
12876,Universiti Teknologi MARA,Study_Abroad,320,College,,Study_Abroad-College-LS
12877,Asbury Theological Seminary,Study_Abroad,320,College,,Study_Abroad-College-LS
12878,Lakehead University fees,Study_Abroad,320,College,,Study_Abroad-College-LS
12879,University of Bedfordshire fees,Study_Abroad,320,College,,Study_Abroad-College-LS
12880,University of Southern California fees,Study_Abroad,320,College,,Study_Abroad-College-LS
12881,Teesside University fees,Study_Abroad,320,College,,Study_Abroad-College-LS
12882,Northeastern University fees,Study_Abroad,320,College,,Study_Abroad-College-LS
12883,Brunel University fees,Study_Abroad,320,College,,Study_Abroad-College-LS
12884,University of Warwick fees,Study_Abroad,320,College,,Study_Abroad-College-LS
12885,Coventry University fees,Study_Abroad,320,College,,Study_Abroad-College-LS
12886,University of Auckland fees,Study_Abroad,320,College,,Study_Abroad-College-LS
12887,Soka University of America,Study_Abroad,320,College,,Study_Abroad-College-LS
12888,University of West Georgia,Study_Abroad,320,College,,Study_Abroad-College-LS
12889,Woodbury University,Study_Abroad,320,College,,Study_Abroad-College-LS
12890,North American University,Study_Abroad,320,College,,Study_Abroad-College-LS
12891,Southern Virginia University,Study_Abroad,320,College,,Study_Abroad-College-LS
12892,High Point University,Study_Abroad,320,College,,Study_Abroad-College-LS
12893,Regis University,Study_Abroad,320,College,,Study_Abroad-College-LS
12894,Ashland University,Study_Abroad,320,College,,Study_Abroad-College-LS
12895,Willamette University,Study_Abroad,320,College,,Study_Abroad-College-LS
12896,Eastern University,Study_Abroad,320,College,,Study_Abroad-College-LS
12897,Illinois Wesleyan University,Study_Abroad,320,College,,Study_Abroad-College-LS
12898,University of Alabama Tuscaloosa,Study_Abroad,320,College,,Study_Abroad-College-LS
12899,Clark Atlanta University,Study_Abroad,320,College,,Study_Abroad-College-LS
12900,Radford University,Study_Abroad,320,College,,Study_Abroad-College-LS
12901,Azusa Pacific University,Study_Abroad,320,College,,Study_Abroad-College-LS
12902,Furman University,Study_Abroad,320,College,,Study_Abroad-College-LS
12903,Arcadia University,Study_Abroad,320,College,,Study_Abroad-College-LS
12904,Southern Connecticut State University,Study_Abroad,320,College,,Study_Abroad-College-LS
12905,University of Redlands,Study_Abroad,320,College,,Study_Abroad-College-LS
12906,St. Lawrence University,Study_Abroad,320,College,,Study_Abroad-College-LS
12907,Davenport University,Study_Abroad,320,College,,Study_Abroad-College-LS
12908,Marymount University,Study_Abroad,320,College,,Study_Abroad-College-LS
12909,Delta State University,Study_Abroad,320,College,,Study_Abroad-College-LS
12910,University of West Florida,Study_Abroad,320,College,,Study_Abroad-College-LS
12911,La Salle University,Study_Abroad,320,College,,Study_Abroad-College-LS
12912,Worcester State University,Study_Abroad,320,College,,Study_Abroad-College-LS
12913,Lawrence University,Study_Abroad,320,College,,Study_Abroad-College-LS
12914,Central Connecticut State University,Study_Abroad,320,College,,Study_Abroad-College-LS
12915,Eastern Kentucky University,Study_Abroad,320,College,,Study_Abroad-College-LS
12916,California State University - Stanislaus,Study_Abroad,320,College,,Study_Abroad-College-LS
12917,McNeese State University,Study_Abroad,320,College,,Study_Abroad-College-LS
12918,Cameron University,Study_Abroad,320,College,,Study_Abroad-College-LS
12919,Drury University,Study_Abroad,320,College,,Study_Abroad-College-LS
12920,Minnesota State University Mankato,Study_Abroad,320,College,,Study_Abroad-College-LS
12921,Northeastern State University,Study_Abroad,320,College,,Study_Abroad-College-LS
12922,University of Central Arkansas,Study_Abroad,320,College,,Study_Abroad-College-LS
12923,Oklahoma Christian University,Study_Abroad,320,College,,Study_Abroad-College-LS
12924,Midway University,Study_Abroad,320,College,,Study_Abroad-College-LS
12925,University of Puerto Rico,Study_Abroad,320,College,,Study_Abroad-College-LS
12926,Benedictine University,Study_Abroad,320,College,,Study_Abroad-College-LS
12927,Indiana Tech,Study_Abroad,260,College,,Study_Abroad-College-LS
12928,Rose-Hulman Institute of Technology,Study_Abroad,260,College,,Study_Abroad-College-LS
12929,Box Hill Institute,Study_Abroad,260,College,,Study_Abroad-College-LS
12930,SUNY Downstate Medical Center,Study_Abroad,260,College,,Study_Abroad-College-LS
12931,Cape Breton University fees,Study_Abroad,260,College,,Study_Abroad-College-LS
12932,RMIT University fees,Study_Abroad,260,College,,Study_Abroad-College-LS
12933,Nanyang Technological University fees,Study_Abroad,260,College,,Study_Abroad-College-LS
12934,University of Amsterdam fees,Study_Abroad,260,College,,Study_Abroad-College-LS
12935,University of Leeds fees,Study_Abroad,260,College,,Study_Abroad-College-LS
12936,Birmingham City University fees,Study_Abroad,260,College,,Study_Abroad-College-LS
12937,De Montfort University fees,Study_Abroad,260,College,,Study_Abroad-College-LS
12938,Middlesex University fees,Study_Abroad,260,College,,Study_Abroad-College-LS
12939,University of London fees,Study_Abroad,260,College,,Study_Abroad-College-LS
12940,University of Glasgow fees,Study_Abroad,260,College,,Study_Abroad-College-LS
12941,Lingnan University,Study_Abroad,260,College,,Study_Abroad-College-LS
12942,Florida Gulf Coast University,Study_Abroad,260,College,,Study_Abroad-College-LS
12943,Bethel University,Study_Abroad,260,College,,Study_Abroad-College-LS
12944,Point Park University,Study_Abroad,260,College,,Study_Abroad-College-LS
12945,Baldwin Wallace University,Study_Abroad,260,College,,Study_Abroad-College-LS
12946,Chatham University,Study_Abroad,260,College,,Study_Abroad-College-LS
12947,Multimedia University,Study_Abroad,260,College,,Study_Abroad-College-LS
12948,Castleton University,Study_Abroad,260,College,,Study_Abroad-College-LS
12949,University of Alaska Anchorage,Study_Abroad,260,College,,Study_Abroad-College-LS
12950,University of Houston Victoria,Study_Abroad,260,College,,Study_Abroad-College-LS
12951,University of Nebraska Kearney,Study_Abroad,260,College,,Study_Abroad-College-LS
12952,Bowie State University,Study_Abroad,260,College,,Study_Abroad-College-LS
12953,Western Carolina University,Study_Abroad,260,College,,Study_Abroad-College-LS
12954,Stetson University,Study_Abroad,260,College,,Study_Abroad-College-LS
