,Keyword,Tag,Search Volume,Category,Exam Tag,new_tag
16295,Algoma University BSc in Environmental Science,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16296,Carleton University BSc in Biochemistry,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16297,Carleton University BSc in Biology,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16298,Carleton University BSc in Chemistry,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16299,Carleton University BEng in Civil Engineering,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16300,Carleton University BEng in Electrical Engineering,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16301,Carleton University BSc in Environmental Science,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16302,Carleton University BA in Law,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16303,Carleton University BEng in Mechanical Engineering,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16304,Carleton University BSc in Physics,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16305,Carleton University BEng in Software Engineering,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16306,Concordia University BSc in Biochemistry,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16307,Concordia University BSc in Biology,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16308,Concordia University BEng in Civil Engineering,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16309,Concordia University BEng in Computer Engineering,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16310,Concordia University BEng in Electrical Engineering,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16311,Concordia University BA in Journalism,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16312,Concordia University BEng in Mechanical Engineering,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16313,Concordia University BEng in Software Engineering,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16314,University of Alberta BSc in Mathematics,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16315,University of Alberta BSc in Neuroscience,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16316,University of Calgary BSc in Biochemistry,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16317,University of Calgary BSc in Chemistry,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16318,University of Calgary BSc in Computer Science,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16319,University of Calgary BSc in Environmental Science,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16320,University of Calgary BSc in Neuroscience,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16321,University of Calgary BSc in Physics,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16322,University of Calgary Bachelor of Science in Engineeringin Software Engineering,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16323,University of Waterloo BSc in Biochemistry,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16324,University of Waterloo BA in Legal Studies,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
16325,University of Windsor BSc in Biochemistry,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
