,keywords,search_volume,competition
0,jee main result,550000,0.06
1,jee advanced,246000,0.03
2,jee main 2021,246000,0.03
3,jee main 2020,201000,0.07
4,jee mains 2021 result,135000,0.08
6,nta jee main,90500,0.02
8,jee main result 2020,90500,0.06
5,nta jee,74000,0.01
128,jee adv 2020,60500,0.03
10,jee main 2020 result,60500,0.06
11,jee main result 2021,60500,0.07
375,jee mains 2021 exam dates,49500,0.07
12,jee main nta,49500,0.01
7,jee 2021,49500,0.02
14,jee result,40500,0.03
9,jee result 2020,40500,0.05
107,jee mains nta nic,33100,0.01
13,jee 2020,27100,0.01
15,jee result 2021,27100,0.1
16,josaa 2020,27100,0.0
247,jee mains 2020 exam dates,27100,0.1
34,jee mains exams,22200,0.12
117,jee mains 2021 dates,22200,0.05
29,jee mains syllabus,22200,0.16
18,jee exam,22200,0.16
24,jee main 2020 question paper,22200,0.14
20,jee nta,22200,0.01
19,nta iit jee mains result,22200,0.05
17,nta jee main result 2020,22200,0.04
396,jee mains exam dates,18100,0.06
619,jee mains nta nic in result 2020,18100,0.03
21,iit jee,18100,0.09
37,jee main 2021 syllabus,18100,0.28
104,jee main dates,14800,0.03
50,jee main result 2020 september,14800,0.07
46,jee main 2021 question paper,14800,0.1
39,jee main official website,14800,0.03
32,nta jee main result,14800,0.06
22,jee main april 2020 paper 1 syllabus,14800,0.08
23,iit jee mains result,14800,0.07
30,jee main registration,14800,0.12
25,unacademy jee,14800,0.14
26,jee advanced 2021,14800,0.02
47,nta jee main 2021,12100,0.03
28,nta result jee mains,12100,0.08
381,jee mains 2020 dates,12100,0.03
31,kalpit veerwal,12100,0.0
27,jee mains result 2021 february,12100,0.08
57,jee main 2020 paper,9900,0.09
64,jee main mock test,9900,0.43
114,jee main previous year question paper,9900,0.24
71,jee main question paper,9900,0.2
59,jee main syllabus 2021,9900,0.22
38,jee main february 2021 paper 1 syllabus,9900,0.03
65,jee mains cut off 2020,9900,0.06
36,jee advanced syllabus,9900,0.04
35,jee advanced 2020 topper,9900,0.04
51,jee main 2021 registration,9900,0.1
33,jee main result 2021 february,9900,0.08
48,jee syllabus,8100,0.24
41,nta jee main result 2021,8100,0.08
44,jee 2021 result,8100,0.05
268,jee exam dates,8100,0.09
45,jee 2020 result,8100,0.02
67,jee main rank predictor,8100,0.26
62,jee main 2021 paper,8100,0.13
92,jee main paper,6600,0.15
174,jee main dates 2021,6600,0.04
43,jee registration 2021,6600,0.19
42,jee main april 2020 paper 2 syllabus,6600,0.0
40,jee main april 2020,6600,0.05
73,jee main result september 2020,6600,0.02
91,jee main topper 2020,5400,0.02
85,jee main twitter,5400,0.01
327,nit surathkal cut off,5400,0.0
80,jee main website,5400,0.03
190,jee main cut off,5400,0.14
193,jee main previous year paper,5400,0.28
82,jee main paper 2 result 2020,5400,0.01
84,jee main registration 2021,5400,0.16
55,josaa 3rd round seat allotment result,5400,0.0
63,mains result 2021,5400,0.07
53,jee mains question paper 2020,5400,0.2
54,jee mains result nta,5400,0.05
52,jee main feb 2021 result,5400,0.05
58,jee 2021 registration,5400,0.12
69,jee mock test,5400,0.43
49,jee main april 2020 syllabus,5400,0.06
74,jee main january 2020 result,5400,0.01
61,iit jee mains,5400,0.07
60,jee official website,5400,0.03
56,jee syllabus 2021,5400,0.35
165,jee 2021 dates,4400,0.04
106,jee main 2019 question paper,4400,0.07
118,jee mains paper 2020,4400,0.14
94,iit jee advanced,4400,0.06
66,jee main feb result,4400,0.03
97,result of jee mains 2020,4400,0.07
158,jee main paper 2 result,4400,0.03
99,jee dates,4400,0.04
173,jee main cut off 2021,4400,0.2
192,jee main september 2020 result,4400,0.01
75,iit exam,4400,0.09
116,b arch result 2020,3600,0.01
115,jee main syllabus 2020,3600,0.08
79,syllabus of jee mains 2021,3600,0.34
68,jee 2021 syllabus,3600,0.26
575,jee advanced dates,3600,0.01
81,jee exam 2020,3600,0.13
386,nit cut off,3600,0.05
379,jee main dates 2020,3600,0.01
336,jee main march,3600,0.01
70,jee advanced 2020 syllabus,3600,0.03
72,josaa 2020 registration,3600,0.0
146,jee main 2020 cut off,3600,0.1
183,eligibility for jee mains,3600,0.06
78,jee main question paper 2020,3600,0.23
83,jee result 2020 september,3600,0.0
77,jee topper 2020,3600,0.02
88,iit jee syllabus,3600,0.21
89,jee main february 2021 syllabus,3600,0.07
76,josaa registration,3600,0.01
111,jee advanced 2020 cut off,3600,0.01
93,jee main february 2021 paper 2 syllabus,3600,0.01
185,jee main 2020 september result,3600,0.01
151,nit cut off 2020,3600,0.03
518,jee main april 2021,3600,0.02
133,jee main paper 2,3600,0.05
156,iit cut off 2020,2900,0.01
206,jee main topper,2900,0.01
240,jee dates 2020,2900,0.03
164,jee main 2020 syllabus,2900,0.06
140,jee main 2019 paper,2900,0.11
148,jee main result 2020 january,2900,0.02
124,nta jee main 2020,2900,0.01
108,jee question paper 2020,2900,0.26
119,jee advanced question paper,2900,0.03
105,jee advanced topper 2020,2900,0.02
131,jee main 2019,2900,0.05
100,iit jee mains 2021,2900,0.06
98,jee rank predictor,2900,0.27
96,jee cut off 2020,2900,0.02
95,nta jee 2021,2900,0.02
90,result of jee main 2021,2900,0.14
121,jee main september result 2020,2900,0.01
597,jee advanced papers,2900,0.05
130,jee mains exam 2021,2900,0.15
87,jee advanced 2020 paper 1 & 2 syllabus,2900,0.02
86,josaa official website,2900,0.0
101,jee question paper,2900,0.25
466,cut off of jee mains 2020,2400,0.03
175,resonance jee main,2400,0.02
189,jee main official site,2400,0.03
170,jee main question paper 2021,2400,0.22
356,jee main march 2021,2400,0.02
468,jee main new dates,2400,0.06
205,jee main cut off 2019,2400,0.1
208,jee main september 2020 question paper,2400,0.04
221,jee mains nta result,2400,0.05
497,jee advanced dates 2020,2400,0.0
224,jee main exam pattern,2400,0.2
521,jee mains january 2020,2400,0.02
232,jee main paper 2021,2400,0.15
238,jee advanced eligibility,2400,0.01
272,nit cut off 2019,2400,0.05
279,dates of jee mains 2021,2400,0.12
320,jee mains apply,2400,0.21
171,jee main result 2019,2400,0.03
231,jee main 2021 cut off,2400,0.18
135,jee main 2020 april,2400,0.01
109,josaa registration 2020,2400,0.0
141,iit question paper,2400,0.25
139,jee dates 2021,2400,0.05
132,jee exam pattern,2400,0.14
159,crackjee,2400,0.01
127,jee advanced syllabus 2020,2400,0.01
113,jee registration,2400,0.16
110,iit jee main 2021 question paper,2400,0.1
129,jee advanced mock test,2400,0.18
125,jee mains 2021 exam,2400,0.14
154,jee paper 2 result,2400,0.0
162,jee paper,2400,0.18
103,jee result 2021 february,2400,0.07
123,jee main exam 2020,2400,0.07
102,jee 2020 question paper,2400,0.11
122,josaa 2019,2400,0.0
143,josaa website,1900,0.0
169,cut off jee mains 2020,1900,0.1
144,nta mains,1900,0.01
142,mains 2020,1900,0.0
145,jee paper 2 result 2020,1900,0.0
112,jee main january 2020 paper 1 syllabus,1900,0.01
147,mains 2021,1900,0.04
222,jee main b arch result 2020,1900,0.02
149,jee main 2021 feb result,1900,0.06
219,jee main 2020 january question paper,1900,0.07
242,cengage maths jee mains,1900,0.98
126,jee main january 2020 paper 2 syllabus,1900,0.0
120,iit jee exam,1900,0.14
251,jee main 2020 january result,1900,0.04
215,jee mains previous papers,1900,0.26
262,b arch result,1900,0.01
274,jee main rank,1900,0.1
351,jee main previous year question,1900,0.27
134,josaa seat allotment,1900,0.0
138,jee advanced 2019 question paper,1900,0.02
280,jee main september result,1900,0.03
292,jee mains maths syllabus,1900,0.19
136,iit jee mains result 2020,1900,0.08
300,jee mains pattern,1900,0.08
137,2020 jee mains question paper,1900,0.18
319,jee advanced previous year papers,1900,0.1
480,jee main question,1900,0.2
237,jee main 2021 topper,1900,0.02
201,jee main 2020 september question paper,1900,0.05
191,jee mains question paper 2021,1900,0.21
199,jee main 2019 result,1900,0.06
196,jee exam 2021,1900,0.2
203,jee main april,1900,0.02
204,jee advanced topper,1900,0.06
155,nta result 2021,1900,0.01
163,jee 2021 question paper,1900,0.19
153,result of jee main 2021 february,1900,0.12
150,jee main 2021 syllabus nta,1900,0.12
210,jee topper,1900,0.01
161,iit advanced,1900,0.03
211,jee previous year papers,1900,0.32
184,jee main result 2020 check online,1900,0.11
160,jee advanced 2021 syllabus,1900,0.06
202,jee b arch result,1900,0.01
182,jee paper 2020,1600,0.22
365,jee main test series,1600,0.6
254,jee paper 2 result 2021,1600,0.01
253,jee mains paper 2019,1600,0.17
179,jee main 2020 topper,1600,0.01
188,jee main september 2020,1600,0.0
249,jee main 2020 result september,1600,0.01
245,jee previous year question paper,1600,0.31
178,cut off jee mains 2021,1600,0.21
157,jee feb 2021 result,1600,0.04
331,jee advanced previous year question paper,1600,0.17
176,jee entrance exam,1600,0.2
216,jee advanced pattern,1600,0.07
168,jee paper 2,1600,0.05
317,jee main and advanced,1600,0.07
166,syllabus for jee mains 2021,1600,0.27
152,jee main january 2021 paper 1 syllabus,1600,0.03
322,jee main paper pattern,1600,0.17
228,nta jee result,1600,0.05
229,jee result september 2020,1600,0.03
557,jee 2020 dates,1600,0.0
423,last year jee mains paper,1600,0.34
177,jee advanced paper pattern,1600,0.05
281,jee cut off 2021,1300,0.24
269,topper of jee mains 2020,1300,0.0
293,today jee mains paper,1300,0.08
287,jee main 2018 question paper,1300,0.02
167,jee syllabus 2020,1300,0.24
275,jee b arch,1300,0.02
341,online jee coaching,1300,0.81
296,jee main january result,1300,0.03
181,iit jee mains nta,1300,0.06
342,jee main advanced,1300,0.06
180,jee main january 2020 syllabus,1300,0.04
283,jee main january 2020 question paper,1300,0.05
333,result of jee main 2020 september,1300,0.05
186,josaa 2020 cut off,1300,0.0
214,jee 2020 paper,1300,0.1
195,jee main question paper 2019,1300,0.17
230,result jee main 2020,1300,0.04
227,jee march dates,1300,0.07
246,jee main registration fee,1300,0.09
198,jee brilliant pala,1300,0.0
405,jee cut off,1300,0.14
207,jee b arch result 2020,1300,0.01
197,nta jee mains 2021 result,1300,0.07
413,april jee mains 2021,1300,0.03
194,allen test series for jee 2021,1300,0.31
257,nta jee main mock test,1300,0.18
258,iit mains,1300,0.03
223,jee exam details,1300,0.27
213,best online coaching for iit jee,1300,0.69
376,jee main result january 2020,1300,0.02
187,iit jee advanced 2021,1300,0.1
200,jee main february 2021 result,1300,0.06
212,jee preparation,1300,0.47
329,jee question paper 2021,1000,0.27
527,iit question,1000,0.24
366,b arch result 2020 september,1000,0.0
326,iit jee result 2020,1000,0.04
496,jee main b arch,1000,0.02
445,jee main preparation,1000,0.52
330,iit jee result,1000,0.05
406,jee mains and advanced syllabus,1000,0.25
308,jee main site,1000,0.02
412,jee main b arch result,1000,0.02
408,iit jee mains syllabus,1000,0.35
337,jee main mock test 2021,1000,0.48
372,jee main january 2021,1000,0.08
340,jee main today paper,1000,0.04
347,jee rank,1000,0.06
355,jee mains syllabus 2022,1000,0.18
374,jee main 2021 nta,1000,0.02
357,jee main feb 2021 question paper,1000,0.1
358,cut off for jee mains 2020,1000,0.1
313,jee main april 2020 result,1000,0.02
315,jee main january 2020 paper,1000,0.04
463,jee main 2022,1000,0.03
241,jee nta result,1000,0.03
276,josaa registration fee,1000,0.0
233,jee main result feb 2021,1000,0.07
234,iit jee mains paper,1000,0.23
692,jee main timing,1000,0.03
266,jee paper pattern,1000,0.15
288,apply for jee mains 2021,1000,0.34
235,jee main entrance exam,1000,0.23
236,parth dwivedi,1000,0.0
239,iit jee 2021,1000,0.04
225,josaa 2nd round seat allotment result,1000,0.0
226,jee mains question paper 2019,1000,0.15
218,josaa 4th round seat allotment result,1000,0.0
298,jee exam information,1000,0.36
220,nta jee mock test,1000,0.12
248,jee maths syllabus,1000,0.2
252,jee mains 2020 topper,1000,0.0
260,registration for jee mains 2021,1000,0.2
243,jee syllabus 2022,1000,0.11
244,kalpit veerwal jee advanced rank,1000,0.0
255,jee eligibility,1000,0.04
217,jee mains today exam paper,1000,0.1
209,iit jee 2020,1000,0.02
389,jee test series,880,0.69
273,landa jitendra,880,0.0
271,nta jee advanced,880,0.01
270,b arch question paper,880,0.05
360,rank predictor jee main 2020,880,0.16
627,jee main last year question paper,880,0.31
539,jee mains march 2021,880,0.02
553,jee main online test,880,0.54
377,jee main february 2021,880,0.04
256,jee mains 2021 feb result,880,0.06
261,iit question paper 2019,880,0.25
306,jee mains b arch paper,880,0.11
371,rank predictor jee main 2021,880,0.27
265,josaa round 4,880,0.0
641,jee mains centre,880,0.05
264,2019 jee mains paper,880,0.11
259,nta jee 2020,880,0.01
263,josaa cut off 2020,880,0.0
524,jee nta nic in result 2020,880,0.01
461,jee main 2022 syllabus,880,0.19
278,jee september result,880,0.04
335,jee main september,880,0.0
309,jee advanced website,880,0.01
465,jee main 2019 cut off,880,0.08
311,topper of jee advanced 2020,880,0.01
312,jee course,880,0.46
304,b arch cut off 2020,880,0.11
318,allen study material for iit jee,880,0.99
301,jee exam result 2020,880,0.16
447,jee main 2020 september,880,0.0
494,jee mains apply online,880,0.21
325,jee coaching near me,880,0.31
291,jee 2020 topper,880,0.0
332,jee main mock test 2020,880,0.41
290,jee main rank predictor 2020,880,0.19
250,josaa round 3 seat allotment result,880,0.0
338,iit jee coaching,880,0.48
507,jee main 2020 january paper,880,0.04
429,cut off for jee mains 2021,880,0.22
286,iit question paper 2020,880,0.21
285,resonance test series for jee 2021,880,0.36
346,march jee mains 2021,880,0.02
284,jee new dates,880,0.08
430,jee main sarkari result,880,0.01
282,jee advanced syllabus 2021,880,0.08
502,jee maths,720,0.25
402,jee main march 2021 paper 1 syllabus,720,0.01
404,jee exam result,720,0.15
587,jee main 2021 official website,720,0.04
400,nta jee main syllabus 2021,720,0.19
399,best coaching for jee,720,0.42
426,jee mains 2020 question paper september,720,0.06
471,jee main 2021 iaspaper,720,0.16
482,jee main 2018,720,0.02
481,main paper,720,0.08
432,jee mains today question paper,720,0.12
580,previous jee mains question papers,720,0.34
450,jee main 2020 rank predictor,720,0.2
449,nta jee mains syllabus,720,0.1
505,jee main paper 2 syllabus,720,0.13
535,iit previous year question paper,720,0.24
592,2018 jee mains paper,720,0.03
504,jee main 2017 question paper,720,0.02
411,iit coaching near me,720,0.27
441,jee main march dates,720,0.04
442,jee september 2020 result,720,0.02
307,jee mains 2021 february result,720,0.06
594,jee main 2021 pattern,720,0.17
295,josaa round 2 seat allotment result,720,0.0
352,question paper of jee mains 2020,720,0.27
277,jee main april 2019 paper 1 syllabus,720,0.02
349,josaa cut off 2019,720,0.0
611,iit jee online coaching,720,0.8
345,jee paper 2021,720,0.24
344,result jee main 2021,720,0.12
343,iit paper 2020,720,0.33
339,resonance jee main 2020,720,0.01
289,iit entrance exam 2020,720,0.14
334,jee main march registration,720,0.11
294,jee main result 2021 feb,720,0.06
328,iit jee mains 2020,720,0.03
354,iit exam pattern,720,0.3
297,iit exam 2020,720,0.21
324,jee 2022 syllabus,720,0.15
323,josaa mock seat allotment,720,0.0
299,jee 2021 feb result,720,0.03
321,josaa seat matrix,720,0.0
302,jee feb result,720,0.01
303,josaa round 3 result,720,0.0
316,nta website jee,720,0.03
314,iit jee result 2021,720,0.09
305,jee question paper 2019,720,0.24
310,jee 2020 syllabus,720,0.06
353,2020 jee mains paper,720,0.14
348,jee main 2020 question paper allen,720,0.04
359,eligibility for jee mains 2021,720,0.12
367,jee advanced 2019 topper,720,0.03
388,josaa result,720,0.0
632,jee main course,720,0.38
635,jee main 2020 result january,720,0.03
361,jee 2020 cut off,720,0.11
662,jee main exam result,720,0.15
654,jee online classes,720,0.78
384,jee main 2021 rank predictor,720,0.24
362,syllabus of jee mains 2020,720,0.15
581,jee main latest,590,0.04
621,jee mains today,590,0.02
696,cengage jee mains,590,0.97
622,jee march,590,0.0
529,jee main nta 2021,590,0.03
473,jee main exam result 2020,590,0.12
477,iit jee preparation,590,0.41
584,embibe jee mains,590,0.01
629,jee mains 2021 exam pattern,590,0.22
631,allen jee main,590,0.03
483,jee advanced previous papers,590,0.26
531,jee main 2021 feb question paper,590,0.12
673,jee main b arch syllabus,590,0.13
506,jee b arch syllabus,590,0.11
633,mains previous year question paper,590,0.23
634,jee main 2021 notification,590,0.16
517,jee main september question paper,590,0.02
659,jee main 2016 question paper,590,0.01
538,allen jee main 2020 result,590,0.06
567,jee main 2,590,0.04
499,jee march 2021,590,0.01
500,jee main april 2021 paper 1 syllabus,590,0.01
516,sarkari result jee main,590,0.09
663,jee main study material,590,0.48
552,jee main 2021 mock test,590,0.41
485,jee main question pattern,590,0.29
350,vedantu test series,590,0.4
407,jee 2021 paper,590,0.15
448,jee study material,590,0.87
392,jee mains result feb 2021,590,0.09
391,jee exam syllabus,590,0.33
390,today jee mains exam paper,590,0.33
387,b arch question paper 2020,590,0.08
385,ssc je mains paper,590,0.08
383,jee advanced 2019 paper 1 & 2 syllabus,590,0.0
382,mains result 2020 september,590,0.0
363,jee m,590,0.02
438,jee main 2020 registration,590,0.03
419,apply jee mains 2021,590,0.28
378,jee advanced 2020 eligibility,590,0.17
373,hrd minister on jee mains 2020,590,0.0
421,iit jee question paper,590,0.21
422,iit jee mains 2021 question paper,590,0.18
424,jee main 2020 question paper fiitjee,590,0.06
369,josaa 2019 cut off,590,0.0
433,nta jee main result 2020 september,590,0.01
431,allen jee advanced result 2020,590,0.01
428,jee main result 2020 april,590,0.03
393,iit jee syllabus 2021,590,0.33
370,jee main 2nd round seat allotment result,590,0.04
